iteration,max_fitness,time
0.0,1092.8384,0.0
10.0,2450.4539,90.73586
20.0,3417.435,83.85407
30.0,3417.435,83.84369
40.0,3681.802,83.9115
50.0,3682.7324,83.7698
60.0,3780.2468,83.63418
70.0,3780.2468,83.7373
80.0,3780.2468,83.8668
90.0,3780.2468,83.738686
100.0,3901.3948,83.84195
110.0,4187.669,83.85835
120.0,4187.669,83.79894
130.0,4280.631,83.970825
140.0,4444.845,83.91671
150.0,4589.3096,83.88804
160.0,4589.3096,84.06189
170.0,4623.5215,83.85806
180.0,4736.0723,83.50583
190.0,4736.0723,83.66032
200.0,4736.0723,83.9742
210.0,4736.0723,83.91419
220.0,4809.2666,83.89805
230.0,4809.2666,83.92604
240.0,4915.7812,83.89172
250.0,4915.7812,83.96238
260.0,4915.7812,83.913155
270.0,5152.4136,83.98141
280.0,5152.4136,83.61385
290.0,5152.4136,83.87829
300.0,5152.4136,83.872604
310.0,5152.4136,84.06594
320.0,5163.3584,83.81953
330.0,5163.3584,84.03955
340.0,5163.3584,83.73859
350.0,5163.3584,83.820786
360.0,5163.3584,83.77963
370.0,5335.5186,84.00286
380.0,5335.5186,83.874245
390.0,5335.5186,84.097946
400.0,5335.5186,83.62833
410.0,5335.5186,83.80314
420.0,5335.5186,83.77296
430.0,5335.5186,83.878845
440.0,5335.5186,83.72988
450.0,5335.5186,83.80354
460.0,5335.5186,83.89823
470.0,5335.5186,83.890305
480.0,5335.5186,83.90825
490.0,5335.5186,83.83825
500.0,5335.5186,83.99559
510.0,5335.5186,84.02452
520.0,5335.5186,83.885414
530.0,5335.5186,83.79888
540.0,5335.5186,83.6447
550.0,5335.5186,83.950554
560.0,5335.5186,83.82633
570.0,5335.5186,83.847885
580.0,5335.5186,83.81526
590.0,5335.5186,83.94358
600.0,5335.5186,83.85902
610.0,5335.5186,83.83039
620.0,5335.5186,83.8633
630.0,5335.5186,84.00517
640.0,5335.5186,83.7808
650.0,5335.5186,83.97987
660.0,5358.3496,83.84153
670.0,5358.3496,83.7827
680.0,5358.3496,83.84932
690.0,5358.3496,83.91572
700.0,5358.3496,83.90361
710.0,5358.3496,83.82872
720.0,5358.3496,83.80335
730.0,5358.3496,83.89386
740.0,5358.3496,84.304146
750.0,5358.3496,84.16084
760.0,5358.3496,83.967896
770.0,5358.3496,83.64939
780.0,5358.3496,83.80447
790.0,5358.3496,83.9774
800.0,5358.3496,83.84559
810.0,5358.3496,84.127426
820.0,5358.3496,83.755005
830.0,5358.3496,83.83043
840.0,5358.3496,83.76473
850.0,5358.3496,83.95984
860.0,5358.3496,83.92098
870.0,5358.3496,83.976105
880.0,5358.3496,83.78821
890.0,5358.3496,83.669235
900.0,5358.3496,83.886856
910.0,5358.3496,83.87423
920.0,5358.3496,83.8224
930.0,5358.3496,83.91478
940.0,5358.3496,83.84353
950.0,5358.3496,83.83137
960.0,5358.3496,83.88668
970.0,5358.3496,84.00441
980.0,5627.876,83.825134
990.0,5627.876,83.74001
1000.0,5627.876,83.86174
1010.0,5627.876,83.971985
1020.0,5627.876,83.98776
1030.0,5627.876,83.77315
1040.0,5627.876,83.81123
1050.0,5627.876,84.01799
1060.0,5627.876,83.94507
1070.0,5627.876,84.045204
1080.0,5627.876,83.94959
1090.0,5627.876,84.00784
1100.0,5627.876,83.95805
1110.0,5627.876,83.988976
1120.0,5627.876,83.767914
1130.0,5627.876,83.74592
1140.0,5627.876,83.75328
1150.0,5627.876,83.76091
1160.0,5627.876,83.988335
1170.0,5627.876,83.986916
1180.0,5627.876,83.92583
1190.0,5627.876,84.1293
1200.0,5627.876,83.900826
1210.0,5627.876,83.83687
1220.0,5627.876,83.90504
1230.0,5627.876,83.67248
1240.0,5627.876,83.854744
1250.0,5627.876,83.874306
1260.0,5627.876,83.94087
1270.0,5627.876,83.84268
1280.0,5627.876,83.99713
1290.0,5627.876,84.01549
1300.0,5627.876,83.69925
1310.0,5627.876,84.013954
1320.0,5627.876,83.748146
1330.0,5627.876,84.003174
1340.0,5627.876,83.86384
1350.0,5627.876,83.8155
1360.0,5627.876,83.628174
1370.0,5627.876,83.99899
1380.0,5627.876,84.01402
1390.0,5627.876,84.02285
1400.0,5627.876,83.803894
1410.0,5627.876,84.074265
1420.0,5627.876,84.08489
1430.0,5627.876,84.07993
1440.0,5627.876,83.97727
1450.0,5627.876,84.02533
1460.0,5627.876,83.766495
1470.0,5627.876,84.06638
1480.0,5627.876,83.78467
1490.0,5627.876,83.93105
1500.0,5627.876,83.79759
