,action_0,action_1,cumulative_reward
0,0.008755032,1.0,87.69394
1,0.04328492,1.0,87.69394
2,0.11834141,1.0,87.69394
3,0.20822647,1.0,87.69394
4,0.30160585,1.0,87.69394
5,0.39271834,1.0,87.69394
6,0.47834647,1.0,87.69394
7,0.5566836,-0.9999979,87.69394
8,0.58533293,-0.9999979,87.69394
9,0.5588088,-0.9999979,87.69394
10,0.5056738,-0.9999979,87.69394
11,0.4351427,-0.9999979,87.69394
12,0.35136884,-0.9999979,87.69394
13,0.2572468,-0.9999979,87.69394
14,0.15554555,-0.9999979,87.69394
15,0.04917132,-0.9999979,87.69394
16,-0.058901988,-0.9999979,87.69394
17,-0.16581884,-0.9999979,87.69394
18,-0.2690369,-0.9999979,87.69394
19,-0.3664733,-0.9999979,87.69394
20,-0.4565829,-0.9999979,87.69394
21,-0.5383693,-0.9999979,87.69394
22,-0.61134464,-0.9999979,87.69394
23,-0.6754572,-0.9999979,87.69394
24,-0.73100007,-0.9999979,87.69394
25,-0.7785179,-0.9999979,87.69394
26,-0.81871766,-0.9999979,87.69394
27,-0.8523925,-0.9999979,87.69394
28,-0.88035876,-0.9999979,87.69394
29,-0.9034112,1.0,87.69394
30,-0.9123819,1.0,87.69394
31,-0.9072847,1.0,87.69394
32,-0.89475304,1.0,87.69394
33,-0.87617683,1.0,87.69394
34,-0.8514714,1.0,87.69394
35,-0.82001406,1.0,87.69394
36,-0.78096586,1.0,87.69394
37,-0.73343956,1.0,87.69394
38,-0.6766391,1.0,87.69394
39,-0.61000353,1.0,87.69394
40,-0.533354,1.0,87.69394
41,-0.44702598,1.0,87.69394
42,-0.3519564,1.0,87.69394
43,-0.24969484,1.0,87.69394
44,-0.14232306,1.0,87.69394
45,-0.032289382,1.0,87.69394
46,0.07781299,1.0,87.69394
47,0.18547511,1.0,87.69394
48,0.28847408,1.0,87.69394
49,0.38500956,1.0,87.69394
50,0.47377515,1.0,87.69394
51,0.55396634,1.0,87.69394
52,0.6252414,1.0,87.69394
53,0.6876534,1.0,87.69394
54,0.7415661,1.0,87.69394
55,0.78756714,1.0,87.69394
56,0.82638687,1.0,87.69394
57,0.8588276,1.0,87.69394
58,0.8857063,1.0,87.69394
59,0.9078121,1.0,87.69394
60,0.92587805,1.0,87.69394
61,0.9405638,1.0,87.69394
62,0.93851125,1.0,87.69394
63,0.94041437,1.0,87.69394
64,0.9401329,1.0,87.69394
65,0.9409199,1.0,87.69394
66,0.9410221,1.0,87.69394
67,0.94088435,-0.9999979,87.69394
68,0.93643135,-0.9999979,87.69394
69,0.9265559,-0.9999979,87.69394
70,0.91226035,-0.9999979,87.69394
71,0.89338684,-0.9999979,87.69394
72,0.8693281,-0.9999979,87.69394
73,0.8392557,-0.9999979,87.69394
74,0.8022287,-0.9999979,87.69394
75,0.7572791,-0.9999979,87.69394
76,0.70351154,-0.9999979,87.69394
77,0.6402254,-0.9999979,87.69394
78,0.56705284,-0.9999979,87.69394
79,0.48409584,-0.9999979,87.69394
80,0.39203277,-0.9999979,87.69394
81,0.292161,-0.9999979,87.69394
82,0.1863534,-0.9999979,87.69394
83,0.076924905,-0.9999979,87.69394
84,-0.033571634,-0.9999979,87.69394
85,-0.14257708,-0.9999979,87.69394
86,-0.24774157,-0.9999979,87.69394
87,-0.34709048,-0.9999979,87.69394
88,-0.4391204,-0.9999979,87.69394
89,-0.5228318,-0.9999979,87.69394
90,-0.59770656,-0.9999979,87.69394
91,-0.6636513,-0.9999979,87.69394
92,-0.7209165,-0.9999979,87.69394
93,-0.77001125,-0.9999979,87.69394
94,-0.8116184,-0.9999979,87.69394
95,-0.8465196,-0.9999979,87.69394
96,-0.875532,-0.9999979,87.69394
97,-0.8994605,-0.9999979,87.69394
98,-0.9190634,-0.9999979,87.69394
99,-0.9350311,-0.9999979,87.69394
100,-0.94104683,-0.9999979,87.69394
101,-0.9383715,-0.9999979,87.69394
102,-0.94133466,-0.9999979,87.69394
103,-0.9411291,-0.9999979,87.69394
104,-0.9407126,-0.9999979,87.69394
105,-0.9409581,-0.9999979,87.69394
106,-0.9408568,1.0,87.69394
107,-0.9376464,1.0,87.69394
108,-0.92861795,1.0,87.69394
109,-0.91510475,1.0,87.69394
110,-0.8970841,1.0,87.69394
111,-0.87400806,1.0,87.69394
112,-0.84507954,1.0,87.69394
113,-0.80937254,1.0,87.69394
114,-0.765918,1.0,87.69394
115,-0.7138,1.0,87.69394
116,-0.6522737,1.0,87.69394
117,-0.5809009,1.0,87.69394
118,-0.4996899,1.0,87.69394
119,-0.40920928,1.0,87.69394
120,-0.31064394,1.0,87.69394
121,-0.2057691,1.0,87.69394
122,-0.096832044,1.0,87.69394
123,0.013641774,1.0,87.69394
124,0.12307898,1.0,87.69394
125,0.22907943,1.0,87.69394
126,0.32959244,1.0,87.69394
127,0.423026,1.0,87.69394
128,0.50829047,1.0,87.69394
129,0.5847841,1.0,87.69394
130,0.6523411,1.0,87.69394
131,0.71115494,1.0,87.69394
132,0.7616927,1.0,87.69394
133,0.80461013,1.0,87.69394
134,0.84067476,1.0,87.69394
135,0.8707005,1.0,87.69394
136,0.8954967,1.0,87.69394
137,0.9158319,1.0,87.69394
138,0.93241036,1.0,87.69394
139,0.94255406,1.0,87.69394
140,0.9380929,1.0,87.69394
141,0.9417208,1.0,87.69394
142,0.9407661,1.0,87.69394
143,0.94069403,1.0,87.69394
144,0.9407846,1.0,87.69394
145,0.9409277,1.0,87.69394
146,0.9408408,-0.9999979,87.69394
147,0.9397545,-0.9999979,87.69394
148,0.93271536,-0.9999979,87.69394
149,0.92089707,-0.9999979,87.69394
150,0.9046651,-0.9999979,87.69394
151,0.8836257,-0.9999979,87.69394
152,0.85705966,-0.9999979,87.69394
153,0.82407874,-0.9999979,87.69394
154,0.7837189,-0.9999979,87.69394
155,0.73502934,-0.9999979,87.69394
156,0.67718357,-0.9999979,87.69394
157,0.60960746,-0.9999979,87.69394
158,0.5321226,-0.9999979,87.69394
159,0.44507292,-0.9999979,87.69394
160,0.34940594,-0.9999979,87.69394
161,0.24668273,-0.9999979,87.69394
162,0.1389916,-0.9999979,87.69394
163,0.02877909,-0.9999979,87.69394
164,-0.08137028,-0.9999979,87.69394
165,-0.18177627,-0.9999979,87.69394
166,-0.28385168,-0.9999979,87.69394
167,-0.38221684,-0.9999979,87.69394
168,-0.4727667,-0.9999979,87.69394
169,-0.5541344,-0.9999979,87.69394
170,-0.62604576,-0.9999979,87.69394
171,-0.6887311,-0.9999979,87.69394
172,-0.7427035,-0.9999979,87.69394
173,-0.7886504,-0.9999979,87.69394
174,-0.8273625,-0.9999979,87.69394
175,-0.8596765,-0.9999979,87.69394
176,-0.8864279,-0.9999979,87.69394
177,-0.90841526,-0.9999979,87.69394
178,-0.9263756,-0.9999979,87.69394
179,-0.9409699,-0.9999979,87.69394
180,-0.93845695,-0.9999979,87.69394
181,-0.94067997,-0.9999979,87.69394
182,-0.9401349,-0.9999979,87.69394
183,-0.9407988,-0.9999979,87.69394
184,-0.94079137,-0.9999979,87.69394
185,-0.94090223,-0.9999979,87.69394
186,-0.9408738,1.0,87.69394
187,-0.9381498,1.0,87.69394
188,-0.9294994,1.0,87.69394
189,-0.9163219,1.0,87.69394
190,-0.898662,1.0,87.69394
191,-0.8759999,1.0,87.69394
192,-0.8475534,1.0,87.69394
193,-0.81240314,1.0,87.69394
194,-0.7695804,1.0,87.69394
195,-0.7181618,1.0,87.69394
196,-0.6573844,1.0,87.69394
197,-0.58678126,1.0,87.69394
198,-0.5063214,1.0,87.69394
199,-0.41652635,1.0,87.69394
200,-0.31853288,1.0,87.69394
201,-0.21407317,1.0,87.69394
202,-0.10536325,1.0,87.69394
203,0.005085557,1.0,87.69394
204,0.11469487,1.0,87.69394
205,0.22104374,1.0,87.69394
206,0.32204896,1.0,87.69394
207,0.41608006,1.0,87.69394
208,0.5020075,1.0,87.69394
209,0.5791931,1.0,87.69394
210,0.6474394,1.0,87.69394
211,0.7069156,1.0,87.69394
212,0.75807065,1.0,87.69394
213,0.80154943,1.0,87.69394
214,0.8381135,1.0,87.69394
215,0.86857563,1.0,87.69394
216,0.89374715,1.0,87.69394
217,0.914401,1.0,87.69394
218,0.9312465,1.0,87.69394
219,0.9429236,1.0,87.69394
220,0.9379395,1.0,87.69394
221,0.9418662,1.0,87.69394
222,0.9402805,1.0,87.69394
223,0.940528,1.0,87.69394
224,0.9407724,1.0,87.69394
225,0.9408842,1.0,87.69394
226,0.9408793,-0.9999979,87.69394
227,0.93943894,-0.9999979,87.69394
228,0.93201786,-0.9999979,87.69394
229,0.9198903,-0.9999979,87.69394
230,0.9033384,-0.9999979,87.69394
231,0.88193643,-0.9999979,87.69394
232,0.85494953,-0.9999979,87.69394
233,0.8214811,-0.9999979,87.69394
234,0.7805653,-0.9999979,87.69394
235,0.7312563,-0.9999979,87.69394
236,0.6727402,-0.9999979,87.69394
237,0.6044674,-0.9999979,87.69394
238,0.5262914,-0.9999979,87.69394
239,0.438596,-0.9999979,87.69394
240,0.3423746,-0.9999979,87.69394
241,0.23922837,-0.9999979,87.69394
242,0.13127719,-0.9999979,87.69394
243,0.02098544,-0.9999979,87.69394
244,-0.07783719,-0.9999979,87.69394
245,-0.18203643,-0.9999979,87.69394
246,-0.28768256,-0.9999979,87.69394
247,-0.38717356,-0.9999979,87.69394
248,-0.4778579,-0.9999979,87.69394
249,-0.5589442,-0.9999979,87.69394
250,-0.63040096,-0.9999979,87.69394
251,-0.6925711,-0.9999979,87.69394
252,-0.7460245,-0.9999979,87.69394
253,-0.7914793,-0.9999979,87.69394
254,-0.8297424,-0.9999979,87.69394
255,-0.8616579,-0.9999979,87.69394
256,-0.888063,-0.9999979,87.69394
257,-0.9097547,-0.9999979,87.69394
258,-0.9274662,-0.9999979,87.69394
259,-0.94185334,-0.9999979,87.69394
260,-0.9380852,-0.9999979,87.69394
261,-0.9407109,-0.9999979,87.69394
262,-0.94005555,-0.9999979,87.69394
263,-0.94087535,-0.9999979,87.69394
264,-0.94108635,-0.9999979,87.69394
265,-0.9409676,-0.9999979,87.69394
266,-0.94079864,1.0,87.69394
267,-0.93714905,1.0,87.69394
268,-0.9277825,1.0,87.69394
269,-0.913951,1.0,87.69394
270,-0.8955819,1.0,87.69394
271,-0.87210476,1.0,87.69394
272,-0.842711,1.0,87.69394
273,-0.8064685,1.0,87.69394
274,-0.76240903,1.0,87.69394
275,-0.7096254,1.0,87.69394
276,-0.64739,1.0,87.69394
277,-0.5752932,1.0,87.69394
278,-0.4933804,1.0,87.69394
279,-0.40226397,1.0,87.69394
280,-0.3031733,1.0,87.69394
281,-0.19792278,1.0,87.69394
282,-0.08878631,1.0,87.69394
283,0.021699272,1.0,87.69394
284,0.13096605,1.0,87.69394
285,0.23663391,1.0,87.69394
286,0.33668208,1.0,87.69394
287,0.42955402,1.0,87.69394
288,0.5141958,1.0,87.69394
289,0.5900396,1.0,87.69394
290,0.6569481,1.0,87.69394
291,0.71513796,1.0,87.69394
292,0.7650932,1.0,87.69394
293,0.80748117,1.0,87.69394
294,0.8430746,1.0,87.69394
295,0.8726893,1.0,87.69394
296,0.89713275,1.0,87.69394
297,0.91716975,1.0,87.69394
298,0.93349874,1.0,87.69394
299,0.9419925,1.0,87.69394
300,0.9383719,1.0,87.69394
301,0.9414623,1.0,87.69394
302,0.94123346,1.0,87.69394
303,0.9410484,1.0,87.69394
304,0.94086266,1.0,87.69394
305,0.9409262,-0.9999979,87.69394
306,0.9380059,-0.9999979,87.69394
307,0.92923427,-0.9999979,87.69394
308,0.9159506,-0.9999979,87.69394
309,0.89817595,-0.9999979,87.69394
310,0.8753803,-0.9999979,87.69394
311,0.84677595,-0.9999979,87.69394
312,0.81144047,-0.9999979,87.69394
313,0.76840395,-0.9999979,87.69394
314,0.7167448,-0.9999979,87.69394
315,0.65570515,-0.9999979,87.69394
316,0.5848277,-0.9999979,87.69394
317,0.5040945,-0.9999979,87.69394
318,0.41404453,-0.9999979,87.69394
319,0.3158319,-0.9999979,87.69394
320,0.2112047,-0.9999979,87.69394
321,0.102392554,-0.9999979,87.69394
322,-0.008087094,-0.9999979,87.69394
323,-0.11765572,-0.9999979,87.69394
324,-0.22389913,-0.9999979,87.69394
325,-0.3247436,-0.9999979,87.69394
326,-0.4185728,-0.9999979,87.69394
327,-0.5042699,-0.9999979,87.69394
328,-0.58121055,-0.9999979,87.69394
329,-0.64920896,-0.9999979,87.69394
330,-0.7084435,-0.9999979,87.69394
331,-0.75937116,-0.9999979,87.69394
332,-0.8026416,-0.9999979,87.69394
333,-0.83901936,-0.9999979,87.69394
334,-0.8693185,-0.9999979,87.69394
335,-0.8943506,-0.9999979,87.69394
336,-0.9148868,-0.9999979,87.69394
337,-0.93163496,-0.9999979,87.69394
338,-0.9427605,-0.9999979,87.69394
339,-0.93815506,-0.9999979,87.69394
340,-0.94180536,-0.9999979,87.69394
341,-0.9406428,-0.9999979,87.69394
342,-0.94083774,-0.9999979,87.69394
343,-0.9409808,-0.9999979,87.69394
344,-0.9409316,1.0,87.69394
345,-0.9379013,1.0,87.69394
346,-0.9290655,1.0,87.69394
347,-0.91572434,1.0,87.69394
348,-0.89788884,1.0,87.69394
349,-0.8750251,1.0,87.69394
350,-0.84634376,1.0,87.69394
351,-0.81092227,1.0,87.69394
352,-0.76779187,1.0,87.69394
353,-0.71603274,1.0,87.69394
354,-0.65489084,1.0,87.69394
355,-0.5839137,1.0,87.69394
356,-0.5030889,1.0,87.69394
357,-0.41296053,1.0,87.69394
358,-0.3146887,1.0,87.69394
359,-0.21002625,1.0,87.69394
360,-0.10120413,1.0,87.69394
361,0.009259653,1.0,87.69394
362,0.118788846,1.0,87.69394
363,0.22497243,1.0,87.69394
364,0.32574248,1.0,87.69394
365,0.41948664,1.0,87.69394
366,0.5050942,1.0,87.69394
367,0.58194435,1.0,87.69394
368,0.6498551,1.0,87.69394
369,0.70900726,1.0,87.69394
370,0.75985944,1.0,87.69394
371,0.80306214,1.0,87.69394
372,0.83938015,1.0,87.69394
373,0.86962724,1.0,87.69394
374,0.8946139,1.0,87.69394
375,0.91511095,1.0,87.69394
376,0.9318253,1.0,87.69394
377,0.9427101,1.0,87.69394
378,0.9385322,1.0,87.69394
379,0.9415872,1.0,87.69394
380,0.9409237,1.0,87.69394
381,0.9409765,1.0,87.69394
382,0.9410243,1.0,87.69394
383,0.9408944,-0.9999979,87.69394
384,0.937374,-0.9999979,87.69394
385,0.9281436,-0.9999979,87.69394
386,0.91444325,-0.9999979,87.69394
387,0.8962179,-0.9999979,87.69394
388,0.8729046,-0.9999979,87.69394
389,0.84369904,-0.9999979,87.69394
390,0.80767083,-0.9999979,87.69394
391,0.7638501,-0.9999979,87.69394
392,0.7113255,-0.9999979,87.69394
393,0.64936215,-0.9999979,87.69394
394,0.5775388,-0.9999979,87.69394
395,0.49588618,-0.9999979,87.69394
396,0.40499938,-0.9999979,87.69394
397,0.30609247,-0.9999979,87.69394
398,0.20096548,-0.9999979,87.69394
399,0.091883875,-0.9999979,87.69394
400,-0.018618608,-0.9999979,87.69394
401,-0.12797037,-0.9999979,87.69394
402,-0.23378147,-0.9999979,87.69394
403,-0.33401984,-0.9999979,87.69394
404,-0.42711377,-0.9999979,87.69394
405,-0.51199573,-0.9999979,87.69394
406,-0.5880852,-0.9999979,87.69394
407,-0.65523446,-0.9999979,87.69394
408,-0.71365255,-0.9999979,87.69394
409,-0.76381814,-0.9999979,87.69394
410,-0.8063958,-0.9999979,87.69394
411,-0.84215736,-0.9999979,87.69394
412,-0.87191856,-0.9999979,87.69394
413,-0.8964887,-0.9999979,87.69394
414,-0.9166339,-0.9999979,87.69394
415,-0.9330548,-0.9999979,87.69394
416,-0.94221395,-0.9999979,87.69394
417,-0.9387231,-0.9999979,87.69394
418,-0.9412609,-0.9999979,87.69394
419,-0.941142,-0.9999979,87.69394
420,-0.94096935,-0.9999979,87.69394
421,-0.94094163,-0.9999979,87.69394
422,-0.9407977,1.0,87.69394
423,-0.93726134,1.0,87.69394
424,-0.9279754,1.0,87.69394
425,-0.9142216,1.0,87.69394
426,-0.8959376,1.0,87.69394
427,-0.87255806,1.0,87.69394
428,-0.84327716,1.0,87.69394
429,-0.8071641,1.0,87.69394
430,-0.7632502,1.0,87.69394
431,-0.7106266,1.0,87.69394
432,-0.6485615,1.0,87.69394
433,-0.57663834,1.0,87.69394
434,-0.49489382,1.0,87.69394
435,-0.40392917,1.0,87.69394
436,-0.30496353,1.0,87.69394
437,-0.1998019,1.0,87.69394
438,-0.09071183,1.0,87.69394
439,0.019773036,1.0,87.69394
440,0.12908301,1.0,87.69394
441,0.23483309,1.0,87.69394
442,0.33499518,1.0,87.69394
443,0.42800403,1.0,87.69394
444,0.51279694,1.0,87.69394
445,0.5887975,1.0,87.69394
446,0.655862,1.0,87.69394
447,0.7142012,1.0,87.69394
448,0.76429534,1.0,87.69394
449,0.806809,1.0,87.69394
450,0.84251434,1.0,87.69394
451,0.8722263,1.0,87.69394
452,0.8967534,1.0,87.69394
453,0.91686094,1.0,87.69394
454,0.9332489,1.0,87.69394
455,0.94211644,1.0,87.69394
456,0.9385608,1.0,87.69394
457,0.9413555,1.0,87.69394
458,0.94125295,1.0,87.69394
459,0.94100213,1.0,87.69394
460,0.94103116,1.0,87.69394
461,0.94088966,-0.9999979,87.69394
462,0.9373987,-0.9999979,87.69394
463,0.9281867,-0.9999979,87.69394
464,0.9145028,-0.9999979,87.69394
465,0.89629525,-0.9999979,87.69394
466,0.8730028,-0.9999979,87.69394
467,0.84382164,-0.9999979,87.69394
468,0.80782175,-0.9999979,87.69394
469,0.7640335,-0.9999979,87.69394
470,0.7115453,-0.9999979,87.69394
471,0.649621,-0.9999979,87.69394
472,0.5778378,-0.9999979,87.69394
473,0.4962248,-0.9999979,87.69394
474,0.40537453,-0.9999979,87.69394
475,0.30649787,-0.9999979,87.69394
476,0.201393,-0.9999979,87.69394
477,0.092323214,-0.9999979,87.69394
478,-0.018177815,-0.9999979,87.69394
479,-0.12753828,-0.9999979,87.69394
480,-0.23336782,-0.9999979,87.69394
481,-0.33363137,-0.9999979,87.69394
482,-0.42675677,-0.9999979,87.69394
483,-0.5116733,-0.9999979,87.69394
484,-0.58779854,-0.9999979,87.69394
485,-0.6549835,-0.9999979,87.69394
486,-0.7134358,-0.9999979,87.69394
487,-0.76363313,-0.9999979,87.69394
488,-0.8062395,-0.9999979,87.69394
489,-0.8420265,-0.9999979,87.69394
490,-0.8718098,-0.9999979,87.69394
491,-0.89639896,-0.9999979,87.69394
492,-0.91656023,-0.9999979,87.69394
493,-0.9329946,-0.9999979,87.69394
494,-0.9422437,-0.9999979,87.69394
495,-0.938768,-0.9999979,87.69394
496,-0.9411872,-0.9999979,87.69394
497,-0.9412791,-0.9999979,87.69394
498,-0.94102037,-0.9999979,87.69394
499,-0.9409091,-0.9999979,87.69394
500,-0.9409364,1.0,87.69394
501,-0.93894774,1.0,87.69394
502,-0.93098706,1.0,87.69394
503,-0.9184153,1.0,87.69394
504,-0.90140253,1.0,87.69394
505,-0.87947977,1.0,87.69394
506,-0.8518917,1.0,87.69394
507,-0.8177321,1.0,87.69394
508,-0.7760338,1.0,87.69394
509,-0.7258603,1.0,87.69394
510,-0.66641855,1.0,87.69394
511,-0.59719217,1.0,87.69394
512,-0.5180818,1.0,87.69394
513,-0.42952716,1.0,87.69394
514,-0.33257926,1.0,87.69394
515,-0.22889248,1.0,87.69394
516,-0.12062574,1.0,87.69394
517,-0.010262955,1.0,87.69394
518,0.09961311,1.0,87.69394
519,0.20654795,1.0,87.69394
520,0.30840346,1.0,87.69394
521,0.4034826,1.0,87.69394
522,0.4905856,1.0,87.69394
523,0.56900865,1.0,87.69394
524,0.638497,1.0,87.69394
525,0.6991734,1.0,87.69394
526,0.7514528,1.0,87.69394
527,0.79595757,1.0,87.69394
528,0.8334368,1.0,87.69394
529,0.8646994,1.0,87.69394
530,0.89055985,1.0,87.69394
531,0.9117973,1.0,87.69394
532,0.9291316,1.0,87.69394
533,0.9426593,1.0,87.69394
534,0.9381153,1.0,87.69394
535,0.9416086,1.0,87.69394
536,0.9402389,1.0,87.69394
537,0.9407128,1.0,87.69394
538,0.94092304,1.0,87.69394
539,0.94099134,1.0,87.69394
540,0.94085306,-0.9999979,87.69394
541,0.936732,-0.9999979,87.69394
542,0.9270624,-0.9999979,87.69394
543,0.9129525,-0.9999979,87.69394
544,0.8942806,-0.9999979,87.69394
545,0.8704543,-0.9999979,87.69394
546,0.84065354,-0.9999979,87.69394
547,0.8039403,-0.9999979,87.69394
548,0.7593461,-0.9999979,87.69394
549,0.70597047,-0.9999979,87.69394
550,0.6431014,-0.9999979,87.69394
551,0.57035434,-0.9999979,87.69394
552,0.48780817,-0.9999979,87.69394
553,0.39611527,-0.9999979,87.69394
554,0.29654574,-0.9999979,87.69394
555,0.19095111,-0.9999979,87.69394
556,0.08163019,-0.9999979,87.69394
557,-0.028869994,-0.9999979,87.69394
558,-0.13798605,-0.9999979,87.69394
559,-0.24335523,-0.9999979,87.69394
560,-0.34298506,-0.9999979,87.69394
561,-0.4353513,-0.9999979,87.69394
562,-0.5194327,-0.9999979,87.69394
563,-0.594692,-0.9999979,87.69394
564,-0.6610183,-0.9999979,87.69394
565,-0.7186487,-0.9999979,87.69394
566,-0.7680824,-0.9999979,87.69394
567,-0.80999595,-0.9999979,87.69394
568,-0.845168,-0.9999979,87.69394
569,-0.87441516,-0.9999979,87.69394
570,-0.8985435,-0.9999979,87.69394
571,-0.9183141,-0.9999979,87.69394
572,-0.9344212,-0.9999979,87.69394
573,-0.9414296,-0.9999979,87.69394
574,-0.93883306,-0.9999979,87.69394
575,-0.94098616,-0.9999979,87.69394
576,-0.94134974,-0.9999979,87.69394
577,-0.94109374,-0.9999979,87.69394
578,-0.9408768,-0.9999979,87.69394
579,-0.9409123,1.0,87.69394
580,-0.9385698,1.0,87.69394
581,-0.9302717,1.0,87.69394
582,-0.9174057,1.0,87.69394
583,-0.9000791,1.0,87.69394
584,-0.8777976,1.0,87.69394
585,-0.8497927,1.0,87.69394
586,-0.8151517,1.0,87.69394
587,-0.7729066,1.0,87.69394
588,-0.72212666,1.0,87.69394
