,action_0,action_1,action_2,action_3,action_4,action_5,cumulative_reward
0,-0.0006085605,1.0,0.00420363,0.0032180941,1.0,-0.0020428253,1101.7512
1,-0.00040942183,1.0,-0.04615604,0.0018593088,1.0,-0.10731237,1101.7512
2,5.5858785e-05,0.9919163,0.280173,-5.9281687e-05,0.9919163,0.15968175,1101.7512
3,-0.00033703598,1.0,-0.20127438,0.001923174,1.0,0.04946762,1101.7512
4,-0.00023656372,1.0,-0.060622092,0.00088286604,1.0,-0.26364937,1101.7512
5,4.178387e-06,1.0,-0.034576442,4.98942e-05,1.0,0.3283552,1101.7512
6,-0.00021618382,1.0,-0.0027294762,0.0015743783,1.0,-0.3594974,1101.7512
7,-0.00012782801,1.0,-0.14891745,0.0016164439,1.0,0.17668411,1101.7512
8,-6.33787e-05,1.0,-0.044073507,0.00044834556,1.0,-0.1941863,1101.7512
9,-0.00021193638,1.0,0.14664198,0.00063255307,1.0,0.18732229,1101.7512
10,-0.00031531445,1.0,-0.25259584,0.0015732158,1.0,-0.27283078,1101.7512
11,-8.967762e-05,1.0,0.014613675,0.0007804124,1.0,0.093675055,1101.7512
12,2.8196162e-05,1.0,-0.110679604,0.00023508063,1.0,0.1070139,1101.7512
13,-0.00020756686,1.0,0.10820046,0.0013284326,1.0,-0.1119517,1101.7512
14,-0.0001338848,1.0,-0.25977147,0.0018958246,1.0,0.032606598,1101.7512
15,2.4078317e-06,1.0,0.061790574,0.0007391852,1.0,0.20156929,1101.7512
16,-0.00019586255,1.0,0.11372393,-5.878316e-05,1.0,-0.16104881,1101.7512
17,-8.7814755e-05,1.0,-0.17317659,0.0012439825,1.0,0.10932107,1101.7512
18,2.2466817e-05,1.0,0.06806318,0.0009262011,1.0,0.1905592,1101.7512
19,-0.00018648579,1.0,-0.028259566,0.0001796456,1.0,-0.12569553,1101.7512
20,-8.9499365e-05,1.0,0.14158368,0.0012756039,1.0,0.10130416,1101.7512
21,2.682169e-05,1.0,-0.12181395,0.00097263785,1.0,0.20324,1101.7512
22,-0.00018318786,1.0,0.28139925,0.0005130312,1.0,-0.12143981,1101.7512
23,-8.128268e-05,1.0,-0.25247827,0.0010903014,1.0,0.09883577,1101.7512
24,3.1103056e-05,1.0,0.15012173,0.00019843236,1.0,0.2015626,1101.7512
25,-0.00018309406,0.9999976,0.10374822,-0.00012959221,0.9999976,-0.13138248,1101.7512
26,-8.7948945e-05,1.0,-0.14818084,0.0013090008,1.0,0.095506325,1101.7512
27,2.288739e-05,1.0,0.0591715,0.001004287,1.0,0.19402315,1101.7512
28,-0.00018778058,1.0,-0.023496209,0.00013594159,1.0,-0.14446704,1101.7512
29,-9.1276605e-05,1.0,0.1324546,0.0011795255,1.0,0.09151304,1101.7512
30,2.1047921e-05,1.0,-0.15125048,0.0008852226,1.0,0.18430649,1101.7512
31,-0.0001956786,1.0,0.213897,0.0005417221,1.0,-0.14418043,1101.7512
32,-9.8761295e-05,1.0,-0.27340293,0.0013557199,1.0,0.08566277,1101.7512
33,1.9381434e-05,1.0,0.07930781,0.00055975164,1.0,0.1866075,1101.7512
34,-0.00019761121,1.0,-0.12162386,0.00014963018,1.0,-0.14190297,1101.7512
35,-9.281658e-05,1.0,0.07814524,0.0017237327,1.0,0.09179163,1101.7512
36,3.0670886e-05,1.0,-0.23667598,0.0017607379,1.0,0.19318447,1101.7512
37,-0.00019120603,1.0,0.11843572,0.00047595165,1.0,-0.13699958,1101.7512
38,-8.8056295e-05,1.0,0.11258119,0.00045892881,1.0,0.09905634,1101.7512
39,3.505664e-05,1.0,-0.11976222,0.0010392223,1.0,0.1939323,1101.7512
40,-0.00019637863,1.0,0.077080674,0.00028694863,1.0,-0.12691608,1101.7512
41,-9.198111e-05,0.99999976,0.0656106,0.00045150347,0.99999976,0.099406004,1101.7512
42,3.5461053e-05,1.0,-0.17968222,0.0013836356,1.0,0.20329294,1101.7512
43,-0.00019570817,1.0,0.014554297,0.00089049945,1.0,-0.12593023,1101.7512
44,-8.711785e-05,1.0,-0.07747008,0.0002922739,1.0,0.06496194,1101.7512
45,1.6429547e-05,1.0,0.11863658,0.0012872503,1.0,0.1453622,1101.7512
46,-0.00027803396,1.0,-0.23785396,0.0017376331,1.0,-0.19175498,1101.7512
47,-0.00021216774,1.0,0.06887331,0.0005879084,1.0,0.042414352,1101.7512
48,-7.739038e-05,0.99999595,0.110401206,-0.0001528218,0.99999595,-0.0348004,1101.7512
49,-0.00020446227,1.0,-0.18144472,0.001193528,1.0,0.1694611,1101.7512
50,-0.0002414273,1.0,0.061345443,0.0009245717,1.0,-0.1690607,1101.7512
51,-8.187034e-06,1.0,-0.07397609,0.0002029924,1.0,0.11909873,1101.7512
52,-0.00024547183,1.0,0.09504968,0.0013740481,1.0,0.01080719,1101.7512
53,-0.00017141289,1.0,-0.18928899,0.0012419011,1.0,-0.1029156,1101.7512
54,-9.16802e-07,1.0,0.08246424,0.00012991687,1.0,0.042999387,1101.7512
55,-0.0002945207,1.0,0.03421601,0.0010946592,1.0,0.0134161385,1101.7512
56,-0.00026499367,1.0,-0.15510485,0.00141985,1.0,-0.14183019,1101.7512
57,-5.9656104e-05,1.0,0.02687682,0.0005495104,1.0,0.031850815,1101.7512
58,-9.994643e-05,0.99999964,0.14339243,-9.3328934e-05,0.99999964,0.1009922,1101.7512
59,-0.00028576996,1.0,-0.21576755,0.0013812413,1.0,-0.20500027,1101.7512
60,-0.00016201445,1.0,0.025411297,0.0010922848,1.0,0.0289878,1101.7512
61,-3.503677e-05,1.0,-0.10775254,0.00047664015,1.0,-0.09638983,1101.7512
62,-0.00030160494,1.0,0.17788918,0.00066481763,1.0,0.07812442,1101.7512
63,-0.00028684508,1.0,-0.276092,0.0017324423,1.0,-0.22495869,1101.7512
64,-6.1834275e-05,1.0,0.115097076,0.0008787479,1.0,0.058480013,1101.7512
65,-0.00010369116,1.0,-0.06602352,2.7542214e-05,1.0,0.06451988,1101.7512
66,-0.00027302804,1.0,0.15805575,0.0010820704,1.0,-0.14835602,1101.7512
67,-0.00013509551,1.0,-0.21151476,0.00094819826,1.0,0.044330526,1101.7512
68,2.4046472e-05,0.99999624,0.28501603,-4.4321117e-05,0.99999624,0.19319649,1101.7512
69,-0.00017416678,1.0,-0.31293187,0.0014881617,1.0,-0.14710432,1101.7512
70,-8.1765524e-05,1.0,0.09971853,0.000954199,1.0,0.10178513,1101.7512
71,2.614054e-05,1.0,-0.13553973,0.00046589423,1.0,0.11978349,1101.7512
72,-0.00022461262,1.0,0.23649433,0.001278508,1.0,-0.17375863,1101.7512
73,-0.00018293117,1.0,-0.22368966,0.0015368965,1.0,0.027261771,1101.7512
74,-7.9568716e-05,1.0,0.15861268,8.3115956e-05,1.0,-0.06961888,1101.7512
75,-0.00012074189,1.0,0.0306136,0.0012377964,1.0,0.18444186,1101.7512
76,-0.00030674832,1.0,-0.033641264,0.0007026961,1.0,-0.20121154,1101.7512
77,-0.00011466062,1.0,0.19221736,0.00043920364,1.0,0.09860995,1101.7512
78,4.7005844e-05,1.0,-0.22010155,0.0011112824,1.0,0.17232189,1101.7512
79,-0.00014497717,1.0,0.09430209,0.00040524892,1.0,-0.12405178,1101.7512
80,-7.380537e-05,1.0,-0.09227766,1.7214054e-05,1.0,0.08023392,1101.7512
81,2.2774317e-05,1.0,0.1050823,0.0015784466,1.0,0.18887413,1101.7512
82,-0.00020258893,1.0,-0.21090953,0.0015555315,1.0,-0.14650026,1101.7512
83,-0.00010478742,1.0,0.087512605,0.0002653935,1.0,0.08906605,1101.7512
84,1.8468856e-05,1.0,0.029106805,0.0010729854,1.0,0.1690811,1101.7512
