iteration,max_fitness,time,test_accuracy
0,-0.043165088,0.0,-0.17138791
1,0.17725915,15.480027675628662,[0.0990172]
2,0.17099553,15.482314109802246,[0.0990172]
3,0.18124938,16.950289487838745,[0.0990172]
4,0.19375867,15.35742473602295,[0.0990172]
5,0.16263545,14.991420269012451,[0.0990172]
6,0.19027972,16.30087184906006,[0.0990172]
7,0.17773664,15.893903970718384,[0.0990172]
8,0.29864913,16.370411157608032,[0.22239518]
9,0.27231783,15.444476127624512,[0.22239518]
10,0.19348353,15.530983924865723,[0.22239518]
11,0.27993387,15.999225616455078,[0.22239518]
12,0.463508,16.3867506980896,[0.4654143]
13,0.4200861,16.402769804000854,[0.4654143]
14,0.4467855,15.115626335144043,[0.4654143]
15,0.411326,14.87578535079956,[0.4654143]
16,0.39155418,14.781389236450195,[0.4654143]
17,0.43455303,15.179130554199219,[0.4654143]
18,0.46241355,14.805506229400635,[0.4722001]
19,0.40961915,15.788914442062378,[0.4722001]
20,0.41975325,15.292505502700806,[0.4723233]
21,0.43018562,15.279917240142822,[0.46543306]
22,0.46273535,15.800358533859253,[0.5025094]
23,0.46430576,14.211833953857422,[0.5025094]
24,0.45907843,14.883910655975342,[0.4855159]
25,0.49316853,14.98102068901062,[0.4855159]
26,0.46190363,15.664971113204956,[0.50737345]
27,0.485596,14.980939149856567,[0.50876176]
28,0.469418,14.366250991821289,[0.50737345]
29,0.4565459,14.947261333465576,[0.50737345]
30,0.4408471,15.129847049713135,[0.50737345]
31,0.46696138,16.101635932922363,[0.50876176]
32,0.483743,15.214113473892212,[0.50737345]
33,0.44735652,14.3823823928833,[0.50737345]
34,0.49451244,14.670888423919678,[0.50737345]
35,0.5168392,16.059085607528687,[0.50876176]
36,0.49197853,15.267602920532227,[0.5103215]
37,0.5052668,15.411365509033203,[0.50737345]
38,0.5026201,16.030063152313232,[0.50737345]
39,0.47367698,15.784964799880981,[0.5021943]
40,0.49871045,15.650789260864258,[0.51800644]
41,0.4806568,15.909689903259277,[0.5196029]
42,0.51860166,15.240642786026001,[0.5196029]
43,0.46766412,14.55889368057251,[0.5196029]
44,0.45064098,15.214051723480225,[0.51318264]
45,0.4941451,15.34000015258789,[0.5196029]
46,0.43422252,17.410119771957397,[0.51899374]
47,0.4894526,16.604034662246704,[0.5114142]
