iteration,max_fitness,time,test_accuracy
0,-3.9398103,0.0,-4.3731904
1,-3.4944792,3.4082531929016113,[-4.3731904]
2,-3.4063835,3.343958854675293,[-4.3731904]
3,-3.562911,3.4580533504486084,[-4.3731904]
4,-3.3364167,3.3350558280944824,[-4.3731904]
5,-3.8139567,3.312035322189331,[-4.3731904]
6,-3.5099893,3.4106996059417725,[-4.3731904]
7,-3.6618395,3.455691337585449,[-4.3731904]
8,-3.1171484,3.447950839996338,[-4.3731904]
9,0.100954056,3.3998429775238037,[0.13911444]
10,0.15124542,3.2829320430755615,[0.13911444]
11,0.14469588,3.360602378845215,[0.13911444]
12,0.046410143,3.3501698970794678,[0.13911444]
13,0.11168176,3.3983285427093506,[0.13911444]
14,0.16291612,3.347990036010742,[0.13911444]
15,0.16393232,3.3395516872406006,[0.13911444]
16,0.09029919,3.4336318969726562,[0.13911444]
17,0.096072614,3.411588430404663,[0.13911444]
18,0.13469362,3.4233250617980957,[0.13911444]
19,0.12210959,3.334463119506836,[0.13911444]
20,0.31896687,3.458944082260132,[0.37183124]
21,0.29414397,3.4630112648010254,[0.37183124]
22,0.28971124,3.420104503631592,[0.37183124]
23,0.31167173,3.5826456546783447,[0.37183124]
24,0.22425592,3.418823719024658,[0.37183124]
25,0.28982562,3.3162899017333984,[0.37183124]
26,0.3090471,3.2906816005706787,[0.37183124]
27,0.33848494,3.399564027786255,[0.37183124]
28,0.28561074,3.4161429405212402,[0.37183124]
29,0.3301717,3.4003825187683105,[0.37183124]
30,0.27056938,3.429720878601074,[0.37183124]
31,0.30716544,3.356632709503174,[0.37183124]
32,0.34221113,3.385895013809204,[0.37183124]
33,0.2963581,3.391517400741577,[0.37183124]
34,0.3398893,3.4757041931152344,[0.37183124]
35,0.25751305,3.541527509689331,[0.37183124]
36,0.29414552,3.485607624053955,[0.3591414]
37,0.38143486,3.575009822845459,[0.3591414]
38,0.2928893,3.471848487854004,[0.3591414]
39,0.26243204,3.486859083175659,[0.3591414]
40,0.355546,3.3102729320526123,[0.3591414]
41,0.25674415,3.32650089263916,[0.3591414]
42,0.33099824,3.4622206687927246,[0.3591414]
43,0.3113721,3.427785873413086,[0.3591414]
44,0.32514364,3.406616687774658,[0.3591414]
45,0.34988344,3.394745349884033,[0.3591414]
46,0.32750088,7.4754273891448975,[0.3591414]
47,0.29600805,3.486971855163574,[0.3591414]
48,0.29981643,3.469592809677124,[0.3591414]
49,0.2912265,3.5142157077789307,[0.3591414]
50,0.3438226,3.444798231124878,[0.37157726]
51,0.34391254,3.382974147796631,[0.37157726]
52,0.33701986,3.4670815467834473,[0.39352977]
53,0.3413157,3.439884901046753,[0.39352977]
54,0.29180235,3.476040840148926,[0.37157726]
55,0.36681557,3.4694056510925293,[0.39352977]
56,0.38579452,3.2630057334899902,[0.39352977]
57,0.3417617,3.3533711433410645,[0.37157726]
58,0.33068347,3.469862937927246,[0.39352977]
59,0.356399,3.489062547683716,[0.39352977]
60,0.32862365,3.494558334350586,[0.39348614]
61,0.31930232,3.438725709915161,[0.39348614]
62,0.3214816,3.484057664871216,[0.37157726]
63,0.36046696,3.4313912391662598,[0.39348614]
64,0.34532624,3.530273199081421,[0.39348614]
65,0.2811864,3.492271900177002,[0.37157726]
66,0.39515287,3.414536952972412,[0.39348614]
67,0.33634257,3.4596924781799316,[0.39348614]
68,0.348305,3.4823615550994873,[0.39348614]
69,0.34298843,3.4157156944274902,[0.39348614]
70,0.36051607,3.470012664794922,[0.39348614]
71,0.37500852,3.4391541481018066,[0.39348614]
72,0.3440221,3.4014880657196045,[0.39348614]
73,0.32690233,3.413424015045166,[0.3772506]
74,0.35791475,3.4966132640838623,[0.39348614]
75,0.34495735,3.436938524246216,[0.39348614]
76,0.32241613,3.4681451320648193,[0.39348614]
77,0.37305146,3.525721788406372,[0.39348614]
78,0.32266617,3.4424359798431396,[0.3772506]
79,0.3359475,3.4682657718658447,[0.37051868]
80,0.34850854,3.372081995010376,[0.37051868]
81,0.35947746,3.424633264541626,[0.37051868]
82,0.36625987,3.463822841644287,[0.39348614]
83,0.38639402,3.4352924823760986,[0.39348614]
84,0.36723506,3.436699867248535,[0.39348614]
85,0.3311296,3.4666101932525635,[0.37051868]
86,0.35320032,3.4200074672698975,[0.37051868]
87,0.36260647,3.3355984687805176,[0.39348614]
88,0.3571685,3.3792335987091064,[0.37051868]
89,0.3717913,3.2969048023223877,[0.38613266]
90,0.3521744,3.359203815460205,[0.38613266]
91,0.36006153,3.3254778385162354,[0.38613266]
92,0.36041516,3.4036543369293213,[0.38613266]
93,0.33303922,3.326707363128662,[0.38613266]
94,0.34578526,3.396801233291626,[0.38613266]
95,0.3753149,3.4400668144226074,[0.38613266]
96,0.34257126,3.37858510017395,[0.38613266]
97,0.36525452,3.3575799465179443,[0.38613266]
98,0.3567062,3.383528470993042,[0.38613266]
99,0.36693668,3.4296157360076904,[0.38613266]
100,0.35092425,3.380009651184082,[0.38613266]
101,0.36661464,3.3775041103363037,[0.38613266]
102,0.3839484,3.257223129272461,[0.39348614]
103,0.3731194,3.3565728664398193,[0.38613266]
104,0.34410506,3.4326655864715576,[0.38613266]
105,0.3691663,3.425079345703125,[0.38613266]
106,0.3760723,3.406078338623047,[0.38680845]
107,0.34805578,3.2452471256256104,[0.38680845]
108,0.3354202,3.2915945053100586,[0.38680845]
109,0.37243497,7.424032926559448,[0.38680845]
110,0.3499846,3.4528143405914307,[0.38680845]
111,0.34944248,3.415119171142578,[0.38680845]
112,0.34294534,3.4383797645568848,[0.38680845]
113,0.35775334,3.4051036834716797,[0.38680845]
114,0.3584007,3.3815245628356934,[0.38680845]
115,0.35050696,3.3610806465148926,[0.38680845]
116,0.3704992,3.4056804180145264,[0.38680845]
117,0.33260894,3.395785093307495,[0.38680845]
118,0.36331958,3.2811760902404785,[0.38680845]
119,0.34090889,3.2118473052978516,[0.38589656]
120,0.3472749,3.286231517791748,[0.38680845]
121,0.35277385,3.414682626724243,[0.38680845]
122,0.3603081,3.437001943588257,[0.38680845]
123,0.34152877,3.33282470703125,[0.38680845]
124,0.36992812,3.4048759937286377,[0.38680845]
125,0.36833793,3.4367265701293945,[0.38680845]
126,0.36751693,3.3520548343658447,[0.38680845]
127,0.35512918,3.3487308025360107,[0.38680845]
128,0.367015,3.3855950832366943,[0.36361766]
129,0.37041467,3.450434923171997,[0.36361766]
130,0.41407973,3.4345312118530273,[0.4159819]
131,0.37325042,3.493299961090088,[0.36361766]
132,0.44504172,3.518397331237793,[0.48084682]
133,0.4498058,3.4553709030151367,[0.48084682]
134,0.4516173,3.468362808227539,[0.48084682]
135,0.45726424,3.4431846141815186,[0.48084682]
136,0.43780845,3.4015607833862305,[0.48084682]
137,0.42478192,3.495250940322876,[0.48084682]
138,0.4566909,3.443331480026245,[0.48084682]
139,0.43700248,3.405280828475952,[0.48084682]
140,0.4398349,3.249725580215454,[0.48084682]
141,0.44345897,3.441753387451172,[0.48084682]
142,0.42732143,3.5384883880615234,[0.48084682]
143,0.4437884,3.445931911468506,[0.48084682]
144,0.48684096,3.4153172969818115,[0.48084682]
145,0.41413498,3.500343084335327,[0.48084682]
146,0.46481788,3.516282081604004,[0.48084682]
147,0.4489109,3.4392991065979004,[0.48084682]
148,0.46423525,3.3857812881469727,[0.48084682]
149,0.4292767,3.4719324111938477,[0.48084682]
150,0.43285882,3.4173920154571533,[0.48084682]
151,0.4173028,3.416701316833496,[0.48084682]
152,0.4494561,3.286287784576416,[0.48084682]
153,0.44272357,3.4509847164154053,[0.48084682]
154,0.444569,3.403069019317627,[0.48084682]
155,0.44012076,3.3009421825408936,[0.48084682]
156,0.4686439,3.289475202560425,[0.48084682]
157,0.45090836,3.3972814083099365,[0.48084682]
158,0.45181537,3.515450954437256,[0.48084682]
159,0.45047438,3.402066946029663,[0.48084682]
160,0.46949166,3.4057581424713135,[0.48084682]
161,0.45636493,3.4098143577575684,[0.48084682]
162,0.46734762,3.4768214225769043,[0.48084682]
163,0.4681762,3.3520188331604004,[0.48084682]
164,0.4508217,3.463289737701416,[0.48084682]
165,0.43246365,3.4109432697296143,[0.48084682]
166,0.4196298,3.300506591796875,[0.48084682]
167,0.45343077,3.3940703868865967,[0.48084682]
168,0.46551257,3.391855239868164,[0.48084682]
169,0.4425429,3.4204418659210205,[0.48084682]
170,0.4503762,3.244638204574585,[0.48084682]
171,0.47022772,7.552215576171875,[0.48084682]
172,0.4275905,3.4751951694488525,[0.48084682]
173,0.44354302,3.46899676322937,[0.48084682]
174,0.42843765,3.423677444458008,[0.48084682]
175,0.47984916,3.3871309757232666,[0.48084682]
176,0.4168781,3.419851303100586,[0.48084682]
177,0.44351608,3.4537835121154785,[0.48084682]
178,0.4511544,3.414915084838867,[0.48084682]
179,0.42539263,3.491780996322632,[0.48084682]
180,0.44164532,3.5534164905548096,[0.48084682]
181,0.45603955,3.509864568710327,[0.48084682]
182,0.42964482,3.5909926891326904,[0.48084682]
183,0.4563967,3.401555061340332,[0.48084682]
184,0.43308616,3.3223493099212646,[0.48084682]
185,0.47298068,3.4618520736694336,[0.48084682]
186,0.46614885,3.5488061904907227,[0.48084682]
187,0.4324047,3.6241567134857178,[0.48084682]
188,0.4626581,3.576986074447632,[0.48084682]
189,0.45352662,3.610074281692505,[0.48084682]
190,0.4136364,3.544142723083496,[0.48084682]
191,0.45807314,3.507101535797119,[0.48084682]
192,0.4612519,3.633077621459961,[0.48084682]
193,0.45731896,3.497544527053833,[0.48084682]
194,0.42148286,3.4621596336364746,[0.48084682]
195,0.47331727,3.533430814743042,[0.43725455]
196,0.4585113,3.508422374725342,[0.48084682]
197,0.44760138,3.523895502090454,[0.48084682]
198,0.44461292,3.5147995948791504,[0.48084682]
199,0.4365586,3.4573025703430176,[0.48084682]
200,0.42260647,3.3998239040374756,[0.48084682]
201,0.44797045,3.437452554702759,[0.48084682]
202,0.47799492,3.4373819828033447,[0.43725455]
203,0.46618682,3.4091551303863525,[0.43725455]
204,0.43342823,3.4351806640625,[0.48084682]
205,0.44225997,3.40295147895813,[0.48084682]
206,0.45591927,3.437593698501587,[0.48084682]
207,0.4582585,3.4647512435913086,[0.48084682]
208,0.41798568,3.531614303588867,[0.48084682]
209,0.42864573,3.514061450958252,[0.48084682]
210,0.432369,3.3487439155578613,[0.48084682]
211,0.45379025,3.37252140045166,[0.48084682]
212,0.45216948,3.495814085006714,[0.48084682]
213,0.4161592,3.5201914310455322,[0.48084682]
214,0.47173893,3.568971633911133,[0.48084682]
215,0.44597554,3.6285400390625,[0.48084682]
216,0.46930748,3.34651517868042,[0.48084682]
217,0.44395268,3.3156676292419434,[0.48084682]
218,0.456339,3.4260454177856445,[0.48084682]
219,0.42760754,3.4044060707092285,[0.48084682]
220,0.45684505,3.5965445041656494,[0.4903381]
221,0.43575627,3.633601427078247,[0.48084682]
222,0.46850973,3.6520421504974365,[0.4903381]
223,0.45262772,3.6016745567321777,[0.4903381]
224,0.4363135,3.5681838989257812,[0.4903381]
225,0.47160542,3.591538190841675,[0.4903381]
226,0.46383345,3.629063367843628,[0.48084682]
227,0.42798162,3.6296372413635254,[0.48084682]
228,0.4268486,3.586747646331787,[0.48084682]
229,0.4380132,3.4674415588378906,[0.4903381]
230,0.43068808,3.4190726280212402,[0.48084682]
231,0.4376365,3.559901714324951,[0.48084682]
232,0.47200978,3.504976749420166,[0.4903381]
233,0.43483067,3.341306686401367,[0.4903381]
234,0.4514317,3.470237970352173,[0.48084682]
235,0.4429947,7.581375598907471,[0.4903381]
236,0.4381358,3.4302217960357666,[0.4903381]
237,0.41766995,3.481905221939087,[0.48084682]
238,0.46359235,3.4561479091644287,[0.4903381]
239,0.45731497,3.5203428268432617,[0.4903381]
240,0.46016306,3.5928547382354736,[0.4903381]
241,0.43364674,3.430805206298828,[0.48084682]
242,0.44201595,3.4873013496398926,[0.4903381]
243,0.40972328,3.4649605751037598,[0.48084682]
244,0.46453655,3.535553216934204,[0.4903381]
245,0.4567067,3.4638588428497314,[0.48084682]
246,0.41754842,3.5856666564941406,[0.48084682]
247,0.4335456,3.5170726776123047,[0.48084682]
248,0.422207,3.4056766033172607,[0.4903381]
249,0.46517497,3.432229995727539,[0.48084682]
250,0.45616567,3.5856969356536865,[0.4903381]
251,0.45068574,3.516822338104248,[0.4903381]
252,0.4788192,3.5648553371429443,[0.43725455]
253,0.47544003,3.5524742603302,[0.4903381]
254,0.43841654,3.445840835571289,[0.48084682]
255,0.46138763,3.5020904541015625,[0.48084682]
256,0.46496147,3.4031999111175537,[0.43725455]
257,0.4392202,3.399188995361328,[0.48084682]
258,0.43009406,3.516847610473633,[0.48084682]
259,0.4390055,3.427316427230835,[0.48084682]
260,0.43467557,3.4435739517211914,[0.48084682]
261,0.46135682,3.3968312740325928,[0.4903381]
262,0.43112582,3.4588265419006348,[0.48084682]
263,0.4502439,3.4524810314178467,[0.4903381]
264,0.45261157,3.4861485958099365,[0.4903381]
265,0.4774922,3.4641528129577637,[0.48084682]
266,0.47001576,3.41355299949646,[0.4903381]
267,0.42872638,3.4081456661224365,[0.48084682]
268,0.46236306,3.4948840141296387,[0.4903381]
269,0.49487096,3.4492785930633545,[0.4903381]
270,0.44813782,3.4644789695739746,[0.4903381]
271,0.44125003,3.516050100326538,[0.4903381]
272,0.44106203,3.450873851776123,[0.4903381]
273,0.44870996,3.3632586002349854,[0.4903381]
274,0.4180513,3.3988733291625977,[0.4903381]
275,0.41581482,3.486327648162842,[0.4903381]
276,0.45862556,3.5090250968933105,[0.4903381]
277,0.4737594,3.596740484237671,[0.49780458]
278,0.4420594,3.523878574371338,[0.48084682]
279,0.44065368,3.3305490016937256,[0.4903381]
280,0.46041626,3.4740684032440186,[0.4903381]
281,0.43815887,3.392421245574951,[0.48084682]
282,0.46762282,3.3614156246185303,[0.49780458]
283,0.42313898,3.4573116302490234,[0.4903381]
284,0.4573657,3.4379281997680664,[0.49780458]
285,0.43507147,3.391725778579712,[0.48084682]
286,0.42943943,3.3728108406066895,[0.48084682]
287,0.43854266,3.473949670791626,[0.48084682]
288,0.45260948,3.459336519241333,[0.48084682]
289,0.41533494,3.4416823387145996,[0.48084682]
290,0.4745651,3.4809579849243164,[0.4903381]
291,0.4625836,3.48136305809021,[0.48084682]
292,0.48606253,3.5280117988586426,[0.49780458]
293,0.44716316,3.4770469665527344,[0.48084682]
294,0.47895348,3.351687431335449,[0.48084682]
295,0.4504581,3.442375898361206,[0.48084682]
296,0.46028042,3.3466241359710693,[0.48084682]
297,0.4580428,7.546630620956421,[0.4903381]
298,0.41681725,3.6236956119537354,[0.4903381]
299,0.45251995,3.5886824131011963,[0.4903381]
300,0.39436507,3.5724740028381348,[0.4903381]
301,0.43888283,3.5075466632843018,[0.48084682]
302,0.48477232,3.505153179168701,[0.49780458]
303,0.4427995,3.4943108558654785,[0.48084682]
304,0.41591996,3.5329136848449707,[0.48084682]
305,0.42069316,3.4668262004852295,[0.48084682]
306,0.4625985,3.5238730907440186,[0.48084682]
307,0.42483532,3.4715449810028076,[0.48084682]
308,0.4474945,3.508845567703247,[0.48084682]
309,0.45147806,3.5190329551696777,[0.48084682]
310,0.4415496,3.4523322582244873,[0.48084682]
311,0.4450872,3.409893035888672,[0.48084682]
312,0.4281327,3.251084804534912,[0.4903381]
313,0.44567227,3.370466470718384,[0.48084682]
314,0.47239304,3.437657356262207,[0.48084682]
315,0.45757902,3.391652822494507,[0.48084682]
316,0.44309098,3.4817163944244385,[0.48084682]
317,0.44524205,3.4686427116394043,[0.48084682]
318,0.44231266,3.540929079055786,[0.48084682]
319,0.4483261,3.4355742931365967,[0.48084682]
320,0.44871664,3.467306137084961,[0.4903381]
321,0.4506021,3.465550422668457,[0.48084682]
322,0.4664839,3.4015378952026367,[0.4903381]
323,0.44224834,3.4503369331359863,[0.4903381]
324,0.43745077,3.3943419456481934,[0.48084682]
325,0.4340223,3.375098705291748,[0.48084682]
326,0.451895,3.4056060314178467,[0.4903381]
327,0.45496827,3.4931716918945312,[0.4903381]
328,0.46546072,3.4469473361968994,[0.4903381]
329,0.44773108,3.429906129837036,[0.48084682]
330,0.45496762,3.4745311737060547,[0.48084682]
331,0.455993,3.3972840309143066,[0.48084682]
332,0.44669735,3.4104883670806885,[0.48084682]
333,0.45124078,3.353472948074341,[0.48084682]
334,0.47370863,3.445918083190918,[0.4903381]
335,0.4238047,3.4271738529205322,[0.4903381]
336,0.454037,3.3906619548797607,[0.48084682]
337,0.43681312,3.3376197814941406,[0.48084682]
338,0.4471525,3.3351311683654785,[0.48084682]
339,0.4586187,3.5405073165893555,[0.48084682]
340,0.4064722,3.406263589859009,[0.4903381]
341,0.48439032,3.2857282161712646,[0.4903381]
342,0.46125346,3.430774688720703,[0.4903381]
343,0.43586588,3.4709951877593994,[0.48084682]
344,0.4484973,3.5419509410858154,[0.48084682]
345,0.41983378,3.297895908355713,[0.48084682]
346,0.45080495,3.377831220626831,[0.4903381]
347,0.4671179,3.4184536933898926,[0.4903381]
348,0.4615302,3.3562653064727783,[0.4903381]
349,0.44993335,3.5199131965637207,[0.4903381]
350,0.4535942,3.459357261657715,[0.48084682]
351,0.44725496,3.4454915523529053,[0.48084682]
352,0.46687055,3.445446014404297,[0.48084682]
353,0.4582594,3.4320855140686035,[0.4903381]
354,0.46806085,3.4278860092163086,[0.4903381]
355,0.43761545,3.3727941513061523,[0.48084682]
356,0.42533237,3.4296412467956543,[0.48084682]
357,0.4157284,3.4003524780273438,[0.48084682]
358,0.46037096,7.335087537765503,[0.48084682]
359,0.44496584,3.369896650314331,[0.4903381]
360,0.44918042,3.500311851501465,[0.4903381]
361,0.4613099,3.52331805229187,[0.48084682]
362,0.42859435,3.414614200592041,[0.48084682]
363,0.4422415,3.351696252822876,[0.48084682]
364,0.41676205,3.3798253536224365,[0.48084682]
365,0.47720522,3.3969709873199463,[0.48084682]
366,0.44112116,3.4549272060394287,[0.4903381]
367,0.45469153,3.502047538757324,[0.4903381]
368,0.46928537,3.533693313598633,[0.4903381]
369,0.44996727,3.529879093170166,[0.48084682]
370,0.44539344,3.4572536945343018,[0.48084682]
371,0.44392902,3.4388933181762695,[0.48084682]
372,0.45262194,3.43522572517395,[0.48084682]
373,0.46117228,3.463803768157959,[0.4903381]
374,0.46192068,3.313837766647339,[0.48084682]
375,0.42574018,3.2577524185180664,[0.48084682]
376,0.47479588,3.4164814949035645,[0.4903381]
377,0.44540554,3.437556743621826,[0.48084682]
378,0.41625094,3.4128518104553223,[0.48084682]
379,0.44121087,3.4928267002105713,[0.48084682]
380,0.42524624,3.4435505867004395,[0.48084682]
381,0.45851654,3.491222381591797,[0.48084682]
382,0.47395527,3.522960901260376,[0.48084682]
383,0.46202207,3.5071804523468018,[0.4903381]
384,0.46139383,3.4622819423675537,[0.48084682]
385,0.43230605,3.4156291484832764,[0.4903381]
386,0.456667,3.525789260864258,[0.4903381]
387,0.45812243,3.375377893447876,[0.48084682]
388,0.4425825,3.3368544578552246,[0.48084682]
389,0.45558643,3.421128273010254,[0.4903381]
390,0.44411397,3.4773478507995605,[0.48084682]
391,0.4596308,3.5585436820983887,[0.4903381]
392,0.4379344,3.437227725982666,[0.48084682]
393,0.45749384,3.3853085041046143,[0.48084682]
394,0.47340995,3.4908392429351807,[0.48084682]
395,0.45736158,3.554028034210205,[0.4903381]
396,0.4672271,3.5156400203704834,[0.48084682]
