iteration,max_fitness,time,test_accuracy
0,-0.096708775,0.0,-0.26265574
1,-0.010790706,26.423539876937866,[-0.0324688]
2,0.09502089,21.635443449020386,[0.06972194]
3,0.09502089,24.330397129058838,[0.06972194]
4,0.09502089,26.71682095527649,[0.06972194]
5,0.09502089,22.943674564361572,[0.06972194]
6,0.09502089,24.698126792907715,[0.06972194]
7,0.09502089,25.00594735145569,[0.06972194]
8,0.09502089,23.6869695186615,[0.06972194]
9,0.15321529,24.020082712173462,[0.13441294]
10,0.16310763,23.95038652420044,[0.15794182]
11,0.16310763,25.889617443084717,[0.15794182]
12,0.16431725,25.91328477859497,[0.15436989]
13,0.16697615,28.343533515930176,[0.16785961]
14,0.16841221,25.91142988204956,[0.16716069]
15,0.16934758,27.477795600891113,[0.16721016]
16,0.16934758,26.102821111679077,[0.16721016]
17,0.16934758,25.99223566055298,[0.16721016]
18,0.16934758,26.01392412185669,[0.16721016]
19,0.17020833,26.056053161621094,[0.1623022]
20,0.17020833,25.97365093231201,[0.1623022]
21,0.1707483,28.275283098220825,[0.16820669]
22,0.1707483,28.012020111083984,[0.16820669]
23,0.1707483,26.05740213394165,[0.16820669]
24,0.1707483,27.472270965576172,[0.16820669]
25,0.1708799,26.09208583831787,[0.16346544]
26,0.1708799,28.225879430770874,[0.16346544]
27,0.1708799,25.763869524002075,[0.16346544]
28,0.17130482,29.414240837097168,[0.16646874]
29,0.17153108,23.942914247512817,[0.16636854]
30,0.17153108,28.689324855804443,[0.16636854]
31,0.17153108,26.120849609375,[0.16636854]
32,0.17153108,24.475178718566895,[0.16636854]
33,0.17153108,27.72990655899048,[0.16636854]
34,0.17153108,26.45829725265503,[0.16636854]
35,0.17153108,28.852243661880493,[0.16636854]
36,0.17153108,27.9952871799469,[0.16636854]
37,0.17153108,27.8327956199646,[0.16636854]
38,0.17153108,28.207079887390137,[0.16636854]
39,0.17153108,28.29222846031189,[0.16636854]
40,0.17153108,25.993233680725098,[0.16636854]
41,0.17153108,25.57382845878601,[0.16636854]
42,0.17153108,26.15908646583557,[0.16636854]
43,0.17153108,25.82674479484558,[0.16636854]
44,0.17153108,27.926764011383057,[0.16636854]
45,0.17158508,28.403866291046143,[0.1654033]
46,0.17158508,28.253726720809937,[0.1654033]
47,0.17158508,28.073447942733765,[0.1654033]
48,0.17158508,28.42748188972473,[0.1654033]
49,0.17158508,27.80322551727295,[0.1654033]
50,0.17158508,26.19141936302185,[0.1654033]
51,0.17158508,25.444854736328125,[0.1654033]
52,0.17158508,23.709460496902466,[0.1654033]
53,0.17158508,26.317052841186523,[0.1654033]
54,0.17159253,23.963032245635986,[0.16441947]
55,0.17163247,27.48046851158142,[0.16537416]
56,0.17163247,23.249058723449707,[0.16537416]
57,0.17163247,25.20558524131775,[0.16537416]
58,0.17163247,25.54710340499878,[0.16537416]
59,0.1716556,24.229973793029785,[0.16530031]
