iteration,max_fitness,time,test_accuracy
0,-0.28949916,0.0,-0.61817443
1,-0.28949916,1.4844419956207275,[-0.61817443]
2,-0.28949916,1.4756848812103271,[-0.61817443]
3,-0.281371,1.4735658168792725,[-0.60515463]
4,-0.23743439,1.4764854907989502,[-0.5525602]
5,-0.15522134,1.4703624248504639,[-0.45384526]
6,-0.11924958,1.4682278633117676,[-0.41100883]
7,0.0856781,1.4804565906524658,[-0.15962958]
8,0.22520053,1.4776437282562256,[0.00991899]
9,0.56879807,1.4711592197418213,[0.44635355]
10,0.8782035,1.4813337326049805,[0.91589284]
11,0.8817126,1.473254680633545,[0.93568313]
12,0.8817157,1.4666213989257812,[0.93615884]
13,0.8817157,1.4853339195251465,[0.936202]
14,0.8817157,1.4716229438781738,[0.93615884]
15,0.8891003,1.4731154441833496,[0.9434141]
16,0.8916893,1.4702491760253906,[0.94129187]
17,0.9666636,1.4660217761993408,[0.9831449]
18,0.96680313,1.4756605625152588,[0.9837732]
19,0.96689415,1.4806392192840576,[0.9837712]
20,0.96689916,1.4765098094940186,[0.9837564]
21,0.9669528,1.4804954528808594,[0.9838546]
22,0.9986863,1.4795560836791992,[0.9990342]
23,0.99893117,1.4826929569244385,[0.9991591]
24,0.99923277,1.4826784133911133,[0.9992422]
25,0.99923277,1.4772958755493164,[0.9992422]
26,0.9994795,1.485736608505249,[0.99930507]
27,0.9997118,1.4902541637420654,[0.99942225]
28,0.9998667,1.4822232723236084,[0.99946064]
29,0.9999735,1.4783754348754883,[0.99950916]
30,0.99997365,1.4894163608551025,[0.99950945]
31,0.99997365,1.4863154888153076,[0.99950945]
32,0.99997365,1.4872503280639648,[0.99950945]
33,0.99997365,1.479924201965332,[0.99950945]
34,0.99997365,1.471221685409546,[0.99950945]
35,0.99997365,1.473595380783081,[0.99950945]
36,0.99997365,1.483985185623169,[0.99950945]
37,0.99997365,1.4752414226531982,[0.99950945]
38,0.99997365,1.4793403148651123,[0.99950945]
39,0.99997365,1.474766731262207,[0.99950945]
40,0.99997365,1.4728901386260986,[0.99950945]
41,0.99997365,1.4762823581695557,[0.99950945]
42,0.99997365,1.4799935817718506,[0.99950945]
43,0.99997365,1.4801013469696045,[0.99950945]
44,0.99997365,1.4773967266082764,[0.99950945]
45,0.99997365,1.4833695888519287,[0.99950945]
46,0.99997365,1.4756805896759033,[0.99950945]
47,0.99997365,1.4806327819824219,[0.99950945]
48,0.99997365,1.476135015487671,[0.99950945]
49,0.99997365,1.4736158847808838,[0.99950945]
50,0.99997365,1.4716980457305908,[0.99950945]
51,0.99997365,1.4623541831970215,[0.99950945]
52,0.99997365,1.4730582237243652,[0.99950945]
53,0.99997365,1.4705438613891602,[0.99950945]
54,0.99997365,1.4754652976989746,[0.99950945]
55,0.99997365,1.4729394912719727,[0.99950945]
56,0.99997365,1.477750539779663,[0.99950945]
57,0.99997365,1.479492425918579,[0.99950945]
58,0.99997365,1.48256516456604,[0.99950945]
59,0.99997365,1.4814491271972656,[0.99950945]
60,0.99997365,1.477626085281372,[0.99950945]
61,0.99997365,1.4786803722381592,[0.99950945]
62,0.99997365,1.4858710765838623,[0.99950945]
63,0.99997365,1.4791500568389893,[0.99950945]
64,0.99997365,1.4609134197235107,[0.99950945]
65,0.99997365,1.4764339923858643,[0.99950945]
66,0.99997365,1.4701128005981445,[0.99950945]
67,0.99997365,1.4720282554626465,[0.99950945]
68,0.99997365,1.4654932022094727,[0.99950945]
69,0.99997365,1.461883544921875,[0.99950945]
70,0.99997365,1.4752326011657715,[0.99950945]
71,0.99997365,1.4612441062927246,[0.99950945]
72,0.99997365,1.4680039882659912,[0.99950945]
73,0.99997365,1.4796628952026367,[0.99950945]
74,0.99997365,1.4695839881896973,[0.99950945]
75,0.99997365,1.4758272171020508,[0.99950945]
76,0.99997365,1.4663784503936768,[0.99950945]
77,0.99997365,1.4779744148254395,[0.99950945]
78,0.99997365,1.4644081592559814,[0.99950945]
79,0.99997365,1.4674098491668701,[0.99950945]
80,0.99997365,1.4631271362304688,[0.99950945]
81,0.99997365,1.464663028717041,[0.99950945]
82,0.99997365,1.4642448425292969,[0.99950945]
83,0.99997365,1.4790046215057373,[0.99950945]
84,0.99997365,1.4761114120483398,[0.99950945]
85,0.99997365,1.4689443111419678,[0.99950945]
86,0.99997365,1.4691429138183594,[0.99950945]
87,0.99997365,1.4683542251586914,[0.99950945]
88,0.99997365,1.4698445796966553,[0.99950945]
89,0.99997365,1.465494155883789,[0.99950945]
90,0.99997365,1.4748694896697998,[0.99950945]
91,0.99997365,1.4626922607421875,[0.99950945]
92,0.99997365,1.4624278545379639,[0.99950945]
93,0.99997365,1.4663114547729492,[0.99950945]
94,0.99997365,1.4631702899932861,[0.99950945]
95,0.99997365,1.4696815013885498,[0.99950945]
96,0.99997365,1.4737787246704102,[0.99950945]
97,0.99997365,1.469496488571167,[0.99950945]
98,0.99997365,1.4670054912567139,[0.99950945]
99,0.99997365,1.4740574359893799,[0.99950945]
