iteration,max_fitness,time,test_accuracy
0,-0.45707083,0.0,-0.94393086
1,-0.4472866,0.49279260635375977,[-0.92786765]
2,-0.4445175,0.4951000213623047,[-0.9233085]
3,-0.44398916,0.48229503631591797,[-0.922438]
4,-0.44398916,0.4821023941040039,[-0.922438]
5,-0.4386617,0.48070669174194336,[-0.9136628]
6,-0.4386617,0.4868464469909668,[-0.9136628]
7,-0.43163264,0.4833800792694092,[-0.9020773]
8,-0.43163264,0.49061107635498047,[-0.9020773]
9,-0.43163264,0.4902617931365967,[-0.9020773]
10,-0.4050852,0.4875969886779785,[-0.8582473]
11,-0.4050852,0.48438596725463867,[-0.8582473]
12,-0.4011153,0.48340415954589844,[-0.85168266]
13,-0.4011153,0.4794042110443115,[-0.85168266]
14,-0.4011153,0.48285508155822754,[-0.85168266]
15,-0.4011153,0.49191880226135254,[-0.85168266]
16,-0.33668423,0.4851078987121582,[-0.74473727]
17,-0.33668423,0.49309492111206055,[-0.74473727]
18,-0.33668423,0.4882214069366455,[-0.74473727]
19,-0.33668423,0.47928833961486816,[-0.74473727]
20,-0.33668423,0.48640871047973633,[-0.74473727]
21,-0.33668423,0.4866764545440674,[-0.74473727]
22,-0.26156783,0.4873356819152832,[-0.6341789]
23,-0.26156783,0.47821784019470215,[-0.6341789]
24,-0.26156783,0.48557448387145996,[-0.6341789]
25,-0.26156783,0.5205347537994385,[-0.6341789]
26,-0.061867476,0.484607458114624,[-0.31831825]
27,-0.061867476,0.4853801727294922,[-0.31831825]
28,-0.061867476,0.4851491451263428,[-0.31831825]
29,-0.054111123,0.48719286918640137,[-0.30606842]
30,-0.054111123,0.48046112060546875,[-0.30606842]
31,-0.054111123,0.480879545211792,[-0.30606842]
32,0.32557654,0.485400915145874,[0.28505397]
33,0.32557654,0.4851055145263672,[0.28505397]
34,0.32557654,0.4825165271759033,[0.28505397]
35,0.32557654,0.5033366680145264,[0.28505397]
36,0.32557654,0.4970064163208008,[0.28505397]
37,0.32557654,0.4878833293914795,[0.28505397]
38,0.32557654,0.4847252368927002,[0.28505397]
39,0.32557654,0.48003506660461426,[0.28505397]
40,0.32557654,0.4884324073791504,[0.28505397]
41,0.32557654,0.486403226852417,[0.28505397]
42,0.93076956,0.5057260990142822,[0.8626841]
43,0.97459996,0.4909968376159668,[0.9709147]
44,0.99070704,0.49207353591918945,[0.97577643]
45,0.99070704,0.48406100273132324,[0.97577643]
46,0.99070704,0.4908475875854492,[0.97577643]
47,0.99070704,0.48748302459716797,[0.97577643]
48,0.99070704,0.4904325008392334,[0.97577643]
49,0.99070704,0.5308926105499268,[0.97577643]
50,0.99070704,0.500194787979126,[0.97577643]
51,0.99070704,0.4959287643432617,[0.97577643]
52,0.99070704,0.49640965461730957,[0.97577643]
53,0.99070704,0.5044910907745361,[0.97577643]
54,0.99070704,0.49275708198547363,[0.97577643]
55,0.99070704,0.48513031005859375,[0.97577643]
56,0.99070704,0.49141407012939453,[0.97577643]
57,0.99070704,0.4911060333251953,[0.97577643]
58,0.99070704,0.4920933246612549,[0.97577643]
59,0.9933963,0.49046802520751953,[0.99671406]
60,0.9933963,0.48796844482421875,[0.99671406]
61,0.9933963,0.4893808364868164,[0.99671406]
62,0.9933963,0.49544739723205566,[0.99671406]
63,0.9933963,0.49300360679626465,[0.99671406]
64,0.9933963,0.4922761917114258,[0.99671406]
65,0.9933963,0.4872913360595703,[0.99671406]
66,0.9933963,0.493868350982666,[0.99671406]
67,0.9933963,0.4805271625518799,[0.99671406]
68,0.9933963,0.48465824127197266,[0.99671406]
69,0.9933963,0.4860270023345947,[0.99671406]
70,0.9933963,0.4859352111816406,[0.99671406]
71,0.9933963,0.48360466957092285,[0.99671406]
72,0.9933963,0.486544132232666,[0.99671406]
73,0.9933963,0.4841039180755615,[0.99671406]
