iteration,max_fitness,time,test_accuracy
0,-0.24280691,0.0,-0.4249959
1,-0.24280691,0.5103206634521484,[-0.4249959]
2,-0.24280691,0.5030827522277832,[-0.4249959]
3,-0.13474071,0.492642879486084,[-0.28890443]
4,-0.13474071,0.49389076232910156,[-0.28890443]
5,-0.13474071,0.4928920269012451,[-0.28890443]
6,-0.13474071,0.48787808418273926,[-0.28890443]
7,-0.13474071,0.49071645736694336,[-0.28890443]
8,-0.13474071,0.5259473323822021,[-0.28890443]
9,-0.13131642,0.5061635971069336,[-0.2847687]
10,-0.13131642,0.49474382400512695,[-0.2847687]
11,-0.13131642,0.49461841583251953,[-0.2847687]
12,-0.06518674,0.4930593967437744,[-0.20496225]
13,0.014600456,0.48619604110717773,[-0.10883868]
14,0.014600456,0.4864158630371094,[-0.10883868]
15,0.014600456,0.49687838554382324,[-0.10883868]
16,0.07230985,0.493419885635376,[-0.03943849]
17,0.07230985,0.48840975761413574,[-0.03943849]
18,0.07230985,2.8125834465026855,[-0.03943849]
19,0.35474306,0.4873359203338623,[0.29826897]
20,0.35474306,0.48474693298339844,[0.29826897]
21,0.62341034,0.48104429244995117,[0.614704]
22,0.8464422,0.48073339462280273,[0.86850643]
23,0.8464422,0.4800140857696533,[0.86850643]
24,0.8464422,0.48008012771606445,[0.86850643]
25,0.8464422,0.4848637580871582,[0.86850643]
26,0.95625967,0.4819216728210449,[0.9794778]
27,0.95625967,0.484147310256958,[0.9794778]
28,0.95625967,0.4850783348083496,[0.9794778]
29,0.95625967,0.4829244613647461,[0.9794778]
30,0.9687855,0.4819152355194092,[0.9853192]
31,0.9687855,0.48285436630249023,[0.9853192]
32,0.9687855,0.4858283996582031,[0.9853192]
33,0.9687855,0.4856598377227783,[0.9853192]
34,0.9687855,0.487734317779541,[0.9853192]
35,0.9687855,0.48436403274536133,[0.9853192]
36,0.9687855,0.48657846450805664,[0.9853192]
37,0.9687855,0.48616909980773926,[0.9853192]
38,0.9687855,0.48166823387145996,[0.9853192]
39,0.9687855,0.4823882579803467,[0.9853192]
40,0.9687855,0.4853644371032715,[0.9853192]
41,0.9687855,0.4823184013366699,[0.9853192]
42,0.9687855,0.48543691635131836,[0.9853192]
43,0.9687855,0.48564577102661133,[0.9853192]
44,0.9687855,0.48753929138183594,[0.9853192]
45,0.9687855,0.4856290817260742,[0.9853192]
46,0.9687855,0.48598480224609375,[0.9853192]
47,0.9687855,0.4854917526245117,[0.9853192]
48,0.9687855,0.48258137702941895,[0.9853192]
49,0.9687855,0.4842977523803711,[0.9853192]
50,0.96981645,0.48416972160339355,[0.9824147]
51,0.96981645,0.47868943214416504,[0.9824147]
52,0.96981645,0.48723888397216797,[0.9824147]
53,0.96981645,0.4933629035949707,[0.9824147]
54,0.96981645,0.4863128662109375,[0.9824147]
55,0.96981645,0.483609676361084,[0.9824147]
56,0.96981645,0.48110103607177734,[0.9824147]
57,0.96981645,0.4817838668823242,[0.9824147]
58,0.96981645,0.4855027198791504,[0.9824147]
59,0.96981645,0.4851562976837158,[0.9824147]
60,0.96981645,0.48642802238464355,[0.9824147]
61,0.96981645,0.48833680152893066,[0.9824147]
62,0.96981645,0.4851086139678955,[0.9824147]
63,0.96981645,0.4823014736175537,[0.9824147]
64,0.96981645,0.4799351692199707,[0.9824147]
