iteration,max_fitness,time,test_accuracy
0,0.22114009,0.0,-0.21607089
1,0.33273607,1.338176965713501,[-0.2559204]
2,0.33273607,1.3213329315185547,[-0.2559204]
3,0.33273607,1.3217787742614746,[-0.2559204]
4,0.33273607,1.3158843517303467,[-0.2559204]
5,0.33273607,1.305527925491333,[-0.2559204]
6,0.33273607,1.278243064880371,[-0.2559204]
7,0.71949196,1.2735273838043213,[-0.01764143]
8,0.71949196,1.3096423149108887,[-0.01764143]
9,0.71949196,1.2833561897277832,[-0.01764143]
10,0.81094086,1.2757539749145508,[-0.0826571]
11,0.98227185,1.2985899448394775,[-0.17560661]
12,0.9833412,1.2853341102600098,[-0.16782832]
13,0.9854943,1.3201580047607422,[-0.16888857]
14,0.98572266,1.271775722503662,[-0.16915011]
15,0.98572266,1.2719910144805908,[-0.16915011]
16,0.98572266,1.2773206233978271,[-0.16915011]
17,0.98572266,1.294297695159912,[-0.16915011]
18,0.98588496,1.2768583297729492,[-0.17283416]
19,0.98632807,1.2839691638946533,[-0.1709553]
20,0.986329,1.286787986755371,[-0.17096424]
21,0.9863301,1.2744123935699463,[-0.17097044]
22,0.9863301,1.2926034927368164,[-0.17097044]
23,0.98633105,1.2991254329681396,[-0.17097282]
24,0.9863322,1.2967686653137207,[-0.17097652]
25,0.99470246,2.8317580223083496,[-0.26164997]
26,0.99470246,1.2818379402160645,[-0.26164997]
27,0.99577844,1.27166748046875,[-0.27789235]
28,0.9959698,1.2755329608917236,[-0.28535736]
29,0.9961558,1.282541275024414,[-0.28965902]
30,0.9961558,1.2977728843688965,[-0.28965902]
31,0.9961558,1.275205373764038,[-0.28965902]
32,0.99640423,1.2921957969665527,[0.10348761]
33,0.99640423,1.3184659481048584,[0.10348761]
34,0.99640423,1.2771573066711426,[0.10348761]
35,0.99640423,1.3162460327148438,[0.10348761]
36,0.997592,1.3134567737579346,[-1.4229467]
37,0.9977418,1.2806928157806396,[-0.6822665]
38,0.9977418,1.3089847564697266,[-0.6822665]
39,0.9977418,1.288722038269043,[-0.6822665]
40,0.9977418,1.3106789588928223,[-0.6822665]
41,0.9977418,1.3114230632781982,[-0.6822665]
42,0.9977418,1.3044962882995605,[-0.6822665]
43,0.9977418,1.2823765277862549,[-0.6822665]
44,0.99787635,1.2834737300872803,[-0.63032126]
45,0.99787635,1.3109829425811768,[-0.63032126]
46,0.99791974,1.2940659523010254,[-0.61080456]
47,0.9979716,1.2936336994171143,[-0.6016867]
48,0.9980813,1.2933220863342285,[-0.45209014]
49,0.9980813,1.2787163257598877,[-0.45209014]
50,0.9980813,1.2871448993682861,[-0.45209014]
51,0.9980813,1.2782971858978271,[-0.45209014]
52,0.9980813,1.2988622188568115,[-0.45209014]
53,0.9980813,2.9188921451568604,[-0.45209014]
54,0.9980813,1.3007757663726807,[-0.45209014]
55,0.9980813,1.3014957904815674,[-0.45209014]
56,0.998104,1.2797527313232422,[-0.4792049]
57,0.9981068,1.2869582176208496,[-0.47031748]
58,0.9981068,1.3058559894561768,[-0.47031748]
59,0.9981068,1.3090016841888428,[-0.47031748]
60,0.9981068,1.331120491027832,[-0.47031748]
61,0.99822384,1.283860683441162,[-0.4677316]
62,0.99822384,1.2951858043670654,[-0.4677316]
63,0.99822384,1.281925916671753,[-0.4677316]
64,0.99822384,1.309802770614624,[-0.4677316]
65,0.99822384,1.320812702178955,[-0.4677316]
66,0.99822384,1.2868223190307617,[-0.4677316]
67,0.99822384,1.294163703918457,[-0.4677316]
68,0.99822384,1.3054232597351074,[-0.4677316]
69,0.99822384,1.2855479717254639,[-0.4677316]
70,0.99822384,1.290647268295288,[-0.4677316]
71,0.99822384,1.2765514850616455,[-0.4677316]
72,0.99822384,1.3022611141204834,[-0.4677316]
73,0.99822384,1.288165807723999,[-0.4677316]
74,0.99828696,1.284287691116333,[-0.4578024]
75,0.99828696,1.2726061344146729,[-0.4578024]
76,0.99828696,1.2882933616638184,[-0.4578024]
77,0.9983303,1.2804253101348877,[-0.45345354]
78,0.9983303,1.2916922569274902,[-0.45345354]
79,0.9983303,1.294379472732544,[-0.45345354]
80,0.9983303,2.787992000579834,[-0.45345354]
81,0.9984155,1.3064889907836914,[-0.42686212]
82,0.9984155,1.2846994400024414,[-0.42686212]
83,0.9984155,1.299128532409668,[-0.42686212]
84,0.9984155,1.2808051109313965,[-0.42686212]
85,0.99930024,1.279691219329834,[-0.24732065]
86,0.9994649,1.309875249862671,[-0.24448693]
87,0.99949723,1.2795088291168213,[-0.24333012]
88,0.9995016,1.2801995277404785,[-0.24260974]
89,0.9995016,1.3153173923492432,[-0.24260974]
90,0.99951947,1.2916195392608643,[-0.24200284]
91,0.99951947,1.2692482471466064,[-0.24200284]
92,0.99951947,1.3105242252349854,[-0.24200284]
93,0.99951947,1.3063480854034424,[-0.24200284]
94,0.99951947,1.32088303565979,[-0.24200284]
95,0.99951947,1.2799568176269531,[-0.24200284]
96,0.99951947,1.2760708332061768,[-0.24200284]
97,0.99951947,1.2738161087036133,[-0.24200284]
98,0.99951947,1.2794413566589355,[-0.24200284]
99,0.99951947,1.2909657955169678,[-0.24200284]
