iteration,max_fitness,time,test_accuracy
0,0.6414056,0.0,-0.16991007
1,0.79130435,1.507800579071045,[-0.28244865]
2,0.79130435,1.468658447265625,[-0.28244865]
3,0.8728164,1.5111634731292725,[-0.40850043]
4,0.88791454,1.4978103637695312,[-0.37486362]
5,0.90846616,1.4616076946258545,[-0.31507182]
6,0.93075544,1.471900224685669,[-0.3537209]
7,0.9558251,1.4671759605407715,[-0.316033]
8,0.9930356,1.496307373046875,[-0.18240082]
9,0.9973514,1.4706048965454102,[-0.18447137]
10,0.9974237,1.4727046489715576,[-0.18474269]
11,0.9974237,1.4673669338226318,[-0.18474269]
12,0.99743056,1.4994921684265137,[-0.18422198]
13,0.99743056,1.478531837463379,[-0.18422198]
14,0.99743056,1.458975076675415,[-0.18422198]
15,0.99743056,1.462066411972046,[-0.18422198]
16,0.99743056,1.4786272048950195,[-0.18422198]
17,0.99743056,1.5036144256591797,[-0.18422198]
18,0.9974521,1.4993033409118652,[-0.19008875]
19,0.9974521,1.4662096500396729,[-0.19008875]
20,0.9974521,1.4782512187957764,[-0.19008875]
21,0.9977487,1.4759068489074707,[0.01472932]
22,0.9991293,1.4571120738983154,[0.00497699]
23,0.99929863,1.4664437770843506,[0.00389481]
24,0.99931663,1.4605846405029297,[0.00231093]
25,0.99931663,1.4669597148895264,[0.00231087]
26,0.9993203,1.4566633701324463,[0.00152498]
27,0.999321,1.4571967124938965,[0.00127977]
28,0.9993213,1.4628210067749023,[0.00110185]
29,0.99932146,1.4536654949188232,[0.0009678]
30,0.9993215,1.465275526046753,[0.00090688]
31,0.9993215,1.4760823249816895,[0.00086159]
32,0.9993215,1.4702608585357666,[0.0008269]
33,0.9993215,1.5178923606872559,[0.00086159]
34,0.9993215,13.092419147491455,[0.0008269]
35,0.9993215,1.46036696434021,[0.00080025]
36,0.9993215,1.453800916671753,[0.0008269]
37,0.9993215,1.4697096347808838,[0.00080031]
38,0.9993215,1.4633328914642334,[0.0008269]
39,0.9993215,1.4667925834655762,[0.00080025]
40,0.9993216,1.5032384395599365,[0.00077999]
41,0.9993216,1.4729032516479492,[0.00076443]
42,0.9993216,1.4991438388824463,[0.00075257]
43,0.9993216,1.4816131591796875,[0.00074315]
44,0.9993216,1.4798030853271484,[0.00075257]
45,0.9993216,1.488302230834961,[0.00074315]
46,0.9993216,1.4729681015014648,[0.00073624]
47,0.9993216,1.4914894104003906,[0.00073087]
48,0.9993216,1.482712984085083,[0.00072646]
49,0.9993216,1.4735045433044434,[0.00072336]
50,0.9993216,1.4699015617370605,[0.00072086]
51,0.9993216,1.4685518741607666,[0.00076443]
52,0.9993216,1.470668077468872,[0.00072086]
53,0.9993216,1.4752013683319092,[0.00071901]
54,0.9993216,1.4799065589904785,[0.00072646]
55,0.9993216,1.4867141246795654,[0.00072336]
56,0.9993216,1.4633467197418213,[0.00072086]
57,0.9993216,1.472987413406372,[0.00071901]
58,0.9993216,1.4782929420471191,[0.00072086]
59,0.9993216,1.4853386878967285,[0.00071901]
60,0.9993216,1.5115883350372314,[0.00071746]
61,0.9993216,1.5020356178283691,[0.00071627]
62,0.9993216,1.4790046215057373,[0.00071555]
63,0.9993216,1.5061359405517578,[0.0007149]
64,0.9993216,1.471498727798462,[0.00071424]
65,0.9993216,1.4709298610687256,[0.00076443]
66,0.9993216,1.4627528190612793,[0.00075233]
67,0.9993216,1.4715123176574707,[0.00074315]
68,0.9993216,1.478287696838379,[0.0007363]
69,0.9993216,1.469470500946045,[0.00072336]
70,0.9993216,1.5063502788543701,[0.00072086]
71,0.9993216,1.4755818843841553,[0.00071901]
72,0.9993216,1.4781687259674072,[0.00071764]
73,0.9993216,1.468780517578125,[0.00071645]
74,0.9993216,1.4600112438201904,[0.00071537]
75,0.9993216,1.4751663208007812,[0.0007149]
76,0.9993216,1.5192761421203613,[0.00071424]
77,0.9993216,1.4997365474700928,[0.00071383]
78,0.9993216,1.4843976497650146,[0.00071365]
79,0.9993216,1.4709091186523438,[0.00071383]
80,0.9993216,1.4946470260620117,[0.00071365]
81,0.9993216,1.6387810707092285,[0.00071341]
82,0.9993216,1.6996688842773438,[0.00072086]
83,0.9993216,1.6609201431274414,[0.00071341]
84,0.9993216,1.7172739505767822,[0.00072086]
85,0.9993216,1.7968668937683105,[0.00071341]
86,0.9993216,1.6347346305847168,[0.00071323]
87,0.9993216,1.6429741382598877,[0.00071305]
88,0.9993216,1.587980031967163,[0.00072086]
89,0.9993216,1.5922908782958984,[0.00073087]
90,0.9993216,1.6043124198913574,[0.0007363]
91,0.9993216,1.5824387073516846,[0.00073087]
92,0.9993216,1.5691909790039062,[0.00072646]
93,0.9993216,1.5700039863586426,[0.00073087]
94,0.9993216,1.5783257484436035,[0.00072646]
95,0.9993216,1.6043951511383057,[0.00071305]
96,0.9993216,1.585357427597046,[0.00071305]
97,0.9993216,1.5603222846984863,[0.00071305]
98,0.9993216,1.567497730255127,[0.00071323]
99,0.9993216,1.5699338912963867,[0.00071305]
