iteration,max_fitness,time,test_accuracy
0,0.41325855,0.0,-0.048866868
1,0.41325855,3.700040817260742,[-0.04886687]
2,0.41325855,1.2643249034881592,[-0.04886687]
3,0.41325855,1.243255853652954,[-0.04886687]
4,0.41325855,1.341611623764038,[-0.04886687]
5,0.41325855,1.2607645988464355,[-0.04886687]
6,0.41325855,1.2431879043579102,[-0.04886687]
7,0.41325855,1.386793613433838,[-0.04886687]
8,0.41325855,1.2373392581939697,[-0.04886687]
9,0.41325855,1.2342078685760498,[-0.04886687]
10,0.41325855,1.2382802963256836,[-0.04886687]
11,0.41325855,1.3734359741210938,[-0.04886687]
12,0.41325855,1.2317228317260742,[-0.04886687]
13,0.41325855,1.2301223278045654,[-0.04886687]
14,0.41780335,1.2352979183197021,[-0.04114258]
15,0.41780335,1.3768951892852783,[-0.04114258]
16,0.41780335,1.2385320663452148,[-0.04114258]
17,0.41780335,1.2376348972320557,[-0.04114258]
18,0.41780335,1.2430989742279053,[-0.04114258]
19,0.41780335,1.4170315265655518,[-0.04114258]
20,0.41780335,1.2335991859436035,[-0.04114258]
21,0.41780335,1.2399804592132568,[-0.04114258]
22,0.4480434,1.237318992614746,[-0.04488862]
23,0.44804698,1.234173059463501,[-0.04484832]
24,0.4480471,1.4334053993225098,[-0.04484761]
25,0.4480471,1.245488166809082,[-0.04484844]
26,0.44804734,1.2391386032104492,[-0.04484761]
27,0.44804734,1.238353967666626,[-0.04484761]
28,0.44804746,1.2267050743103027,[-0.04484844]
29,0.44804758,1.2251684665679932,[-0.04484761]
30,0.44804776,1.469480037689209,[-0.04484844]
31,0.44804788,1.2362370491027832,[-0.04484761]
32,0.44804788,1.2401928901672363,[-0.04484761]
33,0.44804806,1.2420077323913574,[-0.04484844]
34,0.44804817,1.2368249893188477,[-0.04484761]
35,0.44804835,1.2342796325683594,[-0.04484856]
36,0.4480486,1.2331559658050537,[-0.04484773]
37,0.4480487,1.5041933059692383,[-0.04484856]
38,0.4480489,1.2397029399871826,[-0.04484773]
39,0.4480492,1.2426834106445312,[-0.04484856]
40,0.44805223,1.2351608276367188,[-0.04484773]
41,0.44805264,1.23525071144104,[-0.04484856]
42,0.44805312,1.2278327941894531,[-0.04484797]
43,0.44805312,1.228454351425171,[-0.04484797]
44,0.44805312,1.5255606174468994,[-0.04484797]
45,0.44805366,1.228132724761963,[-0.04484856]
46,0.44805408,1.231879711151123,[-0.04484785]
47,0.44805455,1.2290682792663574,[-0.04484856]
48,0.4480551,1.2672491073608398,[-0.04484785]
49,0.44805568,1.2356233596801758,[-0.04484856]
50,0.44805622,1.2315845489501953,[-0.04484785]
51,0.44805682,1.2351040840148926,[-0.04484868]
52,0.44805735,1.5662510395050049,[-0.04484797]
53,0.448058,1.2306838035583496,[-0.04484868]
54,0.4480586,1.2340583801269531,[-0.04484797]
55,0.4480592,1.2261292934417725,[-0.04484868]
56,0.44805992,1.2221431732177734,[-0.04484797]
57,0.44806063,1.2374086380004883,[-0.04484868]
58,0.44806063,1.232107162475586,[-0.04484868]
59,0.4480613,1.2301268577575684,[-0.04484785]
60,0.44806194,1.2140378952026367,[-0.0448488]
61,0.44806266,1.625960350036621,[-0.04484797]
62,0.44806343,1.2250597476959229,[-0.0448488]
63,0.4480641,1.2226026058197021,[-0.04484797]
64,0.44806492,1.2256672382354736,[-0.0448488]
65,0.44806576,1.2326340675354004,[-0.0448482]
66,0.44806647,1.2304730415344238,[-0.04484904]
67,0.44806725,1.2291886806488037,[-0.04484808]
68,0.44806808,1.2319717407226562,[-0.04484892]
69,0.44806898,1.229736566543579,[-0.04484808]
70,0.44806993,1.2241721153259277,[-0.04484904]
71,0.4480707,1.2235074043273926,[-0.04484832]
72,0.44807166,1.6692376136779785,[-0.04484904]
73,0.4480725,1.2252719402313232,[-0.04484832]
74,0.4480734,1.222001552581787,[-0.04484892]
75,0.4480744,1.2194292545318604,[-0.04484844]
76,0.4480753,1.227384090423584,[-0.04484904]
77,0.4480763,1.2226231098175049,[-0.04484844]
78,0.4480772,1.218574047088623,[-0.04484904]
79,0.4480772,1.2192130088806152,[-0.04484904]
80,0.44807822,1.226912260055542,[-0.04484832]
81,0.44807923,1.2377355098724365,[-0.04484928]
82,0.44808024,1.2582311630249023,[-0.04484844]
83,0.44808137,1.2482755184173584,[-0.04484916]
84,0.4480824,1.739875316619873,[-0.04484832]
85,0.44808346,1.2263538837432861,[-0.0448494]
86,0.4480846,1.2302360534667969,[-0.04484856]
87,0.44808567,1.2210254669189453,[-0.0448494]
88,0.44808686,1.217721939086914,[-0.04484856]
89,0.448088,1.2159430980682373,[-0.0448494]
90,0.44808918,1.22902250289917,[-0.04484868]
91,0.4480903,1.2200424671173096,[-0.0448494]
92,0.4480915,1.221405267715454,[-0.0448488]
93,0.44809276,1.2164697647094727,[-0.04484951]
94,0.44809395,1.2138409614562988,[-0.0448488]
95,0.448663,1.2213568687438965,[-0.04486001]
96,0.44870412,1.2280809879302979,[-0.04486012]
97,0.44874758,1.789093017578125,[-0.04486096]
98,0.44879377,1.2261066436767578,[-0.04486203]
99,0.44884282,1.2261059284210205,[-0.04486299]
