iteration,max_fitness,time,test_accuracy
0,-1.3581934,0.0,-1.4946101
1,-1.0878971,15.426111698150635,[-1.3887982]
2,-0.086784124,15.297454833984375,[-0.04785025]
3,-0.009997249,15.251750230789185,[-0.00205219]
4,0.052037477,15.228423118591309,[0.03538752]
5,0.060497344,15.266403913497925,[0.06120467]
6,0.054154873,15.259837627410889,[0.03538752]
7,0.057195723,15.45313811302185,[0.06120467]
8,0.05479294,15.216984987258911,[0.03538752]
9,0.053819954,15.303527593612671,[0.03538752]
10,0.055458784,15.300877809524536,[0.03538752]
11,0.054279327,15.117703676223755,[0.03538752]
12,0.055092394,14.590881109237671,[0.06120467]
13,0.055660367,14.85725712776184,[0.03538752]
14,0.05767995,15.043374300003052,[0.06120467]
15,0.6264429,14.803568840026855,[0.6459209]
16,0.6233723,15.03141736984253,[0.6459209]
17,0.61531544,15.166664600372314,[0.6459209]
18,0.6293336,15.172839641571045,[0.6459209]
19,0.62963855,15.230057954788208,[0.6459209]
20,0.61980104,15.269841194152832,[0.6459209]
21,0.63223886,15.164395809173584,[0.6459209]
22,0.63515294,14.619176626205444,[0.6459209]
23,0.6464951,15.357181072235107,[0.66948926]
24,0.64182496,15.357726097106934,[0.66948926]
25,0.64629817,15.460032939910889,[0.66948926]
26,0.64133316,15.281578779220581,[0.66948926]
27,0.638657,15.271735906600952,[0.66948926]
28,0.65934813,15.429633140563965,[0.66948926]
29,0.6430756,15.417877197265625,[0.66948926]
30,0.64585626,15.51780080795288,[0.66948926]
31,0.6483933,15.629003047943115,[0.66948926]
32,0.65391576,15.35854959487915,[0.66948926]
33,0.6319594,15.532222509384155,[0.66948926]
34,0.64913404,15.284521102905273,[0.66948926]
35,0.64173245,15.388845443725586,[0.66948926]
36,0.6445224,15.42325758934021,[0.66948926]
37,0.6411573,15.324025392532349,[0.66948926]
38,0.6349039,15.195672035217285,[0.66948926]
39,0.6501138,15.3048734664917,[0.66948926]
40,0.64322007,15.410583019256592,[0.66948926]
41,0.6539929,15.325963258743286,[0.66948926]
42,0.6453662,15.443951606750488,[0.66948926]
43,0.64154905,15.236806631088257,[0.66948926]
44,0.6474806,15.216345310211182,[0.66948926]
45,0.65819484,15.323916673660278,[0.66948926]
46,0.65384233,15.238312721252441,[0.66948926]
47,0.65408635,15.468498468399048,[0.66948926]
48,0.6565444,15.181024312973022,[0.66948926]
49,0.62977445,14.933990240097046,[0.66948926]
50,0.630934,15.169408559799194,[0.6459209]
51,0.6330275,15.061348676681519,[0.66948926]
