iteration,max_fitness,time,test_accuracy
0,0.0047931075,0.0,0.01956886
1,0.0047931075,14.74623703956604,[0.01956886]
2,0.0047931075,14.625727653503418,[0.01956886]
3,0.0047931075,14.300132036209106,[0.01956886]
4,0.0047931075,14.427713632583618,[0.01956886]
5,0.0047931075,14.534173488616943,[0.01956886]
6,0.0047931075,14.374323844909668,[0.01956886]
7,0.0047931075,14.512380838394165,[0.01956886]
8,0.0047931075,14.541305541992188,[0.01956886]
9,0.0047931075,14.471177339553833,[0.01956886]
10,0.0047931075,14.557734966278076,[0.01956886]
11,0.0047931075,14.474911212921143,[0.01956886]
12,0.0047931075,14.525378942489624,[0.01956886]
13,0.0047931075,14.486061573028564,[0.01956886]
14,0.0047931075,14.46318769454956,[0.01956886]
15,0.0047931075,14.678218126296997,[0.01956886]
16,0.0047931075,14.191213130950928,[0.01956886]
17,0.0047931075,14.308257341384888,[0.01956886]
18,0.0047931075,14.61108136177063,[0.01956886]
19,0.0047931075,14.407231092453003,[0.01956886]
20,0.0047931075,14.410191535949707,[0.01956886]
21,0.0047931075,14.441132545471191,[0.01956886]
22,0.0047931075,14.408998012542725,[0.01956886]
23,0.0047931075,14.360966920852661,[0.01956886]
24,0.0047931075,14.632074117660522,[0.01956886]
25,0.0047931075,14.439196586608887,[0.01956886]
26,0.0047931075,14.444826126098633,[0.01956886]
27,0.0047931075,14.273578643798828,[0.01956886]
28,0.0047931075,14.506848096847534,[0.01956886]
29,0.0047931075,14.680285692214966,[0.01956886]
30,0.0047931075,14.592850923538208,[0.01956886]
31,0.0047931075,14.535526037216187,[0.01956886]
32,0.0047931075,14.45067286491394,[0.01956886]
33,0.0047931075,14.371402978897095,[0.01956886]
34,0.0047931075,14.604121685028076,[0.01956886]
35,0.0047931075,14.530404567718506,[0.01956886]
36,0.0047931075,14.539828538894653,[0.01956886]
37,0.0047931075,14.40389084815979,[0.01956886]
38,0.0047931075,14.413287878036499,[0.01956886]
39,0.0047931075,14.41466236114502,[0.01956886]
40,0.0047931075,14.224172115325928,[0.01956886]
41,0.0047931075,14.362835168838501,[0.01956886]
42,0.0047931075,17.39833664894104,[0.01956886]
43,0.0047931075,14.400983095169067,[0.01956886]
44,0.0047931075,14.485169649124146,[0.01956886]
45,0.0047931075,14.520965576171875,[0.01956886]
46,0.0047931075,14.584025144577026,[0.01956886]
47,0.0047931075,14.440129280090332,[0.01956886]
48,0.0047931075,14.525863647460938,[0.01956886]
49,0.0047931075,14.52116346359253,[0.01956886]
50,0.0047931075,14.6803879737854,[0.01956886]
51,0.0047931075,14.411558389663696,[0.01956886]
52,0.0047931075,14.622532606124878,[0.01956886]
53,0.0047931075,14.396817207336426,[0.01956886]
54,0.0047931075,14.647464275360107,[0.01956886]
