iteration,max_fitness,time,test_accuracy
0,0.0192824,0.0,0.02253145
1,0.0192824,11.230994939804077,[0.02253145]
2,0.0192824,10.687794923782349,[0.02253145]
3,0.0192824,10.94520092010498,[0.02253145]
4,0.0192824,10.496363401412964,[0.02253145]
5,0.0192824,10.448933362960815,[0.02253145]
6,0.0192824,10.266002655029297,[0.02253145]
7,0.0192824,10.272095441818237,[0.02253145]
8,0.0192824,10.141878128051758,[0.02253145]
9,0.0192824,10.23188853263855,[0.02253145]
10,0.0192824,10.31109881401062,[0.02253145]
11,0.0192824,10.107478857040405,[0.02253145]
12,0.0192824,10.268810272216797,[0.02253145]
13,0.0192824,10.140016794204712,[0.02253145]
14,0.0192824,11.16114616394043,[0.02253145]
15,0.0192824,10.263221502304077,[0.02253145]
16,0.0192824,10.613980293273926,[0.02253145]
17,0.0192824,11.971794605255127,[0.02253145]
18,0.17436498,11.473029613494873,[-0.0530858]
19,0.17436498,10.910081624984741,[-0.0530858]
20,0.17436498,10.91772747039795,[-0.0530858]
21,0.17436498,11.022529125213623,[-0.0530858]
22,0.17436498,11.238032341003418,[-0.0530858]
23,0.17436498,11.539600610733032,[-0.0530858]
24,0.17436498,11.317388772964478,[-0.0530858]
25,0.17436498,12.596543312072754,[-0.0530858]
26,0.17436498,11.484410285949707,[-0.0530858]
27,0.17436498,11.78880524635315,[-0.0530858]
28,0.17436498,11.05549168586731,[-0.0530858]
29,0.34235126,11.353184461593628,[0.13854367]
30,0.34235126,11.112961769104004,[0.13854367]
31,0.34235126,10.460356950759888,[0.13854367]
32,0.34235126,11.23939299583435,[0.13854367]
33,0.34235126,12.131166934967041,[0.13854367]
34,0.34235126,12.259369134902954,[0.13854367]
35,0.34235126,11.784855365753174,[0.13854367]
36,0.34235126,10.512968063354492,[0.13854367]
37,0.34235126,10.450317144393921,[0.13854367]
38,0.34235126,10.351216316223145,[0.13854367]
39,0.34235126,21.156498432159424,[0.13854367]
40,0.34235126,12.556589841842651,[0.13854367]
41,0.34235126,12.88159441947937,[0.13854367]
42,0.34235126,12.620447158813477,[0.13854367]
43,0.34235126,12.899939775466919,[0.13854367]
44,0.34235126,11.405679941177368,[0.13854367]
45,0.34235126,10.847811698913574,[0.13854367]
46,0.34235126,13.127616167068481,[0.13854367]
47,0.34235126,11.325274229049683,[0.13854367]
48,0.34235126,12.800685167312622,[0.13854367]
49,0.34235126,11.629029989242554,[0.13854367]
50,0.34235126,10.59799313545227,[0.13854367]
51,0.34235126,11.061981439590454,[0.13854367]
52,0.34235126,10.550848245620728,[0.13854367]
53,0.34235126,11.920003652572632,[0.13854367]
54,0.34235126,12.884837627410889,[0.13854367]
55,0.34235126,11.692427396774292,[0.13854367]
56,0.34235126,11.174509525299072,[0.13854367]
57,0.34235126,12.513456106185913,[0.13854367]
58,0.34235126,10.724542140960693,[0.13854367]
59,0.34235126,11.4369375705719,[0.13854367]
60,0.34235126,12.240349054336548,[0.13854367]
61,0.34235126,11.526599645614624,[0.13854367]
62,0.34235126,10.660950899124146,[0.13854367]
63,0.34235126,11.964486598968506,[0.13854367]
64,0.34235126,11.902513265609741,[0.13854367]
65,0.34235126,11.111069679260254,[0.13854367]
66,0.34235126,10.696402072906494,[0.13854367]
