iteration,max_fitness,time,test_accuracy
0,-0.76142716,0.0,-0.8942286
1,-0.76142716,1.4185690879821777,[-0.8942286]
2,-0.76142716,1.3625643253326416,[-0.8942286]
3,-0.76142716,1.4087438583374023,[-0.8942286]
4,-0.76142716,1.3812782764434814,[-0.8942286]
5,-0.76142716,1.4189441204071045,[-0.8942286]
6,-0.76142716,1.3768360614776611,[-0.8942286]
7,-0.76142716,1.404179573059082,[-0.8942286]
8,-0.76142716,1.4244606494903564,[-0.8942286]
9,-0.76142716,1.3752446174621582,[-0.8942286]
10,-0.76142716,1.450035572052002,[-0.8942286]
11,-0.76142716,1.425736904144287,[-0.8942286]
12,-0.76142716,1.4088139533996582,[-0.8942286]
13,-0.76142716,1.3996469974517822,[-0.8942286]
14,-0.76142716,1.3672447204589844,[-0.8942286]
15,-0.76142716,1.3816289901733398,[-0.8942286]
16,-0.76142716,1.4107935428619385,[-0.8942286]
17,-0.76142716,1.3908236026763916,[-0.8942286]
18,-0.76142716,1.412412405014038,[-0.8942286]
19,-0.76142716,1.4488484859466553,[-0.8942286]
20,-0.76142716,1.4142787456512451,[-0.8942286]
21,-0.76142716,1.3864428997039795,[-0.8942286]
22,-0.76142716,1.3747730255126953,[-0.8942286]
23,-0.76142716,1.4077093601226807,[-0.8942286]
24,-0.76142716,1.3722953796386719,[-0.8942286]
25,-0.76142716,1.439378261566162,[-0.8942286]
26,-0.76142716,1.3538432121276855,[-0.8942286]
27,-0.76142716,1.3899996280670166,[-0.8942286]
28,-0.76142716,1.4014980792999268,[-0.8942286]
29,-0.76142716,1.3615334033966064,[-0.8942286]
30,-0.76142716,1.4197185039520264,[-0.8942286]
31,-0.76142716,1.46437406539917,[-0.8942286]
32,-0.76142716,1.3693010807037354,[-0.8942286]
33,-0.76142716,1.3942174911499023,[-0.8942286]
34,-0.76142716,1.369588851928711,[-0.8942286]
35,-0.76142716,1.3729052543640137,[-0.8942286]
36,-0.76142716,1.405555009841919,[-0.8942286]
37,-0.76142716,1.4532034397125244,[-0.8942286]
38,-0.76142716,1.414780855178833,[-0.8942286]
39,-0.76142716,1.3888046741485596,[-0.8942286]
40,-0.76142716,1.3826446533203125,[-0.8942286]
41,-0.76142716,1.4043283462524414,[-0.8942286]
42,-0.76142716,1.4346365928649902,[-0.8942286]
43,-0.76142716,1.3968758583068848,[-0.8942286]
44,-0.76142716,1.4116935729980469,[-0.8942286]
45,-0.76142716,1.3913049697875977,[-0.8942286]
46,-0.76142716,1.3481776714324951,[-0.8942286]
47,-0.76142716,1.3620433807373047,[-0.8942286]
48,-0.76142716,1.3834278583526611,[-0.8942286]
49,-0.76142716,1.4792258739471436,[-0.8942286]
50,-0.76142716,1.5161690711975098,[-0.8942286]
51,-0.76142716,1.4062209129333496,[-0.8942286]
52,-0.76142716,1.4046094417572021,[-0.8942286]
53,-0.76142716,1.450474500656128,[-0.8942286]
54,-0.76142716,1.8726718425750732,[-0.8942286]
55,-0.76142716,1.4758296012878418,[-0.8942286]
56,-0.76142716,1.4662513732910156,[-0.8942286]
57,-0.76142716,1.3801732063293457,[-0.8942286]
58,-0.76142716,1.3086655139923096,[-0.8942286]
59,-0.76142716,1.3878941535949707,[-0.8942286]
60,-0.76142716,1.3727424144744873,[-0.8942286]
61,-0.76142716,1.4034833908081055,[-0.8942286]
62,-0.76142716,1.3971316814422607,[-0.8942286]
63,-0.76142716,1.4141833782196045,[-0.8942286]
64,-0.76142716,1.3846235275268555,[-0.8942286]
65,-0.76142716,1.395533800125122,[-0.8942286]
66,-0.76142716,1.4057202339172363,[-0.8942286]
67,-0.76142716,1.3808600902557373,[-0.8942286]
68,-0.76142716,1.3672702312469482,[-0.8942286]
69,-0.76142716,1.3852083683013916,[-0.8942286]
70,-0.76142716,1.3954391479492188,[-0.8942286]
71,-0.76142716,1.3910698890686035,[-0.8942286]
72,-0.76142716,1.4053959846496582,[-0.8942286]
73,-0.76142716,1.40004563331604,[-0.8942286]
74,-0.76142716,1.3969268798828125,[-0.8942286]
75,-0.76142716,1.3605942726135254,[-0.8942286]
76,-0.76142716,1.3401484489440918,[-0.8942286]
77,-0.76142716,1.384779691696167,[-0.8942286]
78,-0.76142716,1.360769510269165,[-0.8942286]
79,-0.76142716,1.342148780822754,[-0.8942286]
80,-0.76142716,4.252399921417236,[-0.8942286]
81,-0.76142716,1.3944358825683594,[-0.8942286]
82,-0.76142716,1.3475940227508545,[-0.8942286]
83,-0.76142716,1.3074557781219482,[-0.8942286]
84,-0.76142716,1.3416550159454346,[-0.8942286]
85,-0.76142716,1.3475956916809082,[-0.8942286]
86,-0.76142716,1.3154423236846924,[-0.8942286]
87,-0.76142716,1.2705087661743164,[-0.8942286]
88,-0.76142716,1.315087080001831,[-0.8942286]
89,-0.76142716,1.355346918106079,[-0.8942286]
90,-0.76142716,1.4032411575317383,[-0.8942286]
91,-0.76142716,1.3929216861724854,[-0.8942286]
92,-0.76142716,1.406339168548584,[-0.8942286]
93,-0.76142716,1.3792920112609863,[-0.8942286]
94,-0.76142716,1.393735408782959,[-0.8942286]
95,-0.76142716,1.405888319015503,[-0.8942286]
96,-0.76142716,1.4292538166046143,[-0.8942286]
97,-0.76142716,1.4169800281524658,[-0.8942286]
98,-0.76142716,1.4135284423828125,[-0.8942286]
99,-0.76142716,1.3926184177398682,[-0.8942286]
100,-0.76142716,1.4264068603515625,[-0.8942286]
101,-0.76142716,1.4199223518371582,[-0.8942286]
102,-0.76142716,1.3927433490753174,[-0.8942286]
103,-0.76142716,1.4285905361175537,[-0.8942286]
104,-0.76142716,1.4408113956451416,[-0.8942286]
105,-0.76142716,1.4087581634521484,[-0.8942286]
106,-0.76142716,1.411003828048706,[-0.8942286]
107,-0.76142716,1.3745667934417725,[-0.8942286]
108,-0.76142716,1.3748078346252441,[-0.8942286]
109,-0.76142716,1.4371616840362549,[-0.8942286]
110,-0.76142716,1.417245626449585,[-0.8942286]
111,-0.76142716,1.389861822128296,[-0.8942286]
112,-0.76142716,1.3915116786956787,[-0.8942286]
113,-0.76142716,1.4160313606262207,[-0.8942286]
114,-0.76142716,1.3693115711212158,[-0.8942286]
115,-0.76142716,1.3791306018829346,[-0.8942286]
116,-0.76142716,1.369791030883789,[-0.8942286]
117,-0.76142716,1.4334933757781982,[-0.8942286]
118,-0.76142716,1.4463386535644531,[-0.8942286]
119,-0.76142716,1.4203147888183594,[-0.8942286]
120,-0.76142716,1.3971707820892334,[-0.8942286]
121,-0.76142716,1.4028019905090332,[-0.8942286]
122,-0.76142716,1.3710830211639404,[-0.8942286]
123,-0.76142716,1.3638319969177246,[-0.8942286]
124,-0.76142716,1.3789796829223633,[-0.8942286]
125,-0.76142716,1.3136723041534424,[-0.8942286]
126,-0.76142716,1.384577751159668,[-0.8942286]
127,-0.76142716,1.3685014247894287,[-0.8942286]
128,-0.76142716,1.3791022300720215,[-0.8942286]
129,-0.76142716,1.4103500843048096,[-0.8942286]
130,-0.76142716,1.4496469497680664,[-0.8942286]
131,-0.76142716,1.390617847442627,[-0.8942286]
132,-0.76142716,1.3956990242004395,[-0.8942286]
133,-0.76142716,1.4219977855682373,[-0.8942286]
134,-0.76142716,1.3772590160369873,[-0.8942286]
135,-0.76142716,1.3921537399291992,[-0.8942286]
136,-0.76142716,1.4380464553833008,[-0.8942286]
137,-0.76142716,1.355100154876709,[-0.8942286]
138,-0.76142716,1.362633228302002,[-0.8942286]
139,-0.76142716,1.42006516456604,[-0.8942286]
140,-0.76142716,1.4244351387023926,[-0.8942286]
141,-0.76142716,1.4218645095825195,[-0.8942286]
142,-0.76142716,1.3726820945739746,[-0.8942286]
143,-0.76142716,1.4273769855499268,[-0.8942286]
144,-0.76142716,1.42280912399292,[-0.8942286]
145,-0.76142716,1.3953077793121338,[-0.8942286]
146,-0.76142716,1.3802921772003174,[-0.8942286]
147,-0.76142716,1.378614902496338,[-0.8942286]
148,-0.76142716,1.323781967163086,[-0.8942286]
149,-0.76142716,1.4781303405761719,[-0.8942286]
150,-0.76142716,1.3864612579345703,[-0.8942286]
151,-0.76142716,1.4066579341888428,[-0.8942286]
152,-0.76142716,1.3405015468597412,[-0.8942286]
153,-0.13429952,1.3483774662017822,[-0.12527847]
154,-0.13429952,1.3814353942871094,[-0.12527847]
155,-0.13429952,1.441112995147705,[-0.12527847]
156,-0.13429952,1.350114107131958,[-0.12527847]
157,-0.06387687,1.37937593460083,[-0.04883683]
158,-8.583069e-06,1.3790113925933838,[-0.00607121]
159,-8.583069e-06,1.350398063659668,[-0.00607121]
160,-8.583069e-06,1.301494836807251,[-0.00607121]
161,-8.583069e-06,1.2960331439971924,[-0.00607121]
162,-8.583069e-06,1.2942121028900146,[-0.00607121]
163,-8.583069e-06,1.355816125869751,[-0.00607121]
164,-8.583069e-06,1.3794410228729248,[-0.00607121]
165,-8.583069e-06,1.4151718616485596,[-0.00607121]
166,-8.583069e-06,1.356766939163208,[-0.00607121]
167,-8.583069e-06,1.359098196029663,[-0.00607121]
168,-8.583069e-06,1.3506836891174316,[-0.00607121]
169,-8.583069e-06,1.4271414279937744,[-0.00607121]
170,-8.583069e-06,4.2000572681427,[-0.00607121]
171,-8.583069e-06,1.3418269157409668,[-0.00607121]
172,-8.583069e-06,1.3226842880249023,[-0.00607121]
173,-8.583069e-06,1.3400168418884277,[-0.00607121]
174,-8.583069e-06,1.393791675567627,[-0.00607121]
175,-8.583069e-06,1.3445236682891846,[-0.00607121]
176,-8.583069e-06,1.3297524452209473,[-0.00607121]
177,-8.583069e-06,1.2930376529693604,[-0.00607121]
178,-8.583069e-06,1.2836589813232422,[-0.00607121]
179,-8.583069e-06,1.317491054534912,[-0.00607121]
180,-8.583069e-06,1.3849718570709229,[-0.00607121]
181,-8.583069e-06,1.3582987785339355,[-0.00607121]
182,-8.583069e-06,1.3701050281524658,[-0.00607121]
183,-8.583069e-06,1.3484439849853516,[-0.00607121]
184,-8.583069e-06,1.3723905086517334,[-0.00607121]
185,-8.583069e-06,1.4130263328552246,[-0.00607121]
186,-8.583069e-06,1.3332531452178955,[-0.00607121]
187,-8.583069e-06,1.34415602684021,[-0.00607121]
188,-8.583069e-06,1.3476593494415283,[-0.00607121]
189,-8.583069e-06,1.3997960090637207,[-0.00607121]
190,-8.583069e-06,1.3734943866729736,[-0.00607121]
191,-8.583069e-06,1.2981348037719727,[-0.00607121]
192,-8.583069e-06,1.3260281085968018,[-0.00607121]
193,-8.583069e-06,1.3113336563110352,[-0.00607121]
194,-8.583069e-06,1.2699151039123535,[-0.00607121]
195,-8.583069e-06,1.2945640087127686,[-0.00607121]
196,-8.583069e-06,1.3553142547607422,[-0.00607121]
197,-8.583069e-06,1.353658676147461,[-0.00607121]
198,-8.583069e-06,1.38877534866333,[-0.00607121]
199,-8.583069e-06,1.3768115043640137,[-0.00607121]
200,-8.583069e-06,1.4010984897613525,[-0.00607121]
201,-8.583069e-06,1.3737974166870117,[-0.00607121]
202,-8.583069e-06,1.4160492420196533,[-0.00607121]
203,-8.583069e-06,1.3945720195770264,[-0.00607121]
204,-8.583069e-06,1.365119457244873,[-0.00607121]
205,-8.583069e-06,1.4091181755065918,[-0.00607121]
206,-8.583069e-06,1.3555591106414795,[-0.00607121]
207,-8.583069e-06,1.4290645122528076,[-0.00607121]
208,-8.583069e-06,1.4087097644805908,[-0.00607121]
209,-8.583069e-06,1.3442912101745605,[-0.00607121]
210,-8.583069e-06,1.3515594005584717,[-0.00607121]
211,-8.583069e-06,1.328378677368164,[-0.00607121]
212,-8.583069e-06,1.2940995693206787,[-0.00607121]
213,-8.583069e-06,1.318326473236084,[-0.00607121]
214,-8.583069e-06,1.2735419273376465,[-0.00607121]
215,-8.583069e-06,1.2778253555297852,[-0.00607121]
216,-8.583069e-06,1.3296749591827393,[-0.00607121]
217,-8.583069e-06,1.354346513748169,[-0.00607121]
218,-8.583069e-06,1.3904845714569092,[-0.00607121]
219,-8.583069e-06,1.433349609375,[-0.00607121]
220,-8.583069e-06,1.3842592239379883,[-0.00607121]
221,-8.583069e-06,1.3904097080230713,[-0.00607121]
222,-8.583069e-06,1.3955228328704834,[-0.00607121]
223,-8.583069e-06,1.3991549015045166,[-0.00607121]
224,-8.583069e-06,1.3450384140014648,[-0.00607121]
225,-8.583069e-06,1.4471967220306396,[-0.00607121]
226,-8.583069e-06,1.3881909847259521,[-0.00607121]
227,-8.583069e-06,1.3642985820770264,[-0.00607121]
228,-8.583069e-06,1.4165730476379395,[-0.00607121]
229,-8.583069e-06,1.3381781578063965,[-0.00607121]
230,-8.583069e-06,1.3227262496948242,[-0.00607121]
231,-8.583069e-06,1.3782448768615723,[-0.00607121]
232,-8.583069e-06,1.4164979457855225,[-0.00607121]
233,-8.583069e-06,1.3838834762573242,[-0.00607121]
234,-8.583069e-06,1.3965723514556885,[-0.00607121]
235,-8.583069e-06,1.411473274230957,[-0.00607121]
236,-8.583069e-06,1.4069750308990479,[-0.00607121]
237,-8.583069e-06,1.4283087253570557,[-0.00607121]
238,-8.583069e-06,1.3668038845062256,[-0.00607121]
239,-8.583069e-06,1.343602180480957,[-0.00607121]
240,-8.583069e-06,1.386244297027588,[-0.00607121]
241,-8.583069e-06,1.3697082996368408,[-0.00607121]
242,-8.583069e-06,1.4308457374572754,[-0.00607121]
243,-8.583069e-06,1.35552978515625,[-0.00607121]
244,-8.583069e-06,1.400465488433838,[-0.00607121]
245,-8.583069e-06,1.3779213428497314,[-0.00607121]
246,-8.583069e-06,1.3905839920043945,[-0.00607121]
247,-8.583069e-06,1.3962430953979492,[-0.00607121]
248,-8.583069e-06,1.3403477668762207,[-0.00607121]
249,-8.583069e-06,1.3869693279266357,[-0.00607121]
250,-8.583069e-06,1.4227917194366455,[-0.00607121]
251,-8.583069e-06,1.3830373287200928,[-0.00607121]
252,-8.583069e-06,1.338176965713501,[-0.00607121]
253,-8.583069e-06,1.3514461517333984,[-0.00607121]
254,-8.583069e-06,1.3539814949035645,[-0.00607121]
255,-8.583069e-06,1.2628064155578613,[-0.00607121]
256,-8.583069e-06,1.2816178798675537,[-0.00607121]
257,-8.583069e-06,1.350147008895874,[-0.00607121]
258,-8.583069e-06,1.349097728729248,[-0.00607121]
259,-8.583069e-06,1.3388385772705078,[-0.00607121]
260,-8.583069e-06,1.3995885848999023,[-0.00607121]
261,-8.583069e-06,4.127617120742798,[-0.00607121]
262,-8.583069e-06,1.3707897663116455,[-0.00607121]
263,-8.583069e-06,1.3603594303131104,[-0.00607121]
264,-8.583069e-06,1.3072597980499268,[-0.00607121]
265,-8.583069e-06,1.321779489517212,[-0.00607121]
266,-8.583069e-06,1.3889837265014648,[-0.00607121]
267,-8.583069e-06,1.3427293300628662,[-0.00607121]
268,-8.583069e-06,1.4181630611419678,[-0.00607121]
269,-8.583069e-06,1.3487989902496338,[-0.00607121]
270,-8.583069e-06,1.393758773803711,[-0.00607121]
271,-8.583069e-06,1.3550584316253662,[-0.00607121]
272,-8.583069e-06,1.356334924697876,[-0.00607121]
273,-8.583069e-06,1.288750171661377,[-0.00607121]
274,-8.583069e-06,1.3313887119293213,[-0.00607121]
