iteration,max_fitness,time,test_accuracy
0,-0.76142716,0.0,-0.8942286
1,-0.76142716,1.386031150817871,[-0.8942286]
2,-0.76142716,1.4352495670318604,[-0.8942286]
3,-0.76142716,1.4009301662445068,[-0.8942286]
4,-0.76142716,1.4230985641479492,[-0.8942286]
5,-0.76142716,1.4137446880340576,[-0.8942286]
6,-0.76142716,1.3936078548431396,[-0.8942286]
7,-0.76142716,1.4120397567749023,[-0.8942286]
8,-0.76142716,1.4202358722686768,[-0.8942286]
9,-0.76142716,1.408137559890747,[-0.8942286]
10,-0.76142716,4.144025087356567,[-0.8942286]
11,-0.76142716,1.3058583736419678,[-0.8942286]
12,-0.76142716,1.3771040439605713,[-0.8942286]
13,-0.76142716,1.4111099243164062,[-0.8942286]
14,-0.76142716,1.3953640460968018,[-0.8942286]
15,-0.76142716,1.4141030311584473,[-0.8942286]
16,-0.76142716,1.3650882244110107,[-0.8942286]
17,-0.76142716,1.3737258911132812,[-0.8942286]
18,-0.76142716,1.4910013675689697,[-0.8942286]
19,-0.76142716,1.4046063423156738,[-0.8942286]
20,-0.76142716,1.396097183227539,[-0.8942286]
21,-0.76142716,1.4051830768585205,[-0.8942286]
22,-0.76142716,1.3966343402862549,[-0.8942286]
23,-0.76142716,1.3955228328704834,[-0.8942286]
24,-0.76142716,1.3989737033843994,[-0.8942286]
25,-0.76142716,1.400244951248169,[-0.8942286]
26,-0.76142716,1.3911802768707275,[-0.8942286]
27,-0.76142716,1.4231574535369873,[-0.8942286]
28,-0.76142716,1.4364292621612549,[-0.8942286]
29,-0.76142716,1.4032504558563232,[-0.8942286]
30,-0.76142716,1.4321486949920654,[-0.8942286]
31,-0.76142716,1.406376838684082,[-0.8942286]
32,-0.76142716,1.3777756690979004,[-0.8942286]
33,-0.76142716,1.3701896667480469,[-0.8942286]
34,-0.76142716,1.4130215644836426,[-0.8942286]
35,-0.76142716,1.4097514152526855,[-0.8942286]
36,-0.76142716,1.406402587890625,[-0.8942286]
37,-0.76142716,1.43550443649292,[-0.8942286]
38,-0.76142716,1.4319629669189453,[-0.8942286]
39,-0.76142716,1.3829896450042725,[-0.8942286]
40,-0.76142716,1.412907600402832,[-0.8942286]
41,-0.76142716,1.4242959022521973,[-0.8942286]
42,-0.76142716,1.3986809253692627,[-0.8942286]
43,-0.76142716,1.3970832824707031,[-0.8942286]
44,-0.76142716,1.4053645133972168,[-0.8942286]
45,-0.76142716,1.4359211921691895,[-0.8942286]
46,-0.76142716,1.3686704635620117,[-0.8942286]
47,-0.76142716,1.399827241897583,[-0.8942286]
48,-0.76142716,1.4151270389556885,[-0.8942286]
49,-0.76142716,1.407203197479248,[-0.8942286]
50,-0.76142716,1.4350194931030273,[-0.8942286]
51,-0.76142716,1.3917014598846436,[-0.8942286]
52,-0.76142716,1.4265854358673096,[-0.8942286]
