iteration,max_fitness,time,test_accuracy
0,-1.0067437,0.0,-1.5561497
1,-0.61000764,1.7684662342071533,[-0.8804172]
2,-0.13811183,1.7908284664154053,[-0.12958932]
3,-0.13811183,1.8270585536956787,[-0.12958932]
4,-0.007494092,1.8027522563934326,[-0.00071454]
5,-0.007494092,1.805724859237671,[-0.00071454]
6,-0.007494092,1.8556482791900635,[-0.00071454]
7,-0.007494092,1.85005521774292,[-0.00071454]
8,-0.007494092,1.8131780624389648,[-0.00071454]
9,-0.007494092,1.8202569484710693,[-0.00071454]
10,-0.007494092,1.8463284969329834,[-0.00071454]
11,-0.007494092,1.8419089317321777,[-0.00071454]
12,-0.007494092,1.8376922607421875,[-0.00071454]
13,-0.007494092,1.8193533420562744,[-0.00071454]
14,-0.007494092,1.8380014896392822,[-0.00071454]
15,-0.007494092,1.8232488632202148,[-0.00071454]
16,-0.007494092,1.8356842994689941,[-0.00071454]
17,-0.007494092,1.7863800525665283,[-0.00071454]
18,-0.007494092,1.8292741775512695,[-0.00071454]
19,-0.007494092,1.7917368412017822,[-0.00071454]
20,-0.007494092,1.7971808910369873,[-0.00071454]
21,-0.007494092,1.8417878150939941,[-0.00071454]
22,-0.007494092,1.811741590499878,[-0.00071454]
23,-0.007494092,1.7875473499298096,[-0.00071454]
24,-0.007494092,1.79093599319458,[-0.00071454]
25,-0.007494092,5.387188196182251,[-0.00071454]
26,-0.007494092,1.711212158203125,[-0.00071454]
27,-0.007494092,1.7831594944000244,[-0.00071454]
28,-0.007494092,1.7669768333435059,[-0.00071454]
29,-0.002717495,1.7596943378448486,[-0.01833737]
30,-0.002717495,1.7553725242614746,[-0.01833737]
31,-0.002717495,1.8053243160247803,[-0.01833737]
32,-0.002717495,1.812760353088379,[-0.01833737]
33,-0.002717495,1.7712030410766602,[-0.01833737]
34,-0.002717495,1.7296357154846191,[-0.01833737]
35,-0.002717495,1.7583975791931152,[-0.01833737]
36,-0.002717495,1.8578016757965088,[-0.01833737]
37,-0.002717495,1.7948391437530518,[-0.01833737]
38,-0.002717495,1.728550672531128,[-0.01833737]
39,-0.002717495,1.721670389175415,[-0.01833737]
40,-0.002717495,1.6147708892822266,[-0.01833737]
41,-0.002717495,1.586991310119629,[-0.01833737]
42,-0.002717495,1.726766586303711,[-0.01833737]
43,-3.5762787e-07,1.7846081256866455,[-0.00542712]
44,-3.5762787e-07,1.7533445358276367,[-0.00542712]
45,-3.5762787e-07,1.722179651260376,[-0.00542712]
46,-3.5762787e-07,1.721665382385254,[-0.00542712]
47,-3.5762787e-07,1.6970627307891846,[-0.00542712]
48,-3.5762787e-07,1.7250339984893799,[-0.00542712]
49,-3.5762787e-07,1.756340742111206,[-0.00542712]
50,-3.5762787e-07,1.7443156242370605,[-0.00542712]
51,-3.5762787e-07,1.796219825744629,[-0.00542712]
52,-3.5762787e-07,1.7722840309143066,[-0.00542712]
53,-3.5762787e-07,1.7389910221099854,[-0.00542712]
54,-3.5762787e-07,1.7716188430786133,[-0.00542712]
55,-3.5762787e-07,1.6940960884094238,[-0.00542712]
56,-3.5762787e-07,1.6452155113220215,[-0.00542712]
57,-3.5762787e-07,1.5548722743988037,[-0.00542712]
58,-3.5762787e-07,1.6844570636749268,[-0.00542712]
59,-3.5762787e-07,1.778743028640747,[-0.00542712]
60,-3.5762787e-07,1.658951997756958,[-0.00542712]
61,-3.5762787e-07,1.6850361824035645,[-0.00542712]
62,-3.5762787e-07,1.6885416507720947,[-0.00542712]
63,-3.5762787e-07,1.7370147705078125,[-0.00542712]
64,-3.5762787e-07,1.717421054840088,[-0.00542712]
65,-3.5762787e-07,1.740382194519043,[-0.00542712]
66,-3.5762787e-07,1.6189072132110596,[-0.00542712]
67,-3.5762787e-07,1.5602896213531494,[-0.00542712]
68,-3.5762787e-07,1.6105785369873047,[-0.00542712]
69,-3.5762787e-07,1.6768407821655273,[-0.00542712]
70,-3.5762787e-07,1.7623164653778076,[-0.00542712]
71,-3.5762787e-07,1.8078701496124268,[-0.00542712]
72,-3.5762787e-07,1.7691998481750488,[-0.00542712]
73,-3.5762787e-07,1.7730083465576172,[-0.00542712]
74,-3.5762787e-07,1.7957489490509033,[-0.00542712]
75,-3.5762787e-07,1.829833984375,[-0.00542712]
76,-3.5762787e-07,1.7865688800811768,[-0.00542712]
77,-3.5762787e-07,1.7667298316955566,[-0.00542712]
78,-3.5762787e-07,1.750863790512085,[-0.00542712]
79,-3.5762787e-07,1.7539212703704834,[-0.00542712]
80,-3.5762787e-07,1.7074899673461914,[-0.00542712]
81,-3.5762787e-07,1.7648851871490479,[-0.00542712]
82,-3.5762787e-07,1.7949068546295166,[-0.00542712]
83,-3.5762787e-07,1.6103496551513672,[-0.00542712]
84,-3.5762787e-07,1.567281723022461,[-0.00542712]
85,-3.5762787e-07,1.740382194519043,[-0.00542712]
86,-3.5762787e-07,1.772883653640747,[-0.00542712]
87,-3.5762787e-07,1.8299813270568848,[-0.00542712]
88,-3.5762787e-07,1.805375576019287,[-0.00542712]
89,-3.5762787e-07,1.8420028686523438,[-0.00542712]
90,-3.5762787e-07,1.8178060054779053,[-0.00542712]
91,-3.5762787e-07,1.7785377502441406,[-0.00542712]
92,-3.5762787e-07,1.7386987209320068,[-0.00542712]
93,-3.5762787e-07,1.8030545711517334,[-0.00542712]
94,-3.5762787e-07,1.788083553314209,[-0.00542712]
95,-3.5762787e-07,1.7808260917663574,[-0.00542712]
96,-3.5762787e-07,1.7760095596313477,[-0.00542712]
97,-3.5762787e-07,1.8101544380187988,[-0.00542712]
98,-3.5762787e-07,1.7775328159332275,[-0.00542712]
99,-3.5762787e-07,1.7995622158050537,[-0.00542712]
100,-3.5762787e-07,1.7711560726165771,[-0.00542712]
101,-3.5762787e-07,1.6895227432250977,[-0.00542712]
102,-3.5762787e-07,1.5764195919036865,[-0.00542712]
103,-3.5762787e-07,1.6081390380859375,[-0.00542712]
104,-3.5762787e-07,1.698754072189331,[-0.00542712]
105,-3.5762787e-07,1.7723898887634277,[-0.00542712]
106,-3.5762787e-07,1.737990140914917,[-0.00542712]
