iteration,max_fitness,time,test_accuracy
0,0.001078546,0.0,0.0038567185
1,0.001078546,11.402766942977905,[0.00385672]
2,0.001078546,11.246577978134155,[0.00385672]
3,0.001078546,11.661434650421143,[0.00385672]
4,0.001078546,11.650514841079712,[0.00385672]
5,0.001078546,11.389259338378906,[0.00385672]
6,0.001078546,11.296435832977295,[0.00385672]
7,0.15298176,11.532269477844238,[0.08879447]
8,0.15298176,11.501924276351929,[0.08879447]
9,0.2193039,11.285178661346436,[0.11434275]
10,0.3491133,11.380254983901978,[0.18488222]
11,0.3491133,11.343295812606812,[0.18488222]
12,0.3491133,11.229844808578491,[0.18488222]
13,0.3491133,11.294005870819092,[0.18488222]
14,0.3491133,10.706959247589111,[0.18488222]
15,0.3491133,11.310961246490479,[0.18488222]
16,0.3491133,11.414414167404175,[0.18488222]
17,0.3491133,11.206202268600464,[0.18488222]
18,0.3491133,11.404213190078735,[0.18488222]
19,0.3844434,11.280821323394775,[0.17674685]
20,0.44781184,11.42169976234436,[0.29044896]
21,0.46985996,11.136218309402466,[0.33580118]
22,0.46985996,11.19429326057434,[0.33580118]
23,0.46985996,11.444241523742676,[0.33580118]
24,0.46985996,11.351465463638306,[0.33580118]
25,0.46985996,11.364402770996094,[0.33580118]
26,0.47142756,11.265431642532349,[0.34152293]
27,0.47142756,11.32386565208435,[0.34152293]
28,0.47484404,11.426184892654419,[0.33680618]
29,0.47484404,11.259788751602173,[0.33680618]
30,0.47484404,11.378735065460205,[0.33680618]
31,0.47484404,11.338305711746216,[0.33680618]
32,0.47484404,11.439626216888428,[0.33680618]
33,0.47484404,11.515403985977173,[0.33680618]
34,0.47484404,11.415460109710693,[0.33680618]
35,0.47484404,11.37630033493042,[0.33680618]
36,0.47484404,11.518290758132935,[0.33680618]
37,0.47484404,11.333219289779663,[0.33680618]
38,0.47709596,11.322116136550903,[0.3271644]
39,0.47864163,11.28295636177063,[0.33701253]
40,0.47864163,11.298769474029541,[0.33701253]
41,0.47864163,11.4584801197052,[0.33701253]
42,0.48049724,11.32171368598938,[0.34175557]
43,0.48049724,11.454460144042969,[0.34175557]
44,0.48072785,11.338208198547363,[0.3443187]
45,0.48072785,11.499779224395752,[0.3443187]
46,0.48072785,11.254324197769165,[0.3443187]
47,0.48420054,11.405895233154297,[0.35586226]
48,0.48420054,11.232354640960693,[0.35586226]
49,0.48478013,11.261461734771729,[0.35298216]
50,0.48515362,11.241790771484375,[0.35664648]
51,0.4859569,11.454861164093018,[0.3600728]
52,0.4859569,11.633020639419556,[0.3600728]
53,0.4859569,11.666712999343872,[0.3600728]
54,0.488599,11.36736249923706,[0.3608963]
55,0.48908067,11.359221935272217,[0.36313695]
56,0.48908067,11.462952375411987,[0.36313695]
57,0.49065435,11.530180215835571,[0.36536783]
58,0.4918369,11.320693731307983,[0.36497313]
59,0.4918369,11.365232229232788,[0.36497313]
60,0.4918369,11.418168544769287,[0.36497313]
61,0.4918369,11.402564287185669,[0.36497313]
62,0.4952317,11.260571718215942,[0.3728615]
63,0.4952317,11.384099960327148,[0.3728615]
64,0.4952317,18.136527061462402,[0.3728615]
65,0.6015331,11.467866897583008,[0.4286998]
66,0.6015331,11.729215145111084,[0.4286998]
67,0.6015331,11.468865394592285,[0.4286998]
68,0.6015331,11.402295351028442,[0.4286998]
69,0.6015331,11.648833513259888,[0.4286998]
70,0.6015331,11.624891757965088,[0.4286998]
71,0.60646766,11.51399040222168,[0.41671658]
72,0.60646766,11.649762868881226,[0.41671658]
73,0.60661787,11.527199268341064,[0.41677588]
74,0.60661787,11.566337823867798,[0.41677588]
75,0.60661787,11.594909191131592,[0.41677588]
76,0.60661787,11.466733932495117,[0.41677588]
77,0.60661787,11.452465772628784,[0.41677588]
78,0.60661787,11.65082049369812,[0.41677588]
79,0.60661787,11.641109943389893,[0.41677588]
80,0.60661787,11.771604776382446,[0.41677588]
81,0.60661787,11.668449878692627,[0.41677588]
82,0.60661787,11.486342430114746,[0.41677588]
83,0.60661787,11.62560224533081,[0.41677588]
84,0.6172964,11.591248273849487,[0.4448703]
85,0.6207719,11.374133110046387,[0.4305364]
86,0.64710975,11.358651399612427,[0.53736883]
87,0.67286825,11.48362684249878,[0.5510417]
88,0.6847503,11.51671314239502,[0.572806]
89,0.6964433,11.56070876121521,[0.5948207]
90,0.70398104,11.549783706665039,[0.60843]
91,0.7046254,11.45543360710144,[0.60848266]
92,0.7057092,11.480816841125488,[0.62637275]
93,0.7065153,11.606257438659668,[0.62478036]
94,0.7065153,11.561554908752441,[0.62478036]
95,0.7247772,11.66667127609253,[0.65496504]
96,0.7247772,11.6678147315979,[0.65496504]
97,0.7247772,11.62462854385376,[0.65496504]
98,0.7247772,11.57067084312439,[0.65496504]
99,0.72485685,11.55458950996399,[0.6546681]
100,0.7251954,10.887306928634644,[0.6516489]
101,0.7251954,11.624594688415527,[0.6516489]
102,0.7251954,11.662270307540894,[0.6516489]
103,0.7251954,11.689975261688232,[0.6516489]
104,0.7251954,11.637742757797241,[0.6516489]
105,0.7253232,11.362124919891357,[0.65247226]
106,0.7253232,11.613256454467773,[0.65247226]
107,0.7253906,11.701717853546143,[0.6538945]
108,0.7253906,11.678308725357056,[0.6538945]
109,0.7253906,11.766613483428955,[0.6538945]
110,0.7253906,11.485902786254883,[0.6538945]
111,0.7253906,11.69409990310669,[0.6538945]
112,0.7253906,11.467969417572021,[0.6538945]
113,0.7253906,11.616406440734863,[0.6538945]
114,0.7253906,11.467841148376465,[0.6538945]
115,0.7253906,11.692668199539185,[0.6538945]
116,0.7253906,11.657732009887695,[0.6538945]
117,0.7253906,11.924525499343872,[0.6538945]
118,0.7253906,11.741143226623535,[0.6538945]
119,0.7253906,11.62440013885498,[0.6538945]
120,0.7253906,11.543588399887085,[0.6538945]
121,0.7253906,11.505483865737915,[0.6538945]
122,0.7253906,11.501746654510498,[0.6538945]
123,0.7253906,11.63741421699524,[0.6538945]
124,0.7253906,11.716058015823364,[0.6538945]
125,0.7253906,11.50485110282898,[0.6538945]
126,0.7253906,11.47467565536499,[0.6538945]
127,0.7253906,11.452465772628784,[0.6538945]
128,0.7253906,11.429657220840454,[0.6538945]
129,0.7253906,11.50059962272644,[0.6538945]
130,0.7254038,11.40508484840393,[0.6525425]
131,0.7254038,11.505016326904297,[0.6525425]
132,0.7254038,11.592990398406982,[0.6525425]
133,0.7254038,11.888992309570312,[0.6525425]
134,0.7254038,11.540845155715942,[0.6525425]
135,0.7254038,11.62669038772583,[0.6525425]
136,0.7254038,11.464774131774902,[0.6525425]
137,0.7254038,11.444102048873901,[0.6525425]
138,0.7254038,11.73899531364441,[0.6525425]
139,0.72550035,11.423625469207764,[0.6525413]
140,0.72550035,11.418051958084106,[0.6525413]
141,0.72550035,11.342161655426025,[0.6525413]
142,0.72550035,11.423858165740967,[0.6525413]
143,0.72550035,11.374781608581543,[0.6525413]
144,0.72550035,11.509069919586182,[0.6525413]
145,0.72550035,11.601193189620972,[0.6525413]
146,0.72550035,11.636924505233765,[0.6525413]
147,0.72550035,11.5444176197052,[0.6525413]
148,0.72550035,11.590337753295898,[0.6525413]
149,0.72550035,11.37443995475769,[0.6525413]
150,0.72550035,11.42886233329773,[0.6525413]
151,0.72550035,11.6007981300354,[0.6525413]
152,0.72550035,11.528409481048584,[0.6525413]
153,0.72550035,18.428472995758057,[0.6525413]
154,0.72550035,11.659379482269287,[0.6525413]
155,0.72550035,11.645132541656494,[0.6525413]
156,0.72550035,11.479283809661865,[0.6525413]
157,0.72550035,11.404032945632935,[0.6525413]
158,0.72550035,11.351882219314575,[0.6525413]
159,0.72550035,11.562477111816406,[0.6525413]
160,0.72550035,11.64067792892456,[0.6525413]
161,0.72550035,11.450730562210083,[0.6525413]
162,0.7255044,11.626225709915161,[0.65308213]
163,0.7255044,11.420710325241089,[0.65308213]
164,0.7255044,11.56376338005066,[0.65308213]
165,0.7255044,11.416210412979126,[0.65308213]
166,0.7255044,11.421361446380615,[0.65308213]
167,0.7255044,11.452292680740356,[0.65308213]
168,0.7255044,11.525792598724365,[0.65308213]
169,0.7255044,11.41681981086731,[0.65308213]
170,0.7255044,11.364614248275757,[0.65308213]
171,0.7255044,11.415730476379395,[0.65308213]
172,0.7255044,11.419773578643799,[0.65308213]
173,0.7255044,11.656776189804077,[0.65308213]
174,0.7255044,11.607574462890625,[0.65308213]
175,0.7255044,11.362284183502197,[0.65308213]
176,0.7255044,11.547016859054565,[0.65308213]
177,0.7255044,11.553922653198242,[0.65308213]
178,0.7255044,11.50672459602356,[0.65308213]
179,0.7255044,11.549252033233643,[0.65308213]
180,0.7255044,11.621208190917969,[0.65308213]
181,0.7255044,11.749350309371948,[0.65308213]
182,0.7255044,11.699699401855469,[0.65308213]
183,0.7255044,11.43090033531189,[0.65308213]
184,0.7255044,11.309687852859497,[0.65308213]
185,0.7255044,11.498814582824707,[0.65308213]
186,0.7255044,11.488843441009521,[0.65308213]
187,0.7255044,11.47247314453125,[0.65308213]
188,0.7255044,10.97212028503418,[0.65308213]
189,0.7255044,11.357452630996704,[0.65308213]
190,0.7255044,11.399538040161133,[0.65308213]
191,0.7255044,11.378329038619995,[0.65308213]
192,0.7255044,11.528867483139038,[0.65308213]
193,0.7255044,11.449085235595703,[0.65308213]
194,0.7255044,11.282824039459229,[0.65308213]
195,0.7255044,11.49160647392273,[0.65308213]
196,0.7255044,11.48468804359436,[0.65308213]
197,0.7255044,11.608843088150024,[0.65308213]
198,0.7255044,11.385706663131714,[0.65308213]
199,0.7255044,11.50766396522522,[0.65308213]
200,0.7255044,11.457150936126709,[0.65308213]
201,0.7255044,11.714550256729126,[0.65308213]
202,0.7255044,11.610730409622192,[0.65308213]
203,0.7255044,11.43263578414917,[0.65308213]
204,0.7255044,11.481871366500854,[0.65308213]
205,0.7255044,11.408138751983643,[0.65308213]
206,0.7255044,11.417723178863525,[0.65308213]
207,0.7255044,11.569069623947144,[0.65308213]
208,0.7255044,11.399978637695312,[0.65308213]
209,0.7255044,11.616349935531616,[0.65308213]
210,0.7255135,11.382030963897705,[0.65285957]
211,0.7255135,11.44706678390503,[0.65285957]
212,0.7255135,11.533797264099121,[0.65285957]
213,0.7255135,11.76996636390686,[0.65285957]
214,0.7255135,11.602210283279419,[0.65285957]
215,0.7255135,11.538531064987183,[0.65285957]
216,0.7255135,11.41597318649292,[0.65285957]
217,0.7255135,11.422906875610352,[0.65285957]
218,0.7255135,11.36448860168457,[0.65285957]
219,0.7255135,11.344693660736084,[0.65285957]
220,0.7255135,11.354687213897705,[0.65285957]
221,0.7255135,11.432230234146118,[0.65285957]
222,0.7255135,11.344324111938477,[0.65285957]
223,0.7255135,11.510873317718506,[0.65285957]
224,0.7255135,11.396780967712402,[0.65285957]
225,0.7255135,11.43852186203003,[0.65285957]
226,0.7255135,11.53611445426941,[0.65285957]
227,0.7255135,11.63645625114441,[0.65285957]
228,0.7255135,11.724670648574829,[0.65285957]
229,0.7255135,11.629622220993042,[0.65285957]
230,0.7255135,11.619741916656494,[0.65285957]
231,0.7255135,11.635506629943848,[0.65285957]
232,0.7255135,11.476406335830688,[0.65285957]
233,0.7255135,11.575990915298462,[0.65285957]
234,0.7255135,11.543452024459839,[0.65285957]
235,0.7255135,11.447248458862305,[0.65285957]
236,0.7255135,11.359492540359497,[0.65285957]
237,0.7255135,11.673555612564087,[0.65285957]
238,0.7255135,11.571702003479004,[0.65285957]
239,0.7255135,11.631556749343872,[0.65285957]
240,0.7255135,11.319154500961304,[0.65285957]
241,0.7255135,18.412848711013794,[0.65285957]
242,0.7255135,11.439011573791504,[0.65285957]
243,0.7255135,11.511674165725708,[0.65285957]
244,0.7255135,11.426331281661987,[0.65285957]
245,0.7255135,11.637756824493408,[0.65285957]
246,0.7255135,11.386752843856812,[0.65285957]
247,0.7255135,11.6455557346344,[0.65285957]
248,0.7255135,11.626861333847046,[0.65285957]
249,0.7255135,11.539208173751831,[0.65285957]
250,0.7255135,11.579103708267212,[0.65285957]
251,0.7255135,11.733601570129395,[0.65285957]
252,0.7255135,11.712019681930542,[0.65285957]
253,0.7255135,11.545024871826172,[0.65285957]
254,0.7255135,11.491939783096313,[0.65285957]
255,0.7255135,11.466975212097168,[0.65285957]
256,0.7255135,11.450539350509644,[0.65285957]
257,0.7255135,11.618592023849487,[0.65285957]
258,0.7255135,11.535991907119751,[0.65285957]
259,0.7255135,11.450392007827759,[0.65285957]
260,0.7255135,11.4058837890625,[0.65285957]
261,0.7255135,11.645451068878174,[0.65285957]
262,0.7255135,11.56671142578125,[0.65285957]
263,0.7255135,11.464996576309204,[0.65285957]
264,0.7255135,11.72568130493164,[0.65285957]
265,0.7255135,11.418376207351685,[0.65285957]
266,0.7255135,11.448731184005737,[0.65285957]
267,0.7255135,11.593258380889893,[0.65285957]
268,0.7255135,11.710517883300781,[0.65285957]
269,0.7255135,11.857299566268921,[0.65285957]
270,0.7255135,11.683865547180176,[0.65285957]
271,0.7255135,11.568399667739868,[0.65285957]
272,0.7255135,11.513060092926025,[0.65285957]
273,0.7255135,11.565425157546997,[0.65285957]
274,0.7255135,11.313282251358032,[0.65285957]
275,0.7255135,11.463740110397339,[0.65285957]
276,0.7255135,11.12102723121643,[0.65285957]
277,0.7255135,11.253473997116089,[0.65285957]
278,0.7255135,11.430524587631226,[0.65285957]
279,0.7255135,11.41958999633789,[0.65285957]
280,0.7255135,11.404247999191284,[0.65285957]
281,0.7255135,11.403806924819946,[0.65285957]
282,0.7255135,11.628153800964355,[0.65285957]
283,0.7255135,11.726171493530273,[0.65285957]
284,0.7255135,11.463508129119873,[0.65285957]
285,0.7255135,11.498109340667725,[0.65285957]
286,0.7255135,11.468356132507324,[0.65285957]
287,0.7255135,11.521678686141968,[0.65285957]
288,0.7255135,11.8376145362854,[0.65285957]
289,0.7255135,11.613319396972656,[0.65285957]
290,0.7255135,11.642430782318115,[0.65285957]
291,0.7282869,11.67223834991455,[0.6274598]
292,0.7283137,11.670596361160278,[0.62739074]
293,0.7283137,11.412162780761719,[0.62739074]
294,0.7283137,11.651413679122925,[0.62739074]
295,0.7283137,11.678906202316284,[0.62739074]
296,0.7283137,11.3004469871521,[0.62739074]
297,0.7283137,11.416224241256714,[0.62739074]
298,0.7283137,11.395607233047485,[0.62739074]
299,0.728432,11.438361883163452,[0.628087]
300,0.728432,11.394949436187744,[0.628087]
301,0.728432,11.82530164718628,[0.628087]
302,0.728432,11.366609811782837,[0.628087]
303,0.728432,11.324676990509033,[0.628087]
304,0.728485,11.557774782180786,[0.6282835]
305,0.728485,11.660324096679688,[0.6282835]
306,0.728485,11.625293254852295,[0.6282835]
307,0.728485,11.594934225082397,[0.6282835]
308,0.728485,11.550062417984009,[0.6282835]
309,0.728485,11.584299802780151,[0.6282835]
310,0.728485,11.324384927749634,[0.6282835]
311,0.728485,11.332823276519775,[0.6282835]
312,0.728485,11.470841646194458,[0.6282835]
313,0.73008335,11.551202058792114,[0.5914576]
314,0.73024285,11.54823899269104,[0.5836222]
315,0.73024285,11.585304975509644,[0.5836222]
316,0.73032606,11.799065113067627,[0.5850302]
317,0.73032606,11.77830457687378,[0.5850302]
318,0.73032606,11.557177782058716,[0.5850302]
319,0.73032606,11.560571670532227,[0.5850302]
320,0.7306869,11.659576416015625,[0.5901952]
321,0.7306869,11.441025018692017,[0.5901952]
322,0.7306869,11.418301105499268,[0.5901952]
323,0.7306869,11.446834325790405,[0.5901952]
324,0.7306869,11.462252378463745,[0.5901952]
325,0.7306869,11.390156507492065,[0.5901952]
326,0.7306869,11.519120454788208,[0.5901952]
327,0.7306869,11.45012879371643,[0.5901952]
328,0.7306869,11.38994812965393,[0.5901952]
329,0.7306869,11.345647096633911,[0.5901952]
330,0.7306869,11.543506860733032,[0.5901952]
331,0.7306869,18.320794582366943,[0.5901952]
332,0.7306869,11.499041318893433,[0.5901952]
333,0.7306869,11.478041648864746,[0.5901952]
334,0.7306869,11.667482614517212,[0.5901952]
335,0.7306869,11.541049480438232,[0.5901952]
336,0.7306869,11.486630916595459,[0.5901952]
337,0.7306869,11.458863735198975,[0.5901952]
338,0.7306869,11.51634669303894,[0.5901952]
339,0.7306869,11.635809183120728,[0.5901952]
340,0.7306869,11.552436590194702,[0.5901952]
341,0.7306869,11.458184003829956,[0.5901952]
342,0.7306869,11.613258600234985,[0.5901952]
343,0.7306869,11.496555805206299,[0.5901952]
344,0.7306869,11.55852198600769,[0.5901952]
345,0.7306869,11.537766695022583,[0.5901952]
346,0.7306869,11.703381776809692,[0.5901952]
