iteration,max_fitness,time,test_accuracy
0,-0.047788262,0.0,-0.10353565
1,-0.047788262,1.6813616752624512,[-0.10353565]
2,-0.047788262,1.4615983963012695,[-0.10353565]
3,-0.047788262,1.3259341716766357,[-0.10353565]
4,-0.047788262,1.731266975402832,[-0.10353565]
5,-0.04486823,1.5052149295806885,[-0.04175901]
6,-0.04486823,1.5216064453125,[-0.04175901]
7,-0.04486823,1.3673903942108154,[-0.04175901]
8,-0.04486823,1.3205556869506836,[-0.04175901]
9,-0.04486823,1.3039448261260986,[-0.04175901]
10,-0.04486823,1.461808681488037,[-0.04175901]
11,-0.04486823,1.5227935314178467,[-0.04175901]
12,-0.04486823,1.6157174110412598,[-0.04175901]
13,-0.04486823,1.5220527648925781,[-0.04175901]
14,-0.0005120039,1.35231614112854,[-0.00072408]
15,-0.0005120039,1.351149082183838,[-0.00072408]
16,-0.0005120039,1.3488340377807617,[-0.00072408]
17,-0.0005120039,1.4883873462677002,[-0.00072408]
18,-0.0005120039,1.4524707794189453,[-0.00072408]
19,-0.0005120039,1.2642688751220703,[-0.00072408]
20,-0.0005120039,1.3864185810089111,[-0.00072408]
21,-0.0005120039,1.6617958545684814,[-0.00072408]
22,-0.0005120039,1.4894423484802246,[-0.00072408]
23,-0.0005120039,1.2614233493804932,[-0.00072408]
24,-0.0005120039,1.453584909439087,[-0.00072408]
25,-0.0005120039,1.330810785293579,[-0.00072408]
26,-0.0005120039,1.4730112552642822,[-0.00072408]
27,-0.0005120039,3.9469845294952393,[-0.00072408]
28,-0.0005120039,1.3752467632293701,[-0.00072408]
29,-0.0005120039,1.3908791542053223,[-0.00072408]
30,-0.0005120039,1.5097687244415283,[-0.00072408]
31,-1.8000603e-05,1.3218772411346436,[-0.0024389]
32,-1.8000603e-05,1.4531176090240479,[-0.0024389]
33,-1.8000603e-05,1.3026995658874512,[-0.0024389]
34,-1.8000603e-05,1.4362525939941406,[-0.0024389]
35,-1.8000603e-05,1.3030517101287842,[-0.0024389]
36,-1.8000603e-05,1.3063924312591553,[-0.0024389]
37,-1.8000603e-05,1.41243314743042,[-0.0024389]
38,-1.8000603e-05,1.278968334197998,[-0.0024389]
39,-1.8000603e-05,1.2768080234527588,[-0.0024389]
40,-1.8000603e-05,1.2953627109527588,[-0.0024389]
41,-1.8000603e-05,1.3341186046600342,[-0.0024389]
42,-1.8000603e-05,1.3183073997497559,[-0.0024389]
43,-1.8000603e-05,1.3185813426971436,[-0.0024389]
44,-1.8000603e-05,1.3506534099578857,[-0.0024389]
45,-1.8000603e-05,1.3484728336334229,[-0.0024389]
46,-1.8000603e-05,1.348529577255249,[-0.0024389]
47,-1.8000603e-05,1.3408732414245605,[-0.0024389]
48,-1.8000603e-05,1.3438141345977783,[-0.0024389]
49,-1.8000603e-05,1.3398454189300537,[-0.0024389]
50,-1.8000603e-05,1.5508842468261719,[-0.0024389]
51,-1.8000603e-05,1.3473169803619385,[-0.0024389]
52,-1.8000603e-05,1.486358880996704,[-0.0024389]
53,-1.8000603e-05,1.3506627082824707,[-0.0024389]
54,-1.8000603e-05,1.3669447898864746,[-0.0024389]
55,-1.8000603e-05,1.5464060306549072,[-0.0024389]
56,-1.8000603e-05,1.4841623306274414,[-0.0024389]
57,-1.8000603e-05,1.3082733154296875,[-0.0024389]
58,-1.8000603e-05,1.3116352558135986,[-0.0024389]
59,-1.8000603e-05,1.4274611473083496,[-0.0024389]
60,-1.8000603e-05,1.447768211364746,[-0.0024389]
61,-1.8000603e-05,1.3496754169464111,[-0.0024389]
62,-1.8000603e-05,1.3553693294525146,[-0.0024389]
63,-1.8000603e-05,1.5107862949371338,[-0.0024389]
64,-1.8000603e-05,1.3824868202209473,[-0.0024389]
65,-1.8000603e-05,1.3678059577941895,[-0.0024389]
66,-1.8000603e-05,1.3734638690948486,[-0.0024389]
67,-1.8000603e-05,1.3705799579620361,[-0.0024389]
68,-1.8000603e-05,1.5383694171905518,[-0.0024389]
69,-1.8000603e-05,1.3382160663604736,[-0.0024389]
70,-1.8000603e-05,1.2987613677978516,[-0.0024389]
71,-1.8000603e-05,1.300360918045044,[-0.0024389]
72,-1.8000603e-05,1.3488147258758545,[-0.0024389]
73,-1.8000603e-05,1.4877746105194092,[-0.0024389]
74,-1.8000603e-05,1.5254299640655518,[-0.0024389]
75,-1.8000603e-05,1.4363906383514404,[-0.0024389]
76,-1.8000603e-05,1.4717817306518555,[-0.0024389]
77,-1.8000603e-05,1.5478687286376953,[-0.0024389]
