iteration,max_fitness,time,test_accuracy
0,-14.629838,0.0,-26.583998
1,-14.629838,13.899813652038574,[-26.583998]
2,-14.409451,13.865197658538818,[-27.465971]
3,-14.409451,13.80388331413269,[-27.465971]
4,-14.396068,13.83110523223877,[-27.456566]
5,-14.389765,13.878966093063354,[-27.432701]
6,-14.389765,13.956036567687988,[-27.432701]
7,-13.945096,13.77394151687622,[-25.910635]
8,-13.795486,13.876232385635376,[-26.563194]
9,-13.780831,13.807474613189697,[-26.887123]
10,-13.7561035,13.981637716293335,[-26.288324]
11,-13.7339115,14.085631370544434,[-27.332848]
12,-13.153677,14.048585176467896,[-28.00672]
13,-7.052514,13.806695222854614,[-19.414604]
14,-2.526413,14.16985034942627,[-8.720731]
15,-2.5136743,14.258949995040894,[-8.882166]
16,-2.4972835,14.19541883468628,[-9.288809]
17,-2.4972835,13.99155879020691,[-9.288809]
18,-2.4972835,13.953824758529663,[-9.288809]
19,-2.4972835,14.068904876708984,[-9.288809]
20,-2.462886,13.898183345794678,[-9.160101]
21,-2.462886,13.955970287322998,[-9.160101]
22,-2.4621744,13.894031047821045,[-8.597392]
23,-0.84799814,13.80961537361145,[-2.6410484]
24,-0.81761134,13.790329933166504,[-1.9799514]
25,-0.54555666,14.08600401878357,[-1.5833256]
26,-0.12824011,14.022001028060913,[0.02611369]
27,-0.12075019,13.876724481582642,[-0.0042752]
28,-0.12002206,13.955153942108154,[-0.0084486]
29,-0.12002206,14.037729978561401,[-0.0084486]
30,0.5568992,14.016969203948975,[0.31168628]
31,0.7888187,14.027212858200073,[0.8215386]
32,0.7888187,14.04432725906372,[0.8215386]
33,0.7888187,14.007137775421143,[0.8215386]
34,0.7888187,14.117969274520874,[0.8215386]
35,0.7888187,13.991467475891113,[0.8215386]
36,0.7888187,13.890777111053467,[0.8215386]
37,0.7888187,13.899164199829102,[0.8215386]
38,0.7888187,13.948172092437744,[0.8215386]
39,0.7888187,14.044775485992432,[0.8215386]
40,0.7888187,13.792749881744385,[0.8215386]
41,0.7888187,13.816710948944092,[0.8215386]
42,0.7888187,13.83350396156311,[0.8215386]
43,0.7888187,13.81797194480896,[0.8215386]
44,0.7888187,13.972855806350708,[0.8215386]
45,0.7888187,13.831095695495605,[0.8215386]
46,0.7888187,13.740427494049072,[0.8215386]
47,0.7888187,13.619728803634644,[0.8215386]
48,0.7888187,13.763335704803467,[0.8215386]
49,0.7888187,13.686155319213867,[0.8215386]
50,0.7888187,13.719584703445435,[0.8215386]
51,0.7888187,13.906711339950562,[0.8215386]
52,0.7888187,13.808681964874268,[0.8215386]
53,0.7888187,13.678304433822632,[0.8215386]
54,0.7888187,13.89218544960022,[0.8215386]
55,0.7888187,13.805112600326538,[0.8215386]
56,0.7888187,13.785665512084961,[0.8215386]
57,0.7888187,13.590611219406128,[0.8215386]
58,0.8034178,13.760483980178833,[0.1991815]
59,0.8034178,13.69543170928955,[0.1991815]
60,0.8034178,13.696536302566528,[0.1991815]
61,0.8034178,13.659092903137207,[0.1991815]
62,0.8034178,13.554249286651611,[0.1991815]
63,0.87499094,13.71545124053955,[0.5225086]
64,0.90281135,14.004019260406494,[0.53331226]
65,0.9142259,13.762398481369019,[0.64433575]
66,0.9171367,13.685096740722656,[0.56561613]
67,0.9186903,13.876347064971924,[0.6013793]
68,0.9195234,13.92815351486206,[0.6105952]
69,0.920129,13.880138397216797,[0.6466758]
70,0.9202013,14.034780740737915,[0.6518154]
71,0.9202013,13.996545553207397,[0.6518154]
72,0.9202013,13.908421754837036,[0.6518154]
73,0.9202517,13.885581731796265,[0.64913696]
74,0.9202517,13.951709747314453,[0.64913696]
75,0.9202517,13.980833292007446,[0.64913696]
76,0.9202517,13.897534370422363,[0.64913696]
77,0.9202517,14.076043844223022,[0.64913696]
78,0.9202517,14.144534826278687,[0.64913696]
79,0.9202755,13.833174228668213,[0.655174]
80,0.9202755,13.889224529266357,[0.655174]
81,0.9203165,13.700888633728027,[0.65009105]
82,0.9203165,13.771404027938843,[0.65009105]
83,0.9203165,13.745116233825684,[0.65009105]
84,0.9203165,13.937730312347412,[0.65009105]
85,0.9203165,13.787337064743042,[0.65009105]
86,0.9218759,13.816525936126709,[0.66161084]
87,0.9218759,13.951841115951538,[0.66161084]
88,0.9218759,13.701588153839111,[0.66161084]
89,0.9218759,13.660688161849976,[0.66161084]
90,0.9218759,13.619633913040161,[0.66161084]
91,0.9218759,22.509400367736816,[0.66161084]
92,0.9220255,13.707350730895996,[0.6574665]
93,0.9224422,13.972188949584961,[0.64936197]
94,0.9229112,13.81623387336731,[0.67434627]
95,0.9232667,13.812391996383667,[0.66566485]
96,0.9232667,13.690160036087036,[0.66566485]
97,0.9235734,13.502915143966675,[0.6753653]
98,0.9235734,13.840126991271973,[0.6753653]
99,0.9238155,13.925178289413452,[0.6851941]
100,0.9242189,13.940324306488037,[0.6440879]
101,0.9248773,13.996961832046509,[0.68362653]
102,0.9251593,13.893604516983032,[0.6531644]
103,0.9251593,13.801664590835571,[0.6531644]
104,0.9258692,13.98697829246521,[0.6589209]
105,0.92607516,13.884341478347778,[0.6860135]
106,0.9263401,13.940294981002808,[0.6915916]
107,0.92647076,13.838804006576538,[0.68383455]
108,0.9266136,13.728159189224243,[0.69183683]
109,0.926862,13.878708600997925,[0.67398566]
110,0.926862,13.87480640411377,[0.67398566]
