iteration,max_fitness,time,test_accuracy
0,-0.57926905,0.0,0.25922638
1,-0.57926905,0.871997594833374,[0.25922638]
2,-0.57926905,0.8133690357208252,[0.25922638]
3,-0.57926905,0.8259580135345459,[0.25922638]
4,-0.57926905,0.8597750663757324,[0.25922638]
5,-0.57926905,0.8415670394897461,[0.25922638]
6,-0.57926905,0.8262073993682861,[0.25922638]
7,-0.57926905,0.793914794921875,[0.25922638]
8,-0.57926905,0.8658413887023926,[0.25922638]
9,-0.57926905,0.8045549392700195,[0.25922638]
10,-0.57926905,0.8348495960235596,[0.25922638]
11,-0.57926905,0.8282191753387451,[0.25922638]
12,-0.57926905,3.411720037460327,[0.25922638]
13,-0.57926905,0.793341875076294,[0.25922638]
14,-0.57477903,0.7910020351409912,[-4.2845864]
15,-0.57477903,0.8381443023681641,[-4.2845864]
16,-0.57477903,0.8484630584716797,[-4.2845864]
17,-0.57477903,0.8579580783843994,[-4.2845864]
18,-0.57477903,0.8394150733947754,[-4.2845864]
19,-0.57477903,0.8561537265777588,[-4.2845864]
20,-0.57477903,0.8099915981292725,[-4.2845864]
21,-0.57477903,0.8560326099395752,[-4.2845864]
22,-0.57477903,0.9026446342468262,[-4.2845864]
23,-0.57477903,0.8582262992858887,[-4.2845864]
24,-0.57477903,0.8163917064666748,[-4.2845864]
25,-0.57477903,0.8501150608062744,[-4.2845864]
26,-0.57477903,0.8275241851806641,[-4.2845864]
27,-0.57477903,0.8170416355133057,[-4.2845864]
28,-0.57477903,0.7972121238708496,[-4.2845864]
29,-0.57477903,0.792813777923584,[-4.2845864]
30,-0.57477903,0.8246762752532959,[-4.2845864]
31,-0.57477903,0.8701322078704834,[-4.2845864]
32,-0.57477903,0.8336670398712158,[-4.2845864]
33,-0.57477903,0.810387372970581,[-4.2845864]
34,-0.57477903,0.8300983905792236,[-4.2845864]
35,-0.57477903,0.8285973072052002,[-4.2845864]
36,-0.57477903,0.8740386962890625,[-4.2845864]
37,-0.57477903,0.8117737770080566,[-4.2845864]
38,-0.57477903,0.8745300769805908,[-4.2845864]
39,-0.57477903,0.856682538986206,[-4.2845864]
40,-0.57477903,0.8204200267791748,[-4.2845864]
41,-0.57477903,0.8355205059051514,[-4.2845864]
42,-0.57477903,0.807548999786377,[-4.2845864]
43,-0.57477903,0.8089525699615479,[-4.2845864]
44,-0.57477903,0.8621783256530762,[-4.2845864]
45,-0.57477903,0.8110301494598389,[-4.2845864]
46,-0.57477903,0.8450407981872559,[-4.2845864]
47,-0.57477903,0.8121354579925537,[-4.2845864]
48,-0.57477903,0.842670202255249,[-4.2845864]
49,-0.57477903,0.8116810321807861,[-4.2845864]
50,-0.57477903,0.8097536563873291,[-4.2845864]
51,-0.57477903,0.8468616008758545,[-4.2845864]
52,-0.57477903,0.8130209445953369,[-4.2845864]
53,-0.57477903,0.8041553497314453,[-4.2845864]
54,-0.57477903,0.8428642749786377,[-4.2845864]
55,-0.57477903,0.8404920101165771,[-4.2845864]
56,-0.57477903,0.840407133102417,[-4.2845864]
57,-0.57477903,0.8770034313201904,[-4.2845864]
58,-0.57477903,0.871150016784668,[-4.2845864]
59,-0.57477903,0.8610062599182129,[-4.2845864]
60,-0.57477903,0.8808162212371826,[-4.2845864]
61,-0.57477903,0.8294191360473633,[-4.2845864]
62,-0.57477903,0.8176515102386475,[-4.2845864]
63,-0.57477903,0.862623929977417,[-4.2845864]
64,-0.30316043,0.8422136306762695,[-3.4431944]
65,-0.1068809,0.8360452651977539,[-1.1391873]
66,-0.1068809,0.8195140361785889,[-1.1391873]
67,-0.1068809,0.8633606433868408,[-1.1391873]
68,-0.1068809,0.831254243850708,[-1.1391873]
69,-0.1068809,0.8696436882019043,[-1.1391873]
70,-0.1068809,0.8403558731079102,[-1.1391873]
71,-0.1068809,0.8518140316009521,[-1.1391873]
72,-0.1068809,0.838996410369873,[-1.1391873]
73,-0.1068809,0.8514666557312012,[-1.1391873]
74,-0.1068809,0.8441481590270996,[-1.1391873]
75,-0.1068809,0.8467929363250732,[-1.1391873]
76,-0.1068809,0.8306074142456055,[-1.1391873]
77,-0.1068809,0.815936803817749,[-1.1391873]
78,-0.1068809,0.8247900009155273,[-1.1391873]
79,-0.1068809,0.7846908569335938,[-1.1391873]
80,-0.1068809,0.8169662952423096,[-1.1391873]
81,-0.1068809,0.8687281608581543,[-1.1391873]
82,-0.1068809,0.8476521968841553,[-1.1391873]
83,-0.1068809,0.8454296588897705,[-1.1391873]
84,-0.1068809,0.8046560287475586,[-1.1391873]
85,-0.1068809,0.8055496215820312,[-1.1391873]
86,-0.1068809,0.7939910888671875,[-1.1391873]
87,-0.1068809,0.8080790042877197,[-1.1391873]
88,-0.1068809,0.8340680599212646,[-1.1391873]
89,-0.1068809,0.8865354061126709,[-1.1391873]
90,-0.1068809,0.8050146102905273,[-1.1391873]
91,-0.1068809,0.8517582416534424,[-1.1391873]
92,-0.1068809,0.8315169811248779,[-1.1391873]
93,-0.1068809,0.8306961059570312,[-1.1391873]
94,-0.1068809,0.8949809074401855,[-1.1391873]
95,-0.1068809,0.8425328731536865,[-1.1391873]
96,-0.1068809,0.8694777488708496,[-1.1391873]
97,-0.1068809,0.8174870014190674,[-1.1391873]
98,-0.1068809,0.8432230949401855,[-1.1391873]
99,-0.1068809,0.8506700992584229,[-1.1391873]
100,-0.1068809,0.8564729690551758,[-1.1391873]
101,-0.1068809,0.802527666091919,[-1.1391873]
102,-0.1068809,0.8231258392333984,[-1.1391873]
103,-0.1068809,3.424546957015991,[-1.1391873]
104,-0.1068809,0.8364546298980713,[-1.1391873]
105,-0.1068809,0.7832136154174805,[-1.1391873]
106,0.2163918,0.8638460636138916,[-1.0070863]
107,0.2163918,0.8493390083312988,[-1.0070863]
108,0.2163918,0.8370862007141113,[-1.0070863]
109,0.2163918,0.7979469299316406,[-1.0070863]
110,0.2163918,0.8070147037506104,[-1.0070863]
111,0.2163918,0.8484616279602051,[-1.0070863]
112,0.2163918,0.8741917610168457,[-1.0070863]
113,0.2163918,0.8145511150360107,[-1.0070863]
114,0.2163918,0.8878700733184814,[-1.0070863]
115,0.2163918,0.8107240200042725,[-1.0070863]
116,0.2163918,0.8782458305358887,[-1.0070863]
117,0.2163918,0.8365664482116699,[-1.0070863]
118,0.2163918,0.8257405757904053,[-1.0070863]
119,0.2163918,0.8137907981872559,[-1.0070863]
120,0.2163918,0.8391246795654297,[-1.0070863]
121,0.2163918,0.8428080081939697,[-1.0070863]
122,0.2163918,0.8747670650482178,[-1.0070863]
123,0.2163918,0.7987992763519287,[-1.0070863]
124,0.2163918,0.8420596122741699,[-1.0070863]
125,0.2163918,0.8961503505706787,[-1.0070863]
126,0.2163918,0.831341028213501,[-1.0070863]
127,0.2163918,0.869941234588623,[-1.0070863]
128,0.2163918,0.809349536895752,[-1.0070863]
129,0.2163918,0.8028199672698975,[-1.0070863]
130,0.2163918,0.8635900020599365,[-1.0070863]
131,0.2163918,0.8577024936676025,[-1.0070863]
132,0.2163918,0.8375523090362549,[-1.0070863]
133,0.2163918,0.8311631679534912,[-1.0070863]
134,0.2163918,0.8338272571563721,[-1.0070863]
135,0.2163918,0.8479247093200684,[-1.0070863]
136,0.2163918,0.8786323070526123,[-1.0070863]
137,0.2163918,0.8309690952301025,[-1.0070863]
