iteration,max_fitness,time,test_accuracy
0,-48.066826,0.0,-37.96309
1,-1.5656099,1.6334021091461182,[-0.6479057]
2,-1.5656099,1.5159859657287598,[-0.6479057]
3,-1.5656099,1.5276503562927246,[-0.6479057]
4,0.19448495,1.4870555400848389,[0.43361497]
5,0.19448495,1.5186407566070557,[0.43361497]
6,0.19448495,1.4904286861419678,[0.43361497]
7,0.19448495,1.472736120223999,[0.43361497]
8,0.19448495,1.4858427047729492,[0.43361497]
9,0.19448495,1.4232666492462158,[0.43361497]
10,0.19448495,1.4428601264953613,[0.43361497]
11,0.19448495,1.49505615234375,[0.43361497]
12,0.19448495,1.5616519451141357,[0.43361497]
13,0.19448495,1.534271240234375,[0.43361497]
14,0.19448495,1.4477403163909912,[0.43361497]
15,0.19448495,1.47688627243042,[0.43361497]
16,0.19448495,1.4642837047576904,[0.43361497]
17,0.19448495,1.5123250484466553,[0.43361497]
18,0.19448495,1.480783462524414,[0.43361497]
19,0.19448495,1.4839611053466797,[0.43361497]
20,0.19448495,1.5259621143341064,[0.43361497]
21,0.19448495,1.4600834846496582,[0.43361497]
22,0.19448495,1.5245532989501953,[0.43361497]
23,0.19448495,1.4613821506500244,[0.43361497]
24,0.19448495,1.4838719367980957,[0.43361497]
25,0.19448495,1.462538242340088,[0.43361497]
26,0.19448495,1.4193589687347412,[0.43361497]
27,0.19448495,1.4460418224334717,[0.43361497]
28,0.19448495,1.507293939590454,[0.43361497]
29,0.24783301,1.4835703372955322,[0.26585948]
30,0.24783301,1.4698271751403809,[0.26585948]
31,0.24783301,1.4076979160308838,[0.26585948]
32,0.24783301,1.5080044269561768,[0.26585948]
33,0.24783301,1.4544463157653809,[0.26585948]
34,0.24783301,1.6226840019226074,[0.26585948]
35,0.24783301,1.459446668624878,[0.26585948]
36,0.24783301,1.4685571193695068,[0.26585948]
37,0.24783301,1.4664740562438965,[0.26585948]
38,0.24783301,1.5265672206878662,[0.26585948]
39,0.24783301,1.5199596881866455,[0.26585948]
40,0.24783301,1.4440948963165283,[0.26585948]
41,0.24783301,1.5271198749542236,[0.26585948]
42,0.24783301,1.4990301132202148,[0.26585948]
43,0.24783301,1.4968287944793701,[0.26585948]
44,0.24783301,1.4735898971557617,[0.26585948]
45,0.24783301,1.4967737197875977,[0.26585948]
46,0.24783301,1.5311617851257324,[0.26585948]
47,0.24783301,1.5190134048461914,[0.26585948]
48,0.6670097,1.578932523727417,[0.74613345]
49,0.6670097,1.4700899124145508,[0.74613345]
50,0.6670097,1.4775946140289307,[0.74613345]
51,0.6670097,1.5651013851165771,[0.74613345]
52,0.6670097,1.462085485458374,[0.74613345]
53,0.6670097,1.5491528511047363,[0.74613345]
54,0.6670097,1.4956729412078857,[0.74613345]
55,0.6670097,1.4736571311950684,[0.74613345]
56,0.6670097,1.573432445526123,[0.74613345]
57,0.6670097,1.4889240264892578,[0.74613345]
58,0.6670097,1.5284860134124756,[0.74613345]
59,0.6670097,1.46478271484375,[0.74613345]
60,0.6670097,1.5196232795715332,[0.74613345]
61,0.6670097,1.4869506359100342,[0.74613345]
62,0.6670097,4.7931883335113525,[0.74613345]
63,0.6670097,1.52923583984375,[0.74613345]
64,0.6670097,1.5085222721099854,[0.74613345]
65,0.6670097,1.4891338348388672,[0.74613345]
66,0.6670097,1.4552216529846191,[0.74613345]
67,0.6670097,1.47849702835083,[0.74613345]
68,0.6670097,1.4930946826934814,[0.74613345]
69,0.6670097,1.45762300491333,[0.74613345]
70,0.6670097,1.540522813796997,[0.74613345]
71,0.6670097,1.5276482105255127,[0.74613345]
72,0.6670097,1.5008885860443115,[0.74613345]
73,0.6670097,1.4674057960510254,[0.74613345]
74,0.6670097,1.4842782020568848,[0.74613345]
75,0.6670097,1.4523217678070068,[0.74613345]
76,0.6670097,1.4804582595825195,[0.74613345]
77,0.6670097,1.4923956394195557,[0.74613345]
78,0.6670097,1.5269463062286377,[0.74613345]
79,0.6670097,1.4806737899780273,[0.74613345]
80,0.6670097,1.497694492340088,[0.74613345]
81,0.6670097,1.42301344871521,[0.74613345]
82,0.6670097,1.555269718170166,[0.74613345]
83,0.6670097,1.575451374053955,[0.74613345]
84,0.6670097,1.5346596240997314,[0.74613345]
85,0.6670097,1.5077505111694336,[0.74613345]
86,0.6670097,1.4840741157531738,[0.74613345]
87,0.6670097,1.499182939529419,[0.74613345]
88,0.6670097,1.474311113357544,[0.74613345]
89,0.6670097,1.5921573638916016,[0.74613345]
90,0.6670097,1.5081207752227783,[0.74613345]
91,0.6670097,1.4934661388397217,[0.74613345]
92,0.6670097,1.5185673236846924,[0.74613345]
93,0.6670097,1.4514553546905518,[0.74613345]
94,0.6670097,1.6094694137573242,[0.74613345]
95,0.6670097,1.4980337619781494,[0.74613345]
96,0.6670097,1.5206260681152344,[0.74613345]
97,0.6670097,1.4702227115631104,[0.74613345]
98,0.6670097,1.5614590644836426,[0.74613345]
99,0.6670097,1.5574843883514404,[0.74613345]
100,0.6670097,1.5085117816925049,[0.74613345]
101,0.6670097,1.552804708480835,[0.74613345]
102,0.6670097,1.4894664287567139,[0.74613345]
103,0.6670097,1.499375343322754,[0.74613345]
104,0.6670097,1.544417381286621,[0.74613345]
105,0.6670097,1.4885361194610596,[0.74613345]
106,0.6670097,1.5664293766021729,[0.74613345]
107,0.6670097,1.4853007793426514,[0.74613345]
108,0.6670097,1.5028669834136963,[0.74613345]
109,0.6670097,1.4450774192810059,[0.74613345]
110,0.6670097,1.5170238018035889,[0.74613345]
111,0.6670097,1.5442254543304443,[0.74613345]
112,0.6670097,1.4663348197937012,[0.74613345]
113,0.6670097,1.5003774166107178,[0.74613345]
114,0.6670097,1.48673415184021,[0.74613345]
115,0.6670097,1.468627691268921,[0.74613345]
116,0.6670097,1.5136866569519043,[0.74613345]
117,0.6670097,1.4847486019134521,[0.74613345]
118,0.6670097,1.5463638305664062,[0.74613345]
119,0.6670097,1.458221435546875,[0.74613345]
120,0.6670097,1.5440683364868164,[0.74613345]
121,0.6670097,1.5248684883117676,[0.74613345]
122,0.6670097,1.4701521396636963,[0.74613345]
123,0.6670097,1.5029675960540771,[0.74613345]
124,0.6670097,1.4522900581359863,[0.74613345]
125,0.6670097,1.503319263458252,[0.74613345]
126,0.6670097,1.5026617050170898,[0.74613345]
127,0.6670097,1.5238659381866455,[0.74613345]
128,0.6670097,1.4944040775299072,[0.74613345]
129,0.6670097,1.4937982559204102,[0.74613345]
130,0.6670097,1.5565087795257568,[0.74613345]
131,0.6670097,1.4490187168121338,[0.74613345]
132,0.6670097,1.5402312278747559,[0.74613345]
133,0.6670097,1.4530208110809326,[0.74613345]
134,0.6670097,1.463109016418457,[0.74613345]
135,0.6670097,1.4486844539642334,[0.74613345]
136,0.6670097,1.493800163269043,[0.74613345]
137,0.6670097,1.5333518981933594,[0.74613345]
138,0.6670097,1.474867820739746,[0.74613345]
139,0.6670097,1.4781792163848877,[0.74613345]
140,0.6670097,1.478365182876587,[0.74613345]
141,0.6670097,1.5430824756622314,[0.74613345]
142,0.6670097,1.5119783878326416,[0.74613345]
143,0.6670097,1.4998810291290283,[0.74613345]
144,0.6670097,1.4844038486480713,[0.74613345]
145,0.6670097,1.4650819301605225,[0.74613345]
146,0.6670097,1.4787845611572266,[0.74613345]
147,0.6670097,1.5678234100341797,[0.74613345]
148,0.6670097,1.5203447341918945,[0.74613345]
149,0.6670097,1.5675745010375977,[0.74613345]
150,0.6670097,1.4870853424072266,[0.74613345]
151,0.6670097,1.538271188735962,[0.74613345]
152,0.6670097,1.556023120880127,[0.74613345]
153,0.6670097,4.878901958465576,[0.74613345]
154,0.6670097,1.5406451225280762,[0.74613345]
155,0.6670097,1.507385492324829,[0.74613345]
156,0.6670097,1.4741120338439941,[0.74613345]
157,0.6670097,1.4303982257843018,[0.74613345]
158,0.6670097,1.4486989974975586,[0.74613345]
159,0.6670097,1.4956762790679932,[0.74613345]
160,0.6670097,1.5300767421722412,[0.74613345]
161,0.6670097,1.5680055618286133,[0.74613345]
162,0.6670097,1.4885149002075195,[0.74613345]
163,0.6670097,1.5773394107818604,[0.74613345]
164,0.6670097,1.4743125438690186,[0.74613345]
165,0.6670097,1.529017686843872,[0.74613345]
166,0.6670097,1.5219087600708008,[0.74613345]
167,0.6670097,1.4545135498046875,[0.74613345]
168,0.6670097,1.4766879081726074,[0.74613345]
169,0.6670097,1.456963062286377,[0.74613345]
170,0.6670097,1.5085182189941406,[0.74613345]
171,0.6670097,1.5286803245544434,[0.74613345]
172,0.6670097,1.4772045612335205,[0.74613345]
173,0.6670097,1.5377581119537354,[0.74613345]
174,0.6670097,1.4866528511047363,[0.74613345]
175,0.6670097,1.5423705577850342,[0.74613345]
