iteration,max_fitness,time,test_accuracy
0,-137.38338,0.0,-119.67655
1,-137.38338,1.5422320365905762,[-119.67655]
2,-137.38338,1.5963454246520996,[-119.67655]
3,-129.28525,1.5175909996032715,[-119.88116]
4,-129.28525,1.5480728149414062,[-119.88116]
5,-129.28525,1.5746188163757324,[-119.88116]
6,-129.28525,1.6104466915130615,[-119.88116]
7,-129.28525,1.5996179580688477,[-119.88116]
8,-98.886024,1.6168043613433838,[-92.78354]
9,-90.806335,1.6484482288360596,[-85.02779]
10,-67.709656,1.6602296829223633,[-60.248497]
11,-67.709656,1.624927282333374,[-60.248497]
12,-62.085457,1.643594741821289,[-49.98391]
13,-62.085457,1.663865089416504,[-49.98391]
14,-62.085457,1.697655200958252,[-49.98391]
15,-60.271706,1.6314051151275635,[-47.085358]
16,-60.271706,1.644010066986084,[-47.085358]
17,-59.899338,1.6320533752441406,[-46.25402]
18,-59.899338,1.6250700950622559,[-46.25402]
19,-59.899338,1.5804195404052734,[-46.25402]
20,-59.899338,1.6093854904174805,[-46.25402]
21,-59.899338,1.6644139289855957,[-46.25402]
22,-53.49651,1.5996060371398926,[-40.770096]
23,-52.352173,1.6121017932891846,[-38.00179]
24,-52.352173,1.564347505569458,[-38.00179]
25,-52.352173,1.6321120262145996,[-38.00179]
26,-52.352173,1.6098380088806152,[-38.00179]
27,-52.352173,1.578765869140625,[-38.00179]
28,-52.352173,1.570328712463379,[-38.00179]
29,-52.352173,1.580061912536621,[-38.00179]
30,-52.352173,1.650179386138916,[-38.00179]
31,-52.352173,1.5703871250152588,[-38.00179]
32,-52.352173,1.6106982231140137,[-38.00179]
33,-52.352173,1.6456217765808105,[-38.00179]
34,-52.352173,1.583622932434082,[-38.00179]
35,-52.352173,1.592085599899292,[-38.00179]
36,-52.352173,1.5884065628051758,[-38.00179]
37,-52.352173,1.5909106731414795,[-38.00179]
38,-52.070454,1.5735371112823486,[-37.24079]
39,-52.070454,1.64164137840271,[-37.24079]
40,-52.070454,1.5783812999725342,[-37.24079]
41,-52.070454,1.6021385192871094,[-37.24079]
42,-52.070454,1.630521535873413,[-37.24079]
43,-52.070454,1.6401705741882324,[-37.24079]
44,-52.070454,1.7134654521942139,[-37.24079]
45,-52.070454,1.6464312076568604,[-37.24079]
46,-52.070454,1.6110262870788574,[-37.24079]
47,-43.227837,1.6196675300598145,[-29.635807]
48,-42.37068,1.6141612529754639,[-32.27753]
49,-42.37068,1.6670598983764648,[-32.27753]
50,-42.37068,1.697699785232544,[-32.27753]
51,-42.37068,1.60976243019104,[-32.27753]
52,-42.37068,1.6067235469818115,[-32.27753]
53,-42.37068,1.6248128414154053,[-32.27753]
54,-42.37068,1.666947603225708,[-32.27753]
55,-42.37068,1.6412830352783203,[-32.27753]
56,-42.37068,1.6570892333984375,[-32.27753]
57,-40.378555,1.6538634300231934,[-31.235275]
58,-40.378555,1.7175147533416748,[-31.235275]
59,-40.378555,1.6249160766601562,[-31.235275]
60,-40.378555,1.6196801662445068,[-31.235275]
61,-40.378555,1.7247226238250732,[-31.235275]
62,-40.378555,1.6565070152282715,[-31.235275]
63,-40.378555,1.6610913276672363,[-31.235275]
64,-38.40537,1.6629338264465332,[-29.596165]
65,-37.156376,1.639885663986206,[-27.116613]
66,-37.156376,1.637260913848877,[-27.116613]
67,-37.156376,1.714801549911499,[-27.116613]
68,-37.156376,1.6641860008239746,[-27.116613]
69,-37.092823,1.6759166717529297,[-28.01713]
70,-37.092823,1.6388936042785645,[-28.01713]
71,-37.092823,1.6642487049102783,[-28.01713]
72,-37.092823,1.6204192638397217,[-28.01713]
73,-37.092823,1.6465332508087158,[-28.01713]
74,-37.092823,5.030368089675903,[-28.01713]
75,-37.092823,1.460686445236206,[-28.01713]
76,-37.092823,1.506619930267334,[-28.01713]
77,-35.630898,1.5303876399993896,[-28.32055]
78,-35.630898,1.5433743000030518,[-28.32055]
79,-35.630898,1.5786607265472412,[-28.32055]
80,-35.630898,1.526409387588501,[-28.32055]
81,-35.630898,1.5290546417236328,[-28.32055]
82,-35.630898,1.5792653560638428,[-28.32055]
83,-35.630898,1.6281511783599854,[-28.32055]
84,-35.630898,1.636518955230713,[-28.32055]
85,-35.630898,1.6485707759857178,[-28.32055]
86,-35.630898,1.6265475749969482,[-28.32055]
87,-35.630898,1.678091049194336,[-28.32055]
88,-35.630898,1.6978046894073486,[-28.32055]
89,-35.630898,1.6988580226898193,[-28.32055]
90,-35.630898,1.6904969215393066,[-28.32055]
91,-35.630898,1.669780969619751,[-28.32055]
92,-35.16463,1.7132503986358643,[-26.938534]
93,-35.16463,1.6901581287384033,[-26.938534]
94,-35.16463,1.63871431350708,[-26.938534]
95,-35.16463,1.5953655242919922,[-26.938534]
96,-35.16463,1.6166667938232422,[-26.938534]
97,-35.16463,1.666851282119751,[-26.938534]
98,-35.16463,1.6661450862884521,[-26.938534]
99,-35.16463,1.6439552307128906,[-26.938534]
100,-35.16463,1.5998311042785645,[-26.938534]
101,-35.16463,1.6541173458099365,[-26.938534]
102,-35.16463,1.6113550662994385,[-26.938534]
103,-35.16463,1.7034904956817627,[-26.938534]
104,-34.399723,1.6424641609191895,[-27.526913]
105,-34.399723,1.6965153217315674,[-27.526913]
106,-34.39281,1.6364893913269043,[-27.838415]
107,-9.538271,1.7028169631958008,[-6.988919]
108,-9.538271,1.650566577911377,[-6.988919]
109,-9.538271,1.6386806964874268,[-6.988919]
110,-9.538271,1.6910791397094727,[-6.988919]
111,-9.538271,1.6025974750518799,[-6.988919]
112,-9.538271,1.6174607276916504,[-6.988919]
113,-9.538271,1.610619068145752,[-6.988919]
114,-9.538271,1.5803124904632568,[-6.988919]
115,-9.538271,1.570763349533081,[-6.988919]
116,-9.538271,1.6009702682495117,[-6.988919]
117,-9.538271,1.565077304840088,[-6.988919]
118,-9.538271,1.5379352569580078,[-6.988919]
119,-9.538271,1.6193907260894775,[-6.988919]
120,-9.538271,1.5678105354309082,[-6.988919]
121,-9.538271,1.5081307888031006,[-6.988919]
122,-9.538271,1.5135583877563477,[-6.988919]
123,-6.222519,1.5887119770050049,[-6.333646]
124,-6.222519,1.538464069366455,[-6.333646]
125,-6.222519,1.5546340942382812,[-6.333646]
126,-6.222519,1.5776562690734863,[-6.333646]
127,-6.222519,1.5525381565093994,[-6.333646]
128,-6.222519,1.5032141208648682,[-6.333646]
129,-6.222519,1.6061720848083496,[-6.333646]
130,-6.222519,1.5741019248962402,[-6.333646]
131,-6.222519,1.5677886009216309,[-6.333646]
132,-6.222519,1.6044039726257324,[-6.333646]
133,-6.222519,1.6438660621643066,[-6.333646]
134,-6.222519,1.6277422904968262,[-6.333646]
135,-6.222519,1.6475932598114014,[-6.333646]
136,-6.222519,1.69049072265625,[-6.333646]
137,-6.222519,1.669227123260498,[-6.333646]
138,-6.222519,1.6672308444976807,[-6.333646]
139,-6.222519,1.6788661479949951,[-6.333646]
140,-6.222519,1.589909553527832,[-6.333646]
141,-6.222519,1.5487277507781982,[-6.333646]
142,-6.222519,1.6530425548553467,[-6.333646]
143,-6.222519,1.6539115905761719,[-6.333646]
144,-6.222519,1.5630624294281006,[-6.333646]
145,-6.222519,1.6071724891662598,[-6.333646]
146,-6.222519,1.5294177532196045,[-6.333646]
147,-6.222519,1.6143066883087158,[-6.333646]
148,-6.222519,1.6339194774627686,[-6.333646]
149,-6.222519,1.6268551349639893,[-6.333646]
150,-6.222519,1.6114976406097412,[-6.333646]
151,-6.222519,1.664456844329834,[-6.333646]
152,-6.222519,1.686659574508667,[-6.333646]
153,-6.222519,1.7098844051361084,[-6.333646]
154,-6.222519,1.6892476081848145,[-6.333646]
155,-6.222519,1.6882445812225342,[-6.333646]
156,-6.222519,1.7072539329528809,[-6.333646]
157,-6.222519,1.6502885818481445,[-6.333646]
158,-4.9729743,1.6693010330200195,[-3.160419]
159,-4.9729743,1.7158756256103516,[-3.160419]
160,-4.9729743,1.6478686332702637,[-3.160419]
161,-4.9729743,1.6487634181976318,[-3.160419]
162,-4.9729743,1.6643505096435547,[-3.160419]
163,-4.9729743,1.6680223941802979,[-3.160419]
