iteration,max_fitness,time,test_accuracy
0,-0.0026642084,0.0,-0.029883385
1,0.043180227,13.831414461135864,[-0.05897295]
2,0.08485448,13.50696349143982,[-1.4503462]
3,0.08485448,13.475720882415771,[-1.4503462]
4,0.08485448,13.545456171035767,[-1.4503462]
5,0.95823354,13.5718834400177,[0.8591522]
6,0.95823354,13.589961528778076,[0.8591522]
7,0.95823354,13.711877584457397,[0.8591522]
8,0.95823354,13.620609998703003,[0.8591522]
9,0.95823354,13.811458349227905,[0.8591522]
10,0.95823354,13.70372986793518,[0.8591522]
11,0.95823354,13.693459510803223,[0.8591522]
12,0.95823354,13.7504301071167,[0.8591522]
13,0.95823354,13.764562368392944,[0.8591522]
14,0.95823354,13.62511682510376,[0.8591522]
15,0.95823354,13.647488117218018,[0.8591522]
16,0.95823354,13.84548544883728,[0.8591522]
17,0.95823354,13.78391981124878,[0.8591522]
18,0.95823354,13.726741552352905,[0.8591522]
19,0.95823354,13.682833909988403,[0.8591522]
20,0.95823354,13.496548175811768,[0.8591522]
21,0.95823354,13.49981141090393,[0.8591522]
22,0.95823354,13.541909217834473,[0.8591522]
23,0.95823354,13.419835329055786,[0.8591522]
24,0.95823354,13.646771669387817,[0.8591522]
25,0.95823354,13.618918895721436,[0.8591522]
26,0.95823354,13.750859260559082,[0.8591522]
27,0.95823354,13.676120042800903,[0.8591522]
28,0.95823354,13.641729354858398,[0.8591522]
29,0.95823354,13.865729808807373,[0.8591522]
30,0.95823354,13.723079681396484,[0.8591522]
31,0.95823354,13.724700450897217,[0.8591522]
32,0.95823354,13.700897932052612,[0.8591522]
33,0.95823354,13.611931562423706,[0.8591522]
34,0.95823354,13.612294673919678,[0.8591522]
35,0.95823354,13.463611364364624,[0.8591522]
36,0.95823354,13.811574220657349,[0.8591522]
37,0.95823354,13.848891735076904,[0.8591522]
38,0.95823354,13.80310845375061,[0.8591522]
39,0.95823354,13.680876731872559,[0.8591522]
40,0.95823354,13.621678352355957,[0.8591522]
41,0.95823354,13.630462646484375,[0.8591522]
42,0.95823354,13.452929019927979,[0.8591522]
43,0.95823354,13.439069271087646,[0.8591522]
44,0.95823354,13.397655248641968,[0.8591522]
45,0.95823354,13.420654773712158,[0.8591522]
46,0.95823354,13.439515113830566,[0.8591522]
47,0.95823354,13.385626792907715,[0.8591522]
48,0.95823354,13.324883222579956,[0.8591522]
49,0.95823354,13.224123477935791,[0.8591522]
50,0.95823354,13.38921594619751,[0.8591522]
51,0.95823354,13.486774682998657,[0.8591522]
52,0.95823354,13.746953964233398,[0.8591522]
53,0.95823354,13.603033781051636,[0.8591522]
54,0.95823354,13.697180271148682,[0.8591522]
55,0.95823354,13.801381587982178,[0.8591522]
56,0.95823354,13.711007833480835,[0.8591522]
57,0.95823354,13.566313982009888,[0.8591522]
58,0.95823354,13.632801294326782,[0.8591522]
59,0.95823354,13.75008749961853,[0.8591522]
60,0.95823354,13.68609619140625,[0.8591522]
61,0.95823354,13.578029870986938,[0.8591522]
62,0.95823354,13.641305208206177,[0.8591522]
63,0.95823354,13.58219027519226,[0.8591522]
64,0.95823354,13.701501369476318,[0.8591522]
65,0.95823354,13.656001329421997,[0.8591522]
66,0.95823354,13.702203750610352,[0.8591522]
67,0.95823354,13.814262628555298,[0.8591522]
68,0.95823354,13.678560972213745,[0.8591522]
69,0.95823354,13.819438695907593,[0.8591522]
70,0.95823354,13.784688234329224,[0.8591522]
71,0.95823354,13.843791246414185,[0.8591522]
72,0.95823354,13.655511617660522,[0.8591522]
73,0.95823354,13.96252155303955,[0.8591522]
74,0.95823354,13.637453556060791,[0.8591522]
75,0.95823354,13.68580961227417,[0.8591522]
76,0.95823354,13.650359630584717,[0.8591522]
77,0.95823354,13.70051646232605,[0.8591522]
78,0.95823354,13.708502769470215,[0.8591522]
79,0.95823354,13.046041250228882,[0.8591522]
80,0.95823354,24.791256427764893,[0.8591522]
81,0.95823354,13.495836019515991,[0.8591522]
82,0.95823354,13.659679651260376,[0.8591522]
83,0.95823354,13.62783694267273,[0.8591522]
84,0.95823354,13.576712608337402,[0.8591522]
85,0.95823354,13.427674531936646,[0.8591522]
86,0.95823354,13.665805101394653,[0.8591522]
87,0.95823354,13.733843564987183,[0.8591522]
88,0.95823354,13.442200899124146,[0.8591522]
89,0.95823354,13.556742429733276,[0.8591522]
90,0.95823354,13.69370698928833,[0.8591522]
91,0.95823354,13.651611089706421,[0.8591522]
92,0.95823354,13.66885757446289,[0.8591522]
93,0.95823354,13.623814344406128,[0.8591522]
94,0.95823354,13.532912731170654,[0.8591522]
95,0.95823354,13.419890880584717,[0.8591522]
96,0.95823354,13.447266817092896,[0.8591522]
97,0.95823354,13.557531595230103,[0.8591522]
98,0.95823354,13.714980125427246,[0.8591522]
99,0.95823354,13.730183839797974,[0.8591522]
