iteration,max_fitness,time,test_accuracy
0,-0.22736967,0.0,-0.21911538
1,-0.11789358,0.6838774681091309,[-0.12619197]
2,-0.11789358,0.6834900379180908,[-0.12619197]
3,-0.11789358,0.6852786540985107,[-0.12619197]
4,-0.00506413,0.6873230934143066,[-0.01564455]
5,-0.00506413,0.6922416687011719,[-0.01564455]
6,-0.00506413,0.6951272487640381,[-0.01564455]
7,-0.00506413,0.6863274574279785,[-0.01564455]
8,-0.00506413,0.711292028427124,[-0.01564455]
9,-0.00506413,0.695662260055542,[-0.01564455]
10,-0.004647255,0.6898179054260254,[-5.2928925e-05]
11,-0.004647255,0.6904370784759521,[-5.2928925e-05]
12,-0.004647255,0.6812622547149658,[-5.2928925e-05]
13,-0.004647255,0.6830406188964844,[-5.2928925e-05]
14,-0.004647255,0.6807358264923096,[-5.2928925e-05]
15,-0.004647255,0.6798312664031982,[-5.2928925e-05]
16,-0.004647255,0.6769449710845947,[-5.2928925e-05]
17,-0.004647255,0.6874375343322754,[-5.2928925e-05]
18,-0.004647255,0.6788568496704102,[-5.2928925e-05]
19,-0.004647255,0.6784069538116455,[-5.2928925e-05]
20,-0.004647255,0.6856143474578857,[-5.2928925e-05]
21,-0.0041778088,0.6819791793823242,[-0.01429451]
22,-0.0041778088,0.6850693225860596,[-0.01429451]
23,-0.001521945,0.6852455139160156,[-0.00101888]
24,-0.001521945,0.6876342296600342,[-0.00101888]
25,-0.001521945,0.6895458698272705,[-0.00101888]
26,-0.001521945,0.6830191612243652,[-0.00101888]
27,-0.001521945,0.6828088760375977,[-0.00101888]
28,-0.001521945,0.6880617141723633,[-0.00101888]
29,-0.001521945,0.6899158954620361,[-0.00101888]
30,-0.001521945,0.6928043365478516,[-0.00101888]
31,-0.001521945,0.6889262199401855,[-0.00101888]
32,-0.001521945,0.6904993057250977,[-0.00101888]
33,-0.001521945,0.6861722469329834,[-0.00101888]
34,-0.001521945,0.6830034255981445,[-0.00101888]
35,-0.001521945,0.6828155517578125,[-0.00101888]
36,-0.001521945,0.6852915287017822,[-0.00101888]
37,-0.001521945,0.6864559650421143,[-0.00101888]
38,-0.001521945,0.681753396987915,[-0.00101888]
39,-0.001521945,0.6806182861328125,[-0.00101888]
40,-0.001521945,0.675541877746582,[-0.00101888]
41,-0.001521945,0.6873011589050293,[-0.00101888]
42,-0.001521945,0.6881890296936035,[-0.00101888]
43,-0.001521945,0.6875159740447998,[-0.00101888]
44,-0.001521945,0.690535306930542,[-0.00101888]
45,-0.001521945,0.6915600299835205,[-0.00101888]
46,-0.001521945,0.6955029964447021,[-0.00101888]
47,-0.001521945,0.6852436065673828,[-0.00101888]
48,0.09765971,0.6829178333282471,[0.12948489]
49,0.09765971,0.6869466304779053,[0.12948489]
50,0.09765971,0.6877708435058594,[0.12948489]
51,0.09765971,0.6867561340332031,[0.12948489]
52,0.09765971,0.6941008567810059,[0.12948489]
53,0.09765971,0.6897008419036865,[0.12948489]
54,0.09765971,0.686215877532959,[0.12948489]
55,0.09765971,0.6804866790771484,[0.12948489]
56,0.09765971,0.6881129741668701,[0.12948489]
57,0.09765971,0.6933295726776123,[0.12948489]
58,0.09765971,0.6841390132904053,[0.12948489]
59,0.09765971,0.6901555061340332,[0.12948489]
60,0.09765971,0.6859884262084961,[0.12948489]
61,0.09765971,0.6850357055664062,[0.12948489]
62,0.09765971,0.6822841167449951,[0.12948489]
63,0.09765971,0.6809625625610352,[0.12948489]
64,0.09765971,0.6861951351165771,[0.12948489]
65,0.09765971,0.6877257823944092,[0.12948489]
66,0.09765971,0.6880431175231934,[0.12948489]
67,0.09765971,0.6811659336090088,[0.12948489]
68,0.09765971,0.6848428249359131,[0.12948489]
69,0.09765971,0.6841866970062256,[0.12948489]
70,0.09765971,0.6892428398132324,[0.12948489]
71,0.09765971,0.6859889030456543,[0.12948489]
72,0.09765971,0.6830606460571289,[0.12948489]
73,0.09765971,0.6857752799987793,[0.12948489]
74,0.09765971,0.6846508979797363,[0.12948489]
75,0.09765971,0.6928966045379639,[0.12948489]
76,0.09765971,0.6854095458984375,[0.12948489]
77,0.09765971,0.6884193420410156,[0.12948489]
78,0.09765971,0.6966400146484375,[0.12948489]
79,0.09765971,0.685305118560791,[0.12948489]
80,0.09765971,0.6859703063964844,[0.12948489]
81,0.09765971,0.6935179233551025,[0.12948489]
82,0.09765971,2.961318254470825,[0.12948489]
83,0.09765971,0.6929988861083984,[0.12948489]
84,0.09765971,0.6995370388031006,[0.12948489]
85,0.09765971,0.684502363204956,[0.12948489]
86,0.09765971,0.6853978633880615,[0.12948489]
87,0.09765971,0.6923744678497314,[0.12948489]
88,0.09765971,0.6910531520843506,[0.12948489]
89,0.09765971,0.6864330768585205,[0.12948489]
90,0.09765971,0.6940457820892334,[0.12948489]
91,0.09765971,0.6930296421051025,[0.12948489]
92,0.09765971,0.6915938854217529,[0.12948489]
93,0.09765971,0.6917500495910645,[0.12948489]
94,0.09765971,0.7068557739257812,[0.12948489]
95,0.09765971,0.6919510364532471,[0.12948489]
96,0.09765971,0.6847293376922607,[0.12948489]
97,0.09765971,0.6913943290710449,[0.12948489]
98,0.09765971,0.6935827732086182,[0.12948489]
99,0.09765971,0.6965200901031494,[0.12948489]
100,0.09765971,0.694819450378418,[0.12948489]
101,0.09765971,0.7001943588256836,[0.12948489]
102,0.09765971,0.6950161457061768,[0.12948489]
103,0.09765971,0.6960742473602295,[0.12948489]
104,0.09765971,0.6959762573242188,[0.12948489]
105,0.09765971,0.6997301578521729,[0.12948489]
106,0.09765971,0.6944046020507812,[0.12948489]
107,0.09765971,0.6878552436828613,[0.12948489]
108,0.09765971,0.6919212341308594,[0.12948489]
109,0.09765971,0.6897313594818115,[0.12948489]
110,0.09765971,0.6823303699493408,[0.12948489]
111,0.09765971,0.6891586780548096,[0.12948489]
112,0.09765971,0.6928060054779053,[0.12948489]
113,0.09765971,0.6948940753936768,[0.12948489]
114,0.09765971,0.6922445297241211,[0.12948489]
115,0.09765971,0.6949167251586914,[0.12948489]
116,0.09765971,0.6968953609466553,[0.12948489]
117,0.09765971,0.6989293098449707,[0.12948489]
118,0.09765971,0.700244665145874,[0.12948489]
119,0.09765971,0.6937329769134521,[0.12948489]
120,0.09765971,0.692378044128418,[0.12948489]
121,0.09765971,0.692101240158081,[0.12948489]
122,0.09765971,0.6816248893737793,[0.12948489]
123,0.09765971,0.6818556785583496,[0.12948489]
124,0.09765971,0.6882445812225342,[0.12948489]
125,0.09765971,0.6912949085235596,[0.12948489]
126,0.09765971,0.687422513961792,[0.12948489]
127,0.09765971,0.6836659908294678,[0.12948489]
128,0.09765971,0.6888108253479004,[0.12948489]
129,0.09765971,0.6894972324371338,[0.12948489]
130,0.09765971,0.686321496963501,[0.12948489]
131,0.09765971,0.6838276386260986,[0.12948489]
132,0.09765971,0.6864748001098633,[0.12948489]
133,0.09765971,0.6907353401184082,[0.12948489]
134,0.09765971,0.680687665939331,[0.12948489]
135,0.09765971,0.6874415874481201,[0.12948489]
136,0.09765971,0.6858639717102051,[0.12948489]
137,0.09765971,0.6851532459259033,[0.12948489]
138,0.09765971,0.6816489696502686,[0.12948489]
139,0.09765971,0.6882314682006836,[0.12948489]
140,0.09765971,0.6835048198699951,[0.12948489]
141,0.09765971,0.6867003440856934,[0.12948489]
142,0.09765971,0.6821987628936768,[0.12948489]
143,0.09765971,0.6840076446533203,[0.12948489]
144,0.09765971,0.6753628253936768,[0.12948489]
145,0.09765971,0.6827986240386963,[0.12948489]
146,0.09765971,0.6879558563232422,[0.12948489]
147,0.09765971,0.6922783851623535,[0.12948489]
148,0.09765971,0.6877245903015137,[0.12948489]
149,0.09765971,0.6924781799316406,[0.12948489]
150,0.09765971,0.6922128200531006,[0.12948489]
151,0.09765971,0.694087028503418,[0.12948489]
152,0.09765971,0.691133975982666,[0.12948489]
153,0.09765971,0.694566011428833,[0.12948489]
154,0.09765971,0.6904170513153076,[0.12948489]
155,0.18108183,0.690138578414917,[0.24363744]
156,0.18108183,0.6932947635650635,[0.24363744]
157,0.18108183,0.6926815509796143,[0.24363744]
158,0.18108183,0.6932802200317383,[0.24363744]
159,0.18108183,0.6911084651947021,[0.24363744]
160,0.18108183,0.6902968883514404,[0.24363744]
161,0.18108183,0.6893668174743652,[0.24363744]
162,0.18108183,0.6858415603637695,[0.24363744]
163,0.18108183,0.6861357688903809,[0.24363744]
164,0.18108183,0.6846182346343994,[0.24363744]
165,0.18108183,0.6885545253753662,[0.24363744]
166,0.18108183,0.6894733905792236,[0.24363744]
167,0.18108183,0.6881167888641357,[0.24363744]
168,0.18108183,0.6916539669036865,[0.24363744]
169,0.18108183,0.693321704864502,[0.24363744]
170,0.18108183,0.6863791942596436,[0.24363744]
171,0.18108183,2.918172836303711,[0.24363744]
172,0.18108183,0.6850879192352295,[0.24363744]
173,0.18108183,0.6918182373046875,[0.24363744]
174,0.18108183,0.6856563091278076,[0.24363744]
175,0.18108183,0.687150239944458,[0.24363744]
176,0.18108183,0.6821982860565186,[0.24363744]
177,0.18108183,0.6834301948547363,[0.24363744]
178,0.18108183,0.6831381320953369,[0.24363744]
179,0.18108183,0.6922216415405273,[0.24363744]
180,0.18108183,0.6854536533355713,[0.24363744]
181,0.18108183,0.6872193813323975,[0.24363744]
182,0.18108183,0.697627067565918,[0.24363744]
183,0.18108183,0.6938612461090088,[0.24363744]
184,0.18108183,0.6863772869110107,[0.24363744]
185,0.18108183,0.6958508491516113,[0.24363744]
186,0.18108183,0.6911716461181641,[0.24363744]
187,0.18108183,0.6865091323852539,[0.24363744]
188,0.18108183,0.692725419998169,[0.24363744]
189,0.18108183,0.69364333152771,[0.24363744]
190,0.18108183,0.692004919052124,[0.24363744]
191,0.18108183,0.6905808448791504,[0.24363744]
192,0.18108183,0.6927525997161865,[0.24363744]
193,0.18108183,0.6862256526947021,[0.24363744]
194,0.18108183,0.682755708694458,[0.24363744]
195,0.18108183,0.6864879131317139,[0.24363744]
196,0.18108183,0.682650089263916,[0.24363744]
197,0.18108183,0.6886188983917236,[0.24363744]
198,0.18108183,0.6866717338562012,[0.24363744]
199,0.18108183,0.6892578601837158,[0.24363744]
200,0.18108183,0.6851270198822021,[0.24363744]
201,0.18108183,0.6987688541412354,[0.24363744]
202,0.18108183,0.6915740966796875,[0.24363744]
203,0.18108183,0.6852707862854004,[0.24363744]
204,0.18108183,0.6970665454864502,[0.24363744]
205,0.18108183,0.7168445587158203,[0.24363744]
206,0.18108183,0.698401689529419,[0.24363744]
207,0.18108183,0.6984777450561523,[0.24363744]
208,0.18108183,0.6972060203552246,[0.24363744]
209,0.18108183,0.6990129947662354,[0.24363744]
210,0.18108183,0.6912155151367188,[0.24363744]
211,0.18108183,0.6914479732513428,[0.24363744]
212,0.18108183,0.6914570331573486,[0.24363744]
213,0.18108183,0.6945860385894775,[0.24363744]
214,0.18108183,0.6859452724456787,[0.24363744]
215,0.18108183,0.6911256313323975,[0.24363744]
216,0.18108183,0.6845247745513916,[0.24363744]
217,0.18108183,0.6933674812316895,[0.24363744]
218,0.18108183,0.69523024559021,[0.24363744]
219,0.18108183,0.6892404556274414,[0.24363744]
220,0.18108183,0.6884496212005615,[0.24363744]
221,0.18108183,0.6972446441650391,[0.24363744]
222,0.18108183,0.6920268535614014,[0.24363744]
223,0.18108183,0.6912562847137451,[0.24363744]
224,0.18108183,0.6915736198425293,[0.24363744]
225,0.18108183,0.7073252201080322,[0.24363744]
226,0.18108183,0.6890456676483154,[0.24363744]
227,0.18108183,0.6871607303619385,[0.24363744]
228,0.18108183,0.6922042369842529,[0.24363744]
229,0.18108183,0.6909165382385254,[0.24363744]
230,0.18108183,0.6885287761688232,[0.24363744]
231,0.18108183,0.6818079948425293,[0.24363744]
232,0.18108183,0.6842319965362549,[0.24363744]
233,0.18108183,0.6879608631134033,[0.24363744]
234,0.18108183,0.6855430603027344,[0.24363744]
235,0.18108183,0.6846728324890137,[0.24363744]
236,0.18108183,0.6772394180297852,[0.24363744]
237,0.18108183,0.6871128082275391,[0.24363744]
238,0.18108183,0.6870253086090088,[0.24363744]
239,0.18108183,0.6883141994476318,[0.24363744]
240,0.18108183,0.6894073486328125,[0.24363744]
241,0.18108183,0.6928067207336426,[0.24363744]
242,0.18108183,0.6851835250854492,[0.24363744]
243,0.18108183,0.6897890567779541,[0.24363744]
244,0.18108183,0.6930029392242432,[0.24363744]
245,0.18108183,0.6939640045166016,[0.24363744]
246,0.18108183,0.6979696750640869,[0.24363744]
247,0.18108183,0.6886434555053711,[0.24363744]
248,0.18108183,0.6892337799072266,[0.24363744]
249,0.18108183,0.6939451694488525,[0.24363744]
250,0.18108183,0.6899621486663818,[0.24363744]
251,0.18108183,0.6864266395568848,[0.24363744]
252,0.18108183,0.6878292560577393,[0.24363744]
253,0.18108183,0.6871726512908936,[0.24363744]
254,0.18108183,0.6920311450958252,[0.24363744]
255,0.18108183,0.6918439865112305,[0.24363744]
256,0.18108183,0.6900532245635986,[0.24363744]
257,0.18108183,0.6916632652282715,[0.24363744]
258,0.18108183,0.6889934539794922,[0.24363744]
259,0.18108183,0.6926412582397461,[0.24363744]
260,0.18108183,2.9536044597625732,[0.24363744]
261,0.18108183,0.6804778575897217,[0.24363744]
262,0.18108183,0.6844396591186523,[0.24363744]
263,0.18108183,0.6889548301696777,[0.24363744]
264,0.18108183,0.6909277439117432,[0.24363744]
265,0.18108183,0.6897134780883789,[0.24363744]
266,0.18108183,0.6921727657318115,[0.24363744]
267,0.18108183,0.6897854804992676,[0.24363744]
268,0.18108183,0.6977968215942383,[0.24363744]
269,0.18108183,0.6937737464904785,[0.24363744]
270,0.18108183,0.6936497688293457,[0.24363744]
271,0.18108183,0.6968591213226318,[0.24363744]
272,0.18108183,0.6881442070007324,[0.24363744]
273,0.18108183,0.6897258758544922,[0.24363744]
274,0.18108183,0.6951122283935547,[0.24363744]
275,0.18108183,0.6911075115203857,[0.24363744]
276,0.18108183,0.6957287788391113,[0.24363744]
277,0.18108183,0.697767972946167,[0.24363744]
278,0.18108183,0.689690351486206,[0.24363744]
279,0.18108183,0.6912455558776855,[0.24363744]
280,0.18108183,0.6976842880249023,[0.24363744]
281,0.18108183,0.6983766555786133,[0.24363744]
282,0.18108183,0.692042350769043,[0.24363744]
283,0.18108183,0.696122407913208,[0.24363744]
284,0.18108183,0.6938214302062988,[0.24363744]
285,0.18108183,0.6917235851287842,[0.24363744]
286,0.18108183,0.6921217441558838,[0.24363744]
287,0.18108183,0.7094132900238037,[0.24363744]
288,0.18108183,0.6966996192932129,[0.24363744]
289,0.18108183,0.6961362361907959,[0.24363744]
290,0.18108183,0.7098517417907715,[0.24363744]
291,0.18108183,0.7041747570037842,[0.24363744]
292,0.18108183,0.6993362903594971,[0.24363744]
293,0.18108183,0.6975724697113037,[0.24363744]
294,0.18108183,0.7002348899841309,[0.24363744]
295,0.18108183,0.6879141330718994,[0.24363744]
296,0.18108183,0.6919505596160889,[0.24363744]
297,0.18108183,0.7034590244293213,[0.24363744]
298,0.18108183,0.693178653717041,[0.24363744]
299,0.18108183,0.6981368064880371,[0.24363744]
300,0.18108183,0.6955926418304443,[0.24363744]
301,0.18108183,0.6978421211242676,[0.24363744]
302,0.18108183,0.6992831230163574,[0.24363744]
303,0.18108183,0.6904120445251465,[0.24363744]
304,0.18108183,0.6936936378479004,[0.24363744]
305,0.18108183,0.6945672035217285,[0.24363744]
306,0.18108183,0.6879463195800781,[0.24363744]
307,0.18108183,0.6840534210205078,[0.24363744]
308,0.18108183,0.6840310096740723,[0.24363744]
309,0.18108183,0.6883492469787598,[0.24363744]
310,0.18108183,0.6863579750061035,[0.24363744]
311,0.18108183,0.685915470123291,[0.24363744]
312,0.18108183,0.6885221004486084,[0.24363744]
313,0.18108183,0.6969215869903564,[0.24363744]
314,0.18108183,0.6883692741394043,[0.24363744]
315,0.18108183,0.690889835357666,[0.24363744]
316,0.18108183,0.6959223747253418,[0.24363744]
317,0.18108183,0.6897406578063965,[0.24363744]
318,0.18108183,0.6872611045837402,[0.24363744]
319,0.18108183,0.6949102878570557,[0.24363744]
320,0.18108183,0.6916263103485107,[0.24363744]
321,0.18108183,0.6932656764984131,[0.24363744]
322,0.18108183,0.6925499439239502,[0.24363744]
323,0.18108183,0.6939699649810791,[0.24363744]
324,0.18108183,0.6960577964782715,[0.24363744]
325,0.18108183,0.6909708976745605,[0.24363744]
326,0.18108183,0.6828713417053223,[0.24363744]
327,0.18108183,0.6820907592773438,[0.24363744]
328,0.18108183,0.6855316162109375,[0.24363744]
329,0.18108183,0.6908872127532959,[0.24363744]
330,0.18108183,0.6922829151153564,[0.24363744]
331,0.18108183,0.6894123554229736,[0.24363744]
332,0.18108183,0.6902379989624023,[0.24363744]
333,0.18108183,0.6918869018554688,[0.24363744]
334,0.18108183,0.6887462139129639,[0.24363744]
335,0.18108183,0.6884009838104248,[0.24363744]
336,0.18108183,0.6880557537078857,[0.24363744]
337,0.18108183,0.6890921592712402,[0.24363744]
338,0.18108183,0.6889927387237549,[0.24363744]
339,0.18108183,0.6884403228759766,[0.24363744]
340,0.18108183,0.6822512149810791,[0.24363744]
341,0.18108183,0.6802616119384766,[0.24363744]
342,0.18108183,0.6894981861114502,[0.24363744]
343,0.18108183,0.6891622543334961,[0.24363744]
344,0.18108183,0.6932930946350098,[0.24363744]
345,0.18108183,0.6932187080383301,[0.24363744]
346,0.18108183,0.6880342960357666,[0.24363744]
347,0.18108183,0.6905148029327393,[0.24363744]
348,0.18108183,0.6906979084014893,[0.24363744]
349,0.18108183,2.908212661743164,[0.24363744]
350,0.18108183,0.6856303215026855,[0.24363744]
351,0.18108183,0.6852388381958008,[0.24363744]
352,0.18108183,0.682197093963623,[0.24363744]
353,0.18108183,0.6808047294616699,[0.24363744]
354,0.18108183,0.6825668811798096,[0.24363744]
355,0.18108183,0.6910159587860107,[0.24363744]
356,0.18108183,0.688697338104248,[0.24363744]
357,0.18108183,0.6902101039886475,[0.24363744]
358,0.18108183,0.6871113777160645,[0.24363744]
359,0.18108183,0.6867964267730713,[0.24363744]
360,0.18108183,0.687145471572876,[0.24363744]
361,0.18108183,0.6840593814849854,[0.24363744]
362,0.18108183,0.6824393272399902,[0.24363744]
363,0.18108183,0.6853623390197754,[0.24363744]
364,0.18108183,0.694572925567627,[0.24363744]
365,0.18108183,0.6893506050109863,[0.24363744]
366,0.18108183,0.6914193630218506,[0.24363744]
367,0.18108183,0.6846845149993896,[0.24363744]
368,0.18108183,0.6828107833862305,[0.24363744]
369,0.18108183,0.6850895881652832,[0.24363744]
370,0.18108183,0.6896016597747803,[0.24363744]
371,0.18108183,0.6835527420043945,[0.24363744]
372,0.18108183,0.6913905143737793,[0.24363744]
373,0.18108183,0.6810047626495361,[0.24363744]
374,0.18108183,0.6812472343444824,[0.24363744]
375,0.18108183,0.6878621578216553,[0.24363744]
376,0.18108183,0.6844871044158936,[0.24363744]
377,0.18108183,0.6915872097015381,[0.24363744]
378,0.18108183,0.6946127414703369,[0.24363744]
379,0.18108183,0.6931955814361572,[0.24363744]
380,0.18108183,0.6851341724395752,[0.24363744]
381,0.18108183,0.6860575675964355,[0.24363744]
382,0.18108183,0.68617844581604,[0.24363744]
383,0.18108183,0.6927969455718994,[0.24363744]
384,0.18108183,0.6878621578216553,[0.24363744]
385,0.18108183,0.6899068355560303,[0.24363744]
386,0.18108183,0.6849827766418457,[0.24363744]
387,0.18108183,0.6877453327178955,[0.24363744]
388,0.18108183,0.6879708766937256,[0.24363744]
389,0.18108183,0.6811447143554688,[0.24363744]
390,0.18108183,0.6853957176208496,[0.24363744]
391,0.18108183,0.6891472339630127,[0.24363744]
392,0.18108183,0.6836018562316895,[0.24363744]
393,0.18108183,0.7156305313110352,[0.24363744]
394,0.18108183,0.6905481815338135,[0.24363744]
395,0.18108183,0.6861073970794678,[0.24363744]
396,0.18108183,0.6799213886260986,[0.24363744]
397,0.18108183,0.6907126903533936,[0.24363744]
398,0.18108183,0.698843240737915,[0.24363744]
399,0.18108183,0.693866491317749,[0.24363744]
400,0.18108183,0.6931185722351074,[0.24363744]
401,0.18108183,0.7085649967193604,[0.24363744]
402,0.18108183,0.7050447463989258,[0.24363744]
403,0.18108183,0.6949727535247803,[0.24363744]
404,0.18108183,0.7042977809906006,[0.24363744]
405,0.18108183,0.6970460414886475,[0.24363744]
406,0.18108183,0.6952049732208252,[0.24363744]
407,0.18108183,0.6941959857940674,[0.24363744]
408,0.18108183,0.6953461170196533,[0.24363744]
409,0.18108183,0.6992838382720947,[0.24363744]
410,0.18108183,0.7026572227478027,[0.24363744]
411,0.18108183,0.6970570087432861,[0.24363744]
412,0.18108183,0.6963362693786621,[0.24363744]
413,0.18108183,0.6995906829833984,[0.24363744]
414,0.18108183,0.7032203674316406,[0.24363744]
415,0.18108183,0.7005724906921387,[0.24363744]
416,0.18108183,0.7045152187347412,[0.24363744]
417,0.18108183,0.7049238681793213,[0.24363744]
418,0.18108183,0.6979341506958008,[0.24363744]
419,0.18108183,0.7009079456329346,[0.24363744]
420,0.18108183,0.695913553237915,[0.24363744]
421,0.18108183,0.7007780075073242,[0.24363744]
422,0.18108183,0.7024927139282227,[0.24363744]
423,0.18108183,0.6956300735473633,[0.24363744]
424,0.18108183,0.6940646171569824,[0.24363744]
425,0.18108183,0.6932041645050049,[0.24363744]
426,0.18108183,0.6937785148620605,[0.24363744]
427,0.18108183,0.6932318210601807,[0.24363744]
428,0.18108183,0.693955659866333,[0.24363744]
429,0.18108183,0.6948418617248535,[0.24363744]
430,0.18108183,0.6914181709289551,[0.24363744]
431,0.18108183,0.6890523433685303,[0.24363744]
432,0.18108183,0.6894550323486328,[0.24363744]
433,0.18108183,0.6924436092376709,[0.24363744]
434,0.18108183,0.6884751319885254,[0.24363744]
435,0.18108183,0.6844913959503174,[0.24363744]
