iteration,max_fitness,time,rrmse_0,rrmse_1
0,0.6314554,0.0,0.6153846,0.6153846
1,0.6314554,1.3392975330352783,0.6153846,0.6153846
2,0.6314554,1.104130506515503,0.6153846,0.6153846
3,0.6314554,1.1063337326049805,0.6153846,0.6153846
4,0.6314554,1.1421034336090088,0.6153846,0.6153846
5,0.6314554,1.094865083694458,0.6153846,0.6153846
6,0.6314554,1.059774398803711,0.6153846,0.6153846
7,0.6314554,1.122260332107544,0.6153846,0.6153846
8,0.6314554,1.1034669876098633,0.6153846,0.6153846
9,0.6314554,1.0268054008483887,0.6153846,0.6153846
10,0.6314554,1.060361385345459,0.6153846,0.6153846
11,0.6314554,1.0353384017944336,0.6153846,0.6153846
12,0.6314554,1.0855739116668701,0.6153846,0.6153846
13,0.6314554,1.1351094245910645,0.6153846,0.6153846
14,0.6314554,1.1263151168823242,0.6153846,0.6153846
15,0.6314554,1.056410312652588,0.6153846,0.6153846
16,0.6314554,1.0448613166809082,0.6153846,0.6153846
17,0.6314554,1.0738513469696045,0.6153846,0.6153846
18,0.6314554,1.0728297233581543,0.6153846,0.6153846
19,0.6314554,1.1902599334716797,0.6153846,0.6153846
20,0.6314554,1.1603305339813232,0.6153846,0.6153846
21,0.6314554,1.1156232357025146,0.6153846,0.6153846
22,0.6314554,1.0586423873901367,0.6153846,0.6153846
23,0.6314554,1.1387300491333008,0.6153846,0.6153846
24,0.6314554,1.1649565696716309,0.6153846,0.6153846
25,0.6314554,1.0473268032073975,0.6153846,0.6153846
26,0.6314554,1.0541226863861084,0.6153846,0.6153846
27,0.6314554,1.0438532829284668,0.6153846,0.6153846
28,0.6314554,1.069791316986084,0.6153846,0.6153846
29,0.6314554,1.1009953022003174,0.6153846,0.6153846
30,0.6314554,1.0551445484161377,0.6153846,0.6153846
31,0.6314554,1.1715052127838135,0.6153846,0.6153846
32,0.6314554,1.1070425510406494,0.6153846,0.6153846
33,0.6314554,1.0571389198303223,0.6153846,0.6153846
34,0.6314554,1.067032814025879,0.6153846,0.6153846
35,0.6314554,1.120220422744751,0.6153846,0.6153846
36,0.6314554,1.154280662536621,0.6153846,0.6153846
37,0.6314554,1.115128517150879,0.6153846,0.6153846
38,0.6314554,1.0768122673034668,0.6153846,0.6153846
39,0.6314554,1.0667860507965088,0.6153846,0.6153846
40,0.6314554,1.099851369857788,0.6153846,0.6153846
41,0.6314554,1.1472804546356201,0.6153846,0.6153846
42,0.6314554,1.1923482418060303,0.6153846,0.6153846
43,0.6314554,2.5156891345977783,0.6153846,0.6153846
44,0.6314554,1.0359742641448975,0.6153846,0.6153846
45,0.6314554,1.103698968887329,0.6153846,0.6153846
46,0.6314554,1.0849144458770752,0.6153846,0.6153846
47,0.6314554,1.1411190032958984,0.6153846,0.6153846
48,0.6314554,1.0689189434051514,0.6153846,0.6153846
49,0.6314554,1.043379306793213,0.6153846,0.6153846
50,0.6314554,1.0931923389434814,0.6153846,0.6153846
51,0.6314554,1.1194486618041992,0.6153846,0.6153846
52,0.6314554,1.164374589920044,0.6153846,0.6153846
53,0.6314554,1.064497947692871,0.6153846,0.6153846
54,0.6314554,1.0956857204437256,0.6153846,0.6153846
55,0.6314554,1.0580618381500244,0.6153846,0.6153846
56,0.6314554,1.1221096515655518,0.6153846,0.6153846
57,0.6314554,1.1013743877410889,0.6153846,0.6153846
58,0.6314554,1.0433142185211182,0.6153846,0.6153846
59,0.6314554,1.057377815246582,0.6153846,0.6153846
60,0.6314554,1.0780651569366455,0.6153846,0.6153846
61,0.6314554,1.0390441417694092,0.6153846,0.6153846
62,0.6314554,1.0676581859588623,0.6153846,0.6153846
63,0.6314554,1.0995004177093506,0.6153846,0.6153846
64,0.6314554,1.1265151500701904,0.6153846,0.6153846
65,0.6314554,1.0799734592437744,0.6153846,0.6153846
66,0.6314554,1.1118454933166504,0.6153846,0.6153846
67,0.6314554,1.0969133377075195,0.6153846,0.6153846
68,0.6314554,1.2046854496002197,0.6153846,0.6153846
69,0.6314554,1.0637657642364502,0.6153846,0.6153846
70,0.6314554,1.0811212062835693,0.6153846,0.6153846
71,0.6314554,1.1123931407928467,0.6153846,0.6153846
72,0.6314554,1.1137123107910156,0.6153846,0.6153846
73,0.6314554,1.1233253479003906,0.6153846,0.6153846
74,0.6314554,1.0992796421051025,0.6153846,0.6153846
75,0.6314554,1.1014378070831299,0.6153846,0.6153846
76,0.6314554,1.1085577011108398,0.6153846,0.6153846
77,0.6314554,1.1255741119384766,0.6153846,0.6153846
78,0.6314554,1.0650758743286133,0.6153846,0.6153846
79,0.6314554,1.093353271484375,0.6153846,0.6153846
80,0.6314554,1.108236312866211,0.6153846,0.6153846
81,0.6314554,1.0962388515472412,0.6153846,0.6153846
82,0.6314554,1.0715534687042236,0.6153846,0.6153846
83,0.6314554,1.045811414718628,0.6153846,0.6153846
84,0.6314554,1.1140086650848389,0.6153846,0.6153846
85,0.6314554,1.2054550647735596,0.6153846,0.6153846
86,0.6314554,1.095008134841919,0.6153846,0.6153846
87,0.6314554,1.0931768417358398,0.6153846,0.6153846
88,0.6314554,1.092320442199707,0.6153846,0.6153846
89,0.6314554,1.0938646793365479,0.6153846,0.6153846
90,0.6314554,1.1450145244598389,0.6153846,0.6153846
91,0.6314554,1.158005714416504,0.6153846,0.6153846
92,0.6314554,1.147218942642212,0.6153846,0.6153846
93,0.6314554,1.1145422458648682,0.6153846,0.6153846
94,0.6314554,1.0275921821594238,0.6153846,0.6153846
95,0.6314554,1.0716614723205566,0.6153846,0.6153846
96,0.6314554,1.1376888751983643,0.6153846,0.6153846
97,0.6314554,1.029465913772583,0.6153846,0.6153846
98,0.6314554,1.1144485473632812,0.6153846,0.6153846
99,0.6314554,1.1532187461853027,0.6153846,0.6153846
100,0.6314554,1.0739834308624268,0.6153846,0.6153846
101,0.6314554,1.0849590301513672,0.6153846,0.6153846
102,0.6314554,1.1517887115478516,0.6153846,0.6153846
103,0.6314554,1.150510311126709,0.6153846,0.6153846
104,0.6314554,1.083820104598999,0.6153846,0.6153846
105,0.6314554,1.206193447113037,0.6153846,0.6153846
106,0.6314554,1.0825684070587158,0.6153846,0.6153846
107,0.6314554,2.5104455947875977,0.6153846,0.6153846
108,0.6314554,1.1706805229187012,0.6153846,0.6153846
109,0.6314554,1.0573415756225586,0.6153846,0.6153846
110,0.6314554,1.0603151321411133,0.6153846,0.6153846
111,0.6314554,1.07106351852417,0.6153846,0.6153846
112,0.6314554,1.1091585159301758,0.6153846,0.6153846
113,0.6314554,1.1559100151062012,0.6153846,0.6153846
114,0.6314554,1.0784735679626465,0.6153846,0.6153846
115,0.6314554,1.0984997749328613,0.6153846,0.6153846
116,0.6314554,1.1164441108703613,0.6153846,0.6153846
117,0.6314554,1.1437551975250244,0.6153846,0.6153846
118,0.6314554,1.1007537841796875,0.6153846,0.6153846
119,0.6314554,1.119049310684204,0.6153846,0.6153846
120,0.6314554,0.9957787990570068,0.6153846,0.6153846
121,0.6314554,1.0906455516815186,0.6153846,0.6153846
122,0.6314554,1.1226389408111572,0.6153846,0.6153846
123,0.6314554,1.0952966213226318,0.6153846,0.6153846
124,0.6314554,1.1021556854248047,0.6153846,0.6153846
125,0.6314554,1.1393189430236816,0.6153846,0.6153846
126,0.6314554,1.0492620468139648,0.6153846,0.6153846
127,0.6314554,1.1002616882324219,0.6153846,0.6153846
128,0.6314554,1.0563137531280518,0.6153846,0.6153846
129,0.6314554,1.0466804504394531,0.6153846,0.6153846
130,0.6314554,1.0656561851501465,0.6153846,0.6153846
131,0.6314554,1.1689062118530273,0.6153846,0.6153846
132,0.6314554,1.0472733974456787,0.6153846,0.6153846
133,0.6314554,1.0966291427612305,0.6153846,0.6153846
134,0.6314554,1.0780830383300781,0.6153846,0.6153846
135,0.6314554,1.0682995319366455,0.6153846,0.6153846
136,0.6314554,1.1820051670074463,0.6153846,0.6153846
137,0.6314554,1.0560839176177979,0.6153846,0.6153846
138,0.6314554,1.0631895065307617,0.6153846,0.6153846
139,0.6314554,1.0527877807617188,0.6153846,0.6153846
140,0.6314554,1.0769753456115723,0.6153846,0.6153846
141,0.6314554,1.1272766590118408,0.6153846,0.6153846
142,0.6314554,1.1389985084533691,0.6153846,0.6153846
143,0.6314554,1.068099021911621,0.6153846,0.6153846
144,0.6314554,1.0615546703338623,0.6153846,0.6153846
145,0.6314554,1.1231205463409424,0.6153846,0.6153846
146,0.6314554,1.1272873878479004,0.6153846,0.6153846
147,0.6314554,1.1297719478607178,0.6153846,0.6153846
148,0.6314554,1.1653199195861816,0.6153846,0.6153846
149,0.6314554,1.0545382499694824,0.6153846,0.6153846
150,0.6314554,1.0867087841033936,0.6153846,0.6153846
151,0.6314554,1.0806841850280762,0.6153846,0.6153846
152,0.6314554,1.1148910522460938,0.6153846,0.6153846
153,0.6314554,1.1009345054626465,0.6153846,0.6153846
154,0.6314554,1.089771032333374,0.6153846,0.6153846
155,0.6314554,1.048706293106079,0.6153846,0.6153846
156,0.6314554,1.153944969177246,0.6153846,0.6153846
157,0.6314554,1.0851986408233643,0.6153846,0.6153846
158,0.6314554,1.1136329174041748,0.6153846,0.6153846
159,0.6314554,1.0647072792053223,0.6153846,0.6153846
160,0.6314554,1.0719859600067139,0.6153846,0.6153846
161,0.6314554,1.063793659210205,0.6153846,0.6153846
162,0.6314554,1.055612564086914,0.6153846,0.6153846
163,0.6314554,1.1318554878234863,0.6153846,0.6153846
164,0.6314554,1.1143519878387451,0.6153846,0.6153846
165,0.6314554,1.0550987720489502,0.6153846,0.6153846
166,0.6314554,1.0616393089294434,0.6153846,0.6153846
167,0.6314554,1.0521721839904785,0.6153846,0.6153846
168,0.6314554,2.5603890419006348,0.6153846,0.6153846
169,0.6314554,1.052994728088379,0.6153846,0.6153846
170,0.6314554,1.156648874282837,0.6153846,0.6153846
