iteration,max_fitness,time,test_accuracy
0,-3.722989,0.0,-4.5931616
1,-2.8837483,19.098159551620483,[-3.7529616]
2,-1.0511847,20.18673014640808,[-1.6566412]
3,-0.54503787,19.683408737182617,[-0.53763247]
4,0.051103473,21.702646732330322,[0.05116445]
5,0.085464835,19.505229473114014,[0.09557492]
6,0.101674974,19.926111936569214,[0.10387671]
7,0.11055863,19.55909299850464,[0.10387671]
8,0.22383487,19.4011070728302,[0.24126428]
9,0.3131615,19.709189891815186,[0.35479605]
10,0.2915603,20.224438428878784,[0.33905786]
11,0.48194504,19.707585096359253,[0.46384943]
12,0.42772406,19.972375631332397,[0.46383125]
13,0.43860537,20.411701917648315,[0.46298546]
14,0.44147116,19.348976850509644,[0.46599942]
15,0.47237873,19.19850516319275,[0.51126134]
16,0.48165965,19.516440868377686,[0.5278378]
17,0.4851274,19.696667909622192,[0.5467695]
18,0.5263206,19.895132541656494,[0.5527806]
19,0.5306911,19.76119899749756,[0.5617781]
20,0.5108816,19.983372926712036,[0.5630427]
21,0.5375533,19.203466176986694,[0.5580748]
22,0.53213394,19.655997037887573,[0.59087086]
23,0.5724884,20.712361812591553,[0.64884984]
24,0.6128012,19.509710788726807,[0.64413226]
25,0.63195205,20.29937481880188,[0.6751914]
26,0.6308472,19.907202005386353,[0.6661056]
27,0.6227621,19.58453917503357,[0.66630507]
28,0.6097023,19.710285663604736,[0.67728066]
29,0.6453874,19.307334423065186,[0.6812793]
30,0.6006991,19.42155909538269,[0.67469656]
31,0.63966614,19.569928407669067,[0.6862171]
32,0.6812673,19.57102942466736,[0.69663656]
33,0.65293336,20.315840244293213,[0.69626665]
34,0.65236664,20.04738211631775,[0.6970773]
35,0.66111493,23.200700998306274,[0.6970773]
36,0.63752383,20.23266863822937,[0.69952834]
37,0.63442564,20.605963706970215,[0.6954007]
38,0.6705707,19.64228367805481,[0.69676816]
39,0.6608083,20.4521541595459,[0.70172113]
40,0.6506492,20.663106679916382,[0.6999029]
41,0.64395446,19.91497826576233,[0.69726133]
42,0.66228825,19.595627546310425,[0.6995237]
43,0.65778655,19.495803356170654,[0.6986635]
44,0.6552714,20.52278208732605,[0.7004074]
45,0.6755155,19.650200366973877,[0.7029486]
46,0.6410035,19.677399158477783,[0.70340633]
47,0.64290375,19.53290057182312,[0.7015241]
48,0.67718613,20.046619653701782,[0.70340633]
49,0.6490791,19.647780179977417,[0.70340633]
50,0.6557047,20.191087007522583,[0.703025]
51,0.6667732,20.231724977493286,[0.69786733]
52,0.6602048,19.500260829925537,[0.69896746]
53,0.6437776,20.563002109527588,[0.6995237]
54,0.65303224,19.910691738128662,[0.7007686]
55,0.6600939,20.12120795249939,[0.7026271]
56,0.6477353,19.762068510055542,[0.7007686]
57,0.65124744,20.003499031066895,[0.70297956]
58,0.64235944,19.8553409576416,[0.69712484]
59,0.667331,19.999719619750977,[0.69896746]
60,0.6708957,19.278888940811157,[0.72050095]
61,0.6857246,19.994983196258545,[0.71785045]
62,0.70716465,20.510136604309082,[0.73925346]
63,0.70381486,19.759706735610962,[0.73925346]
64,0.68160975,19.409876585006714,[0.7422122]
65,0.6829516,19.448133945465088,[0.74195814]
66,0.713686,20.229591608047485,[0.72745204]
67,0.70733505,21.708869695663452,[0.7378315]
68,0.7263752,19.841355085372925,[0.7107456]
69,0.70771194,19.737090587615967,[0.72938514]
70,0.7004887,19.694201469421387,[0.7338991]
71,0.70723075,19.758305072784424,[0.74195814]
72,0.6889836,19.76135015487671,[0.7338991]
73,0.70348275,19.813536643981934,[0.74549204]
74,0.71788645,19.679893255233765,[0.7341633]
75,0.7130672,19.629003524780273,[0.73067415]
76,0.7195519,20.213544368743896,[0.73067415]
77,0.7397243,18.930033206939697,[0.73504156]
78,0.69159234,20.18871283531189,[0.73222554]
79,0.7310642,20.176390886306763,[0.73504156]
80,0.7334337,19.979594469070435,[0.7374097]
81,0.74768704,19.514525890350342,[0.75916487]
82,0.7275435,20.309698820114136,[0.76205516]
83,0.73782045,20.917649745941162,[0.76389676]
84,0.709869,19.629377365112305,[0.7558347]
85,0.76517415,20.12928032875061,[0.7603589]
86,0.73085034,20.28532123565674,[0.7637909]
87,0.7628828,20.23163866996765,[0.7637909]
88,0.7438321,19.48958158493042,[0.7637909]
89,0.7379743,20.22216796875,[0.76382065]
90,0.7377064,19.7121000289917,[0.7637909]
91,0.74541306,20.156808853149414,[0.76382065]
92,0.723987,20.116702795028687,[0.76296204]
93,0.7373356,20.417688846588135,[0.7626391]
94,0.7178509,20.37631058692932,[0.76382065]
95,0.7531186,19.753263473510742,[0.7637909]
96,0.7475466,20.36296582221985,[0.76372236]
97,0.758893,19.901237726211548,[0.76296204]
98,0.7281946,19.69186544418335,[0.7640264]
99,0.76206195,21.879400968551636,[0.7604322]
100,0.76624435,20.687777042388916,[0.7626391]
101,0.7524836,19.12213659286499,[0.7637909]
102,0.73933876,20.25946307182312,[0.7604322]
103,0.7719165,20.199949979782104,[0.7647012]
104,0.7662473,19.75586700439453,[0.7635123]
105,0.75389916,19.7244553565979,[0.7664104]
106,0.73348176,19.906615257263184,[0.7604322]
107,0.7625749,20.128809928894043,[0.7664104]
108,0.78077316,19.76387929916382,[0.7653496]
109,0.75326407,20.14336633682251,[0.76382065]
110,0.7322458,20.112660884857178,[0.7653496]
111,0.7493989,20.072683811187744,[0.7653496]
112,0.7255511,20.478890419006348,[0.7651025]
113,0.7336078,19.993831634521484,[0.7626391]
114,0.7251166,20.656536102294922,[0.76382065]
115,0.75763637,20.416313648223877,[0.7653496]
116,0.7384447,19.516900300979614,[0.76644534]
117,0.74921703,19.673665046691895,[0.76372236]
118,0.74814534,20.542370319366455,[0.76601034]
119,0.7279774,20.053164958953857,[0.7653496]
120,0.75974673,20.14613962173462,[0.76601034]
121,0.73295975,19.55034375190735,[0.76394796]
122,0.7541617,19.60158085823059,[0.76607585]
123,0.74392045,20.462280988693237,[0.76357996]
124,0.7211065,19.85398817062378,[0.7640145]
125,0.7438302,19.78222393989563,[0.7668723]
126,0.75618786,20.098373889923096,[0.7668723]
127,0.7363079,20.033340215682983,[0.76240504]
128,0.74802876,20.02562141418457,[0.7668723]
129,0.7253882,20.247653007507324,[0.7643579]
