iteration,max_fitness,time,test_accuracy
0,0.28293586,0.0,0.3271472
1,0.31808722,16.80437707901001,[0.3271472]
2,0.30988753,16.715574741363525,[0.3271472]
3,0.30348647,16.369874954223633,[0.3271472]
4,0.30577075,16.466872453689575,[0.3271472]
5,0.3101945,16.20473551750183,[0.3271472]
6,0.2922197,16.278705835342407,[0.3271472]
7,0.29806507,16.431252241134644,[0.3271472]
8,0.29881352,16.435429334640503,[0.3271472]
9,0.28260517,16.46044683456421,[0.3271472]
10,0.29338753,16.500710010528564,[0.3271472]
11,0.31227744,16.10891580581665,[0.3271472]
12,0.32884246,16.880431652069092,[0.32383794]
13,0.31175482,16.826350927352905,[0.33567667]
14,0.29847336,17.04620623588562,[0.33567667]
15,0.33854413,17.027915954589844,[0.33577216]
16,0.3496459,16.683656454086304,[0.37264025]
17,0.35223728,16.976109743118286,[0.36606842]
18,0.38074678,16.640077590942383,[0.38140702]
19,0.36008787,16.710641860961914,[0.38140702]
20,0.35677695,16.833958387374878,[0.3834718]
21,0.369399,16.918753623962402,[0.38140702]
22,0.3783912,30.95581340789795,[0.3834718]
23,0.36569822,16.908313512802124,[0.3833723]
24,0.39767444,16.860670566558838,[0.38140702]
25,0.38948238,16.89995050430298,[0.3833723]
26,0.36354494,16.751381158828735,[0.38140702]
27,0.37928998,17.0833158493042,[0.3833723]
28,0.3321029,16.81796669960022,[0.38166857]
29,0.3433597,16.78778076171875,[0.38166857]
30,0.35941267,16.580657243728638,[0.38166857]
31,0.34447694,16.28798198699951,[0.38219005]
32,0.34249723,16.51177430152893,[0.38166857]
33,0.35861647,16.41194176673889,[0.38166857]
34,0.37616193,16.484150171279907,[0.38166857]
35,0.36052048,16.565032958984375,[0.38166857]
36,0.35692984,16.580443859100342,[0.38166857]
37,0.33548242,16.744811296463013,[0.38166857]
38,0.34746587,16.7631254196167,[0.38334793]
39,0.31459945,16.679052591323853,[0.38218033]
40,0.34208375,16.60624361038208,[0.38218033]
41,0.356776,16.605146884918213,[0.38347596]
42,0.35927075,16.477731227874756,[0.38218033]
43,0.3814494,16.67513346672058,[0.3821994]
44,0.34521598,16.606650829315186,[0.38218033]
45,0.3574255,16.66229557991028,[0.38308775]
46,0.3606553,16.855366706848145,[0.38308775]
47,0.31233978,16.66297221183777,[0.37839144]
48,0.33277524,16.72337532043457,[0.3816511]
49,0.31769347,16.83147168159485,[0.3816511]
50,0.35705537,16.532692432403564,[0.3816511]
51,0.33071393,16.795576572418213,[0.3816511]
52,0.3507552,16.73832082748413,[0.38218033]
53,0.37595952,16.71221423149109,[0.38347697]
54,0.33049107,17.007570266723633,[0.38347697]
55,0.36061847,17.006529569625854,[0.38218033]
56,0.32041782,16.73618483543396,[0.37475258]
57,0.34670514,16.982944011688232,[0.38218033]
58,0.35360175,16.57694172859192,[0.38355076]
59,0.37256926,16.73888111114502,[0.38062066]
60,0.32183498,16.83971405029297,[0.37985635]
61,0.3604008,16.766265392303467,[0.38218033]
62,0.3572291,16.526832103729248,[0.3699261]
63,0.35875356,16.8229820728302,[0.37924552]
64,0.37559772,16.936015844345093,[0.39033574]
65,0.3683138,16.670105457305908,[0.4018314]
66,0.37887102,16.711580276489258,[0.40113974]
67,0.41438526,16.53462052345276,[0.4184649]
68,0.39548135,16.960663318634033,[0.42522752]
69,0.41363502,16.877719163894653,[0.4274807]
70,0.3782323,16.77816343307495,[0.4295699]
71,0.4458834,16.831878662109375,[0.43973047]
72,0.40881723,16.880648374557495,[0.4407624]
73,0.43284076,16.7515869140625,[0.44839382]
74,0.4506886,16.74922490119934,[0.45242274]
75,0.43261063,16.95747447013855,[0.45211303]
76,0.39650232,16.932185411453247,[0.456142]
77,0.4881519,16.64700675010681,[0.46266073]
78,0.40904957,16.89041233062744,[0.46316785]
79,0.44962627,16.78803849220276,[0.4585665]
80,0.4280088,16.549710988998413,[0.4672529]
81,0.47070462,16.66913652420044,[0.46774864]
82,0.47409916,16.74598741531372,[0.4718117]
83,0.40778852,16.859965801239014,[0.46774864]
84,0.44901145,16.77455759048462,[0.4613251]
85,0.43282074,16.679998636245728,[0.4586913]
86,0.42782766,16.739822149276733,[0.47193152]
87,0.44637358,16.702168464660645,[0.47193152]
88,0.46462423,16.84902811050415,[0.46160132]
89,0.4133258,16.85028100013733,[0.4709627]
90,0.45942676,16.876201629638672,[0.475999]
91,0.41932958,16.77526879310608,[0.4722404]
92,0.43074685,16.704323530197144,[0.46996242]
93,0.40834963,16.449945211410522,[0.46996242]
94,0.48631483,16.582869052886963,[0.47487473]
95,0.43798918,16.821061372756958,[0.47639912]
96,0.47774345,16.500510692596436,[0.4716485]
97,0.4639517,16.57577919960022,[0.47229105]
98,0.41098267,16.70502996444702,[0.4757638]
99,0.46875215,16.552846908569336,[0.47756994]
100,0.368972,16.815860986709595,[0.4661026]
101,0.44793743,16.665138959884644,[0.47877926]
102,0.4656723,16.6171875,[0.47416306]
