iteration,max_fitness,time,test_accuracy
0,0.35389137,0.0,0.3542586
1,0.31871605,16.965683698654175,[0.3542586]
2,0.37166184,16.653009176254272,[0.42108047]
3,0.33373177,16.796320915222168,[0.37293732]
4,0.37561893,16.695613861083984,[0.42108047]
5,0.39874917,16.571378231048584,[0.4060657]
6,0.44524926,16.586893558502197,[0.45096308]
7,0.40415162,16.595180988311768,[0.46785116]
8,0.4254294,16.681139945983887,[0.47986293]
9,0.41715825,16.576225996017456,[0.49099672]
10,0.44728732,16.760862827301025,[0.48735267]
11,0.45043564,16.67790913581848,[0.4889791]
12,0.42409265,16.938236236572266,[0.49359787]
13,0.4652785,16.676234245300293,[0.4943962]
14,0.4345796,16.784921884536743,[0.48878413]
15,0.49406308,16.790305137634277,[0.48732978]
16,0.4669999,16.817931175231934,[0.4943962]
17,0.42926157,16.494866609573364,[0.48735267]
18,0.44550002,16.667206048965454,[0.4919049]
19,0.40360034,16.564391136169434,[0.4889791]
20,0.4745403,16.66127634048462,[0.49402636]
21,0.42034703,16.885339498519897,[0.4889791]
22,0.5229541,16.784513473510742,[0.49332565]
23,0.48080415,16.61152696609497,[0.49181694]
24,0.48236758,16.67255687713623,[0.4940672]
25,0.45692647,16.539806604385376,[0.49181694]
26,0.45182812,16.76761484146118,[0.4940672]
27,0.44770885,16.732948064804077,[0.49181694]
28,0.4350785,16.70158052444458,[0.48927724]
29,0.45209283,16.706207036972046,[0.49332565]
30,0.4815308,16.737412929534912,[0.49181694]
31,0.43270934,16.850144863128662,[0.49298936]
32,0.4642526,16.828369140625,[0.49057525]
33,0.37641984,16.778045654296875,[0.4678945]
34,0.43506235,16.764221668243408,[0.49181694]
35,0.43997723,16.77942395210266,[0.4888888]
36,0.46281517,17.05370259284973,[0.4921481]
37,0.4991336,16.898661613464355,[0.4888888]
38,0.4578836,16.78768801689148,[0.48072278]
39,0.44756043,16.78028130531311,[0.4944138]
40,0.44783413,16.635051250457764,[0.48932856]
41,0.47072357,16.973560333251953,[0.49045843]
42,0.4538619,16.73117208480835,[0.4937861]
43,0.47980595,16.617559909820557,[0.48923218]
44,0.40078133,16.51469922065735,[0.48261148]
45,0.4378729,16.740404844284058,[0.48486334]
