iteration,max_fitness,time,test_accuracy
0,-0.029140592,0.0,-2.4990194
1,-0.029140592,0.47027015686035156,[-2.4990194]
2,0.028569639,0.47495603561401367,[0.6795501]
3,0.028569639,0.4673588275909424,[0.6795501]
4,0.57475865,0.4754180908203125,[-9.698361]
5,0.57475865,0.46097779273986816,[-9.698361]
6,0.57475865,0.46274542808532715,[-9.698361]
7,0.57475865,0.4640381336212158,[-9.698361]
8,0.57475865,0.4785740375518799,[-9.698361]
9,0.57475865,0.4666018486022949,[-9.698361]
10,0.57475865,0.4647188186645508,[-9.698361]
11,0.57475865,0.4690554141998291,[-9.698361]
12,0.57475865,0.4754338264465332,[-9.698361]
13,0.57475865,0.47476863861083984,[-9.698361]
14,0.57475865,0.46799492835998535,[-9.698361]
15,0.57475865,0.4656038284301758,[-9.698361]
16,0.57475865,0.4670250415802002,[-9.698361]
17,0.57475865,0.4683539867401123,[-9.698361]
18,0.57475865,0.47016191482543945,[-9.698361]
19,0.57475865,0.48003554344177246,[-9.698361]
20,0.57475865,0.4651494026184082,[-9.698361]
21,0.57475865,0.46692609786987305,[-9.698361]
22,0.57475865,0.47025394439697266,[-9.698361]
23,0.57475865,0.4771535396575928,[-9.698361]
24,0.57475865,0.47783541679382324,[-9.698361]
25,0.57475865,0.46448802947998047,[-9.698361]
26,0.57475865,0.4667353630065918,[-9.698361]
27,0.57475865,0.4631664752960205,[-9.698361]
28,0.57475865,0.46491169929504395,[-9.698361]
29,0.57475865,0.4643995761871338,[-9.698361]
30,0.57475865,0.4601271152496338,[-9.698361]
31,0.57475865,0.4658377170562744,[-9.698361]
32,0.57475865,0.4653937816619873,[-9.698361]
33,0.57475865,0.46716904640197754,[-9.698361]
34,0.57475865,0.4745290279388428,[-9.698361]
35,0.57475865,0.46688199043273926,[-9.698361]
36,0.57475865,0.46488165855407715,[-9.698361]
37,0.57475865,0.4639852046966553,[-9.698361]
38,0.57475865,0.46497678756713867,[-9.698361]
39,0.57475865,0.4634079933166504,[-9.698361]
40,0.57475865,0.47334766387939453,[-9.698361]
41,0.57475865,0.4651660919189453,[-9.698361]
42,0.57475865,0.46722888946533203,[-9.698361]
43,0.57475865,0.4670710563659668,[-9.698361]
44,0.57475865,0.47781944274902344,[-9.698361]
45,0.57475865,0.4822053909301758,[-9.698361]
46,0.57475865,0.47451019287109375,[-9.698361]
47,0.57475865,0.46658825874328613,[-9.698361]
48,0.57475865,0.4725966453552246,[-9.698361]
49,0.57475865,0.4674193859100342,[-9.698361]
50,0.57475865,0.46869874000549316,[-9.698361]
51,0.57475865,0.4718296527862549,[-9.698361]
52,0.57475865,0.46746826171875,[-9.698361]
53,0.57475865,0.46459460258483887,[-9.698361]
54,0.57475865,0.4651648998260498,[-9.698361]
55,0.57475865,0.47329235076904297,[-9.698361]
56,0.57475865,0.46620821952819824,[-9.698361]
57,0.57475865,0.4664332866668701,[-9.698361]
58,0.57475865,0.46684789657592773,[-9.698361]
59,0.57475865,0.4665374755859375,[-9.698361]
60,0.57475865,0.4667060375213623,[-9.698361]
61,0.57475865,0.47415876388549805,[-9.698361]
62,0.57475865,0.47348594665527344,[-9.698361]
63,0.57475865,0.47187376022338867,[-9.698361]
64,0.57475865,0.4770083427429199,[-9.698361]
65,0.57475865,0.4770042896270752,[-9.698361]
66,0.57475865,0.4635133743286133,[-9.698361]
67,0.57475865,0.4701054096221924,[-9.698361]
68,0.57475865,0.4683218002319336,[-9.698361]
69,0.57475865,0.4655580520629883,[-9.698361]
70,0.57475865,0.4633510112762451,[-9.698361]
71,0.57475865,0.4651362895965576,[-9.698361]
72,0.57475865,0.4734156131744385,[-9.698361]
73,0.57475865,0.4628019332885742,[-9.698361]
74,0.57475865,0.4680314064025879,[-9.698361]
75,0.57475865,0.46894121170043945,[-9.698361]
76,0.57475865,0.46339917182922363,[-9.698361]
77,0.57475865,0.4695000648498535,[-9.698361]
78,0.63316226,0.472581148147583,[-1.8762448]
79,0.63316226,0.4740009307861328,[-1.8762448]
80,0.63316226,0.4762566089630127,[-1.8762448]
81,0.63316226,0.46854376792907715,[-1.8762448]
82,0.63316226,0.4652378559112549,[-1.8762448]
83,0.63316226,0.4833211898803711,[-1.8762448]
84,0.63316226,0.46961092948913574,[-1.8762448]
85,0.63316226,0.47087860107421875,[-1.8762448]
86,0.63316226,0.46958112716674805,[-1.8762448]
87,0.63316226,0.4680633544921875,[-1.8762448]
88,0.63316226,0.4737660884857178,[-1.8762448]
89,0.63316226,0.4757802486419678,[-1.8762448]
90,0.63316226,0.4740784168243408,[-1.8762448]
91,0.63316226,0.46830320358276367,[-1.8762448]
92,0.63316226,0.4689948558807373,[-1.8762448]
93,0.63316226,0.4707911014556885,[-1.8762448]
94,0.63316226,0.4826340675354004,[-1.8762448]
95,0.63316226,0.4737999439239502,[-1.8762448]
96,0.77985233,0.47774386405944824,[-2.4782856]
97,0.77985233,0.48328423500061035,[-2.4782856]
98,0.77985233,0.4747352600097656,[-2.4782856]
99,0.77985233,0.47380757331848145,[-2.4782856]
100,0.77985233,0.4716005325317383,[-2.4782856]
101,0.77985233,0.4703190326690674,[-2.4782856]
102,0.77985233,0.4700901508331299,[-2.4782856]
103,0.77985233,0.4767324924468994,[-2.4782856]
104,0.77985233,0.4702472686767578,[-2.4782856]
105,0.77985233,0.4731411933898926,[-2.4782856]
106,0.77985233,0.4672675132751465,[-2.4782856]
107,0.77985233,0.46860504150390625,[-2.4782856]
108,0.77985233,0.4681973457336426,[-2.4782856]
109,0.77985233,0.4685354232788086,[-2.4782856]
110,0.77985233,0.46757054328918457,[-2.4782856]
111,0.77985233,0.47711849212646484,[-2.4782856]
112,0.77985233,0.4782447814941406,[-2.4782856]
113,0.77985233,0.47110652923583984,[-2.4782856]
114,0.77985233,0.46974682807922363,[-2.4782856]
115,0.77985233,0.4746992588043213,[-2.4782856]
116,0.77985233,0.4635307788848877,[-2.4782856]
117,0.77985233,0.46390533447265625,[-2.4782856]
118,0.77985233,0.47356653213500977,[-2.4782856]
119,0.77985233,0.4720323085784912,[-2.4782856]
120,0.77985233,0.47211599349975586,[-2.4782856]
121,0.77985233,0.47032880783081055,[-2.4782856]
122,0.77985233,0.47438573837280273,[-2.4782856]
123,0.77985233,0.4673652648925781,[-2.4782856]
124,0.77985233,0.4663543701171875,[-2.4782856]
125,0.77985233,0.4677727222442627,[-2.4782856]
126,0.77985233,0.471088171005249,[-2.4782856]
127,0.77985233,0.4694383144378662,[-2.4782856]
128,0.77985233,0.46730947494506836,[-2.4782856]
129,0.77985233,0.46570444107055664,[-2.4782856]
130,0.77985233,0.4675898551940918,[-2.4782856]
131,0.77985233,0.47422289848327637,[-2.4782856]
132,0.77985233,0.46890735626220703,[-2.4782856]
133,0.77985233,0.4673306941986084,[-2.4782856]
134,0.77985233,0.4666404724121094,[-2.4782856]
135,0.77985233,0.46663808822631836,[-2.4782856]
136,0.77985233,0.47903919219970703,[-2.4782856]
137,0.77985233,0.4705994129180908,[-2.4782856]
138,0.77985233,0.4717106819152832,[-2.4782856]
139,0.77985233,0.468597412109375,[-2.4782856]
140,0.77985233,0.47093677520751953,[-2.4782856]
141,0.77985233,0.4685933589935303,[-2.4782856]
142,0.77985233,0.47009778022766113,[-2.4782856]
143,0.77985233,0.46943020820617676,[-2.4782856]
144,0.77985233,0.4682290554046631,[-2.4782856]
145,0.77985233,0.46471548080444336,[-2.4782856]
146,0.77985233,0.46712422370910645,[-2.4782856]
147,0.77985233,0.4630465507507324,[-2.4782856]
148,0.77985233,0.4596588611602783,[-2.4782856]
149,0.77985233,0.4613521099090576,[-2.4782856]
150,0.77985233,0.4649827480316162,[-2.4782856]
151,0.77985233,0.4637904167175293,[-2.4782856]
152,0.77985233,0.4637012481689453,[-2.4782856]
153,0.77985233,0.46428728103637695,[-2.4782856]
154,0.77985233,0.4651758670806885,[-2.4782856]
155,0.77985233,0.4623889923095703,[-2.4782856]
156,0.77985233,0.46296000480651855,[-2.4782856]
157,0.77985233,0.46198415756225586,[-2.4782856]
158,0.77985233,0.46399736404418945,[-2.4782856]
159,0.77985233,0.46457695960998535,[-2.4782856]
160,0.77985233,0.46502232551574707,[-2.4782856]
161,0.77985233,0.4627854824066162,[-2.4782856]
162,0.77985233,0.469982385635376,[-2.4782856]
163,0.77985233,0.47464942932128906,[-2.4782856]
164,0.77985233,0.4647233486175537,[-2.4782856]
165,0.77985233,0.4689147472381592,[-2.4782856]
166,0.77985233,0.47888827323913574,[-2.4782856]
167,0.77985233,0.47147154808044434,[-2.4782856]
168,0.77985233,0.4708528518676758,[-2.4782856]
169,0.77985233,0.4648246765136719,[-2.4782856]
170,0.77985233,0.4688758850097656,[-2.4782856]
171,0.77985233,0.469132661819458,[-2.4782856]
172,0.77985233,0.4744865894317627,[-2.4782856]
173,0.77985233,0.4728434085845947,[-2.4782856]
174,0.77985233,0.4702939987182617,[-2.4782856]
175,0.77985233,0.46915721893310547,[-2.4782856]
176,0.77985233,0.46818089485168457,[-2.4782856]
177,0.77985233,0.46963977813720703,[-2.4782856]
178,0.77985233,0.4708259105682373,[-2.4782856]
179,0.77985233,0.4848353862762451,[-2.4782856]
180,0.77985233,0.4757695198059082,[-2.4782856]
181,0.77985233,0.48044514656066895,[-2.4782856]
182,0.77985233,0.479203462600708,[-2.4782856]
183,0.77985233,0.46964502334594727,[-2.4782856]
184,0.77985233,0.4742274284362793,[-2.4782856]
185,0.77985233,0.4750192165374756,[-2.4782856]
186,0.77985233,0.4692056179046631,[-2.4782856]
187,0.77985233,0.4676780700683594,[-2.4782856]
188,0.77985233,0.46768856048583984,[-2.4782856]
189,0.77985233,0.4750943183898926,[-2.4782856]
190,0.77985233,0.47836875915527344,[-2.4782856]
191,0.77985233,0.4712357521057129,[-2.4782856]
192,0.77985233,0.46683359146118164,[-2.4782856]
193,0.77985233,0.4662184715270996,[-2.4782856]
194,0.77985233,0.4672353267669678,[-2.4782856]
195,0.77985233,0.4703648090362549,[-2.4782856]
196,0.77985233,0.46741461753845215,[-2.4782856]
197,0.77985233,0.47389721870422363,[-2.4782856]
198,0.77985233,0.46477317810058594,[-2.4782856]
199,0.77985233,0.46288633346557617,[-2.4782856]
200,0.77985233,0.47063350677490234,[-2.4782856]
201,0.77985233,0.45852184295654297,[-2.4782856]
202,0.77985233,0.4615299701690674,[-2.4782856]
203,0.77985233,0.4664003849029541,[-2.4782856]
204,0.77985233,0.465076208114624,[-2.4782856]
205,0.77985233,0.47233104705810547,[-2.4782856]
206,0.77985233,0.4689486026763916,[-2.4782856]
207,0.77985233,0.4667797088623047,[-2.4782856]
208,0.77985233,0.46849536895751953,[-2.4782856]
209,0.77985233,0.4658839702606201,[-2.4782856]
210,0.77985233,0.48034024238586426,[-2.4782856]
211,0.77985233,0.47272157669067383,[-2.4782856]
212,0.77985233,0.4702332019805908,[-2.4782856]
213,0.77985233,0.4685647487640381,[-2.4782856]
214,0.77985233,0.4684793949127197,[-2.4782856]
215,0.77985233,0.4666860103607178,[-2.4782856]
216,0.77985233,0.47798824310302734,[-2.4782856]
217,0.77985233,7.310014963150024,[-2.4782856]
218,0.77985233,0.4634113311767578,[-2.4782856]
219,0.77985233,0.46311211585998535,[-2.4782856]
220,0.77985233,0.46618127822875977,[-2.4782856]
221,0.77985233,0.4655008316040039,[-2.4782856]
222,0.88339186,0.4656383991241455,[-0.6954607]
223,0.88339186,0.46695470809936523,[-0.6954607]
224,0.88339186,0.4698817729949951,[-0.6954607]
225,0.88339186,0.4678778648376465,[-0.6954607]
226,0.88339186,0.4701662063598633,[-0.6954607]
227,0.88339186,0.46819567680358887,[-0.6954607]
228,0.88339186,0.4652092456817627,[-0.6954607]
229,0.88339186,0.4638252258300781,[-0.6954607]
230,0.88339186,0.46213436126708984,[-0.6954607]
231,0.88339186,0.4641268253326416,[-0.6954607]
232,0.88339186,0.4637727737426758,[-0.6954607]
233,0.88339186,0.4649965763092041,[-0.6954607]
234,0.88339186,0.46551990509033203,[-0.6954607]
235,0.88339186,0.4674339294433594,[-0.6954607]
236,0.88339186,0.477588415145874,[-0.6954607]
237,0.88339186,0.4764988422393799,[-0.6954607]
238,0.88339186,0.47246432304382324,[-0.6954607]
239,0.88339186,0.46271276473999023,[-0.6954607]
240,0.88339186,0.4608476161956787,[-0.6954607]
241,0.88339186,0.45922017097473145,[-0.6954607]
242,0.88339186,0.4593827724456787,[-0.6954607]
243,0.88339186,0.46157073974609375,[-0.6954607]
244,0.88339186,0.4641268253326416,[-0.6954607]
245,0.88339186,0.4621400833129883,[-0.6954607]
246,0.88339186,0.46237611770629883,[-0.6954607]
247,0.88339186,0.4635491371154785,[-0.6954607]
248,0.88339186,0.46387457847595215,[-0.6954607]
249,0.88339186,0.46597719192504883,[-0.6954607]
250,0.88339186,0.4622821807861328,[-0.6954607]
251,0.88339186,0.4698817729949951,[-0.6954607]
252,0.88339186,0.4674394130706787,[-0.6954607]
253,0.88339186,0.46398472785949707,[-0.6954607]
254,0.88339186,0.46601295471191406,[-0.6954607]
255,0.88339186,0.4642641544342041,[-0.6954607]
256,0.88339186,0.4632561206817627,[-0.6954607]
257,0.88339186,0.46442580223083496,[-0.6954607]
258,0.88339186,0.4650571346282959,[-0.6954607]
259,0.88339186,0.47579288482666016,[-0.6954607]
260,0.88339186,0.4774456024169922,[-0.6954607]
261,0.88339186,0.4694697856903076,[-0.6954607]
262,0.88339186,0.4617147445678711,[-0.6954607]
263,0.88339186,0.46637749671936035,[-0.6954607]
264,0.88339186,0.4627535343170166,[-0.6954607]
265,0.88339186,0.4659864902496338,[-0.6954607]
266,0.88339186,0.470020055770874,[-0.6954607]
267,0.88339186,0.48054933547973633,[-0.6954607]
268,0.88339186,0.4666295051574707,[-0.6954607]
269,0.88339186,0.4629485607147217,[-0.6954607]
270,0.88339186,0.4657275676727295,[-0.6954607]
271,0.88339186,0.46273064613342285,[-0.6954607]
272,0.88339186,0.46308374404907227,[-0.6954607]
273,0.88339186,0.4703841209411621,[-0.6954607]
274,0.88339186,0.46143555641174316,[-0.6954607]
275,0.88339186,0.46504902839660645,[-0.6954607]
276,0.88339186,0.46756410598754883,[-0.6954607]
277,0.88339186,0.46323490142822266,[-0.6954607]
278,0.88339186,0.4643561840057373,[-0.6954607]
279,0.88339186,0.4646108150482178,[-0.6954607]
280,0.88339186,0.4658176898956299,[-0.6954607]
281,0.88339186,0.47558116912841797,[-0.6954607]
282,0.88339186,0.46518731117248535,[-0.6954607]
283,0.88339186,0.4661839008331299,[-0.6954607]
284,0.88339186,0.4683401584625244,[-0.6954607]
285,0.88339186,0.46836185455322266,[-0.6954607]
286,0.88339186,0.4686100482940674,[-0.6954607]
287,0.88339186,0.4689059257507324,[-0.6954607]
288,0.88339186,0.46782493591308594,[-0.6954607]
289,0.88339186,0.46724843978881836,[-0.6954607]
290,0.88339186,0.46764492988586426,[-0.6954607]
291,0.88339186,0.4656555652618408,[-0.6954607]
292,0.88339186,0.48167920112609863,[-0.6954607]
293,0.88339186,0.46764326095581055,[-0.6954607]
294,0.88339186,0.4674546718597412,[-0.6954607]
295,0.88339186,0.46952271461486816,[-0.6954607]
296,0.88339186,0.467409610748291,[-0.6954607]
297,0.88339186,0.47971582412719727,[-0.6954607]
298,0.88339186,0.4744229316711426,[-0.6954607]
299,0.88339186,0.46944165229797363,[-0.6954607]
300,0.88339186,0.4778108596801758,[-0.6954607]
301,0.88339186,0.4716658592224121,[-0.6954607]
302,0.88339186,0.4671597480773926,[-0.6954607]
303,0.88339186,0.47118568420410156,[-0.6954607]
304,0.88339186,0.4662635326385498,[-0.6954607]
305,0.88339186,0.46545982360839844,[-0.6954607]
306,0.88339186,0.4636504650115967,[-0.6954607]
307,0.88339186,0.4635624885559082,[-0.6954607]
308,0.88339186,0.46939611434936523,[-0.6954607]
309,0.88339186,0.4652566909790039,[-0.6954607]
310,0.88339186,0.46640777587890625,[-0.6954607]
311,0.88339186,0.46597838401794434,[-0.6954607]
312,0.88339186,0.46530675888061523,[-0.6954607]
313,0.88339186,0.4646286964416504,[-0.6954607]
314,0.88339186,0.4694559574127197,[-0.6954607]
315,0.88339186,0.4646148681640625,[-0.6954607]
316,0.88339186,0.4642369747161865,[-0.6954607]
317,0.88339186,0.4682319164276123,[-0.6954607]
318,0.88339186,0.46907711029052734,[-0.6954607]
319,0.88339186,0.47165584564208984,[-0.6954607]
320,0.88339186,0.465803861618042,[-0.6954607]
321,0.88339186,0.4671750068664551,[-0.6954607]
322,0.88339186,0.4663667678833008,[-0.6954607]
323,0.88339186,0.46636033058166504,[-0.6954607]
324,0.88339186,0.4701390266418457,[-0.6954607]
325,0.88339186,0.4690518379211426,[-0.6954607]
326,0.88339186,0.46959972381591797,[-0.6954607]
327,0.88339186,0.46958446502685547,[-0.6954607]
328,0.88339186,0.465268611907959,[-0.6954607]
329,0.88339186,0.4669911861419678,[-0.6954607]
330,0.88339186,0.4758791923522949,[-0.6954607]
331,0.88339186,0.4703216552734375,[-0.6954607]
332,0.88339186,0.4674198627471924,[-0.6954607]
333,0.88339186,0.4739103317260742,[-0.6954607]
