iteration,max_fitness,time,test_accuracy
0,0.0065485835,0.0,-0.033834577
1,0.0065485835,7.017111301422119,[-0.03383458]
2,0.0065485835,1.4605786800384521,[-0.03383458]
3,0.0065485835,1.4789278507232666,[-0.03383458]
4,0.0065485835,1.5130562782287598,[-0.03383458]
5,0.0065485835,1.4774956703186035,[-0.03383458]
6,0.008865476,1.4580390453338623,[-0.03135812]
7,0.008865476,1.4556522369384766,[-0.03135812]
8,0.0113675,1.4216136932373047,[-0.02124441]
9,0.013756394,1.4393277168273926,[-0.01163304]
10,0.015907407,1.4429833889007568,[-0.0012598]
11,0.017824411,1.4595744609832764,[0.00849891]
12,0.019171357,1.4547977447509766,[0.01679039]
13,0.0203498,1.5118939876556396,[0.02092665]
14,0.021603703,1.4290881156921387,[0.02797776]
15,0.02264005,1.4657585620880127,[0.03349972]
16,0.023590982,1.4726240634918213,[0.01587081]
17,0.024322927,1.4777631759643555,[0.02190691]
18,0.025022268,1.4600319862365723,[0.02823466]
19,0.025753856,1.4901762008666992,[0.0338099]
20,0.032930017,1.5285184383392334,[0.06075722]
21,0.03446579,1.4989523887634277,[0.06871527]
22,0.036091566,1.5057599544525146,[0.07684249]
23,0.037759006,1.5301759243011475,[0.08467686]
24,0.03949213,1.4799304008483887,[0.09176296]
25,0.041252196,1.4655914306640625,[0.10029095]
26,0.04345894,1.46915602684021,[0.10965651]
27,0.046141267,1.468367338180542,[0.11864167]
28,0.049642324,1.4751787185668945,[0.13243866]
29,0.052785754,1.479492425918579,[0.14204627]
30,0.056626976,1.4468247890472412,[0.15250552]
31,0.060077846,1.5036659240722656,[0.15972394]
32,0.06279433,1.4903111457824707,[0.16316533]
33,0.0676955,1.5152935981750488,[0.16572994]
34,0.0683648,1.4561452865600586,[0.16325355]
35,0.0683648,1.4859719276428223,[0.16325355]
36,0.0685823,1.500641107559204,[0.16272295]
37,0.06867063,1.4376201629638672,[0.1632796]
38,0.06879395,1.5223705768585205,[0.16213804]
39,0.06896043,1.4925622940063477,[0.1622209]
40,0.06896454,1.5287747383117676,[0.16368544]
41,0.06918192,1.4410715103149414,[0.16357058]
42,0.06952566,1.4681923389434814,[0.16176826]
43,0.06957555,1.539966106414795,[0.16452414]
44,0.06991094,1.489238977432251,[0.16307974]
45,0.06998855,1.4846100807189941,[0.16424179]
46,0.07004434,1.4544024467468262,[0.1665343]
47,0.07048565,1.4667327404022217,[0.16705257]
48,0.07048565,1.4967100620269775,[0.16705257]
49,0.070551395,1.469416618347168,[0.16859722]
50,0.07103801,1.4745769500732422,[0.16835874]
51,0.071531296,1.4507932662963867,[0.17947608]
52,0.07330555,1.5035643577575684,[0.18510205]
53,0.075262964,1.4933576583862305,[0.18843263]
54,0.07671189,1.4605417251586914,[0.1917795]
55,0.07793397,1.4718408584594727,[0.19496667]
56,0.07966304,1.4978301525115967,[0.19819671]
57,0.08156794,1.5116338729858398,[0.20346302]
58,0.083307385,1.4608945846557617,[0.21023649]
59,0.08526403,1.4861769676208496,[0.21497089]
60,0.087519884,1.419670820236206,[0.2226507]
61,0.09010792,1.466519832611084,[0.23137003]
62,0.092573404,1.5599908828735352,[0.2400189]
63,0.09578842,1.4394397735595703,[0.24567407]
64,0.098887384,1.5240378379821777,[0.25260365]
65,0.10192245,1.4490079879760742,[0.26184666]
66,0.105071664,1.481231451034546,[0.26758224]
67,0.108445466,1.5260024070739746,[0.27615178]
68,0.11228138,1.462942361831665,[0.29045606]
69,0.11597502,1.4701499938964844,[0.2937011]
70,0.11959559,1.5181033611297607,[0.30076623]
71,0.12248802,1.4589645862579346,[0.30629212]
72,0.12539452,1.51768159866333,[0.31082124]
73,0.1266349,1.5038347244262695,[0.30948126]
74,0.12826401,1.4716811180114746,[0.30863738]
75,0.12979001,6.9853129386901855,[0.3075897]
76,0.13119596,1.4842116832733154,[0.30283564]
77,0.13231403,1.4679605960845947,[0.30411005]
78,0.13312078,1.4512653350830078,[0.30364674]
79,0.13374251,1.4998140335083008,[0.30444318]
80,0.13440752,1.4830424785614014,[0.30098063]
81,0.13525832,1.4699969291687012,[0.2987386]
82,0.1356448,1.4413728713989258,[0.29703617]
83,0.13623774,1.4916508197784424,[0.2939908]
84,0.13633919,1.4569392204284668,[0.29291528]
85,0.13642251,1.4539666175842285,[0.29048866]
86,0.13642251,1.501572608947754,[0.29048866]
87,0.1370135,1.4716849327087402,[0.28449988]
88,0.13740605,1.4872045516967773,[0.28459924]
89,0.13740605,1.4358935356140137,[0.28459924]
90,0.1376952,1.5408422946929932,[0.27932137]
91,0.13778675,1.4709067344665527,[0.28125852]
92,0.13786292,1.4698872566223145,[0.28256088]
93,0.13786292,1.46160888671875,[0.28256088]
94,0.13812155,1.4922223091125488,[0.27788895]
95,0.13837075,1.5619804859161377,[0.2757812]
96,0.13840437,1.4731509685516357,[0.27138293]
97,0.13864678,1.5053987503051758,[0.26936656]
98,0.13864678,1.5063259601593018,[0.26936656]
99,0.13864678,1.4612383842468262,[0.26936656]
