iteration,max_fitness,time,test_accuracy
0,0.013979256,0.0,-2.0070689
1,0.013979256,0.5441222190856934,[-2.0070689]
2,0.013979256,0.5359659194946289,[-2.0070689]
3,0.013979256,0.5298211574554443,[-2.0070689]
4,0.013979256,0.5277552604675293,[-2.0070689]
5,0.013979256,0.540198802947998,[-2.0070689]
6,0.013979256,0.5307822227478027,[-2.0070689]
7,0.013979256,0.5232610702514648,[-2.0070689]
8,0.013979256,0.5468959808349609,[-2.0070689]
9,0.017848194,0.5374221801757812,[-1.1667967]
10,0.017848194,0.5362253189086914,[-1.1667967]
11,0.017848194,0.538139820098877,[-1.1667967]
12,0.017848194,0.537940263748169,[-1.1667967]
13,0.017848194,0.5293536186218262,[-1.1667967]
14,0.017848194,0.5362579822540283,[-1.1667967]
15,0.017848194,0.5371971130371094,[-1.1667967]
16,0.017848194,0.5300745964050293,[-1.1667967]
17,0.017848194,0.5341920852661133,[-1.1667967]
18,0.017848194,0.5312967300415039,[-1.1667967]
19,0.017848194,0.5298378467559814,[-1.1667967]
20,0.017848194,0.5258777141571045,[-1.1667967]
21,0.017848194,0.531867265701294,[-1.1667967]
22,0.017848194,0.532393217086792,[-1.1667967]
23,0.017848194,0.5319945812225342,[-1.1667967]
24,0.017848194,0.5313663482666016,[-1.1667967]
25,0.017848194,0.5301215648651123,[-1.1667967]
26,0.017848194,0.5319464206695557,[-1.1667967]
27,0.017848194,0.545210599899292,[-1.1667967]
28,0.017848194,0.5239334106445312,[-1.1667967]
29,0.017848194,0.525916337966919,[-1.1667967]
30,0.017848194,0.5556094646453857,[-1.1667967]
31,0.017848194,8.375131130218506,[-1.1667967]
32,0.018276691,0.5501620769500732,[-1.3454001]
33,0.018276691,0.5316088199615479,[-1.3454001]
34,0.018276691,0.5360405445098877,[-1.3454001]
35,0.018276691,0.5528287887573242,[-1.3454001]
36,0.018276691,0.5390968322753906,[-1.3454001]
37,0.018276691,0.536855936050415,[-1.3454001]
38,0.018276691,0.5378758907318115,[-1.3454001]
39,0.018276691,0.5406503677368164,[-1.3454001]
40,0.018276691,0.537473201751709,[-1.3454001]
41,0.039806426,0.5337443351745605,[-3.1226134]
42,0.039806426,0.5328617095947266,[-3.1226134]
43,0.039806426,0.5308475494384766,[-3.1226134]
44,0.039806426,0.5359485149383545,[-3.1226134]
45,0.039806426,0.53523850440979,[-3.1226134]
46,0.039806426,0.5288660526275635,[-3.1226134]
47,0.039806426,0.5324835777282715,[-3.1226134]
48,0.039806426,0.5228140354156494,[-3.1226134]
49,0.039806426,0.5287861824035645,[-3.1226134]
50,0.039806426,0.525221586227417,[-3.1226134]
51,0.039806426,0.5281038284301758,[-3.1226134]
52,0.039806426,0.529620885848999,[-3.1226134]
53,0.039806426,0.5284011363983154,[-3.1226134]
54,0.039806426,0.5222887992858887,[-3.1226134]
55,0.040639758,0.5211098194122314,[-1.9350972]
56,0.040639758,0.5181608200073242,[-1.9350972]
57,0.040639758,0.5230941772460938,[-1.9350972]
58,0.040639758,0.523418664932251,[-1.9350972]
59,0.040639758,0.5236635208129883,[-1.9350972]
60,0.040639758,0.5266177654266357,[-1.9350972]
61,0.040639758,0.5269761085510254,[-1.9350972]
62,0.040639758,0.5251195430755615,[-1.9350972]
63,0.040639758,0.5174074172973633,[-1.9350972]
64,0.040639758,0.5208420753479004,[-1.9350972]
65,0.040639758,0.5257282257080078,[-1.9350972]
66,0.040639758,0.519395112991333,[-1.9350972]
67,0.04140997,0.5174524784088135,[-2.7836165]
68,0.04140997,0.5322222709655762,[-2.7836165]
69,0.04140997,0.5296669006347656,[-2.7836165]
70,0.04140997,0.5241415500640869,[-2.7836165]
71,0.04140997,0.5290088653564453,[-2.7836165]
72,0.04140997,0.5306446552276611,[-2.7836165]
73,0.04140997,0.5228016376495361,[-2.7836165]
74,0.04140997,0.5233376026153564,[-2.7836165]
75,0.04140997,0.5207409858703613,[-2.7836165]
76,0.04140997,0.519162654876709,[-2.7836165]
77,0.04140997,0.5302016735076904,[-2.7836165]
78,0.04140997,0.5298702716827393,[-2.7836165]
79,0.04140997,0.522252082824707,[-2.7836165]
80,0.04140997,0.5228309631347656,[-2.7836165]
81,0.04140997,0.5247848033905029,[-2.7836165]
82,0.04140997,0.5423247814178467,[-2.7836165]
83,0.04140997,0.5329980850219727,[-2.7836165]
84,0.04140997,0.5336906909942627,[-2.7836165]
85,0.04140997,0.5342772006988525,[-2.7836165]
86,0.04140997,0.5310280323028564,[-2.7836165]
87,0.04140997,0.5486602783203125,[-2.7836165]
88,0.04140997,0.5253572463989258,[-2.7836165]
89,0.04140997,0.5264971256256104,[-2.7836165]
90,0.04140997,0.5259757041931152,[-2.7836165]
91,0.04140997,0.5226089954376221,[-2.7836165]
92,0.04140997,0.5529093742370605,[-2.7836165]
93,0.04140997,0.5257394313812256,[-2.7836165]
94,0.04140997,0.5268166065216064,[-2.7836165]
95,0.04140997,0.5249018669128418,[-2.7836165]
96,0.04140997,0.525172233581543,[-2.7836165]
97,0.041475177,0.5326404571533203,[-2.7949035]
98,0.041475177,0.5323843955993652,[-2.7949035]
99,0.041475177,0.5348062515258789,[-2.7949035]
100,0.041475177,0.5302579402923584,[-2.7949035]
101,0.041475177,0.540339469909668,[-2.7949035]
102,0.041475177,0.5345592498779297,[-2.7949035]
103,0.041475177,0.5273809432983398,[-2.7949035]
104,0.041475177,0.5295400619506836,[-2.7949035]
105,0.041475177,0.5316791534423828,[-2.7949035]
106,0.041475177,0.5374851226806641,[-2.7949035]
107,0.041475177,0.5221307277679443,[-2.7949035]
108,0.041475177,0.52107834815979,[-2.7949035]
109,0.041475177,0.521721363067627,[-2.7949035]
110,0.041475177,0.5208966732025146,[-2.7949035]
111,0.041475177,0.53497314453125,[-2.7949035]
112,0.041475177,0.5264077186584473,[-2.7949035]
113,0.041475177,0.5318179130554199,[-2.7949035]
114,0.041475177,0.5254056453704834,[-2.7949035]
115,0.041475177,0.521071195602417,[-2.7949035]
116,0.041475177,0.5327646732330322,[-2.7949035]
117,0.041475177,0.522552490234375,[-2.7949035]
118,0.04183972,0.526068925857544,[-2.1289556]
119,0.04183972,0.5269625186920166,[-2.1289556]
120,0.04183972,0.5391221046447754,[-2.1289556]
121,0.04183972,0.5459043979644775,[-2.1289556]
122,0.04183972,0.534268856048584,[-2.1289556]
123,0.04183972,0.5308754444122314,[-2.1289556]
124,0.04183972,0.5278232097625732,[-2.1289556]
125,0.04183972,0.5463442802429199,[-2.1289556]
126,0.04183972,0.5391263961791992,[-2.1289556]
127,0.04183972,0.5313053131103516,[-2.1289556]
128,0.04183972,0.5339124202728271,[-2.1289556]
129,0.04183972,0.5290079116821289,[-2.1289556]
130,0.04183972,0.539794921875,[-2.1289556]
131,0.04183972,0.5234904289245605,[-2.1289556]
132,0.04183972,0.5249161720275879,[-2.1289556]
133,0.04183972,0.5239613056182861,[-2.1289556]
134,0.04183972,0.5265986919403076,[-2.1289556]
135,0.04183972,0.5369155406951904,[-2.1289556]
136,0.04183972,0.5241138935089111,[-2.1289556]
137,0.04183972,0.532139778137207,[-2.1289556]
138,0.04183972,0.5296809673309326,[-2.1289556]
139,0.04183972,0.5227086544036865,[-2.1289556]
140,0.04183972,0.5401055812835693,[-2.1289556]
141,0.04183972,0.5261030197143555,[-2.1289556]
142,0.04183972,0.5256228446960449,[-2.1289556]
143,0.04183972,0.5217301845550537,[-2.1289556]
144,0.04183972,0.5261657238006592,[-2.1289556]
145,0.04183972,0.5459630489349365,[-2.1289556]
146,0.04183972,0.533329963684082,[-2.1289556]
147,0.04183972,0.533848762512207,[-2.1289556]
148,0.04183972,0.5392138957977295,[-2.1289556]
149,0.04183972,0.5487706661224365,[-2.1289556]
150,0.04183972,0.5601668357849121,[-2.1289556]
151,0.04183972,0.5520052909851074,[-2.1289556]
152,0.04183972,0.5449647903442383,[-2.1289556]
153,0.04183972,0.539470911026001,[-2.1289556]
154,0.04183972,0.5305502414703369,[-2.1289556]
155,0.04183972,0.5291101932525635,[-2.1289556]
156,0.04183972,0.527104377746582,[-2.1289556]
157,0.04183972,0.5243654251098633,[-2.1289556]
158,0.04183972,0.5234413146972656,[-2.1289556]
159,0.042201757,0.5188815593719482,[-2.4870114]
160,0.042201757,0.5300729274749756,[-2.4870114]
161,0.042201757,0.5281329154968262,[-2.4870114]
162,0.042201757,0.5244870185852051,[-2.4870114]
163,0.042201757,0.5268807411193848,[-2.4870114]
164,0.042201757,0.5306723117828369,[-2.4870114]
165,0.042201757,0.5259346961975098,[-2.4870114]
166,0.042201757,0.5251376628875732,[-2.4870114]
167,0.042201757,0.5309021472930908,[-2.4870114]
168,0.042201757,0.5310883522033691,[-2.4870114]
169,0.042201757,0.523200273513794,[-2.4870114]
170,0.042201757,0.5269265174865723,[-2.4870114]
171,0.042201757,0.5266449451446533,[-2.4870114]
172,0.042201757,0.5237619876861572,[-2.4870114]
173,0.042201757,0.5165700912475586,[-2.4870114]
174,0.042201757,0.518212080001831,[-2.4870114]
175,0.042201757,0.5219888687133789,[-2.4870114]
176,0.042201757,0.5204188823699951,[-2.4870114]
177,0.042201757,0.517103910446167,[-2.4870114]
178,0.042201757,0.518669843673706,[-2.4870114]
179,0.042206526,0.5181281566619873,[-2.3184936]
180,0.042206526,0.5193719863891602,[-2.3184936]
181,0.042206526,0.5201194286346436,[-2.3184936]
182,0.042206526,0.5252559185028076,[-2.3184936]
183,0.042206526,0.5226955413818359,[-2.3184936]
184,0.042206526,0.5194981098175049,[-2.3184936]
185,0.042206526,0.5165579319000244,[-2.3184936]
186,0.042206526,0.5259342193603516,[-2.3184936]
187,0.042206526,0.5243813991546631,[-2.3184936]
188,0.042206526,0.5218923091888428,[-2.3184936]
189,0.042206526,0.5195350646972656,[-2.3184936]
190,0.042206526,0.5220673084259033,[-2.3184936]
191,0.042206526,0.5235335826873779,[-2.3184936]
192,0.042206526,0.5216519832611084,[-2.3184936]
