iteration,max_fitness,time,test_accuracy
0,0.2995596,0.0,0.24674422
1,0.2995596,1.3941233158111572,[0.24674422]
2,0.2995596,1.3722739219665527,[0.24674422]
3,0.2995596,1.3621068000793457,[0.24674422]
4,0.2995596,1.3744730949401855,[0.24674422]
5,0.36732626,1.3659133911132812,[0.28184754]
6,0.5416968,1.3752965927124023,[0.48809737]
7,0.55957115,1.368826150894165,[0.49995035]
8,0.564788,1.3681318759918213,[0.4939338]
9,0.56559706,1.3725712299346924,[0.49336737]
10,0.57588995,1.3665826320648193,[0.5171665]
11,0.58105516,1.3672096729278564,[0.5099469]
12,0.59006536,1.3637490272521973,[0.51279676]
13,0.59006536,1.370711088180542,[0.51279676]
14,0.67686933,1.3747591972351074,[0.5813483]
15,0.67686933,1.375037431716919,[0.5813483]
16,0.67686933,1.3656730651855469,[0.5813483]
17,0.6777278,1.3650944232940674,[0.59720695]
18,0.6806914,1.3697633743286133,[0.5975851]
19,0.6806914,1.3676438331604004,[0.5975851]
20,0.6806914,1.369034767150879,[0.5975851]
21,0.6806914,1.3700201511383057,[0.5975851]
22,0.7064645,1.3691895008087158,[0.7082424]
23,0.7174619,1.3596515655517578,[0.7141969]
24,0.73277414,1.3664100170135498,[0.72906613]
25,0.7488802,1.3682262897491455,[0.741195]
26,0.7488802,1.366729974746704,[0.741195]
27,0.7871419,1.3729493618011475,[0.739606]
28,0.8213409,1.3678336143493652,[0.7717663]
29,0.8415808,1.3662970066070557,[0.80359244]
30,0.8590233,1.3640289306640625,[0.8315706]
31,0.8732307,1.3707728385925293,[0.85511816]
32,0.8783001,1.3757712841033936,[0.8639643]
33,0.8783001,1.366422176361084,[0.8639643]
34,0.888538,1.359121322631836,[0.8781252]
35,0.89587164,1.3831214904785156,[0.8884391]
36,0.9033099,1.4055168628692627,[0.90244615]
37,0.90950817,1.3635473251342773,[0.91500944]
38,0.9142735,1.3629422187805176,[0.92332476]
39,0.9182589,1.3601398468017578,[0.9298908]
40,0.9182589,1.373004674911499,[0.9298908]
41,0.92112947,1.3712918758392334,[0.9350325]
42,0.9233706,1.3709187507629395,[0.9394514]
43,0.9233706,1.3812737464904785,[0.9394514]
44,0.9250265,1.3806626796722412,[0.94490564]
45,0.926509,1.4008588790893555,[0.94676036]
46,0.926509,1.397970199584961,[0.94676036]
47,0.9270431,1.4058053493499756,[0.94715744]
48,0.92761016,1.4025893211364746,[0.94928825]
49,0.927847,1.4083576202392578,[0.95001006]
50,0.92792314,1.3975028991699219,[0.94929594]
51,0.92810285,1.3983588218688965,[0.95074445]
52,0.9281901,1.4118125438690186,[0.9515332]
53,0.9281901,1.4052679538726807,[0.9515332]
54,0.9281901,1.3999724388122559,[0.9515332]
55,0.9281901,1.401371717453003,[0.9515332]
56,0.9281901,1.3806133270263672,[0.9515332]
57,0.9282351,1.3908343315124512,[0.95188206]
58,0.9282351,1.3834702968597412,[0.95188206]
59,0.92828995,1.3914690017700195,[0.9517299]
60,0.9282995,1.3915960788726807,[0.9519995]
61,0.9282995,1.3916242122650146,[0.9519995]
62,0.9282995,1.3922832012176514,[0.9519995]
63,0.9282995,1.3842902183532715,[0.9519995]
64,0.9282995,1.3900806903839111,[0.9519995]
65,0.92830884,1.3905441761016846,[0.952398]
66,0.92830884,1.3921897411346436,[0.952398]
67,0.92830884,1.393423318862915,[0.952398]
68,0.92830884,1.3814477920532227,[0.952398]
69,0.92830884,1.3840513229370117,[0.952398]
70,0.92830884,1.3828277587890625,[0.952398]
71,0.92830884,1.3920040130615234,[0.952398]
72,0.9283109,1.3905560970306396,[0.9523825]
73,0.9283109,1.3867599964141846,[0.9523825]
74,0.9283109,1.3865482807159424,[0.9523825]
75,0.9283109,1.3898634910583496,[0.9523825]
76,0.9283109,1.378175973892212,[0.9523825]
77,0.9283109,1.3907887935638428,[0.9523825]
78,0.9283109,1.3857085704803467,[0.9523825]
79,0.9283109,1.3957910537719727,[0.9523825]
80,0.9283109,1.3892338275909424,[0.9523825]
81,0.9283109,1.3866360187530518,[0.9523825]
82,0.9283109,1.3929214477539062,[0.9523825]
83,0.9283109,1.383918285369873,[0.9523825]
84,0.9283109,1.3819401264190674,[0.9523825]
85,0.9283109,1.3811707496643066,[0.9523825]
86,0.9283109,1.3885905742645264,[0.9523825]
87,0.9283109,1.3867883682250977,[0.9523825]
88,0.9283109,1.4041016101837158,[0.9523825]
89,0.9283109,1.394195795059204,[0.9523825]
90,0.9283109,1.4042773246765137,[0.9523825]
91,0.9283109,1.4012341499328613,[0.9523825]
92,0.9283109,9.336467266082764,[0.9523825]
93,0.9283109,1.3840925693511963,[0.9523825]
94,0.9283109,1.3800783157348633,[0.9523825]
95,0.9283109,1.3729205131530762,[0.9523825]
96,0.9283109,1.379354476928711,[0.9523825]
97,0.9283109,1.375920295715332,[0.9523825]
98,0.9283109,1.3796663284301758,[0.9523825]
99,0.9283109,1.3812150955200195,[0.9523825]
