iteration,max_fitness,time,test_accuracy
0,0.43355203,0.0,0.22925287
1,0.43355203,0.5798795223236084,[0.22925287]
2,0.43355203,0.5458283424377441,[0.22925287]
3,0.43355203,0.5591094493865967,[0.22925287]
4,0.43355203,0.6078763008117676,[0.22925287]
5,0.43355203,0.5779983997344971,[0.22925287]
6,0.43355203,0.6008427143096924,[0.22925287]
7,0.43355203,0.5725245475769043,[0.22925287]
8,0.43355203,0.5658972263336182,[0.22925287]
9,0.43355203,0.5476531982421875,[0.22925287]
10,0.43355203,0.5897462368011475,[0.22925287]
11,0.43355203,0.5800607204437256,[0.22925287]
12,0.43355203,0.5745129585266113,[0.22925287]
13,0.43355203,0.5699834823608398,[0.22925287]
14,0.43355203,0.5678532123565674,[0.22925287]
15,0.43355203,0.5570755004882812,[0.22925287]
16,0.43355203,0.5834193229675293,[0.22925287]
17,0.43355203,0.5577993392944336,[0.22925287]
18,0.4673589,0.5462002754211426,[0.218449]
19,0.4673589,0.5727932453155518,[0.218449]
20,0.4673589,0.569939374923706,[0.218449]
21,0.4673589,0.6039707660675049,[0.218449]
22,0.4673589,0.5762107372283936,[0.218449]
23,0.4673589,0.5911624431610107,[0.218449]
24,0.4673589,0.5543010234832764,[0.218449]
25,0.4673589,0.600588321685791,[0.218449]
26,0.4673589,0.5645003318786621,[0.218449]
27,0.4673589,0.5434067249298096,[0.218449]
28,0.4673589,0.5949676036834717,[0.218449]
29,0.4673589,0.5837843418121338,[0.218449]
30,0.4673589,0.584831953048706,[0.218449]
31,0.4673589,0.5693175792694092,[0.218449]
32,0.4673589,0.5945272445678711,[0.218449]
33,0.4673589,0.5804693698883057,[0.218449]
34,0.4673589,0.565643310546875,[0.218449]
35,0.4673589,0.5703997611999512,[0.218449]
36,0.4673589,0.5829010009765625,[0.218449]
37,0.4673589,0.5697460174560547,[0.218449]
38,0.4673589,0.5773680210113525,[0.218449]
39,0.4673589,0.5870511531829834,[0.218449]
40,0.4673589,0.5784978866577148,[0.218449]
41,0.4673589,0.5767326354980469,[0.218449]
42,0.4673589,0.5754563808441162,[0.218449]
43,0.4673589,0.5757336616516113,[0.218449]
44,0.4673589,0.5681755542755127,[0.218449]
45,0.4673589,0.608196496963501,[0.218449]
46,0.4673589,0.5822317600250244,[0.218449]
47,0.4673589,0.5822958946228027,[0.218449]
48,0.4673589,0.6114954948425293,[0.218449]
49,0.4673589,0.5874056816101074,[0.218449]
50,0.4673589,0.5647377967834473,[0.218449]
51,0.4673589,0.580101728439331,[0.218449]
52,0.4673589,0.5612823963165283,[0.218449]
53,0.4673589,0.5768990516662598,[0.218449]
54,0.4673589,0.6046593189239502,[0.218449]
55,0.4673589,0.5474388599395752,[0.218449]
56,0.4673589,0.5675845146179199,[0.218449]
57,0.4673589,0.577441930770874,[0.218449]
58,0.4673589,0.58463454246521,[0.218449]
59,0.4673589,0.5461010932922363,[0.218449]
60,0.4673589,0.5466310977935791,[0.218449]
61,0.4673589,0.5908098220825195,[0.218449]
62,0.4673589,0.5635783672332764,[0.218449]
63,0.4673589,0.5713374614715576,[0.218449]
64,0.4673589,0.5834224224090576,[0.218449]
65,0.4673589,0.5826542377471924,[0.218449]
66,0.4673589,0.6021387577056885,[0.218449]
67,0.4673589,0.5731425285339355,[0.218449]
68,0.4673589,0.5841431617736816,[0.218449]
69,0.4673589,0.5431520938873291,[0.218449]
70,0.4673589,0.6107912063598633,[0.218449]
71,0.4673589,0.5733284950256348,[0.218449]
72,0.4673589,0.568040132522583,[0.218449]
73,0.4673589,0.5535304546356201,[0.218449]
74,0.4673589,0.5482156276702881,[0.218449]
75,0.4673589,0.5724010467529297,[0.218449]
76,0.4673589,0.5471038818359375,[0.218449]
77,0.4673589,0.565021276473999,[0.218449]
78,0.4673589,0.5535190105438232,[0.218449]
79,0.4673589,0.5826396942138672,[0.218449]
80,0.4673589,0.5451421737670898,[0.218449]
81,0.4673589,0.5844006538391113,[0.218449]
82,0.4673589,0.544426441192627,[0.218449]
83,0.4673589,0.5868651866912842,[0.218449]
84,0.4673589,0.5894482135772705,[0.218449]
85,0.4673589,0.5635864734649658,[0.218449]
86,0.4673589,0.5803446769714355,[0.218449]
87,0.4673589,9.268022298812866,[0.218449]
88,0.4673589,0.553734302520752,[0.218449]
89,0.4673589,0.53509521484375,[0.218449]
90,0.4673589,0.6453449726104736,[0.218449]
91,0.4673589,0.58132004737854,[0.218449]
92,0.4673589,0.5481622219085693,[0.218449]
93,0.4673589,0.5744504928588867,[0.218449]
94,0.4673589,0.593735933303833,[0.218449]
95,0.4673589,0.5525021553039551,[0.218449]
96,0.4673589,0.5878825187683105,[0.218449]
97,0.4673589,0.5658931732177734,[0.218449]
98,0.4673589,0.6222329139709473,[0.218449]
99,0.4673589,0.5992751121520996,[0.218449]
100,0.4673589,0.6242058277130127,[0.218449]
101,0.4673589,0.5908582210540771,[0.218449]
102,0.4673589,0.562532901763916,[0.218449]
103,0.4673589,0.5784015655517578,[0.218449]
104,0.4673589,0.620478630065918,[0.218449]
105,0.4673589,0.6037828922271729,[0.218449]
106,0.4673589,0.591545581817627,[0.218449]
107,0.4673589,0.6075756549835205,[0.218449]
108,0.4673589,0.5721023082733154,[0.218449]
109,0.4673589,0.55743408203125,[0.218449]
110,0.4673589,0.5601935386657715,[0.218449]
111,0.4673589,0.5845448970794678,[0.218449]
112,0.4673589,0.5433943271636963,[0.218449]
113,0.4673589,0.5960278511047363,[0.218449]
114,0.4673589,0.561572790145874,[0.218449]
115,0.4673589,0.5994510650634766,[0.218449]
116,0.4673589,0.5739710330963135,[0.218449]
117,0.4673589,0.5808427333831787,[0.218449]
118,0.4673589,0.5812196731567383,[0.218449]
119,0.4673589,0.5600004196166992,[0.218449]
120,0.4673589,0.5473723411560059,[0.218449]
121,0.4673589,0.5633201599121094,[0.218449]
122,0.4673589,0.5601534843444824,[0.218449]
123,0.4673589,0.573444128036499,[0.218449]
124,0.4673589,0.5514254570007324,[0.218449]
125,0.4673589,0.5566928386688232,[0.218449]
126,0.4673589,0.5930392742156982,[0.218449]
127,0.4673589,0.5758135318756104,[0.218449]
128,0.4673589,0.5750501155853271,[0.218449]
129,0.4673589,0.5699911117553711,[0.218449]
130,0.4673589,0.5783050060272217,[0.218449]
131,0.4673589,0.5824978351593018,[0.218449]
132,0.4673589,0.5661299228668213,[0.218449]
133,0.4673589,0.5513341426849365,[0.218449]
134,0.4673589,0.556992769241333,[0.218449]
135,0.4673589,0.553586483001709,[0.218449]
136,0.4673589,0.5922987461090088,[0.218449]
137,0.4673589,0.5709652900695801,[0.218449]
138,0.4673589,0.546654462814331,[0.218449]
139,0.4673589,0.559044361114502,[0.218449]
140,0.4673589,0.5504567623138428,[0.218449]
141,0.4673589,0.5654170513153076,[0.218449]
142,0.4673589,0.5421724319458008,[0.218449]
143,0.4673589,0.6051547527313232,[0.218449]
144,0.4673589,0.584836483001709,[0.218449]
145,0.4673589,0.5556840896606445,[0.218449]
146,0.4673589,0.5726518630981445,[0.218449]
147,0.4673589,0.5484426021575928,[0.218449]
148,0.4673589,0.55464768409729,[0.218449]
149,0.4673589,0.5588247776031494,[0.218449]
150,0.4673589,0.5953497886657715,[0.218449]
151,0.4673589,0.583106517791748,[0.218449]
152,0.4673589,0.5601470470428467,[0.218449]
153,0.4673589,0.6127893924713135,[0.218449]
154,0.4673589,0.5669567584991455,[0.218449]
155,0.4673589,0.5690345764160156,[0.218449]
156,0.4673589,0.5750036239624023,[0.218449]
157,0.4673589,0.5720357894897461,[0.218449]
158,0.4673589,0.6064980030059814,[0.218449]
159,0.4673589,0.5953540802001953,[0.218449]
160,0.4673589,0.5441751480102539,[0.218449]
161,0.4673589,0.5722272396087646,[0.218449]
162,0.4673589,0.6051483154296875,[0.218449]
163,0.4673589,0.584404706954956,[0.218449]
164,0.4673589,0.5611815452575684,[0.218449]
165,0.4673589,0.5573074817657471,[0.218449]
166,0.4673589,0.5788421630859375,[0.218449]
167,0.4673589,0.5556294918060303,[0.218449]
168,0.4673589,0.6511380672454834,[0.218449]
169,0.4673589,0.6051318645477295,[0.218449]
170,0.4673589,0.5801262855529785,[0.218449]
171,0.4673589,0.5874588489532471,[0.218449]
172,0.4673589,0.6000299453735352,[0.218449]
173,0.4673589,0.5608279705047607,[0.218449]
174,0.4673589,0.5815470218658447,[0.218449]
175,0.4673589,0.5494532585144043,[0.218449]
176,0.4673589,0.5909345149993896,[0.218449]
177,0.4673589,0.6024959087371826,[0.218449]
178,0.4673589,0.5767912864685059,[0.218449]
179,0.4673589,0.6095068454742432,[0.218449]
180,0.4673589,0.5625960826873779,[0.218449]
181,0.4673589,0.5485594272613525,[0.218449]
182,0.4673589,0.594566822052002,[0.218449]
183,0.4673589,0.5937252044677734,[0.218449]
184,0.4673589,0.5645480155944824,[0.218449]
185,0.4673589,0.5901517868041992,[0.218449]
186,0.4673589,0.6004233360290527,[0.218449]
187,0.4673589,0.5572218894958496,[0.218449]
188,0.4673589,0.5854611396789551,[0.218449]
189,0.4673589,0.5623090267181396,[0.218449]
190,0.4673589,0.5735909938812256,[0.218449]
191,0.4673589,0.5762269496917725,[0.218449]
192,0.4673589,0.5877752304077148,[0.218449]
193,0.4673589,0.5714817047119141,[0.218449]
194,0.4673589,0.57112717628479,[0.218449]
195,0.4673589,0.5613429546356201,[0.218449]
196,0.4673589,0.574150562286377,[0.218449]
197,0.4673589,0.5813090801239014,[0.218449]
198,0.4673589,0.5567665100097656,[0.218449]
199,0.4673589,0.5502767562866211,[0.218449]
200,0.4673589,0.5550961494445801,[0.218449]
201,0.4673589,0.5578458309173584,[0.218449]
202,0.4673589,0.5813813209533691,[0.218449]
203,0.4673589,0.5634686946868896,[0.218449]
204,0.4673589,0.575059175491333,[0.218449]
205,0.4673589,0.5858123302459717,[0.218449]
206,0.4673589,0.5812544822692871,[0.218449]
207,0.4673589,0.6061174869537354,[0.218449]
208,0.4673589,0.5990760326385498,[0.218449]
209,0.4673589,0.5695645809173584,[0.218449]
210,0.4673589,0.5617251396179199,[0.218449]
211,0.4673589,0.5635812282562256,[0.218449]
212,0.4673589,0.5864772796630859,[0.218449]
213,0.4673589,0.5749664306640625,[0.218449]
214,0.4673589,0.604175329208374,[0.218449]
215,0.4673589,0.5573887825012207,[0.218449]
216,0.4673589,0.5601596832275391,[0.218449]
217,0.4673589,0.5627057552337646,[0.218449]
218,0.4673589,0.5498661994934082,[0.218449]
219,0.4673589,0.5774722099304199,[0.218449]
220,0.4673589,0.5500059127807617,[0.218449]
221,0.4673589,0.576603889465332,[0.218449]
222,0.4673589,0.5778965950012207,[0.218449]
223,0.4673589,0.5480241775512695,[0.218449]
224,0.4673589,0.6007535457611084,[0.218449]
225,0.4673589,0.558758020401001,[0.218449]
226,0.4835298,0.5731840133666992,[0.20886493]
227,0.4835298,0.5587751865386963,[0.20886493]
228,0.49348754,0.5672309398651123,[0.18007612]
229,0.49348754,0.5719871520996094,[0.18007612]
230,0.5013984,0.6476140022277832,[0.16560024]
231,0.5013984,0.5708332061767578,[0.16560024]
232,0.5013984,0.5927557945251465,[0.16560024]
233,0.5013984,0.5917789936065674,[0.16560024]
234,0.5120747,0.5486295223236084,[0.20282048]
235,0.5120747,0.5795307159423828,[0.20282048]
236,0.5120747,0.593048095703125,[0.20282048]
237,0.5120747,0.5897281169891357,[0.20282048]
238,0.5120747,0.5595171451568604,[0.20282048]
239,0.5120747,0.5611777305603027,[0.20282048]
240,0.52268326,0.5782933235168457,[0.1833111]
241,0.5235841,0.6187903881072998,[0.16530943]
242,0.5235841,0.5855562686920166,[0.16530943]
243,0.5340915,0.5831389427185059,[0.18723744]
244,0.5340915,0.5693848133087158,[0.18723744]
245,0.5359039,0.5957334041595459,[0.14760882]
246,0.5359039,0.5783579349517822,[0.14760882]
247,0.5359039,0.6043787002563477,[0.14760882]
248,0.5359039,0.5629868507385254,[0.14760882]
249,0.5443902,0.6038260459899902,[0.20099324]
250,0.5443902,0.580406665802002,[0.20099324]
251,0.5443902,0.5781078338623047,[0.20099324]
252,0.5443902,0.5424618721008301,[0.20099324]
253,0.5443902,0.543269157409668,[0.20099324]
254,0.5443902,0.5623257160186768,[0.20099324]
255,0.5443902,0.5778625011444092,[0.20099324]
256,0.5443902,0.5515189170837402,[0.20099324]
257,0.5443902,0.5740933418273926,[0.20099324]
258,0.5443902,0.5733492374420166,[0.20099324]
259,0.5443902,0.5645692348480225,[0.20099324]
260,0.5443902,0.5822904109954834,[0.20099324]
261,0.5443902,0.5821905136108398,[0.20099324]
262,0.5455195,0.5781121253967285,[0.17143023]
263,0.5461228,0.5547163486480713,[0.23462248]
264,0.5461228,0.5409283638000488,[0.23462248]
265,0.547822,0.5241985321044922,[0.19283801]
266,0.5540637,0.5377540588378906,[0.22337294]
267,0.5540637,0.5340015888214111,[0.22337294]
268,0.5540637,0.5465898513793945,[0.22337294]
269,0.5540637,0.5623035430908203,[0.22337294]
270,0.5540637,0.5410223007202148,[0.22337294]
271,0.55816853,0.5732419490814209,[0.2302323]
272,0.55849785,0.589270830154419,[0.1967746]
273,0.55849785,0.5741746425628662,[0.1967746]
274,0.56559813,0.5789690017700195,[0.22058618]
275,0.56559813,0.5777590274810791,[0.22058618]
276,0.5725763,0.5492548942565918,[0.26269943]
277,0.5725763,0.5393078327178955,[0.26269943]
278,0.5725763,0.590524435043335,[0.26269943]
279,0.5725763,0.5634686946868896,[0.26269943]
280,0.5725763,0.549091100692749,[0.26269943]
281,0.5725763,0.577878475189209,[0.26269943]
282,0.5736078,0.5864579677581787,[0.2620716]
283,0.5736078,0.5710089206695557,[0.2620716]
284,0.5736078,0.5492119789123535,[0.2620716]
285,0.5736078,0.5438811779022217,[0.2620716]
286,0.5736078,0.5740714073181152,[0.2620716]
287,0.5736078,0.5584771633148193,[0.2620716]
288,0.5736078,0.5499217510223389,[0.2620716]
289,0.5736078,0.5794906616210938,[0.2620716]
290,0.5736078,0.5587198734283447,[0.2620716]
291,0.5736078,0.550440788269043,[0.2620716]
292,0.5736078,0.588860273361206,[0.2620716]
293,0.5736078,0.5764670372009277,[0.2620716]
294,0.5736078,0.5700151920318604,[0.2620716]
295,0.5736078,0.6186172962188721,[0.2620716]
296,0.5736078,0.5831160545349121,[0.2620716]
297,0.5736078,0.5526516437530518,[0.2620716]
298,0.5736078,0.559023380279541,[0.2620716]
299,0.5736078,0.5863738059997559,[0.2620716]
300,0.5736078,0.5416774749755859,[0.2620716]
301,0.5741738,0.5856595039367676,[0.2803337]
302,0.5741738,0.5725328922271729,[0.2803337]
303,0.5741738,0.5766069889068604,[0.2803337]
304,0.5741738,0.583099365234375,[0.2803337]
305,0.5741738,0.5620036125183105,[0.2803337]
306,0.5741738,0.5703675746917725,[0.2803337]
307,0.5741738,0.5854482650756836,[0.2803337]
308,0.5741738,0.5755558013916016,[0.2803337]
309,0.5741738,0.5693507194519043,[0.2803337]
310,0.5741738,0.5775811672210693,[0.2803337]
311,0.5741738,0.5611331462860107,[0.2803337]
312,0.5741738,0.6004469394683838,[0.2803337]
313,0.5741738,0.5806341171264648,[0.2803337]
314,0.5741738,0.6313576698303223,[0.2803337]
315,0.5741738,0.577714204788208,[0.2803337]
316,0.5741738,0.5439205169677734,[0.2803337]
317,0.5741738,0.5858221054077148,[0.2803337]
318,0.5741738,0.6002612113952637,[0.2803337]
319,0.5741738,0.5795094966888428,[0.2803337]
320,0.5741738,0.579143762588501,[0.2803337]
321,0.5741738,0.5915396213531494,[0.2803337]
322,0.5741738,0.5819573402404785,[0.2803337]
323,0.5741738,0.6025168895721436,[0.2803337]
324,0.5741738,0.5644717216491699,[0.2803337]
325,0.5741738,0.5738465785980225,[0.2803337]
326,0.5741738,0.5683484077453613,[0.2803337]
327,0.5741738,0.5610249042510986,[0.2803337]
328,0.5741738,0.5670342445373535,[0.2803337]
329,0.5741738,0.587562084197998,[0.2803337]
330,0.5741738,0.5395278930664062,[0.2803337]
331,0.5741738,0.5641436576843262,[0.2803337]
332,0.5741738,0.5387256145477295,[0.2803337]
333,0.5741738,0.6017336845397949,[0.2803337]
