iteration,max_fitness,time,test_accuracy
0,0.14438349,0.0,0.13559878
1,0.14438349,0.537630558013916,[0.13559878]
2,0.14438349,0.5314085483551025,[0.13559878]
3,0.14438349,0.5760185718536377,[0.13559878]
4,0.14438349,0.5434484481811523,[0.13559878]
5,0.14438349,0.5361168384552002,[0.13559878]
6,0.14438349,0.5776157379150391,[0.13559878]
7,0.14438349,0.5537891387939453,[0.13559878]
8,0.14438349,0.5391385555267334,[0.13559878]
9,0.14438349,0.527252197265625,[0.13559878]
10,0.14438349,0.5229201316833496,[0.13559878]
11,0.49363917,0.556227445602417,[0.3986783]
12,0.49363917,0.5819618701934814,[0.3986783]
13,0.49363917,0.575477123260498,[0.3986783]
14,0.49363917,0.5267689228057861,[0.3986783]
15,0.49363917,0.542879581451416,[0.3986783]
16,0.49363917,0.560370683670044,[0.3986783]
17,0.49363917,0.5606458187103271,[0.3986783]
18,0.49363917,0.5291743278503418,[0.3986783]
19,0.49363917,0.5809338092803955,[0.3986783]
20,0.49363917,0.5239846706390381,[0.3986783]
21,0.49363917,9.056720495223999,[0.3986783]
22,0.49363917,0.5162153244018555,[0.3986783]
23,0.49363917,0.5671420097351074,[0.3986783]
24,0.49363917,0.5436768531799316,[0.3986783]
25,0.49363917,0.5702536106109619,[0.3986783]
26,0.49363917,0.5243754386901855,[0.3986783]
27,0.49363917,0.5697665214538574,[0.3986783]
28,0.49363917,0.5983734130859375,[0.3986783]
29,0.49363917,0.5954563617706299,[0.3986783]
30,0.49363917,0.5915756225585938,[0.3986783]
31,0.49363917,0.5450060367584229,[0.3986783]
32,0.49363917,0.5351665019989014,[0.3986783]
33,0.49363917,0.5435433387756348,[0.3986783]
34,0.49363917,0.5682978630065918,[0.3986783]
35,0.49363917,0.5889973640441895,[0.3986783]
36,0.49363917,0.6116883754730225,[0.3986783]
37,0.49363917,0.5440499782562256,[0.3986783]
38,0.49363917,0.5451047420501709,[0.3986783]
39,0.49363917,0.5242974758148193,[0.3986783]
40,0.49363917,0.5222694873809814,[0.3986783]
41,0.49363917,0.5516858100891113,[0.3986783]
42,0.49363917,0.5277726650238037,[0.3986783]
43,0.49363917,0.5523200035095215,[0.3986783]
44,0.5994997,0.5408918857574463,[0.4668178]
45,0.5994997,0.5382537841796875,[0.4668178]
46,0.5994997,0.5872204303741455,[0.4668178]
47,0.6101326,0.5413291454315186,[0.48000586]
48,0.6101326,0.5430371761322021,[0.48000586]
49,0.6537931,0.5180206298828125,[0.53835285]
50,0.6537931,0.5696442127227783,[0.53835285]
51,0.7152275,0.5342566967010498,[0.6221857]
52,0.7152275,0.6009829044342041,[0.6221857]
53,0.72556245,0.5422987937927246,[0.6422529]
54,0.7609573,0.553584098815918,[0.6827409]
55,0.78953487,0.5291855335235596,[0.69694936]
56,0.78953487,0.5398726463317871,[0.69694936]
57,0.78953487,0.5648257732391357,[0.69694936]
58,0.78953487,0.5589601993560791,[0.69694936]
59,0.83649755,0.6113560199737549,[0.74599814]
60,0.8643795,0.5742068290710449,[0.8018666]
61,0.8732811,0.5276837348937988,[0.86406523]
62,0.8732811,0.574211597442627,[0.86406523]
63,0.879051,0.5564150810241699,[0.88526344]
64,0.8940917,0.5289881229400635,[0.8690525]
65,0.8940917,0.5916526317596436,[0.8690525]
66,0.8940917,0.5414466857910156,[0.8690525]
67,0.8940917,0.5710046291351318,[0.8690525]
68,0.8940917,0.5442674160003662,[0.8690525]
69,0.8940917,0.539954662322998,[0.8690525]
70,0.8940917,0.5827677249908447,[0.8690525]
71,0.8940917,0.5598039627075195,[0.8690525]
72,0.8940917,0.5552356243133545,[0.8690525]
73,0.8940917,0.5584807395935059,[0.8690525]
74,0.8940917,0.5213403701782227,[0.8690525]
75,0.8940917,0.5669710636138916,[0.8690525]
76,0.8940917,0.5473358631134033,[0.8690525]
77,0.8940917,0.555396556854248,[0.8690525]
78,0.89540815,0.5875487327575684,[0.8416521]
79,0.89540815,0.5218861103057861,[0.8416521]
80,0.89540815,0.5442979335784912,[0.8416521]
81,0.89540815,0.5689122676849365,[0.8416521]
82,0.9006697,0.557713508605957,[0.8797771]
83,0.9006697,0.5433580875396729,[0.8797771]
84,0.9006697,0.5848832130432129,[0.8797771]
85,0.9006697,0.560896635055542,[0.8797771]
86,0.9006697,0.5583188533782959,[0.8797771]
87,0.9006697,0.6019115447998047,[0.8797771]
88,0.9006697,0.5488772392272949,[0.8797771]
89,0.9006697,0.544532060623169,[0.8797771]
90,0.9006697,0.5705246925354004,[0.8797771]
91,0.9006697,0.5425546169281006,[0.8797771]
92,0.9006697,0.5527729988098145,[0.8797771]
93,0.9006697,0.5779902935028076,[0.8797771]
94,0.9006697,0.5552797317504883,[0.8797771]
95,0.9006697,0.5538644790649414,[0.8797771]
96,0.9006697,0.573777437210083,[0.8797771]
97,0.9006697,0.5422000885009766,[0.8797771]
98,0.9006697,0.5504727363586426,[0.8797771]
99,0.9006697,0.5472888946533203,[0.8797771]
100,0.9006697,0.5425467491149902,[0.8797771]
101,0.9006697,0.5806047916412354,[0.8797771]
102,0.9006697,0.5469465255737305,[0.8797771]
103,0.9006697,0.5438849925994873,[0.8797771]
104,0.9006697,0.6044800281524658,[0.8797771]
105,0.9006697,0.5419178009033203,[0.8797771]
106,0.9006697,0.5409984588623047,[0.8797771]
107,0.9006697,0.5235748291015625,[0.8797771]
108,0.9006697,0.5584695339202881,[0.8797771]
109,0.9006697,0.6088457107543945,[0.8797771]
110,0.9006697,0.5700438022613525,[0.8797771]
111,0.9006697,0.5443167686462402,[0.8797771]
112,0.9006697,0.5547866821289062,[0.8797771]
113,0.9006697,0.5967049598693848,[0.8797771]
114,0.9006697,0.5825858116149902,[0.8797771]
