iteration,max_fitness,test_accuracy,time
0.0,0.08792353,0.09451771,0.0
1,0.09650445,0.09451771,46.71619701385498
2,0.0974434,0.09451771,21.451294898986816
3,0.09015483,0.09451771,27.342238426208496
4,0.092740536,0.09451771,25.539597034454346
5,0.08918613,0.09451771,24.066571950912476
6,0.09889579,0.09451771,24.82039523124695
7,0.09689808,0.09451771,26.838759660720825
8,0.0940631,0.09451771,25.129072904586792
9,0.088849366,0.09451771,23.6472008228302
10,0.09287369,0.09451771,26.323758363723755
11,0.09397489,0.09451771,26.444090366363525
12,0.10187584,0.09451771,24.83935022354126
13,0.089898944,0.09451771,23.863568782806396
14,0.09370494,0.09451771,26.602659702301025
15,0.095054746,0.09451771,25.951104164123535
16,0.09305638,0.09451771,23.414847373962402
17,0.09637916,0.09451771,24.32231116294861
18,0.0941301,0.09451771,26.92586326599121
19,0.087447286,0.09451771,25.2507803440094
20,0.090426385,0.09975529,23.439064025878906
21,0.09574568,0.09975529,26.11461067199707
22,0.13518178,0.13578677,25.856834888458252
23,0.18555999,0.16798794,24.14566683769226
24,0.25929582,0.2733329,23.700825452804565
25,0.30929786,0.31696373,23.18771243095398
26,0.35962415,0.3730319,26.927045106887817
27,0.4220196,0.4321577,23.823306560516357
28,0.510031,0.49986976,24.981873989105225
29,0.5473225,0.56040955,25.059235334396362
30,0.60856813,0.6041218,26.45613431930542
31,0.61438113,0.6141259,25.994314432144165
32,0.627481,0.61535984,24.80463147163391
33,0.62418056,0.6041218,25.33051824569702
34,0.5840484,0.6041218,25.88816785812378
35,0.6462586,0.61535984,25.025684118270874
36,0.61766577,0.6156861,25.674490451812744
37,0.6122247,0.6156861,24.698863744735718
38,0.62389433,0.61535984,25.920021533966064
39,0.6196341,0.6156861,25.466851949691772
40,0.6194285,0.5883714,24.80583930015564
41,0.6102195,0.61535984,25.216169357299805
42,0.6122453,0.567438,26.014978885650635
43,0.61960745,0.59637177,24.8835186958313
44,0.63407165,0.60245454,24.129202127456665
45,0.6447205,0.58532965,25.91780734062195
46,0.6208453,0.60245454,26.099650859832764
47,0.62261057,0.60604584,22.414178133010864
48,0.6291502,0.60245454,25.091396808624268
49,0.6304363,0.60245454,24.44587230682373
50,0.62851024,0.6015742,25.36719036102295
51,0.65388143,0.60245454,46.911160707473755
52,0.6397383,0.5951414,24.47119951248169
53,0.6520782,0.6044145,24.459885597229004
54,0.6252322,0.60921264,24.230902671813965
55,0.64164275,0.6026033,26.719542503356934
56,0.6332277,0.60921264,23.82390260696411
57,0.6313051,0.6026033,23.703017711639404
58,0.6559783,0.60921264,25.76750946044922
59,0.61442703,0.60921264,26.39837408065796
60,0.6248352,0.5922433,25.993735551834106
61,0.6333481,0.60921264,24.317274808883667
62,0.61694956,0.5952871,24.829241037368774
63,0.65821576,0.6085309,23.607348203659058
64,0.6421441,0.60921264,24.545691967010498
65,0.6497401,0.60921264,23.767720222473145
66,0.6431632,0.5952871,23.478774070739746
67,0.6718514,0.6044464,25.62040376663208
68,0.645525,0.6015783,24.75092124938965
69,0.66412616,0.60921264,24.362703800201416
70,0.6379921,0.6015783,25.939642190933228
71,0.6546005,0.6015783,25.892720460891724
72,0.6437054,0.59353495,24.949833393096924
73,0.62835395,0.59021515,24.86685824394226
74,0.6290776,0.55015266,25.930702447891235
75,0.6710316,0.6142361,26.210501670837402
76,0.64331365,0.6142361,25.64448356628418
77,0.63961375,0.6108935,24.800617456436157
78,0.61554015,0.6142361,25.935046911239624
79,0.6301806,0.60297483,25.97423243522644
80,0.63374937,0.6059593,24.450690984725952
81,0.63033456,0.60359406,24.64944291114807
82,0.6225764,0.6059593,25.965949296951294
83,0.66979086,0.6142361,25.888768911361694
84,0.6371158,0.6108935,24.18559694290161
85,0.6005292,0.6108935,25.704107999801636
86,0.58437216,0.61090076,25.45910930633545
87,0.6171515,0.58247524,25.80918025970459
88,0.61549276,0.58247524,25.064058780670166
89,0.6670636,0.61090076,25.507280349731445
90,0.57734704,0.60359406,25.47078561782837
91,0.72097737,0.72087395,25.992961645126343
92,0.7823533,0.7790719,25.33371067047119
93,0.8101763,0.8059221,25.636260986328125
94,0.83353543,0.82780623,25.697864294052124
95,0.8366883,0.8358741,25.075130939483643
96,0.8445361,0.83846986,23.981229066848755
97,0.8532377,0.84009135,23.857266664505005
98,0.91918314,0.91920084,24.83254361152649
99,0.96068287,0.96064353,24.685572147369385
100,0.9656314,0.96402055,22.689568758010864
101,0.9633775,0.96402055,25.19291591644287
102,0.96576035,0.9645103,45.885093688964844
103,0.964647,0.9645103,20.381048917770386
104,0.96577626,0.96466255,26.66480565071106
105,0.96276236,0.9653147,23.681870698928833
106,0.9649896,0.96536857,25.0312077999115
107,0.9668684,0.96536857,24.862635850906372
108,0.9650362,0.96536857,26.577128887176514
109,0.96644354,0.96581537,25.315629959106445
110,0.9660316,0.96581537,23.823707580566406
111,0.96498877,0.965914,26.731800079345703
112,0.9689886,0.9658658,26.77921748161316
113,0.967005,0.9658999,24.22542953491211
114,0.96538705,0.9658891,24.76075506210327
115,0.9639191,0.9658866,26.650307178497314
116,0.9663269,0.96605575,25.702925205230713
117,0.96657246,0.96799225,23.91805076599121
118,0.9726439,0.97092324,25.32030940055847
119,0.97670674,0.9757674,25.63464379310608
120,0.9827374,0.98143876,25.34671139717102
121,0.9843818,0.98409414,24.721907377243042
122,0.98778915,0.9874117,26.11658263206482
123,0.9865692,0.9874117,26.118385076522827
124,0.98856336,0.9891309,24.613506317138672
125,0.98986983,0.9891309,24.653898239135742
126,0.99029016,0.989235,26.39184808731079
127,0.98944104,0.989235,25.843514919281006
128,0.98933357,0.9892551,25.20914888381958
129,0.9891191,0.989235,24.79881000518799
130,0.989156,0.9893714,25.759838819503784
131,0.990398,0.98947036,25.45418691635132
132,0.99000734,0.9893714,25.274362087249756
133,0.98978335,0.98947036,24.90669560432434
134,0.9893568,0.98959863,25.94895887374878
135,0.9905373,0.98959863,22.682366132736206
136,0.990239,0.98959863,25.885053634643555
137,0.98853695,0.98959863,24.56082844734192
138,0.98971593,0.98959863,26.063000917434692
139,0.98947716,0.98947036,25.30670428276062
140,0.9897048,0.98959863,24.786284685134888
141,0.99134564,0.98959863,24.215125560760498
142,0.9905662,0.98959863,26.30415105819702
143,0.9902373,0.9895908,23.582087755203247
144,0.98925817,0.98959863,23.838242292404175
145,0.98881704,0.9895908,23.071174144744873
146,0.988685,0.98959863,26.032005786895752
147,0.990202,0.9895908,24.242428064346313
148,0.9887492,0.98959863,24.63973069190979
149,0.99006927,0.98971933,26.558955907821655
150,0.9912983,0.98971933,22.922394037246704
151,0.9891317,0.9897505,23.618183374404907
152,0.99057955,0.98971933,23.803661108016968
153,0.9904339,0.98971933,24.761519193649292
154,0.9894747,0.989684,48.62444472312927
155,0.98995566,0.9896962,24.028416872024536
156,0.98937714,0.98975307,25.462486743927002
157,0.9890529,0.98975307,24.44883441925049
158,0.9904398,0.9898332,25.118349313735962
159,0.9897757,0.9899011,25.802610158920288
160,0.9897592,0.99002475,25.03919506072998
161,0.9906434,0.9897422,24.874266147613525
162,0.990491,0.9903453,25.67793297767639
163,0.99010944,0.9904463,26.339643239974976
164,0.9908594,0.9905031,24.82824730873108
165,0.9905238,0.9905031,24.391428470611572
166,0.9908299,0.9901579,25.59803032875061
167,0.9901815,0.9905031,25.235612392425537
168,0.99030644,0.9905368,25.25912833213806
169,0.9904332,0.9905368,24.631065368652344
170,0.9912012,0.99044085,25.63750648498535
171,0.9902844,0.9906,25.714039087295532
172,0.9916378,0.9906,24.73021674156189
173,0.9902955,0.9906,24.972078800201416
174,0.9910127,0.9907684,23.792355060577393
175,0.9913986,0.9908889,25.863919258117676
176,0.990644,0.9909882,24.885352849960327
177,0.9913361,0.9908889,25.471954584121704
178,0.991428,0.9909882,25.488035440444946
179,0.99117106,0.9910028,25.21564507484436
180,0.991234,0.9910971,23.64201521873474
181,0.9920257,0.9911709,25.416580200195312
182,0.9914825,0.9911709,24.39197015762329
183,0.9922901,0.9911709,23.876756191253662
184,0.9910782,0.9912076,22.543036222457886
185,0.9914315,0.99116087,25.9587664604187
186,0.99144065,0.99116087,25.642443418502808
187,0.9920934,0.99116087,25.0876247882843
188,0.9914567,0.99116087,25.280054569244385
189,0.99123245,0.9912192,26.165988445281982
190,0.991685,0.9912076,24.576721668243408
191,0.9910571,0.9912192,24.933784246444702
192,0.9909951,0.9915998,25.227949142456055
193,0.9925448,0.9921625,24.383378505706787
194,0.9923268,0.9921625,24.98154926300049
195,0.9922942,0.9921625,25.99351167678833
196,0.99313605,0.9921625,25.3157799243927
197,0.9936341,0.9923129,24.10027813911438
198,0.9919336,0.9921625,25.899279356002808
199,0.99221736,0.9923129,26.000696420669556
200,0.9922471,0.9923129,24.275482416152954
201,0.99320316,0.9923129,24.955793619155884
202,0.99219126,0.9923129,26.709063291549683
203,0.99236566,0.992326,25.88287329673767
204,0.9929246,0.992326,22.912176609039307
205,0.9923404,0.992326,24.16559076309204
206,0.9922361,0.9923053,23.550097465515137
207,0.9921643,0.99224854,48.9117226600647
208,0.9926157,0.99224854,24.739245414733887
209,0.9922305,0.9923129,22.902003526687622
210,0.992228,0.992326,25.379981517791748
211,0.99282575,0.992326,24.934757471084595
212,0.9918203,0.9923129,25.48533010482788
213,0.991886,0.992326,25.54082155227661
214,0.9928117,0.992326,25.142865896224976
215,0.9930475,0.992326,23.52637243270874
216,0.992429,0.99221116,25.763152599334717
217,0.9927644,0.99221116,25.592756032943726
218,0.9925444,0.99224854,25.356767654418945
219,0.99243027,0.992242,24.27200198173523
220,0.9929199,0.9922479,25.89244508743286
221,0.9926858,0.9923129,24.816387176513672
222,0.99241775,0.9921491,24.46382784843445
223,0.9922172,0.9922686,21.45263981819153
224,0.9916116,0.992326,26.082595586776733
225,0.99270797,0.9921974,24.231303453445435
226,0.99190205,0.99234533,25.067789793014526
227,0.993214,0.9923129,24.926656007766724
228,0.99257076,0.99234295,25.77622127532959
229,0.99209744,0.99234533,26.37951397895813
230,0.9926214,0.9923129,25.16135048866272
231,0.9926157,0.9923053,24.81034016609192
232,0.9924172,0.992326,25.82900619506836
233,0.99208933,0.9922905,26.303114414215088
234,0.99317473,0.99234295,25.73818278312683
235,0.9925356,0.99234295,25.6391921043396
236,0.9918076,0.99230087,26.059725522994995
237,0.9918248,0.99230087,26.529667854309082
238,0.99220043,0.99234295,25.49392557144165
239,0.99248177,0.99234295,24.9494845867157
240,0.99268615,0.9923053,25.127726316452026
241,0.99312824,0.99234295,25.895554780960083
242,0.991961,0.9923221,25.008504152297974
243,0.99228567,0.99234295,25.743573427200317
244,0.9922391,0.99234295,25.572818994522095
245,0.9919787,0.9923689,25.612269401550293
246,0.9927981,0.9923689,25.9358913898468
247,0.9919608,0.9923221,26.11209273338318
248,0.9933403,0.9923332,24.435502290725708
249,0.9923974,0.9923318,25.21436858177185
250,0.99296755,0.9923689,26.196829795837402
251,0.9919426,0.9923689,25.144874095916748
252,0.9934562,0.9923332,24.72317910194397
253,0.9925477,0.9923689,26.431066751480103
254,0.99197745,0.9923318,25.130409002304077
255,0.99259156,0.9923689,23.594205379486084
256,0.9932616,0.9923332,25.586167812347412
257,0.99234724,0.9923689,24.024192333221436
258,0.99232095,0.9923113,23.47714138031006
259,0.992486,0.9923689,23.011621475219727
260,0.99204475,0.9923689,24.51336169242859
261,0.9936262,0.9923689,49.44352436065674
262,0.99230903,0.9923689,21.257225036621094
263,0.99249065,0.9923318,26.818500518798828
264,0.9927022,0.9923332,22.03875160217285
265,0.9926549,0.9923113,23.348689317703247
266,0.9923591,0.9923332,26.394246339797974
267,0.99207807,0.9923689,26.046177864074707
268,0.992606,0.9923689,25.35327982902527
269,0.99304336,0.9923332,25.178025722503662
270,0.9923222,0.9923332,26.17264699935913
271,0.9920237,0.9923332,26.30073118209839
272,0.9919435,0.9922781,24.241401195526123
273,0.99267584,0.9923689,24.930954217910767
274,0.9920494,0.99238247,25.989118337631226
275,0.99224293,0.9923689,25.267547130584717
276,0.9927243,0.9923318,25.39078402519226
277,0.99322706,0.99238247,25.535730361938477
278,0.9920607,0.9923113,25.734668970108032
279,0.99261314,0.99238247,25.440719842910767
280,0.9927263,0.99238247,25.97596526145935
281,0.99244756,0.9922781,25.60775661468506
282,0.9926967,0.9923847,25.28797197341919
283,0.9924484,0.99238247,24.530424118041992
284,0.9928694,0.99236494,25.26917862892151
285,0.9928678,0.9923847,24.636138200759888
286,0.99308383,0.9923579,24.550528526306152
287,0.991441,0.99234295,25.594749212265015
288,0.9929341,0.99228114,24.327882289886475
289,0.9922919,0.99238247,25.39777135848999
290,0.9917528,0.9923579,26.639545440673828
291,0.99296033,0.9923689,25.567041397094727
292,0.99279493,0.9923579,23.682355403900146
293,0.9926921,0.9923847,25.595301866531372
294,0.99259627,0.9923689,23.494811534881592
295,0.9919852,0.9923847,24.507020235061646
296,0.99295187,0.99232185,25.686781883239746
297,0.99279404,0.99232185,25.70657968521118
298,0.99255884,0.99238247,25.556700468063354
299,0.99279726,0.9923332,24.425110578536987
300,0.9917599,0.99238247,23.955947160720825
301,0.993219,0.9923579,26.15933585166931
302,0.9928223,0.99232185,23.107213497161865
303,0.9929249,0.99232185,24.33952760696411
304,0.9930007,0.9923332,24.234617471694946
305,0.99270815,0.99236494,25.31108784675598
306,0.99223465,0.99236494,23.358039617538452
307,0.99259585,0.9923557,24.80714702606201
308,0.99285257,0.99238247,25.78780770301819
309,0.9922758,0.99238247,25.752872467041016
310,0.99217045,0.99238795,25.425174951553345
311,0.9926173,0.99236494,25.172191619873047
312,0.99206126,0.9923557,23.407550573349
313,0.9922302,0.99238795,24.46828842163086
314,0.99212515,0.99238247,23.65444016456604
315,0.99220014,0.99236494,23.235923051834106
316,0.99270177,0.99238795,51.66475987434387
317,0.9926027,0.99235964,23.40641474723816
318,0.9919267,0.99238795,24.198025465011597
319,0.99227536,0.99238247,26.00025701522827
320,0.9925589,0.99238795,25.071585655212402
321,0.99270844,0.99238247,24.13852310180664
322,0.9928538,0.9923847,26.188368797302246
323,0.992751,0.9923847,26.075011730194092
324,0.9925538,0.99238247,24.63569474220276
325,0.9926307,0.99239594,25.147135734558105
326,0.99285656,0.99238795,26.395375967025757
327,0.99283606,0.9923557,25.872249841690063
