iteration,max_fitness,test_accuracy,time
0.0,0.06831372,0.0730291,0.0
1,0.06631625,0.0730291,8.38863229751587
2,0.07762629,0.0730291,8.115439653396606
3,0.06425285,0.0730291,7.572793006896973
4,0.061890423,0.0730291,8.152027130126953
5,0.05436808,0.0730291,8.27368426322937
6,0.22419035,0.21388984,8.191362619400024
7,0.20639133,0.21388984,8.372725486755371
8,0.2080813,0.21388984,8.409032583236694
9,0.20022291,0.21388984,8.894593000411987
10,0.20964652,0.21388984,8.702544689178467
11,0.20818788,0.21388984,8.740872621536255
12,0.20743024,0.21388984,9.035381078720093
13,0.19724858,0.21388984,9.167529344558716
14,0.20799136,0.21388984,8.609346389770508
15,0.23261368,0.21388984,6.938377141952515
16,0.21971542,0.21388984,8.831587553024292
17,0.21514738,0.21388984,9.169522523880005
18,0.20750862,0.21388984,8.900163888931274
19,0.20705712,0.21388984,8.861694812774658
20,0.23430377,0.21388984,8.776403427124023
21,0.21147591,0.21388984,8.858164310455322
22,0.22436965,0.21388984,8.805824041366577
23,0.19553298,0.21388984,8.942703485488892
24,0.24026829,0.21388984,9.11348843574524
25,0.2128905,0.21388984,8.9733726978302
26,0.273745,0.25846803,8.986891746520996
27,0.2701494,0.2887755,8.844133615493774
28,0.36500263,0.36300534,9.037484407424927
29,0.35354817,0.36300534,8.924060106277466
30,0.3661682,0.36300534,8.78842568397522
31,0.35707438,0.36300534,8.786537885665894
32,0.4579456,0.45140767,9.171664714813232
33,0.46901625,0.45140767,8.863043785095215
34,0.44417435,0.45140767,8.265021324157715
35,0.4687227,0.45140767,8.312427759170532
36,0.43547696,0.45140767,8.105455875396729
37,0.44805276,0.45140767,8.263972282409668
38,0.44424278,0.45140767,8.29770278930664
39,0.4579293,0.45140767,8.28366494178772
40,0.4420535,0.45140767,8.183666706085205
41,0.43613923,0.45140767,8.333680391311646
42,0.4399976,0.45140767,8.098355531692505
43,0.4439096,0.43987817,8.841641664505005
44,0.4530928,0.45140767,8.581417083740234
45,0.4505421,0.45140767,8.868375062942505
46,0.44725978,0.45140767,9.022616386413574
47,0.4597987,0.43987817,8.918815851211548
48,0.46216828,0.45140767,8.936067819595337
49,0.45295238,0.45140767,9.118559837341309
50,0.46616238,0.43987817,9.131153345108032
51,0.4479763,0.43987817,9.312983751296997
52,0.44686216,0.45140767,9.284152507781982
53,0.45650178,0.43987817,9.049018859863281
54,0.4602701,0.45140767,9.096965551376343
55,0.44497043,0.45140767,9.061468601226807
56,0.46148694,0.44309872,9.22693157196045
57,0.4695227,0.43987817,9.249465942382812
58,0.44600832,0.43987817,9.103917121887207
59,0.46582878,0.45140767,9.221098899841309
60,0.4569273,0.43987817,9.20633339881897
61,0.55525243,0.5444821,9.235031366348267
62,0.5375972,0.5444821,9.219858884811401
63,0.53706336,0.5444821,9.006972789764404
64,0.5497394,0.5444821,15.592673301696777
65,0.603842,0.6035931,8.96391248703003
66,0.5999854,0.6035931,8.55639362335205
67,0.618397,0.6035931,7.071572780609131
68,0.5972084,0.6035931,8.535181522369385
69,0.61809933,0.62455297,8.209754705429077
70,0.6235606,0.62455297,8.26019549369812
71,0.6322585,0.62455297,8.676186561584473
72,0.6238109,0.62455297,8.659645557403564
73,0.62533104,0.62455297,7.824022054672241
74,0.6197028,0.63106906,8.033452272415161
75,0.61442435,0.63106906,8.654183387756348
76,0.6457611,0.63106906,8.656647205352783
77,0.63024557,0.63106906,8.427836179733276
78,0.6318488,0.63106906,8.726094245910645
79,0.63202655,0.6307383,8.727390050888062
80,0.63774043,0.6307383,8.576563119888306
81,0.63722795,0.63106906,8.508703708648682
82,0.6255622,0.63106906,8.301357507705688
83,0.62261426,0.6307383,8.730315923690796
84,0.6229546,0.63106906,8.613121032714844
85,0.6342188,0.63106906,8.204911231994629
86,0.6395086,0.6307383,7.702111482620239
87,0.63521945,0.63106906,7.454852104187012
88,0.64283615,0.63106906,8.693340539932251
89,0.62927,0.6307383,8.52778148651123
90,0.6325267,0.63106906,8.637683868408203
91,0.63194656,0.6307383,8.874929904937744
92,0.6250185,0.63106906,8.566441059112549
93,0.6339197,0.63106906,8.647286891937256
94,0.63607496,0.63106906,8.741183042526245
95,0.62575376,0.6307383,8.953030586242676
96,0.6381812,0.63106906,9.007437467575073
97,0.6332684,0.6307383,9.012268304824829
98,0.63073033,0.63106906,8.983424663543701
99,0.6217276,0.63106906,8.855570793151855
100,0.63737977,0.6307383,8.931446552276611
101,0.631024,0.6307383,9.14362621307373
102,0.63615024,0.63106906,8.947264671325684
103,0.6326287,0.63106906,9.061262607574463
104,0.6240545,0.63106906,9.144060611724854
105,0.6409736,0.6307383,8.925349235534668
106,0.6457982,0.63106906,8.989616632461548
107,0.6283184,0.6307383,9.045258522033691
108,0.6301905,0.63106906,8.859870195388794
109,0.6338279,0.6307383,9.005553960800171
110,0.6257252,0.63106906,9.13727855682373
111,0.6320775,0.6307383,9.021782875061035
112,0.62560856,0.63106906,9.007898569107056
113,0.62674785,0.63106906,8.97934865951538
114,0.6218438,0.63106906,9.002837657928467
115,0.63663507,0.6307383,8.944288730621338
116,0.63243115,0.63106906,9.13103461265564
