iteration,max_fitness,test_accuracy,time
0.0,0.21725696,0.21257389,0.0
1,0.19016689,0.21257389,21.883230447769165
2,0.22592473,0.21257389,20.88482093811035
3,0.23207062,0.21257389,20.032742977142334
4,0.20362192,0.21257389,17.593496322631836
5,0.24579763,0.21257389,22.94334626197815
6,0.22795254,0.21257389,20.580729246139526
7,0.2193731,0.21257389,17.68960404396057
8,0.29238254,0.2395826,20.870676517486572
9,0.29103404,0.26339126,20.408173084259033
10,0.25105876,0.2913559,22.037999391555786
11,0.32032293,0.31556386,19.96897554397583
12,0.36625177,0.3232072,20.849772214889526
13,0.3835134,0.32822287,16.714048147201538
14,0.35717475,0.33501452,21.59811305999756
15,0.3544364,0.3354578,23.27241277694702
16,0.34367597,0.34092957,22.438946962356567
17,0.38953465,0.34360766,20.24142575263977
18,0.37602377,0.34310615,19.307194471359253
19,0.301306,0.3464067,27.958561420440674
20,0.36450952,0.34708238,23.211689710617065
21,0.3972506,0.370893,18.169365644454956
22,0.4359696,0.37010223,20.082304000854492
23,0.3331141,0.370893,21.05440092086792
24,0.38226455,0.37023133,20.201531648635864
25,0.39650983,0.37126863,18.48614001274109
26,0.41342717,0.37126863,18.1922664642334
27,0.3870672,0.37184972,21.494057416915894
28,0.3602301,0.37091374,20.488023281097412
29,0.30963838,0.37243944,18.409080743789673
30,0.40303212,0.37243944,22.033891201019287
31,0.3881312,0.37243944,20.626338243484497
32,0.30767405,0.37243944,22.40172052383423
33,0.3312875,0.37582606,18.41448211669922
34,0.37654245,0.37582606,21.650123119354248
35,0.40357953,0.37582606,20.905648708343506
36,0.42471564,0.37554467,19.509302616119385
37,0.39111137,0.37532473,20.468258380889893
38,0.4305191,0.38839114,18.709442377090454
39,0.39307117,0.40060043,23.62799882888794
40,0.40535808,0.40773803,19.239570379257202
41,0.41770566,0.40773803,21.658010244369507
42,0.50492966,0.40773803,20.016876459121704
43,0.41374427,0.40773803,17.977110147476196
44,0.4920019,0.40857893,22.48430347442627
45,0.42616546,0.40857893,20.164838552474976
46,0.38359421,0.40945792,18.122442722320557
47,0.4121375,0.41394478,25.228720903396606
48,0.44757795,0.41278964,18.5740487575531
49,0.4138351,0.4160539,23.8862247467041
50,0.37591732,0.4177308,21.952184438705444
51,0.49199414,0.4177308,19.225703477859497
52,0.4490407,0.4177308,29.81285285949707
53,0.40135998,0.41930604,21.735432863235474
54,0.44724208,0.41930604,22.503410816192627
55,0.45511842,0.41831726,22.087145805358887
56,0.4284351,0.4202444,20.528558015823364
57,0.4841993,0.4202444,23.118067264556885
58,0.39509332,0.42150605,20.491796016693115
59,0.3854493,0.42150605,23.105663299560547
60,0.37009007,0.42176342,22.35185408592224
61,0.44947988,0.42176342,23.530815601348877
62,0.367238,0.42334735,20.91965937614441
63,0.41722953,0.41945058,18.019716262817383
64,0.44899166,0.4252019,23.42506432533264
65,0.4704386,0.42486936,20.793784618377686
66,0.45725387,0.42098087,17.21995496749878
67,0.45604438,0.42486936,22.068329334259033
68,0.4216944,0.4248094,18.20236039161682
69,0.3831097,0.42517817,18.336368322372437
70,0.4011926,0.4266351,22.71383571624756
71,0.44506073,0.42824423,21.563608407974243
72,0.3895421,0.42824423,23.101867198944092
73,0.47026622,0.42505336,17.944204330444336
74,0.47138733,0.42824423,23.241934537887573
75,0.420749,0.42824423,22.90264058113098
76,0.4688391,0.42709643,18.979940176010132
77,0.46255493,0.42758816,21.40443754196167
78,0.4412914,0.42824423,19.364667415618896
79,0.4320935,0.42824423,19.51442861557007
80,0.48004133,0.4276467,24.46400284767151
81,0.4599042,0.42824423,19.552536964416504
82,0.49121493,0.42758816,18.5407452583313
83,0.44515765,0.4276467,22.841090202331543
84,0.4156313,0.4276467,19.68953776359558
85,0.4451114,0.42824423,21.84697389602661
86,0.43612272,0.42900229,20.285187244415283
87,0.45848012,0.42900229,20.44445276260376
88,0.44398797,0.42884558,23.45942234992981
89,0.42994457,0.42900229,22.48651385307312
90,0.5153963,0.42229825,21.68282651901245
91,0.44658518,0.4284202,17.7228844165802
92,0.41822958,0.4284202,23.375131130218506
93,0.39107972,0.42900229,20.3006112575531
94,0.4984399,0.42900229,19.071768283843994
95,0.46254277,0.42750823,23.34832787513733
96,0.40671688,0.43020785,18.020140647888184
