iteration,max_fitness,test_accuracy,time
0.0,0.035734296,0.048273742,0.0
1,0.042607605,0.048273742,12.745784759521484
2,0.035636604,0.048273742,12.705503225326538
3,0.05370766,0.048273742,12.87337064743042
4,0.040062845,0.048273742,12.728630781173706
5,0.058474302,0.048273742,13.000061988830566
6,0.054359972,0.048273742,12.98720932006836
7,0.05250466,0.048273742,12.22480058670044
8,0.062701285,0.048273742,12.898764610290527
9,0.05542171,0.048273742,13.265801191329956
10,0.041984856,0.048273742,12.952149629592896
11,0.067566514,0.06766909,13.232917785644531
12,0.08036786,0.06766909,11.829085350036621
13,0.0858556,0.06766909,12.738170862197876
14,0.072149456,0.06766909,13.21683669090271
15,0.07817328,0.06766909,13.095015287399292
16,0.13760197,0.13498545,13.050235509872437
17,0.15439945,0.13498545,13.39011001586914
18,0.13135904,0.1016804,18.749534130096436
19,0.11647874,0.13498545,12.635159492492676
20,0.39156216,0.3857231,12.750686168670654
21,0.49832237,0.46634078,12.330811023712158
22,0.59355927,0.53467566,13.073879957199097
23,0.5656611,0.59143376,12.985918045043945
24,0.5805189,0.6016567,13.16861081123352
25,0.66703653,0.656579,13.196110248565674
26,0.7000714,0.66427875,12.934638500213623
27,0.69691914,0.6804284,13.236328840255737
28,0.6575023,0.67896,13.385936737060547
29,0.6374922,0.646281,13.095334529876709
30,0.6980584,0.6882298,12.605032682418823
31,0.71439755,0.7039169,12.86025881767273
32,0.6066618,0.7081927,13.318178176879883
33,0.71998024,0.7494174,12.78883409500122
34,0.72731024,0.7494174,13.002610445022583
35,0.7596869,0.7679187,13.004014492034912
36,0.8008481,0.769096,12.910290002822876
37,0.7622318,0.769096,12.504344463348389
38,0.7812163,0.769096,12.65799331665039
39,0.83067113,0.8162,13.321508646011353
40,0.8326701,0.8176255,12.907896995544434
41,0.82519466,0.8176255,12.860564708709717
42,0.8452656,0.8168383,13.276079654693604
43,0.79814255,0.8176255,12.684999704360962
44,0.851366,0.8168383,12.681358337402344
45,0.8246597,0.81966686,12.565723419189453
46,0.80821264,0.8201606,12.26728892326355
47,0.81282514,0.8264161,12.157451152801514
48,0.8574472,0.8264161,12.489197254180908
49,0.8454246,0.8264161,11.964122772216797
50,0.77594066,0.8264161,12.024191617965698
51,0.86857367,0.8252174,11.94535493850708
52,0.8396727,0.8264161,12.170279264450073
53,0.80786747,0.8279984,12.41861367225647
54,0.84991986,0.82859236,12.581186532974243
55,0.839825,0.82859236,18.10297727584839
56,0.8432523,0.82859236,12.361073017120361
57,0.8598901,0.8235781,12.372522830963135
58,0.8297197,0.8290363,12.492518186569214
59,0.81273836,0.82973874,12.519663095474243
60,0.7687628,0.82973874,11.744351387023926
61,0.84152573,0.82696456,12.088592052459717
62,0.76893806,0.83055276,11.902584552764893
63,0.82145756,0.83084786,12.481354475021362
64,0.8465874,0.83055276,12.639008045196533
65,0.84171796,0.82696456,12.577266216278076
66,0.8260909,0.82636404,12.08896541595459
67,0.851383,0.83084786,11.64153790473938
68,0.81555456,0.83055276,11.916118621826172
69,0.7906465,0.83084786,11.885930061340332
70,0.824092,0.83084786,12.331965923309326
71,0.85268825,0.83106905,12.395370483398438
72,0.8054003,0.83084786,12.559882402420044
73,0.8431958,0.82738817,12.43086862564087
74,0.8445656,0.82738817,12.275409460067749
75,0.8224547,0.83106905,11.480995416641235
76,0.8531149,0.83106905,11.926154613494873
77,0.84583074,0.8313234,12.047812938690186
78,0.852975,0.83072615,11.63927435874939
79,0.84135073,0.8313234,11.949672937393188
80,0.86922586,0.8279511,12.302399396896362
81,0.86964536,0.8313234,12.048171520233154
82,0.8603178,0.8279511,11.72417688369751
83,0.84281266,0.8313234,12.399616241455078
84,0.8114656,0.8313234,12.372557878494263
85,0.83448064,0.8313234,12.332130432128906
86,0.8367828,0.8313234,12.448465347290039
87,0.86101073,0.8313234,12.39565896987915
88,0.8505626,0.8313234,12.620570182800293
89,0.82398826,0.8313234,13.10891842842102
90,0.8574896,0.81858605,12.91698670387268
91,0.8486051,0.83106905,12.289942026138306
92,0.81848097,0.83106905,12.786888360977173
93,0.8127085,0.8313234,16.11908769607544
94,0.86773515,0.83097696,12.11278223991394
95,0.8535888,0.8313234,12.384790897369385
96,0.81839824,0.83055276,11.967967748641968
97,0.8218014,0.8313234,12.145665407180786
98,0.82976395,0.8313234,12.002389430999756
99,0.85656905,0.83091325,12.345003128051758
100,0.860602,0.83091325,12.148775577545166
101,0.8266225,0.83120865,12.175861120223999
102,0.7389832,0.83091325,12.58732295036316
103,0.8365769,0.8313234,12.439820051193237
104,0.8284762,0.8313234,12.03784990310669
105,0.87281543,0.83072925,11.93587350845337
106,0.85002506,0.8313234,11.906589984893799
107,0.823506,0.82996464,12.575665950775146
108,0.8181937,0.8313234,11.917280197143555
109,0.8023782,0.83207136,12.160022735595703
110,0.83198357,0.83028376,12.127515077590942
111,0.86324453,0.83097553,11.976415872573853
112,0.8478851,0.83097553,12.48153042793274
113,0.85327476,0.83207136,11.932353734970093
114,0.7751502,0.83207136,11.850569248199463
115,0.8583393,0.83097696,12.281024932861328
116,0.82303274,0.83207136,12.312489032745361
117,0.8526512,0.830701,12.413167238235474
118,0.84059083,0.83207136,12.146145820617676
119,0.8442826,0.8181551,12.291903972625732
120,0.846504,0.83097553,12.035804986953735
121,0.85992765,0.83120865,12.620595932006836
122,0.8561616,0.830701,12.536829471588135
123,0.84824544,0.83097553,12.276570320129395
124,0.8547087,0.8260489,12.467531681060791
125,0.831657,0.8260489,12.739425897598267
126,0.8315392,0.8342866,12.223046064376831
127,0.8501619,0.8357271,12.160616636276245
128,0.87160504,0.83097696,11.475067138671875
129,0.8527358,0.83106905,11.652902126312256
130,0.85437286,0.82165724,12.173017740249634
131,0.86743677,0.83097553,18.35752773284912
132,0.8270079,0.8342866,11.785644054412842
133,0.8530718,0.83097553,12.742111921310425
134,0.8702501,0.8302114,12.258464813232422
135,0.8451148,0.8302114,12.683099746704102
136,0.77440166,0.83120865,12.5120849609375
137,0.82344997,0.8310151,12.573734998703003
138,0.8601775,0.83097696,12.015617847442627
139,0.8463304,0.8302114,12.503689050674438
140,0.84728503,0.83097553,12.584073781967163
141,0.8490529,0.83097553,12.517967462539673
142,0.8456223,0.8298371,12.318185091018677
143,0.860849,0.8302114,11.941750526428223
144,0.8564676,0.8302114,12.187568426132202
145,0.8532998,0.8302114,12.03537130355835
146,0.80151415,0.83120865,12.001640558242798
147,0.8140781,0.83106905,12.064139604568481
148,0.8252031,0.83256227,12.427709579467773
149,0.8496037,0.8311976,12.68211317062378
