iteration,max_fitness,test_accuracy,time
0.0,0.070534766,0.06556994,0.0
1,0.05953157,0.05976528,22.23197364807129
2,0.061404943,0.05976528,16.9433171749115
3,0.06453782,0.05976528,19.8896701335907
4,0.09439713,0.07789421,17.300145626068115
5,0.06830996,0.0635075,19.324076652526855
6,0.06498426,0.0635075,18.11866283416748
7,0.078897595,0.07789421,19.4192955493927
8,0.09334165,0.086645246,17.97421669960022
9,0.10604572,0.10221261,17.818056106567383
10,0.12959063,0.10719651,18.960130214691162
11,0.11649907,0.111803174,20.666332483291626
12,0.096775115,0.11584413,18.93592119216919
13,0.12955713,0.11464316,18.157228708267212
14,0.12827712,0.12389898,17.586726188659668
15,0.12444788,0.13170666,18.472652912139893
16,0.15457648,0.14269364,18.634122371673584
17,0.15534258,0.15333337,17.172268390655518
18,0.15864879,0.15999854,20.12286901473999
19,0.172678,0.16457927,19.15407681465149
20,0.16328532,0.16925746,18.06710124015808
21,0.1958623,0.17444491,20.13394069671631
22,0.18528396,0.20134783,19.535792350769043
23,0.20984536,0.20709783,19.44654631614685
24,0.20823312,0.21420336,19.138317108154297
25,0.20709443,0.2184974,20.112210512161255
26,0.25425702,0.22236925,17.718887329101562
27,0.21348476,0.22636372,18.9649019241333
28,0.24628448,0.22938591,19.3923761844635
29,0.23013538,0.2322014,19.783891201019287
30,0.24926406,0.25746983,18.98721718788147
31,0.24914575,0.26086926,19.74861168861389
32,0.27965063,0.26397967,19.942010641098022
33,0.28525758,0.26620173,19.594710111618042
34,0.25753897,0.26857233,18.14598059654236
35,0.26732177,0.27060562,20.642560482025146
36,0.2825371,0.2726317,19.760271549224854
37,0.28964537,0.27795058,17.269043445587158
38,0.34523392,0.36570215,20.248937845230103
39,0.3600368,0.3809843,18.26962661743164
40,0.402753,0.39456052,16.533174514770508
41,0.39121193,0.40609622,19.776134252548218
42,0.44513714,0.45545185,18.900804042816162
43,0.43038893,0.46360523,20.76939821243286
44,0.4916938,0.47097802,16.19428825378418
45,0.5041641,0.47772998,20.22466492652893
46,0.43679953,0.48528373,18.03182864189148
47,0.5134143,0.4913565,20.128189086914062
48,0.46936226,0.49762654,21.18018364906311
49,0.5302868,0.5033729,18.736355304718018
50,0.5147565,0.50824964,19.53916645050049
51,0.5153551,0.51257694,17.781956911087036
52,0.4934396,0.51745224,19.085121870040894
53,0.5379759,0.5198603,18.830604314804077
54,0.5236386,0.52351135,19.250262022018433
55,0.52423036,0.52687776,18.90228033065796
56,0.5088711,0.53054833,18.687190055847168
57,0.52850926,0.5336001,20.311254501342773
58,0.51793194,0.53712916,19.961538553237915
59,0.533764,0.54018486,17.948777198791504
60,0.5670855,0.5430496,18.058706998825073
61,0.54942703,0.5447173,19.041731357574463
62,0.5249162,0.5462901,18.075530529022217
63,0.5147474,0.5482408,17.567570447921753
64,0.53006935,0.5498071,18.880037307739258
65,0.532357,0.5511666,19.86018419265747
66,0.54617023,0.55103606,19.408577919006348
67,0.5211696,0.5521344,20.179896116256714
68,0.56804574,0.5534071,17.704924821853638
69,0.5507927,0.55485237,22.29234027862549
70,0.5656461,0.5554905,20.250486850738525
71,0.55612034,0.5559962,17.19687056541443
72,0.55113417,0.55583024,17.90902018547058
73,0.56449795,0.55660063,19.014431953430176
74,0.5738801,0.55717725,19.807534217834473
75,0.5484448,0.557443,20.728530406951904
76,0.54477745,0.5574849,19.412615060806274
77,0.5116259,0.5575601,17.31432318687439
78,0.5679579,0.556958,19.15675377845764
79,0.5861094,0.55760866,18.241628408432007
80,0.5323049,0.55746865,19.826120376586914
81,0.5544753,0.5572461,19.79044246673584
82,0.56399846,0.5574393,18.343416929244995
83,0.52384925,0.5576237,19.78572702407837
84,0.5136023,0.5575602,18.128654956817627
85,0.5397391,0.55757844,18.912370204925537
