iteration,max_fitness,time,test_accuracy
0,-0.81650746,0.0,-1.212678
1,-0.9578239,15.363667726516724,[-1.1433475]
2,-0.7237278,15.500755071640015,[-1.1113136]
3,-0.894698,15.513614416122437,[-1.08569]
4,-0.8187647,15.231220722198486,[-1.0447323]
5,-0.83835185,15.540157556533813,[-1.009927]
6,-0.80418575,15.466716527938843,[-1.0048025]
7,-0.75243175,15.521864891052246,[-0.9442861]
8,-0.7216964,15.30918550491333,[-0.9660835]
9,-0.67083097,15.658232688903809,[-0.9660835]
10,-0.6217948,15.549463987350464,[-0.9615078]
11,-0.767311,15.675585508346558,[-0.92428863]
12,-0.7024962,15.889289379119873,[-0.87116444]
13,-0.6040673,15.940760374069214,[-0.800823]
14,-0.42006302,15.667015552520752,[-0.7630762]
15,-0.41265464,15.666078805923462,[-0.7279093]
16,-0.40734243,15.749305725097656,[-0.7279093]
17,-0.44033408,15.668710470199585,[-0.6924281]
18,-0.3815894,15.89026927947998,[-0.6798748]
19,-0.3240136,15.895527362823486,[-0.6547198]
20,-0.39416778,15.919532537460327,[-0.6592542]
21,-0.42664027,16.046382188796997,[-0.7308434]
22,-0.42281508,15.704726696014404,[-0.6373396]
23,-0.39641058,15.639864206314087,[-0.6812458]
24,-0.37920487,15.753576278686523,[-0.63628495]
25,-0.45183146,15.896758317947388,[-0.6212877]
26,-0.36112118,15.898108005523682,[-0.6247443]
27,-0.24757493,15.668278455734253,[-0.6247443]
28,-0.4517703,15.584045171737671,[-0.6706449]
29,-0.29826248,15.623009443283081,[-0.6212877]
30,-0.40553117,15.74150013923645,[-0.6247443]
31,-0.3325528,15.698374032974243,[-0.6546773]
32,-0.41221368,15.153610467910767,[-0.6247443]
33,-0.45124412,15.453010559082031,[-0.63442755]
34,-0.34094274,15.651373386383057,[-0.6551552]
35,-0.42941213,15.540849447250366,[-0.63442755]
36,-0.26395166,15.518282175064087,[-0.6752987]
37,-0.33038878,15.816679954528809,[-0.61869633]
38,-0.35315108,15.550859212875366,[-0.6311525]
39,-0.45024538,15.484748840332031,[-0.61869633]
40,-0.33208883,15.589139938354492,[-0.6604953]
41,-0.44477367,15.632866144180298,[-0.6659906]
42,-0.35333252,15.624191284179688,[-0.6466404]
43,-0.016336203,15.46683120727539,[-0.01816738]
44,0.0030328631,15.592396259307861,[0.00648576]
45,0.009042919,15.602844715118408,[0.0250929]
46,0.021327257,15.468422174453735,[0.0280937]
47,0.017381072,15.552546262741089,[-0.31058967]
48,0.022295535,15.396594524383545,[0.0250929]
49,0.020919204,15.430246591567993,[0.0280937]
50,0.21302736,15.401685953140259,[-0.12033367]
51,0.1875683,15.449424743652344,[-0.12033367]
52,0.20568228,15.295555830001831,[0.12043554]
53,0.78617465,15.386259317398071,[0.7634355]
54,0.7988508,15.333312273025513,[0.7634355]
55,0.7777777,15.636686086654663,[0.7634355]
56,0.7893322,14.996108770370483,[0.7634355]
57,0.78519046,15.345805406570435,[0.7634355]
58,0.7834475,15.236633777618408,[0.7634355]
59,0.77339923,15.150751113891602,[0.7634355]
60,0.78199995,15.263169765472412,[0.7634355]
61,0.7794329,15.241729974746704,[0.7634355]
62,0.79696196,15.23176121711731,[0.7634355]
63,0.7911263,15.444764375686646,[0.7634355]
64,0.7842051,15.38026237487793,[0.7634355]
65,0.7782886,15.28305196762085,[0.7634355]
66,0.79668343,15.355746984481812,[0.7634355]
67,0.91794986,15.34468698501587,[0.9294241]
68,0.9340607,15.410496473312378,[0.9294241]
69,0.91870403,15.378379821777344,[0.9294241]
70,0.91278934,15.81503176689148,[0.9294241]
71,0.9212848,14.906036615371704,[0.9294241]
72,0.931888,15.06103253364563,[0.9294241]
73,0.92931736,15.479768514633179,[0.9294241]
