iteration,max_fitness,time,test_accuracy
0,-1.5643053,0.0,-1.7985427
1,-0.93226624,15.715473413467407,[-0.9440942]
2,-0.7996111,15.824691534042358,[-0.8872527]
3,0.6443195,15.989122152328491,[0.67274785]
4,0.64795923,16.009105682373047,[0.67274785]
5,0.6626965,15.820920705795288,[0.67274785]
6,0.6408948,15.725163698196411,[0.67274785]
7,0.66119224,15.73200273513794,[0.67274785]
8,0.64884806,15.721058130264282,[0.67274785]
9,0.6398392,15.875967264175415,[0.67274785]
10,0.6464682,15.880383491516113,[0.67274785]
11,0.6192439,15.804139614105225,[0.67274785]
12,0.6471647,15.701351642608643,[0.67274785]
13,0.6251068,15.519228458404541,[0.67274785]
14,0.66506666,16.094964027404785,[0.6287623]
15,0.6704472,15.873445749282837,[0.67211795]
16,0.6898386,16.148667097091675,[0.6925924]
17,0.7241688,16.199508666992188,[0.68492234]
18,0.6911123,16.05108118057251,[0.68492234]
19,0.7173217,16.048635482788086,[0.71622694]
20,0.7205163,15.9256112575531,[0.71933985]
21,0.7078142,15.898471593856812,[0.7206508]
22,0.7264463,15.593983888626099,[0.7162631]
23,0.71746886,15.82477593421936,[0.7206508]
24,0.71696126,15.56824254989624,[0.717536]
25,0.7206578,15.772624731063843,[0.7234668]
26,0.7178029,15.747710943222046,[0.7206508]
27,0.6902641,15.806296348571777,[0.717536]
28,0.6933845,15.899007320404053,[0.7233994]
29,0.71721566,16.088169813156128,[0.7206508]
30,0.7089921,15.548722743988037,[0.7206508]
31,0.7211162,15.72648310661316,[0.717536]
32,0.7196289,15.899771213531494,[0.7248938]
33,0.69774544,15.716257572174072,[0.7206508]
34,0.73601437,15.763595819473267,[0.7201786]
35,0.7176527,15.908416271209717,[0.7266212]
36,0.7222843,15.941674947738647,[0.7218528]
37,0.7209336,15.573592901229858,[0.7218528]
38,0.7127664,15.7114577293396,[0.7162631]
39,0.7048737,15.810259342193604,[0.7150227]
40,0.69737864,15.692008972167969,[0.7171414]
41,0.70101225,15.625455379486084,[0.7218035]
42,0.7117249,15.902395486831665,[0.720077]
43,0.7186041,15.772542238235474,[0.717536]
44,0.71249723,15.899089813232422,[0.7201786]
45,0.7180834,15.837458848953247,[0.7199807]
46,0.72963,15.968677282333374,[0.7227368]
47,0.7162707,15.719942331314087,[0.72562516]
48,0.7220191,15.456627607345581,[0.7218528]
49,0.7280804,15.81332802772522,[0.7309006]
50,0.7092308,15.594811201095581,[0.7201786]
51,0.7214036,15.890353441238403,[0.7218035]
52,0.7162976,15.747802495956421,[0.7201786]
53,0.7069199,15.927586555480957,[0.72562516]
54,0.72628915,15.54951810836792,[0.7218035]
55,0.7375473,15.835763931274414,[0.7218035]
56,0.72117126,15.927101135253906,[0.7245798]
57,0.71766484,16.13127088546753,[0.7176899]
58,0.70536095,16.04988694190979,[0.7201786]
59,0.73916125,15.969278335571289,[0.72463846]
60,0.72401893,15.812157154083252,[0.72088146]
