iteration,max_fitness,time,test_accuracy
0,-0.59279597,0.0,-0.7155999
1,-0.5322268,12.712344884872437,[-0.6469934]
2,-0.530949,12.806947708129883,[-0.60038733]
3,-0.44550872,12.721332550048828,[-0.5662744]
4,-0.41270936,12.813913345336914,[-0.5393374]
5,-0.37203455,12.894389390945435,[-0.42258704]
6,-0.37447894,29.668848276138306,[-0.4182912]
7,-0.3457452,12.64692997932434,[-0.4144336]
8,-0.3925537,12.956900596618652,[-0.41090357]
9,-0.3782798,12.615742444992065,[-0.4076134]
10,-0.40504372,12.8505380153656,[-0.4045998]
11,-0.3139783,12.752094745635986,[-0.40174854]
12,-0.3331058,12.76598834991455,[-0.39829683]
13,-0.3398229,12.76388669013977,[-0.39586055]
14,-0.33896315,12.86598515510559,[-0.39304316]
15,-0.3412274,12.757044792175293,[-0.39089894]
16,-0.33375108,12.94412612915039,[-0.3888495]
17,-0.29604328,12.798388242721558,[-0.38695025]
18,-0.34330702,12.78319239616394,[-0.38513172]
19,-0.36191082,12.752984046936035,[-0.38334262]
20,-0.39041162,12.585408210754395,[-0.38165212]
21,-0.3785404,12.354329109191895,[-0.3800267]
22,-0.34545076,12.590441465377808,[-0.3784684]
23,-0.33724153,12.6094069480896,[-0.37697828]
24,-0.32805085,12.823893547058105,[-0.37554872]
25,-0.35456002,12.62416934967041,[-0.37416017]
26,-0.3857231,12.752597570419312,[-0.37283862]
27,-0.3731228,12.859787225723267,[-0.3715304]
28,-0.3260255,12.789191961288452,[-0.37027228]
29,-0.32842195,12.983568668365479,[-0.36907828]
30,-0.33477056,12.911121606826782,[-0.36790442]
31,-0.3006463,13.033174753189087,[-0.36061502]
32,-0.30809045,12.886286973953247,[-0.35948682]
33,-0.15601492,13.096673250198364,[-0.18659663]
34,-0.15758586,13.031778812408447,[-0.15841424]
35,-0.1452719,13.110406637191772,[-0.13547444]
36,-0.0995698,12.864938974380493,[-0.10162282]
37,-0.1024096,13.083601951599121,[-0.08709085]
38,-0.03128159,13.036176443099976,[-0.02633274]
39,-0.052571774,13.126501560211182,[-0.02191913]
40,-0.015162587,13.282719135284424,[-0.01765239]
41,-0.03864789,13.027570009231567,[-0.00575662]
42,-0.0156155825,13.17645001411438,[-0.0057534]
43,-0.00404644,13.150660991668701,[-0.00627387]
44,-0.015690446,13.439241409301758,[-0.00558305]
45,0.007535517,13.247280359268188,[0.01270854]
46,0.009442031,13.29299807548523,[0.01270854]
47,-0.003242731,13.540712118148804,[0.01206887]
48,0.013203621,13.522803544998169,[0.01206887]
49,0.0042470098,13.77441668510437,[0.01206887]
50,0.0022161007,13.263163089752197,[0.01206887]
51,0.005250573,13.096202611923218,[0.01206887]
52,-0.00083732605,13.07559323310852,[0.01206887]
53,0.011583507,13.082665920257568,[0.01206887]
54,-0.001499176,13.309678554534912,[0.01230216]
55,0.012552857,13.337749242782593,[0.01092041]
56,-0.0051367283,13.348207235336304,[0.01150125]
57,0.016019285,13.248194932937622,[0.01230216]
58,0.011241138,13.222775220870972,[0.00931215]
59,-0.0017055273,13.033934593200684,[-0.00473845]
60,0.0029699802,13.08284306526184,[0.00931215]
61,0.026520967,13.0002281665802,[0.01232004]
62,0.02418238,13.144735097885132,[0.00862914]
63,0.0100925565,13.535126447677612,[0.00247824]
64,0.0008010268,14.515777111053467,[0.00230771]
65,0.015093446,14.307129144668579,[0.02126098]
66,0.009078562,14.062082052230835,[0.00230771]
67,0.007906795,14.18540072441101,[0.02455819]
68,0.017231584,14.368754863739014,[0.02399063]
69,-0.0018925667,13.696397066116333,[0.00247824]
70,0.012953103,13.183088779449463,[0.02455819]
71,0.0112351775,13.086882829666138,[0.02574217]
72,0.014316976,13.013634443283081,[0.02574217]
73,0.006256938,13.377015352249146,[0.02705121]
74,0.006174028,13.27992558479309,[0.02705121]
75,0.016403794,13.269121646881104,[0.02766502]
76,0.020828068,13.304057836532593,[0.02859986]
77,0.01169759,13.279483556747437,[0.02872109]
78,0.0044629574,13.106460332870483,[0.02872109]
79,0.017591894,13.382710456848145,[0.02849829]
80,0.022962868,13.275930643081665,[0.0284695]
81,0.016117394,13.20279598236084,[0.02790612]
82,0.014371932,13.250068187713623,[0.02746308]
83,0.01033783,13.286979913711548,[0.02746308]
84,0.02551961,13.403064727783203,[0.02746308]
