iteration,max_fitness,time,test_accuracy
0,-0.12224543,0.0,-0.1500969
1,-0.0042756796,14.724216938018799,[-0.03051674]
2,0.011652112,14.61813497543335,[0.0168978]
3,0.017970145,14.391318082809448,[0.02288127]
4,0.017970145,14.258198738098145,[0.02288127]
5,0.017970145,14.473917961120605,[0.02288127]
6,0.28984421,14.733219623565674,[-0.14446461]
7,0.28984421,14.479092359542847,[-0.14446461]
8,0.28984421,14.364230871200562,[-0.14446461]
9,0.28984421,14.399033069610596,[-0.14446461]
10,0.338391,14.381345510482788,[-0.11538267]
11,0.338391,14.664259433746338,[-0.11538267]
12,0.338391,14.51180648803711,[-0.11538267]
13,0.3789584,14.344533205032349,[-0.2329998]
14,0.4074859,14.652912855148315,[-0.04750347]
15,0.4074859,14.475381135940552,[-0.04750347]
16,0.40795654,14.497159481048584,[-0.05796647]
17,0.40795654,14.57769227027893,[-0.05796647]
18,0.40879703,14.53628945350647,[-0.05034506]
19,0.40879703,14.546803712844849,[-0.05034506]
20,0.5167178,14.519912719726562,[0.23505843]
21,0.55235445,14.459517478942871,[0.2526617]
22,0.59488094,14.608582019805908,[0.29641217]
23,0.61789584,14.4346182346344,[0.3492915]
24,0.6413131,14.470725059509277,[0.39854926]
25,0.6438153,14.551696062088013,[0.39283055]
26,0.6833576,14.681899309158325,[0.42903042]
27,0.7151072,14.65261435508728,[0.4977789]
28,0.72968376,14.575129508972168,[0.5248198]
29,0.7451153,14.562622308731079,[0.54815286]
30,0.75746715,14.63554859161377,[0.57184017]
31,0.76809824,14.457140922546387,[0.5884532]
32,0.7751547,14.455710649490356,[0.59259886]
33,0.78189737,14.591398000717163,[0.6260877]
34,0.78714967,14.43351936340332,[0.6305847]
35,0.78786534,14.446703672409058,[0.640662]
36,0.78807,14.391804695129395,[0.6243434]
37,0.79013896,14.485332489013672,[0.63215744]
38,0.79013896,14.56998324394226,[0.63215744]
39,0.79102206,14.452682495117188,[0.63572574]
40,0.79102206,14.642598628997803,[0.63572574]
41,0.79102206,18.154181480407715,[0.63572574]
42,0.79103416,14.259268760681152,[0.63411164]
43,0.79103416,14.399608850479126,[0.63411164]
44,0.79103416,14.515870332717896,[0.63411164]
45,0.7917499,14.606965780258179,[0.6362097]
46,0.7917499,14.671194553375244,[0.6362097]
47,0.7917499,14.459048509597778,[0.6362097]
48,0.7917499,14.626519680023193,[0.6362097]
49,0.79307824,14.507774591445923,[0.64565015]
50,0.79307824,14.619843244552612,[0.64565015]
51,0.79307824,14.692800045013428,[0.64565015]
52,0.79307824,14.64877986907959,[0.64565015]
53,0.79307824,14.712822198867798,[0.64565015]
54,0.7996238,14.357824563980103,[0.68890077]
55,0.7996238,14.45069146156311,[0.68890077]
56,0.7996238,14.6800537109375,[0.68890077]
57,0.8004603,14.610626220703125,[0.68224645]
58,0.8004603,14.604753494262695,[0.68224645]
59,0.8089348,14.552434206008911,[0.6960486]
60,0.8175948,14.569801568984985,[0.7033355]
61,0.81886363,14.579903841018677,[0.7071227]
62,0.8218533,14.650891304016113,[0.7267729]
63,0.8221626,14.62031364440918,[0.69610727]
64,0.8221626,14.61036729812622,[0.69610727]
65,0.8224628,14.628971099853516,[0.6898229]
66,0.8224628,14.589927434921265,[0.6898229]
67,0.8224628,14.587361097335815,[0.6898229]
68,0.82343435,14.513294458389282,[0.689006]
69,0.82360995,14.745519638061523,[0.6977901]
70,0.82360995,14.540762662887573,[0.6977901]
71,0.82360995,14.462347984313965,[0.6977901]
72,0.82360995,14.692800283432007,[0.6977901]
73,0.82360995,14.68071460723877,[0.6977901]
74,0.82362866,14.676856517791748,[0.69237643]
75,0.8238137,14.579836368560791,[0.69638836]
76,0.8238137,14.796168088912964,[0.69638836]
77,0.8238137,14.635306119918823,[0.69638836]
78,0.8238137,14.532087087631226,[0.69638836]
79,0.8238137,14.818284511566162,[0.69638836]
80,0.8238137,14.59165096282959,[0.69638836]
81,0.8238137,14.925471544265747,[0.69638836]
82,0.8238137,14.68535304069519,[0.69638836]
83,0.8475114,14.670327425003052,[0.728863]
84,0.8475114,14.747987985610962,[0.728863]
85,0.84873885,14.804457187652588,[0.740446]
86,0.84935653,14.536032915115356,[0.7367663]
87,0.84935653,14.512868642807007,[0.7367663]
88,0.84935653,14.652785539627075,[0.7367663]
89,0.84935653,14.62751030921936,[0.7367663]
90,0.8542422,14.605182647705078,[0.7654347]
91,0.85472155,14.632117986679077,[0.7648465]
92,0.85472155,14.559459447860718,[0.7648465]
93,0.85472155,14.595576524734497,[0.7648465]
94,0.85472155,14.574490070343018,[0.7648465]
95,0.85545325,14.705469369888306,[0.75791466]
96,0.8557857,18.37076234817505,[0.7560913]
97,0.855788,14.567622184753418,[0.7567309]
98,0.855788,14.516479015350342,[0.7567309]
99,0.855788,14.46273422241211,[0.7567309]
100,0.8558549,14.605772018432617,[0.7567333]
101,0.8558549,14.449433088302612,[0.7567333]
102,0.8558549,14.436055898666382,[0.7567333]
103,0.8558549,14.65086817741394,[0.7567333]
104,0.8558549,14.6405348777771,[0.7567333]
105,0.8558549,14.61029601097107,[0.7567333]
106,0.8558549,14.523134708404541,[0.7567333]
107,0.8558549,14.519011735916138,[0.7567333]
108,0.8558549,14.524161577224731,[0.7567333]
109,0.8558549,14.589782238006592,[0.7567333]
110,0.8558549,14.739886045455933,[0.7567333]
111,0.8558549,14.491284132003784,[0.7567333]
112,0.8558767,14.667526006698608,[0.7542956]
113,0.8558767,14.667447328567505,[0.7542956]
114,0.8558767,14.655174732208252,[0.7542956]
115,0.8558767,14.50624132156372,[0.7542956]
116,0.8558767,14.667689323425293,[0.7542956]
117,0.8558767,14.673074007034302,[0.7542956]
118,0.8558767,14.671521425247192,[0.7542956]
119,0.8558767,14.594037771224976,[0.7542956]
120,0.8558767,14.481765031814575,[0.7542956]
121,0.8558767,14.66814637184143,[0.7542956]
122,0.8558767,14.419544696807861,[0.7542956]
123,0.8558767,14.616632461547852,[0.7542956]
124,0.8558767,14.450690746307373,[0.7542956]
125,0.8558767,14.659486770629883,[0.7542956]
126,0.8558767,14.56827449798584,[0.7542956]
127,0.8558767,14.579713344573975,[0.7542956]
128,0.8558767,14.64302945137024,[0.7542956]
129,0.8558767,14.796401977539062,[0.7542956]
130,0.8558767,14.71936845779419,[0.7542956]
131,0.8558767,14.524058818817139,[0.7542956]
132,0.8558767,14.547305583953857,[0.7542956]
133,0.8558767,14.548638105392456,[0.7542956]
134,0.8558767,14.697129487991333,[0.7542956]
135,0.8558767,14.683440446853638,[0.7542956]
136,0.8558767,14.458538293838501,[0.7542956]
137,0.8558767,14.55016827583313,[0.7542956]
138,0.8558767,14.717628240585327,[0.7542956]
139,0.8558767,14.48131275177002,[0.7542956]
140,0.8558767,14.602252006530762,[0.7542956]
141,0.8558767,14.628446817398071,[0.7542956]
142,0.8558767,14.807377338409424,[0.7542956]
143,0.8558767,14.69490385055542,[0.7542956]
144,0.8558767,14.577177047729492,[0.7542956]
145,0.8558767,14.595794916152954,[0.7542956]
146,0.8558767,14.568270206451416,[0.7542956]
147,0.8558767,14.474524736404419,[0.7542956]
148,0.8558767,14.372866868972778,[0.7542956]
149,0.8558767,14.701817512512207,[0.7542956]
150,0.8558767,14.640901803970337,[0.7542956]
151,0.8558767,14.601532697677612,[0.7542956]
152,0.8558767,18.514695167541504,[0.7542956]
153,0.8558767,14.687984228134155,[0.7542956]
154,0.8558767,14.662355661392212,[0.7542956]
155,0.8558767,14.798044919967651,[0.7542956]
156,0.8558767,14.525760889053345,[0.7542956]
157,0.8558767,14.553977966308594,[0.7542956]
158,0.8558767,14.71242070198059,[0.7542956]
159,0.8558767,14.613445281982422,[0.7542956]
160,0.8558767,14.544200897216797,[0.7542956]
161,0.8558767,14.578481197357178,[0.7542956]
162,0.8558767,14.71520733833313,[0.7542956]
163,0.8558767,14.588416337966919,[0.7542956]
164,0.8558767,14.455479145050049,[0.7542956]
165,0.8558767,14.497390270233154,[0.7542956]
166,0.8558767,14.432801008224487,[0.7542956]
167,0.8558767,14.407708644866943,[0.7542956]
168,0.8558767,14.595432996749878,[0.7542956]
169,0.8558767,14.542458057403564,[0.7542956]
170,0.8558767,14.529648303985596,[0.7542956]
171,0.8558767,14.54644513130188,[0.7542956]
172,0.8558767,14.489084482192993,[0.7542956]
173,0.8558767,14.53647518157959,[0.7542956]
174,0.8558767,14.440996170043945,[0.7542956]
175,0.8558767,14.581528663635254,[0.7542956]
176,0.8558767,14.602965593338013,[0.7542956]
177,0.8558767,14.396382093429565,[0.7542956]
178,0.8558767,14.557359457015991,[0.7542956]
179,0.8558767,14.493521213531494,[0.7542956]
180,0.8558767,14.623573303222656,[0.7542956]
181,0.8558767,14.830606698989868,[0.7542956]
182,0.8558767,14.750689029693604,[0.7542956]
183,0.8558767,14.603719234466553,[0.7542956]
184,0.8558767,14.682410478591919,[0.7542956]
185,0.8558767,14.72388482093811,[0.7542956]
186,0.8558767,14.605656147003174,[0.7542956]
187,0.8558767,14.753982305526733,[0.7542956]
188,0.8558767,14.676987648010254,[0.7542956]
189,0.8558767,14.733644247055054,[0.7542956]
