iteration,max_fitness,test_accuracy,time
0.0,-0.00109303,-0.009019971,0.0
1,-0.00109303,-0.009019971,5.850711345672607
2,-0.00109303,-0.009019971,5.800607681274414
3,-3.552437e-05,-0.002236247,5.631139755249023
4,-3.552437e-05,-0.002236247,5.685821056365967
5,-3.540516e-05,-0.002236247,5.860273599624634
6,-1.50203705e-05,-0.002482891,5.604471921920776
7,-1.50203705e-05,-0.002482891,5.5625810623168945
8,-8.46386e-06,-0.0026032925,5.671269178390503
9,-8.34465e-06,-0.0026032925,5.745728254318237
10,-8.46386e-06,-0.0026032925,5.858678817749023
11,-8.46386e-06,-0.0026032925,5.715865612030029
12,-8.46386e-06,-0.0026032925,5.678422212600708
13,-1.1920929e-06,-0.0031238794,5.652323246002197
14,-1.1920929e-06,-0.0031238794,5.799164295196533
15,-1.1920929e-06,-0.0031238794,5.789440631866455
16,-1.1920929e-06,-0.0031238794,5.709422588348389
17,-1.1920929e-06,-0.0031238794,5.755463361740112
18,-1.1920929e-06,-0.0031238794,5.877649307250977
19,-1.1920929e-06,-0.0031238794,5.771800518035889
20,-1.3113022e-06,-0.0031238794,5.695245027542114
21,-1.1920929e-06,-0.0031238794,5.823951005935669
22,-1.1920929e-06,-0.0031238794,5.846494674682617
23,-1.1920929e-06,-0.0031238794,5.795039176940918
24,-1.0728836e-06,-0.0031238794,5.625314950942993
25,-1.1920929e-06,-0.0031238794,5.705952405929565
26,-1.1920929e-06,-0.0031238794,5.61757755279541
27,-1.1920929e-06,-0.0031238794,5.837057828903198
28,-1.1920929e-06,-0.0031238794,5.855395793914795
29,-1.1920929e-06,-0.0031238794,5.601844787597656
30,-1.1920929e-06,-0.0031238794,5.9205710887908936
31,-1.1920929e-06,-0.0031238794,5.8162877559661865
32,-1.1920929e-06,-0.0031238794,5.965649843215942
33,-1.1920929e-06,-0.0031238794,6.071871519088745
34,-1.0728836e-06,-0.0031238794,5.870787858963013
35,-1.1920929e-06,-0.0031238794,5.867578029632568
36,-1.1920929e-06,-0.0031238794,5.653226137161255
37,-1.0728836e-06,-0.0031238794,5.759868383407593
38,-1.1920929e-06,-0.0031238794,5.821726083755493
39,-1.1920929e-06,-0.0031238794,5.884221076965332
40,-1.1920929e-06,-0.0031238794,5.701819181442261
41,-1.1920929e-06,-0.0031238794,5.759949207305908
42,-1.1920929e-06,-0.0031238794,14.73839783668518
43,-1.1920929e-06,-0.0031238794,5.620730876922607
44,-1.1920929e-06,-0.0031238794,5.627038240432739
45,-1.1920929e-06,-0.0031238794,5.979231357574463
46,-1.0728836e-06,-0.0031238794,5.713840007781982
47,-1.1920929e-06,-0.0031238794,5.7376298904418945
48,-1.1920929e-06,-0.0031238794,5.855422735214233
49,-1.1920929e-06,-0.0031238794,6.0322489738464355
50,-1.1920929e-06,-0.0031238794,5.701925277709961
51,-1.1920929e-06,-0.0031238794,6.013043403625488
52,-1.0728836e-06,-0.0031238794,5.624727487564087
53,-1.1920929e-06,-0.0031238794,5.522366046905518
54,-1.1920929e-06,-0.0031238794,5.759959697723389
55,-1.1920929e-06,-0.0031238794,5.776608943939209
56,-1.1920929e-06,-0.0031238794,5.808469295501709
57,-1.1920929e-06,-0.0031238794,5.81195068359375
58,-1.0728836e-06,-0.0031238794,5.928089141845703
59,-1.1920929e-06,-0.0031238794,5.777057409286499
60,-1.1920929e-06,-0.0031238794,5.594096422195435
61,-1.1920929e-06,-0.0031238794,5.78662371635437
62,-1.1920929e-06,-0.0031238794,5.883441686630249
63,-1.1920929e-06,-0.0031238794,5.7042999267578125
64,-1.3113022e-06,-0.0031238794,5.774136543273926
65,-1.1920929e-06,-0.0031238794,5.903700828552246
66,-1.1920929e-06,-0.0031238794,5.836792230606079
67,-1.3113022e-06,-0.0031238794,5.686109304428101
68,-1.1920929e-06,-0.0031238794,5.711691856384277
69,-1.0728836e-06,-0.0031238794,5.9148359298706055
70,-1.1920929e-06,-0.0031238794,5.680721044540405
71,-1.1920929e-06,-0.0031238794,5.976316928863525
72,-1.1920929e-06,-0.0031238794,5.917051792144775
73,-1.1920929e-06,-0.0031238794,5.624438047409058
74,-1.1920929e-06,-0.0031238794,5.970531463623047
75,-1.1920929e-06,-0.0031238794,5.967595815658569
76,-1.1920929e-06,-0.0031238794,6.041275978088379
77,-1.0728836e-06,-0.0031238794,5.9182798862457275
78,-1.1920929e-06,-0.0031238794,5.8388590812683105
79,-1.1920929e-06,-0.0031238794,5.807834625244141
80,-1.1920929e-06,-0.0031238794,5.983180046081543
81,-1.3113022e-06,-0.0031286478,5.83975076675415
82,-1.0728836e-06,-0.0031238794,5.866479396820068
83,-1.1920929e-06,-0.0031238794,6.050058841705322
84,-1.1920929e-06,-0.0031238794,5.9388813972473145
85,-1.1920929e-06,-0.0031238794,5.834075212478638
86,-1.1920929e-06,-0.0031238794,6.004103183746338
87,-1.1920929e-06,-0.0031238794,5.700279474258423
88,-1.1920929e-06,-0.0031238794,5.771408796310425
89,-1.1920929e-06,-0.0031238794,6.007589817047119
90,-1.1920929e-06,-0.0031238794,5.95913553237915
91,-1.1920929e-06,-0.0031238794,5.718134164810181
92,-1.1920929e-06,-0.0031238794,5.913013219833374
93,-1.0728836e-06,-0.0031238794,5.7231645584106445
94,-1.1920929e-06,-0.0031238794,5.816242218017578
95,-1.1920929e-06,-0.0031238794,5.749155282974243
96,-1.1920929e-06,-0.0031238794,5.753316640853882
97,-1.1920929e-06,-0.0031238794,5.8077497482299805
98,-1.0728836e-06,-0.0031238794,5.815664768218994
99,-1.1920929e-06,-0.0031238794,6.002138614654541
100,-1.1920929e-06,-0.0031238794,5.815824031829834
101,-1.1920929e-06,-0.0031238794,5.528180360794067
102,-1.1920929e-06,-0.0031238794,5.950796365737915
103,-1.1920929e-06,-0.0031238794,5.899383068084717
104,-1.1920929e-06,-0.0031238794,5.801622629165649
105,-1.1920929e-06,-0.0031238794,5.794081687927246
106,-1.0728836e-06,-0.0031238794,5.814716339111328
107,-1.1920929e-06,-0.0031238794,5.772551774978638
108,-1.1920929e-06,-0.0031238794,5.757059335708618
109,-1.1920929e-06,-0.0031238794,5.635026693344116
110,-1.0728836e-06,-0.0031238794,5.764741897583008
111,-1.1920929e-06,-0.0031238794,5.852997541427612
112,-1.1920929e-06,-0.0031238794,5.87714695930481
113,-1.0728836e-06,-0.0031238794,5.725419044494629
114,-1.1920929e-06,-0.0031238794,5.880835771560669
115,-1.3113022e-06,-0.0031238794,5.765482187271118
116,-1.1920929e-06,-0.0031238794,5.809193849563599
117,-1.1920929e-06,-0.0031238794,5.792235612869263
118,-1.0728836e-06,-0.0031238794,5.820124864578247
119,-1.1920929e-06,-0.0031238794,5.582740783691406
120,-1.1920929e-06,-0.0031238794,5.792126417160034
121,-1.1920929e-06,-0.0031238794,6.020445108413696
122,-1.1920929e-06,-0.0031238794,5.63616418838501
123,-1.1920929e-06,-0.0031238794,5.670954465866089
124,-1.1920929e-06,-0.0031238794,5.626765251159668
125,-1.1920929e-06,-0.0031238794,5.886372327804565
126,-1.1920929e-06,-0.0031238794,5.678883790969849
127,-1.1920929e-06,-0.0031238794,5.632166147232056
128,-1.1920929e-06,-0.0031238794,5.71568489074707
129,-1.1920929e-06,-0.0031238794,5.951514959335327
130,-1.0728836e-06,-0.0031238794,5.923402309417725
131,-1.1920929e-06,-0.0031238794,6.028723239898682
132,-1.1920929e-06,-0.0031238794,5.864267587661743
133,-1.3113022e-06,-0.0031238794,5.998621225357056
134,-1.1920929e-06,-0.0031238794,6.117227792739868
135,-1.1920929e-06,-0.0031238794,7.57202410697937
136,-1.1920929e-06,-0.0031238794,16.676186084747314
137,-1.1920929e-06,-0.0031238794,6.338049411773682
138,-1.1920929e-06,-0.0031238794,7.352511167526245
139,-1.1920929e-06,-0.0031238794,7.050499677658081
140,-1.0728836e-06,-0.0031238794,6.736711263656616
141,-1.1920929e-06,-0.0031238794,6.480463743209839
142,-1.1920929e-06,-0.0031238794,6.729682445526123
143,-1.1920929e-06,-0.0031238794,7.649369478225708
144,-1.1920929e-06,-0.0031238794,7.013262748718262
145,-1.1920929e-06,-0.0031238794,7.3765363693237305
146,-1.0728836e-06,-0.0031238794,6.560030698776245
147,-1.1920929e-06,-0.0031238794,7.760340213775635
148,-1.1920929e-06,-0.0031238794,6.308885097503662
149,-1.1920929e-06,-0.0031238794,7.733494281768799
150,-1.1920929e-06,-0.0031238794,6.354522466659546
151,-1.1920929e-06,-0.0031238794,7.550506591796875
152,-1.1920929e-06,-0.0031238794,6.569173574447632
153,-1.1920929e-06,-0.0031238794,7.309338331222534
154,-1.1920929e-06,-0.0031238794,6.9971795082092285
155,-1.1920929e-06,-0.0031238794,6.8467020988464355
156,-1.1920929e-06,-0.0031238794,7.623275518417358
157,-1.1920929e-06,-0.0031238794,6.606183767318726
158,-1.1920929e-06,-0.0031238794,6.95293116569519
159,-1.1920929e-06,-0.0031238794,6.665785074234009
160,-1.1920929e-06,-0.0031238794,7.382067680358887
161,-1.1920929e-06,-0.0031238794,6.281116724014282
162,-1.1920929e-06,-0.0031238794,7.4293107986450195
163,-1.1920929e-06,-0.0031238794,6.842691421508789
164,0.0,-0.0029853582,7.126227140426636
165,5.9604645e-08,-0.0029853582,7.392897605895996
166,0.0,-0.0029853582,6.918790340423584
167,0.0,-0.0029853582,7.729596376419067
168,-1.1920929e-07,-0.0029853582,6.555349349975586
169,5.9604645e-08,-0.0029853582,7.762568712234497
170,-1.1920929e-07,-0.0029853582,6.883258104324341
171,0.0,-0.0029853582,7.336421966552734
172,0.0,-0.0029853582,6.6875245571136475
173,0.0,-0.0029853582,7.691649913787842
174,5.9604645e-08,-0.0029853582,6.517576456069946
175,-1.1920929e-07,-0.0029853582,7.47450590133667
176,-1.1920929e-07,-0.0029853582,6.897820949554443
177,0.0,-0.0029853582,6.986225128173828
178,0.0,-0.0029853582,7.554334878921509
179,5.9604645e-08,-0.0029853582,6.318407773971558
180,5.9604645e-08,-0.0029853582,7.559223890304565
181,0.0,-0.0029853582,6.8957459926605225
182,0.0,-0.0029853582,7.564993858337402
183,-1.1920929e-07,-0.0029853582,6.274574518203735
184,5.9604645e-08,-0.0029853582,7.275383949279785
185,0.0,-0.0029853582,6.585018873214722
186,5.9604645e-08,-0.0029853582,7.037757635116577
187,0.0,-0.0029853582,7.602015256881714
188,-1.1920929e-07,-0.0029853582,6.8051698207855225
189,-1.1920929e-07,-0.0029853582,7.701321363449097
190,-1.1920929e-07,-0.0029853582,6.3410937786102295
191,5.9604645e-08,-0.0029853582,7.738070011138916
192,-1.1920929e-07,-0.0029853582,6.94935941696167
193,5.9604645e-08,-0.0029853582,8.061719417572021
194,5.9604645e-08,-0.0029853582,7.052509784698486
195,0.0,-0.0029853582,6.9861955642700195
196,0.0,-0.0029853582,6.619369029998779
197,5.9604645e-08,-0.0029853582,6.753108263015747
198,5.9604645e-08,-0.0029853582,7.30717134475708
199,0.0,-0.0029853582,6.476353168487549
200,-1.1920929e-07,-0.0029853582,7.46331000328064
201,0.0,-0.0029853582,6.7039666175842285
202,0.0,-0.0029853582,8.050904989242554
203,0.0,-0.0029853582,6.543842554092407
204,0.0,-0.0029853582,7.6568522453308105
205,0.0,-0.0029853582,6.576048135757446
206,0.0,-0.0029853582,6.832703351974487
207,0.0,-0.0029853582,7.000182390213013
208,0.0,-0.0029853582,7.0522682666778564
209,0.0,-0.0029853582,7.6624860763549805
210,0.0,-0.0029853582,6.607577085494995
211,0.0,-0.0029853582,7.412205457687378
212,-1.1920929e-07,-0.0029853582,6.79783034324646
213,0.0,-0.0029853582,8.055917024612427
214,-1.1920929e-07,-0.0029853582,6.758806943893433
215,0.0,-0.0029853582,7.718106508255005
216,0.0,-0.0029853582,6.772319316864014
217,0.0,-0.0029853582,7.237123966217041
218,0.0,-0.0029853582,7.032146692276001
219,-1.1920929e-07,-0.0029853582,7.069537401199341
220,0.0,-0.0029853582,7.404714584350586
221,0.0,-0.0029853582,6.822549104690552
222,0.0,-0.0029853582,7.563960552215576
223,0.0,-0.0029853582,7.07569432258606
224,0.0,-0.0029853582,7.453606367111206
225,0.0,-0.0029853582,6.367821216583252
226,5.9604645e-08,-0.0029853582,7.4842329025268555
227,0.0,-0.0029853582,6.516623020172119
228,0.0,-0.0029853582,7.413869380950928
229,0.0,-0.0029853582,6.596704483032227
230,-1.1920929e-07,-0.0029853582,16.868601083755493
231,0.0,-0.0029853582,8.045698404312134
232,-1.1920929e-07,-0.0029853582,6.404395818710327
233,0.0,-0.0029853582,7.9555745124816895
234,0.0,-0.0029853582,6.949205160140991
235,0.0,-0.0029853582,7.633344888687134
236,-1.1920929e-07,-0.0029853582,6.904485464096069
237,-1.1920929e-07,-0.0029853582,7.09259819984436
238,0.0,-0.0029853582,7.0909318923950195
239,0.0,-0.0029853582,7.079098701477051
240,-1.1920929e-07,-0.0029853582,6.844814777374268
241,5.9604645e-08,-0.0029853582,7.442112684249878
242,0.0,-0.0029853582,7.154723882675171
243,5.9604645e-08,-0.0029853582,6.470627069473267
244,-1.1920929e-07,-0.0029853582,7.150196075439453
245,-1.1920929e-07,-0.0029853582,6.5420732498168945
246,5.9604645e-08,-0.0029853582,7.7282631397247314
247,0.0,-0.0029853582,6.651822805404663
248,0.0,-0.0029853582,7.918691635131836
249,0.0,-0.0029853582,6.6733574867248535
250,0.0,-0.0029853582,7.585475206375122
251,0.0,-0.0029853582,6.572663307189941
252,0.0,-0.0029853582,7.6284873485565186
253,5.9604645e-08,-0.0029853582,7.021802186965942
254,-1.1920929e-07,-0.0029853582,7.001043081283569
255,5.9604645e-08,-0.0029853582,6.943847417831421
256,-1.1920929e-07,-0.0029853582,6.4513099193573
257,-1.1920929e-07,-0.0029853582,7.202906608581543
258,-1.1920929e-07,-0.0029853582,6.569101333618164
259,5.9604645e-08,-0.0029853582,7.978561878204346
260,0.0,-0.0029853582,6.545944929122925
261,0.0,-0.0029853582,7.556251049041748
262,5.9604645e-08,-0.0029853582,6.260560035705566
263,5.9604645e-08,-0.0029853582,6.888187408447266
264,-1.1920929e-07,-0.0029853582,7.41659140586853
265,5.9604645e-08,-0.0029853582,6.871143102645874
266,-1.1920929e-07,-0.0029853582,7.415188550949097
267,5.9604645e-08,-0.0029853582,6.22321891784668
268,0.0,-0.0029853582,7.90883207321167
269,0.0,-0.0029853582,6.560681104660034
270,-1.1920929e-07,-0.0029853582,7.584630727767944
271,5.9604645e-08,-0.0029853582,6.7165281772613525
272,0.0,-0.0029853582,7.338380813598633
273,-1.1920929e-07,-0.0029853582,6.600891590118408
274,-1.1920929e-07,-0.0029853582,7.3482985496521
275,0.0,-0.0029853582,7.025843381881714
276,0.0,-0.0029853582,7.733607769012451
277,0.0,-0.0029853582,6.72247052192688
278,-1.1920929e-07,-0.0029853582,7.077017307281494
279,5.9604645e-08,-0.0029853582,7.253849506378174
280,0.0,-0.0029853582,7.072059631347656
281,5.9604645e-08,-0.0029853582,7.563908576965332
282,5.9604645e-08,-0.0029853582,5.664246320724487
283,-1.1920929e-07,-0.0029853582,5.872727632522583
284,5.9604645e-08,-0.0029853582,7.808148384094238
285,0.0,-0.0029853582,7.20007586479187
286,5.9604645e-08,-0.0029853582,6.891747236251831
287,0.0,-0.0029853582,7.642590045928955
288,0.0,-0.0029853582,6.647098064422607
289,5.9604645e-08,-0.0029853582,7.3545660972595215
290,0.0,-0.0029853582,6.239272832870483
291,5.9604645e-08,-0.0029853582,7.435968399047852
292,-1.1920929e-07,-0.0029853582,7.248182773590088
293,0.0,-0.0029853582,7.655234336853027
294,0.0,-0.0029853582,6.490675926208496
295,0.0,-0.0029853582,7.089731454849243
296,-1.1920929e-07,-0.0029853582,6.490920066833496
297,0.0,-0.0029853582,7.868295907974243
298,-1.1920929e-07,-0.0029853582,7.1601667404174805
299,0.0,-0.0029853582,7.756025314331055
300,5.9604645e-08,-0.0029853582,6.6929590702056885
301,-1.1920929e-07,-0.0029853582,7.207418441772461
302,0.0,-0.0029853582,6.469998598098755
303,5.9604645e-08,-0.0029853582,7.677791118621826
304,0.0,-0.0029853582,6.678807258605957
305,0.0,-0.0029853582,7.5094077587127686
306,5.9604645e-08,-0.0029853582,6.3256919384002686
307,0.0,-0.0029853582,7.468549013137817
308,0.0,-0.0029853582,6.962120532989502
309,5.9604645e-08,-0.0029494762,6.877901077270508
310,0.0,-0.0029853582,6.527670383453369
311,0.0,-0.0029853582,7.090650796890259
312,-1.1920929e-07,-0.0029853582,7.230580568313599
313,0.0,-0.0029853582,6.79276180267334
314,-1.1920929e-07,-0.0029853582,6.728366851806641
315,0.0,-0.0029853582,7.080777645111084
316,0.0,-0.0029853582,7.236973762512207
317,0.0,-0.0029853582,7.002772569656372
318,-1.1920929e-07,-0.0029853582,7.585078001022339
319,0.0,-0.0029853582,6.823771238327026
320,0.0,-0.0029853582,7.174644947052002
321,0.0,-0.0029853582,6.593883037567139
322,-1.1920929e-07,-0.0029853582,7.352840185165405
323,-1.1920929e-07,-0.0029853582,6.409803152084351
324,0.0,-0.0029853582,7.461729049682617
325,0.0,-0.0029853582,6.159952878952026
326,0.0,-0.0029853582,16.575385093688965
327,-1.1920929e-07,-0.0029853582,7.9592812061309814
328,-1.1920929e-07,-0.0029853582,6.865875959396362
329,5.9604645e-08,-0.0029853582,7.1529381275177
330,0.0,-0.0029853582,6.450000047683716
331,-1.1920929e-07,-0.0029853582,8.140480756759644
332,0.0,-0.0029853582,6.565526247024536
333,0.0,-0.0029853582,8.031194925308228
334,5.9604645e-08,-0.0029853582,6.529552459716797
335,0.0,-0.0029853582,7.75315260887146
336,0.0,-0.0029853582,6.428189277648926
337,0.0,-0.0029853582,8.130931615829468
338,5.9604645e-08,-0.0029853582,6.513431072235107
339,0.0,-0.0029853582,7.323624134063721
340,0.0,-0.0029853582,7.186564683914185
341,5.9604645e-08,-0.0029853582,6.803833961486816
342,5.9604645e-08,-0.0029853582,7.762496709823608
343,0.0,-0.0029853582,6.80986475944519
344,0.0,-0.0029494762,8.028710126876831
345,0.0,-0.0029853582,6.831620693206787
346,0.0,-0.0029853582,8.145111799240112
347,-1.1920929e-07,-0.0029853582,6.666426658630371
348,0.0,-0.0029853582,7.462895154953003
349,5.9604645e-08,-0.0029853582,6.671935081481934
350,0.0,-0.0029853582,7.502930641174316
351,0.0,-0.0029853582,6.4691197872161865
352,-1.1920929e-07,-0.0029853582,7.048629283905029
353,-1.1920929e-07,-0.0029853582,7.336371183395386
354,0.0,-0.0029853582,6.736696481704712
355,0.0,-0.0029853582,7.452175140380859
356,5.9604645e-08,-0.0029853582,6.614909648895264
