iteration,max_fitness,time,test_accuracy
0,-1.3296349,0.0,-1.8357377
1,-1.3296349,1.2067406177520752,[-1.8357377]
2,-1.3296349,1.2412612438201904,[-1.8357377]
3,-1.3296349,1.2348804473876953,[-1.8357377]
4,-1.3296349,1.2229459285736084,[-1.8357377]
5,-1.3296349,1.2155966758728027,[-1.8357377]
6,-1.3296349,1.237534999847412,[-1.8357377]
7,-1.3296349,1.25569748878479,[-1.8357377]
8,-1.3296349,1.2343814373016357,[-1.8357377]
9,-1.3296349,1.219707727432251,[-1.8357377]
10,-1.3296349,1.2232558727264404,[-1.8357377]
11,-1.3296349,1.2493925094604492,[-1.8357377]
12,-1.3296349,3.692781925201416,[-1.8357377]
13,-1.3296349,1.2128791809082031,[-1.8357377]
14,-1.3296349,1.2121882438659668,[-1.8357377]
15,-1.3296349,1.173011302947998,[-1.8357377]
16,-1.3296349,1.2103462219238281,[-1.8357377]
17,-1.3296349,1.192911148071289,[-1.8357377]
18,-1.3296349,1.1824185848236084,[-1.8357377]
19,-1.3296349,1.1915135383605957,[-1.8357377]
20,-1.3296349,1.204942226409912,[-1.8357377]
21,-1.3296349,1.1810779571533203,[-1.8357377]
22,-1.3296349,1.1920077800750732,[-1.8357377]
23,-1.3296349,1.2045881748199463,[-1.8357377]
24,-1.3296349,1.1913044452667236,[-1.8357377]
25,-1.3296349,1.1912472248077393,[-1.8357377]
26,-1.3296349,1.2329282760620117,[-1.8357377]
27,-1.3296349,1.2406697273254395,[-1.8357377]
28,-1.3296349,1.1934177875518799,[-1.8357377]
29,-1.3296349,1.209249496459961,[-1.8357377]
30,-1.3296349,1.211188793182373,[-1.8357377]
31,-1.3296349,1.2080905437469482,[-1.8357377]
32,-1.3296349,1.1597270965576172,[-1.8357377]
33,-1.3296349,1.1486420631408691,[-1.8357377]
34,-0.20555484,1.1880817413330078,[-0.3705666]
35,-0.20555484,1.2228879928588867,[-0.3705666]
36,-0.17823899,1.2003915309906006,[-0.32559323]
37,-0.0038781166,1.2022931575775146,[-0.01707816]
38,-0.0038781166,1.2256693840026855,[-0.01707816]
39,-0.0038781166,1.1987552642822266,[-0.01707816]
40,-0.0038781166,1.1895380020141602,[-0.01707816]
41,-0.0038781166,1.1990759372711182,[-0.01707816]
42,-0.0038781166,1.2300446033477783,[-0.01707816]
43,-0.0038781166,1.2052924633026123,[-0.01707816]
44,-0.0038781166,1.1902179718017578,[-0.01707816]
45,-0.0038781166,1.214643955230713,[-0.01707816]
46,-0.0038781166,1.201904296875,[-0.01707816]
47,-0.0038781166,1.1904454231262207,[-0.01707816]
48,-0.0038781166,1.1935105323791504,[-0.01707816]
49,-0.0038781166,1.2193117141723633,[-0.01707816]
