iteration,max_fitness,time,test_accuracy
0,-0.002317071,0.0,-0.00058591366
1,-1.0728836e-06,12.969504833221436,[-0.00432658]
2,-1.0728836e-06,9.839213848114014,[-0.00432658]
3,-1.0728836e-06,9.789390087127686,[-0.00432658]
4,-1.0728836e-06,9.935853004455566,[-0.00432658]
5,-1.0728836e-06,9.93686580657959,[-0.00432658]
6,-1.0728836e-06,10.55782175064087,[-0.00432658]
7,-1.0728836e-06,10.344714879989624,[-0.00432658]
8,-1.0728836e-06,10.024921894073486,[-0.00432658]
9,-1.0728836e-06,10.493242025375366,[-0.00432658]
10,-1.0728836e-06,10.048819065093994,[-0.00432658]
11,-1.1920929e-07,10.203479528427124,[-0.00418329]
12,-1.1920929e-07,10.164162874221802,[-0.00418329]
13,-1.1920929e-07,10.263302087783813,[-0.00418329]
14,-1.1920929e-07,10.138769388198853,[-0.00418329]
15,-1.1920929e-07,10.149904012680054,[-0.00418329]
16,-1.1920929e-07,9.931899070739746,[-0.00418329]
17,-1.1920929e-07,10.253480195999146,[-0.00418329]
18,-1.1920929e-07,10.395142078399658,[-0.00418329]
19,-1.1920929e-07,9.968183279037476,[-0.00418329]
20,-1.1920929e-07,10.383020877838135,[-0.00418329]
21,-1.1920929e-07,9.84490180015564,[-0.00418329]
22,-1.1920929e-07,9.661180019378662,[-0.00418329]
23,-1.1920929e-07,10.493692398071289,[-0.00418329]
24,-1.1920929e-07,9.95887279510498,[-0.00418329]
25,-1.1920929e-07,10.158562183380127,[-0.00418329]
26,-1.1920929e-07,10.239815950393677,[-0.00418329]
27,-1.1920929e-07,9.856725931167603,[-0.00418329]
28,-1.1920929e-07,10.677748918533325,[-0.00418329]
29,-1.1920929e-07,10.225187063217163,[-0.00418329]
30,-1.1920929e-07,9.954512119293213,[-0.00418329]
31,-1.1920929e-07,10.400014162063599,[-0.00418329]
32,-1.1920929e-07,9.993975639343262,[-0.00418329]
33,-1.1920929e-07,10.351468801498413,[-0.00418329]
34,-1.1920929e-07,10.076976537704468,[-0.00418329]
35,-1.1920929e-07,10.23336386680603,[-0.00418329]
36,-1.1920929e-07,10.283727407455444,[-0.00418329]
37,-1.1920929e-07,9.856247186660767,[-0.00418329]
38,-1.1920929e-07,9.760922193527222,[-0.00418329]
39,-1.1920929e-07,10.279694557189941,[-0.00418329]
40,-1.1920929e-07,10.090065479278564,[-0.00418329]
41,-1.1920929e-07,10.025854110717773,[-0.00418329]
42,-1.1920929e-07,10.609766244888306,[-0.00418329]
43,-1.1920929e-07,9.93603801727295,[-0.00418329]
44,-1.1920929e-07,10.06413459777832,[-0.00418329]
45,-1.1920929e-07,10.4193274974823,[-0.00418329]
46,-1.1920929e-07,10.031328678131104,[-0.00418329]
47,-1.1920929e-07,10.454105854034424,[-0.00418329]
48,-1.1920929e-07,10.607911348342896,[-0.00418329]
49,-1.1920929e-07,10.036688327789307,[-0.00418329]
50,-1.1920929e-07,10.490128993988037,[-0.00418329]
51,-1.1920929e-07,10.460629940032959,[-0.00418329]
52,-1.1920929e-07,9.917232751846313,[-0.00418329]
53,-1.1920929e-07,10.286063194274902,[-0.00418329]
54,-1.1920929e-07,10.148749113082886,[-0.00418329]
55,-1.1920929e-07,10.117703676223755,[-0.00418329]
56,-1.1920929e-07,10.120115518569946,[-0.00418329]
57,-1.1920929e-07,9.964202165603638,[-0.00418329]
58,-1.1920929e-07,10.254507541656494,[-0.00418329]
59,-1.1920929e-07,10.797430038452148,[-0.00418329]
60,-1.1920929e-07,9.851621150970459,[-0.00418329]
61,-1.1920929e-07,10.119253873825073,[-0.00418329]
