iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5
0,0.0025006533,0.0,3.059704,38.21785,5.225649,0.6587563,2.3686152,17.800417
1,0.0025007725,7.176108360290527,3.059704,38.21785,5.225649,0.6587563,2.3686152,17.800417
2,0.0025004745,6.800947904586792,3.059704,38.21785,5.225649,0.6587563,2.3686152,17.800417
3,0.002500534,6.750463247299194,3.059704,38.21785,5.225649,0.6587563,2.3686152,17.800417
4,0.0025002956,6.787547588348389,3.0597043,38.21785,5.225651,0.6587567,2.368615,17.800417
5,0.002500534,6.875574827194214,3.0597043,38.21785,5.225651,0.6587567,2.368615,17.800417
6,0.002500534,6.8056960105896,3.0597043,38.21785,5.225651,0.6587567,2.368615,17.800417
7,0.002500832,6.8388354778289795,3.0597043,38.21785,5.225651,0.6587567,2.368615,17.800417
8,0.002500534,6.7363975048065186,3.0597043,38.21785,5.225651,0.6587567,2.368615,17.800417
9,0.0025006533,6.850111246109009,3.0597043,38.21785,5.225651,0.6587567,2.368615,17.800417
10,0.0025004745,6.798063278198242,3.0597043,38.21785,5.225651,0.6587567,2.368615,17.800417
11,0.0025006533,6.833135604858398,3.0597043,38.21785,5.225651,0.6587567,2.368615,17.800417
12,0.0025004745,6.829974174499512,3.0597043,38.21785,5.225651,0.6587567,2.368615,17.800417
13,0.002500534,6.810030937194824,3.0597043,38.21785,5.225651,0.6587567,2.368615,17.800417
14,0.002500534,6.715014934539795,3.0597043,38.21785,5.225651,0.6587567,2.368615,17.800417
15,0.0025002956,6.851531744003296,3.0597043,38.21785,5.225651,0.6587567,2.368615,17.800417
16,0.0025006533,6.621077537536621,3.0597043,38.21785,5.225651,0.6587567,2.368615,17.800417
17,0.0031415224,6.763368844985962,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
18,0.0031413436,6.952764272689819,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
19,0.0031412244,6.752397298812866,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
20,0.003141582,6.789746284484863,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
21,0.0031415224,6.774028778076172,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
22,0.0031415224,6.765129089355469,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
23,0.0031412244,6.724054574966431,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
24,0.0031412244,6.883859157562256,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
25,0.0031414032,6.814155101776123,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
26,0.0031415224,6.8255157470703125,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
27,0.0031414032,6.819396734237671,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
28,0.0031415224,6.992884159088135,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
29,0.0031415224,6.64955997467041,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
30,0.0031413436,6.652779579162598,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
31,0.003141582,6.731525659561157,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
32,0.0031415224,6.788601636886597,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
33,0.0031413436,6.700375318527222,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
34,0.0031412244,6.773577928543091,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
35,0.0031414032,6.787174940109253,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
36,0.0031412244,6.7063775062561035,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
37,0.0031415224,6.983621120452881,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
38,0.0031413436,6.952176332473755,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
39,0.0031415224,6.602704048156738,3.1366582,38.629944,5.145234,0.63719594,2.35661,17.984568
