iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7
0,0.025042832,0.0,1.7043483,176.40755,1.778906,1.1959553,0.29303893,8.860101,1.708543,1.2145295
1,0.024314642,9.140846729278564,1.7043483,176.40755,1.778906,1.1959553,0.29303893,8.860101,1.708543,1.2145295
2,0.041462123,9.11366868019104,1.7043483,176.40755,1.778906,1.1959553,0.29303893,8.860101,1.708543,1.2145295
3,0.028787315,9.109422445297241,1.7041831,176.28738,1.7790751,1.1958376,0.2930402,8.863276,1.7082564,1.2149222
4,0.025431693,9.066082239151001,1.4998436,207.47517,1.5665203,0.38261953,1.258291,10.733616,1.2819835,2.2848132
5,0.037823737,9.024550199508667,1.5003269,207.53644,1.5672059,0.3826766,1.2590954,10.733538,1.2819976,2.2847488
6,0.039717495,10.857224464416504,1.7043052,176.94067,1.7787164,1.1959157,0.29286975,8.867814,1.7085172,1.2148999
7,0.03666091,8.969104528427124,1.4996752,207.39792,1.5668172,0.38267854,1.258436,10.720827,1.2819982,2.2830205
8,0.034813464,9.2783682346344,1.7049317,176.5776,1.7795062,1.1960417,0.2930538,8.866755,1.7085192,1.2149395
9,0.03694898,9.2018404006958,1.7043831,176.88426,1.7788746,1.1957247,0.2929975,8.867671,1.7085404,1.2149413
10,0.033073604,9.293449401855469,1.7040217,176.65862,1.7784622,1.1952411,0.29300925,8.8641815,1.7061166,1.2149402
11,0.032725155,8.981694459915161,1.7022998,176.9143,1.7763695,1.1940001,0.29276532,8.866193,1.7057906,1.2124131
12,0.04102993,8.949627161026001,1.6957072,176.93187,1.7695101,1.1945008,0.290724,8.840512,1.7080109,1.2087798
13,0.030499816,9.046663522720337,1.7046052,176.98802,1.7790494,1.1960974,0.292984,8.864161,1.7084886,1.2138686
14,0.028925776,9.15314531326294,1.7042952,176.99588,1.7787626,1.1960902,0.2926689,8.861947,1.707979,1.2135057
15,0.04126239,9.199340343475342,1.7049009,176.80083,1.7793685,1.1961011,0.2929714,8.86415,1.7085503,1.2145633
16,0.03856635,9.149311065673828,1.7048215,176.8748,1.7792964,1.1961,0.29292753,8.865171,1.7082912,1.2137747
17,0.032511294,8.895007133483887,1.7049273,176.21393,1.7794971,1.1960006,0.2929617,8.850718,1.708566,1.2138991
18,0.04301846,9.246381521224976,1.7048043,176.96617,1.7793062,1.1957551,0.2930578,8.866853,1.7083441,1.2146842
19,0.03912157,9.051762580871582,1.703157,176.38554,1.7779486,1.194653,0.29305798,8.853468,1.7077854,1.2147824
20,0.042018473,9.042363405227661,1.70459,176.40825,1.7791746,1.1961012,0.2929816,8.858633,1.7078884,1.2148176
21,0.040380895,9.421133756637573,1.7047573,172.72513,1.7792032,1.1949733,0.29305422,8.84831,1.7081983,1.21484
22,0.034169257,9.317028522491455,1.7047089,176.99174,1.7794288,1.1960635,0.29303047,8.863154,1.7085184,1.214934
23,0.026487708,9.254006147384644,1.704864,176.80447,1.7791368,1.1960915,0.2929047,8.867235,1.708551,1.2125465
24,0.044091105,9.226670026779175,1.7047453,176.23004,1.7793802,1.1960938,0.29305774,8.847807,1.7085674,1.2145303
25,0.037600696,8.99247932434082,1.7048846,176.89362,1.7795036,1.1960592,0.293052,8.867166,1.7075667,1.2144008
26,0.040923834,9.211235523223877,1.7046175,175.44287,1.77932,1.1960216,0.29303455,8.847517,1.7075217,1.2147042
27,0.035431087,9.270309925079346,1.7049217,176.60594,1.7795007,1.1960878,0.2930537,8.8617735,1.708538,1.2149429
28,0.029592812,9.435288429260254,1.7048008,176.52838,1.7794203,1.1959374,0.2930428,8.837799,1.7079203,1.2147913
29,0.03033036,9.11998176574707,1.7048217,176.55319,1.7793044,1.19549,0.29305574,8.86683,1.7072666,1.2149435
30,0.033523798,9.285374879837036,1.7042401,176.86058,1.778562,1.1957332,0.29295826,8.854695,1.7085632,1.214789
31,0.035144508,9.41796875,1.7048861,176.88364,1.7794542,1.1958967,0.2930563,8.866126,1.7082958,1.2148443
32,0.040617347,9.268738031387329,1.7048863,176.32391,1.7794837,1.196054,0.29305702,8.860015,1.7085024,1.2149404
33,0.042590022,9.289605379104614,1.7049135,176.8454,1.7794704,1.1951147,0.29298654,8.858433,1.7079705,1.2142982
34,0.031204581,9.23534631729126,1.7030119,176.98428,1.7775278,1.1953114,0.29278988,8.858083,1.706702,1.213721
35,0.038395345,9.539037466049194,1.7048873,172.67346,1.7795079,1.1960536,0.29305503,8.861837,1.7084099,1.214925
36,0.036293745,9.014423370361328,1.7047478,176.92987,1.7792656,1.1960572,0.29301977,8.8570795,1.7081645,1.2149293
37,0.025834858,9.08764934539795,1.7046924,173.20059,1.7792435,1.1956607,0.29305542,8.86782,1.706758,1.2143502
38,0.03915298,8.931250095367432,1.7048514,176.80042,1.7794192,1.1952211,0.29300568,8.858939,1.7082397,1.2138875
39,0.038978457,11.16763710975647,1.703844,176.91124,1.7782893,1.1956658,0.29301986,8.85421,1.7081995,1.2149098
40,0.024461865,9.028297901153564,1.7049309,173.96559,1.7794367,1.1955435,0.2930572,8.865654,1.7067556,1.214268
41,0.0321967,9.206758260726929,1.704827,171.98999,1.7794424,1.1958684,0.29304552,8.863781,1.7077541,1.2149374
42,0.03209102,9.135957717895508,1.7043356,173.02391,1.7786361,1.1950297,0.29302856,8.862297,1.7082533,1.2146692
43,0.042965412,9.211399555206299,1.7042391,171.19435,1.778759,1.1959287,0.29286098,8.863763,1.7075506,1.2137932
44,0.026835203,9.222043752670288,1.7032895,176.47813,1.7777611,1.1954067,0.29261968,8.867777,1.707983,1.2134442
45,0.036926627,9.380107402801514,1.7048706,176.7951,1.7794446,1.195641,0.29305312,8.858984,1.7082411,1.2149003
46,0.042522013,9.313977003097534,1.7045724,176.99306,1.7787938,1.1955749,0.29298368,8.867812,1.7063562,1.2146903
47,0.039646506,9.281221866607666,1.7048229,176.29124,1.7792063,1.194595,0.29302216,8.860942,1.7057656,1.2145118
48,0.031300247,9.227803945541382,1.7049114,176.82547,1.7795064,1.1958953,0.29304224,8.866642,1.7084284,1.2143613
49,0.039480746,9.299375534057617,1.7021056,171.26846,1.7770512,1.1957952,0.29237697,8.8390255,1.7085044,1.2123383
50,0.03028822,9.257349729537964,1.704892,176.88533,1.7794068,1.1957705,0.2930348,8.859986,1.7082534,1.2145149
51,0.0300892,9.47444772720337,1.7047576,176.9718,1.7792692,1.1959437,0.2930408,8.867647,1.7076623,1.2148112
52,0.030646265,9.243915557861328,1.7046869,176.99226,1.7788968,1.1953733,0.2930553,8.867776,1.7068666,1.2148508
53,0.034857273,9.27643370628357,1.704842,176.80428,1.7793791,1.1958696,0.29305786,8.857691,1.7084566,1.2148732
54,0.036959648,9.321340560913086,1.704676,176.50714,1.7793367,1.1959724,0.29305777,8.863003,1.7084633,1.2148883
55,0.032586038,9.34706974029541,1.7040485,176.92903,1.7781193,1.1959584,0.29260865,8.867777,1.7081426,1.2125906
56,0.042858124,9.049492597579956,1.704932,176.93892,1.7795041,1.1960928,0.293057,8.856534,1.7083269,1.2149372
57,0.03705561,9.190834522247314,1.7041987,172.93243,1.778534,1.1960258,0.29252926,8.862547,1.7085572,1.2124429
58,0.039756,9.340927839279175,1.7048886,176.43532,1.7793154,1.195902,0.2930419,8.860005,1.7082222,1.2141081
59,0.031302094,9.524232387542725,1.7034214,176.80307,1.7774887,1.1959716,0.292582,8.850433,1.7084887,1.2128736
60,0.03866136,9.175877571105957,1.7047411,176.68352,1.7793192,1.1961017,0.2930115,8.853741,1.7080429,1.2149235
61,0.030996084,9.239691734313965,1.7044629,176.87318,1.7788415,1.1957762,0.29296046,8.866693,1.7082295,1.2149422
62,0.026943922,9.274393081665039,1.7047302,176.8195,1.7794591,1.1961001,0.2930378,8.867718,1.7084446,1.2149369
63,0.03360623,9.257347822189331,1.704647,171.59805,1.7793229,1.1960706,0.29302984,8.865787,1.708566,1.2148705
64,0.04447627,9.502495527267456,1.7045472,174.14479,1.7789341,1.1961005,0.2927237,8.864573,1.7083007,1.2126129
65,0.03694564,8.983946084976196,1.7030452,176.99208,1.7779039,1.1956761,0.29284507,8.866735,1.7085305,1.214321
66,0.032274604,9.137845277786255,1.7049115,172.21645,1.7794962,1.1960884,0.29300773,8.865824,1.7084637,1.2144269
67,0.034325242,9.352661848068237,1.7042503,176.8087,1.7786144,1.1957388,0.29295066,8.867533,1.70848,1.2145057
68,0.04001546,9.23519229888916,1.7042917,176.94495,1.7789114,1.1952791,0.29303375,8.858798,1.7082969,1.2148045
