iteration,max_fitness,time,test_accuracy
0,-18.68969,0.0,-32.3465
1,-10.697592,13.972245216369629,[-18.196064]
2,-0.9562861,14.048514604568481,[-2.1863468]
3,0.7715354,14.149571895599365,[0.64087504]
4,0.7715354,13.97866415977478,[0.64087504]
5,0.7715354,14.011353015899658,[0.64087504]
6,0.7715354,14.116088628768921,[0.64087504]
7,0.7715354,14.005422353744507,[0.64087504]
8,0.7715354,14.09459376335144,[0.64087504]
9,0.7715354,13.992863893508911,[0.64087504]
10,0.7715354,14.102677583694458,[0.64087504]
11,0.7715354,14.118098497390747,[0.64087504]
12,0.7715354,13.975199937820435,[0.64087504]
13,0.7715354,13.894351482391357,[0.64087504]
14,0.7715354,14.037528991699219,[0.64087504]
15,0.7715354,14.154828786849976,[0.64087504]
16,0.7715354,14.158493757247925,[0.64087504]
17,0.7715354,13.823136329650879,[0.64087504]
18,0.7715354,14.118548393249512,[0.64087504]
19,0.7715354,13.797390937805176,[0.64087504]
20,0.77551055,14.19177794456482,[0.6322239]
21,0.8306358,14.060476303100586,[0.6825243]
22,0.9604147,13.942786693572998,[0.81453013]
23,0.96092737,13.763428211212158,[0.7680495]
24,0.9612486,14.188498497009277,[0.7906389]
25,0.9612486,13.96652364730835,[0.7906389]
26,0.9612516,14.039408683776855,[0.783117]
27,0.9612516,14.016268491744995,[0.783117]
28,0.96133065,21.906153202056885,[0.78639656]
29,0.96133065,14.158673763275146,[0.78639656]
30,0.96133065,13.887260437011719,[0.78639656]
31,0.9613702,13.723850011825562,[0.7806511]
32,0.9613872,13.960102558135986,[0.78028005]
33,0.96153027,14.065014123916626,[0.78470564]
34,0.96153027,14.067944288253784,[0.78470564]
35,0.9615988,14.183991432189941,[0.7923416]
36,0.96168554,14.163140535354614,[0.79014874]
37,0.96168554,13.982516050338745,[0.79014874]
38,0.96168554,14.174771785736084,[0.79014874]
39,0.9617148,13.92390251159668,[0.79286575]
40,0.9617148,14.034407138824463,[0.79286575]
41,0.9618165,14.029849290847778,[0.7874557]
42,0.9618165,13.819049835205078,[0.7874557]
43,0.96296895,13.896204948425293,[0.7728509]
44,0.96323156,14.084628820419312,[0.79931784]
45,0.96323156,13.784356355667114,[0.79931784]
46,0.9633233,13.760221242904663,[0.7834005]
47,0.9633233,13.973027229309082,[0.7834005]
48,0.9633323,14.04130506515503,[0.7857517]
49,0.96338373,14.052581548690796,[0.7928283]
50,0.96338373,14.105391263961792,[0.7928283]
51,0.96340865,13.981405973434448,[0.78550607]
52,0.96340865,13.995991945266724,[0.78550607]
53,0.96340865,14.022018432617188,[0.78550607]
54,0.96340865,14.014488220214844,[0.78550607]
55,0.96340865,14.018390893936157,[0.78550607]
56,0.96340865,14.13595962524414,[0.78550607]
57,0.96340865,14.063809871673584,[0.78550607]
58,0.96340865,14.041660070419312,[0.78550607]
59,0.96340865,14.006052255630493,[0.78550607]
60,0.96340865,13.870221853256226,[0.78550607]
61,0.96340865,13.965840101242065,[0.78550607]
62,0.96340865,13.960941553115845,[0.78550607]
63,0.9634305,14.110959529876709,[0.79076433]
64,0.9634672,14.221670150756836,[0.7982472]
65,0.96355486,14.161290168762207,[0.7913359]
66,0.96355486,14.012544870376587,[0.7913359]
67,0.9636298,14.240124940872192,[0.7860111]
68,0.96389914,14.002870321273804,[0.7858983]
69,0.96389914,14.021552801132202,[0.7858983]
70,0.9639807,14.201876640319824,[0.79096246]
71,0.964044,14.154603242874146,[0.78368545]
72,0.964044,13.948851346969604,[0.78368545]
73,0.964044,13.84584379196167,[0.78368545]
74,0.9640819,14.215506315231323,[0.77720016]
75,0.9640819,14.090825319290161,[0.77720016]
76,0.9641673,14.04429578781128,[0.785254]
77,0.9642342,14.076398611068726,[0.78202486]
78,0.9643157,14.085232496261597,[0.78145504]
79,0.9643157,14.055830001831055,[0.78145504]
80,0.96436405,13.926103353500366,[0.7862545]
81,0.9643784,14.23869013786316,[0.78178996]
82,0.9643784,13.824914693832397,[0.78178996]
83,0.9643784,14.15560269355774,[0.78178996]
84,0.9643784,14.20765733718872,[0.78178996]
85,0.9643784,14.052150249481201,[0.78178996]
86,0.9645042,14.023323059082031,[0.7894134]
87,0.9645042,14.173624992370605,[0.7894134]
88,0.9645042,14.091836929321289,[0.7894134]
89,0.9645129,13.944419860839844,[0.78688395]
90,0.9645129,14.116770267486572,[0.78688395]
91,0.9645129,14.100284337997437,[0.78688395]
92,0.9645131,14.101112842559814,[0.7867128]
93,0.96452135,14.044532775878906,[0.7902014]
94,0.96452135,14.119268894195557,[0.7902014]
95,0.96452135,13.865625858306885,[0.7902014]
96,0.9646283,14.128914594650269,[0.78101313]
97,0.964851,13.931726932525635,[0.7823793]
98,0.964851,14.232282638549805,[0.7823793]
99,0.9648546,14.131500720977783,[0.78890693]
100,0.9648546,14.086742162704468,[0.78890693]
101,0.96492505,13.861835241317749,[0.78294855]
102,0.9649257,13.905941724777222,[0.78364325]
103,0.96497136,14.121288776397705,[0.7865473]
104,0.96497136,14.174095153808594,[0.7865473]
105,0.9649994,14.108206987380981,[0.7890309]
106,0.9650165,14.072995901107788,[0.7845501]
107,0.9650165,14.038273572921753,[0.7845501]
108,0.96501756,13.947861194610596,[0.7836755]
109,0.96501756,14.192074298858643,[0.7836755]
110,0.96501756,14.245008707046509,[0.7836755]
111,0.96501756,14.133177757263184,[0.7836755]
112,0.96501756,14.230638265609741,[0.7836755]
113,0.96501756,14.229584455490112,[0.7836755]
114,0.96501756,14.155121088027954,[0.7836755]
115,0.96501756,13.955041646957397,[0.7836755]
116,0.96501756,13.81728458404541,[0.7836755]
117,0.96502155,14.10317611694336,[0.77804726]
118,0.96502155,14.311049222946167,[0.77804726]
119,0.9651816,13.878288269042969,[0.7684964]
120,0.9654045,22.425092697143555,[0.7895383]
121,0.9654322,14.043837785720825,[0.7739948]
122,0.9658795,14.133391857147217,[0.77814096]
123,0.96903324,13.852577209472656,[0.79517305]
124,0.96971536,14.075033187866211,[0.77574104]
125,0.97065985,14.030821561813354,[0.7886057]
126,0.9720969,14.20212459564209,[0.80780846]
127,0.97396153,14.215855836868286,[0.81999356]
128,0.9757701,13.98024582862854,[0.80007005]
129,0.9779964,14.064353942871094,[0.8208203]
130,0.9790426,14.087807893753052,[0.85851645]
131,0.9798831,14.156450510025024,[0.853742]
132,0.9805469,14.048749685287476,[0.84552515]
133,0.98065215,14.06938123703003,[0.85376656]
134,0.980786,14.172430038452148,[0.8556926]
135,0.980786,13.935250043869019,[0.8556926]
136,0.980786,13.978600263595581,[0.8556926]
137,0.980786,14.217260599136353,[0.8556926]
