iteration,max_fitness,time,test_accuracy
0,-0.6658666,0.0,-2.4338305
1,-0.6086465,10.602392673492432,[-2.430274]
2,-0.5158428,18.66095209121704,[-1.8546584]
3,-0.14404929,10.819826126098633,[-1.4158201]
4,0.054315448,10.829451560974121,[-1.9269724]
5,0.3058892,10.676858186721802,[-0.53270185]
6,0.3058892,10.670190811157227,[-0.53270185]
7,0.31916028,10.638587474822998,[-0.48748803]
8,0.42759442,10.564974308013916,[-0.34248304]
9,0.42759442,10.55046272277832,[-0.34248304]
10,0.42759442,10.580256462097168,[-0.34248304]
11,0.44545275,10.65049934387207,[-0.83500826]
12,0.44545275,10.723115921020508,[-0.83500826]
13,0.44545275,10.870882511138916,[-0.83500826]
14,0.44545275,10.819694757461548,[-0.83500826]
15,0.44545275,10.698840379714966,[-0.83500826]
16,0.44545275,10.626581192016602,[-0.83500826]
17,0.44545275,10.706364393234253,[-0.83500826]
18,0.44545275,10.64780879020691,[-0.83500826]
19,0.44920248,10.818290948867798,[-0.75123847]
20,0.45574337,10.783390998840332,[-0.6520364]
21,0.48499495,10.76624083518982,[-0.73145556]
22,0.48499495,10.79427433013916,[-0.73145556]
23,0.49062282,10.861095905303955,[-0.686746]
24,0.50859964,10.671971321105957,[-0.5576687]
25,0.5445625,10.738870620727539,[0.11448503]
26,0.57736504,10.798607587814331,[-0.25000572]
27,0.5800849,10.653846740722656,[-0.3687098]
28,0.59975755,10.71688985824585,[-0.14575016]
29,0.59975755,10.665222644805908,[-0.14575016]
30,0.6049322,10.758531093597412,[-0.05515385]
31,0.6111293,10.65964961051941,[0.08279514]
32,0.6209255,10.646100044250488,[-0.00672543]
33,0.62728035,10.628718614578247,[0.03512377]
34,0.62728035,10.793157815933228,[0.03512377]
35,0.69232273,10.811648845672607,[0.2302292]
36,0.7826414,10.720224142074585,[0.67045146]
37,0.81292844,10.640328168869019,[0.81483644]
38,0.8310391,10.896737575531006,[0.884782]
39,0.8670021,10.818423509597778,[0.88846475]
40,0.8809074,10.887132406234741,[0.8747959]
41,0.8973609,10.893757104873657,[0.8182124]
42,0.89924115,10.742762088775635,[0.74102724]
43,0.89924115,10.72111177444458,[0.74102724]
44,0.90263987,10.849107027053833,[0.4089077]
45,0.90597165,10.602267503738403,[0.46872157]
46,0.90597165,10.787529230117798,[0.46872157]
47,0.90597165,10.6087064743042,[0.46872157]
48,0.9065289,10.567674398422241,[0.48050714]
