iteration,max_fitness,test_accuracy,time
0.0,-91.21147,-89.89865,0.0
1,-90.79589,-88.230095,1.3443903923034668
2,-78.538574,-82.39899,1.1870415210723877
3,-67.59906,-69.34124,1.199796199798584
4,-17.949677,-19.23322,1.1348555088043213
5,-17.723404,-19.23322,1.0892302989959717
6,-4.839404,-6.636604,1.133702039718628
7,-1.918534,-3.2290406,1.1629655361175537
8,-1.7536213,-2.8649342,1.2249376773834229
9,-1.7280545,-2.8649342,1.142226219177246
10,-1.7049909,-2.8649342,1.1313645839691162
11,-1.3876646,-2.0850954,1.1006288528442383
12,-1.3713443,-2.0850954,1.1286299228668213
13,-1.2850904,-2.0850954,1.1623706817626953
14,-1.3593726,-2.0850954,1.2154242992401123
15,-1.3477187,-2.0850954,1.0540711879730225
16,-1.3300798,-1.9356301,1.0451452732086182
17,-1.016989,-1.7448657,1.0682311058044434
18,-1.0145745,-1.7448657,1.1377830505371094
19,-0.9690635,-1.7448657,1.164386510848999
20,-0.37699294,-0.91339624,1.1995201110839844
21,-0.3726524,-0.91339624,1.1171798706054688
22,-0.23858356,-0.010343313,1.0961158275604248
23,-0.26830387,-0.010343313,1.1447598934173584
24,-0.2581588,-0.010343313,1.262183427810669
25,-0.26218748,-0.010343313,1.139249563217163
26,-0.24772573,-0.010343313,1.168764591217041
27,-0.256729,-0.010343313,1.1044363975524902
28,-0.26117158,-0.010343313,1.1112830638885498
29,-0.25600445,-0.010343313,1.1750659942626953
30,-0.24948609,-0.010343313,1.2205333709716797
31,-0.25002456,-0.010343313,1.149153470993042
32,-0.25679016,-0.010343313,1.0817291736602783
33,-0.2652676,-0.7594441,1.1324691772460938
34,-0.2501104,-0.010343313,1.2472858428955078
35,-0.25598764,-0.010343313,1.1703617572784424
36,-0.2676425,-0.010343313,1.1250970363616943
37,-0.25993145,-0.010343313,1.1780972480773926
38,-0.26035595,-0.7594441,1.0954828262329102
39,-0.24864388,-0.010343313,1.0699703693389893
40,-0.25677562,-0.010343313,1.1866729259490967
41,-0.2422545,-0.010343313,1.1279487609863281
42,-0.25536513,-0.010343313,1.202915906906128
43,-0.26638353,-0.7594441,1.1285974979400635
