iteration,max_fitness,time,test_accuracy
0,-113.61816,0.0,-124.9008
1,-113.61816,1.207237958908081,[-124.9008]
2,-113.61816,1.2207956314086914,[-124.9008]
3,-90.883995,3.5173351764678955,[-101.91091]
4,-90.883995,1.1910333633422852,[-101.91091]
5,-90.883995,1.1605842113494873,[-101.91091]
6,-90.883995,1.1787753105163574,[-101.91091]
7,-84.18128,1.204207420349121,[-82.30644]
8,-75.831955,1.1751000881195068,[-74.142654]
9,-68.256065,1.2060785293579102,[-47.110283]
10,-67.23824,1.2035157680511475,[-46.64385]
11,-61.566204,1.1896069049835205,[-48.09785]
12,-61.566204,1.162013053894043,[-48.09785]
13,-61.566204,1.182931661605835,[-48.09785]
14,-60.11467,1.1621308326721191,[-47.44897]
15,-60.11467,1.175748348236084,[-47.44897]
16,-54.13876,1.1671853065490723,[-40.719444]
17,-54.13876,1.14591383934021,[-40.719444]
18,-54.13876,1.1410741806030273,[-40.719444]
19,-54.13876,1.1810176372528076,[-40.719444]
20,-53.70731,1.1396429538726807,[-41.28826]
21,-51.97223,1.1368441581726074,[-43.606873]
22,-49.004303,1.149714708328247,[-38.838795]
23,-49.004303,1.1785080432891846,[-38.838795]
24,-49.004303,1.1574585437774658,[-38.838795]
25,-49.004303,1.1530814170837402,[-38.838795]
26,-49.004303,1.1966590881347656,[-38.838795]
27,-48.58052,1.1681263446807861,[-39.854996]
28,-48.58052,1.1538043022155762,[-39.854996]
29,-46.55854,1.1524364948272705,[-37.954937]
30,-46.55854,1.1925480365753174,[-37.954937]
31,-45.7495,1.177001714706421,[-33.65688]
32,-45.7495,1.1578385829925537,[-33.65688]
33,-45.7495,1.1659703254699707,[-33.65688]
34,-45.7495,1.1443507671356201,[-33.65688]
35,-44.289967,1.1466178894042969,[-30.267336]
36,-44.289967,1.1567449569702148,[-30.267336]
37,-44.289967,1.173736333847046,[-30.267336]
38,-40.885815,1.1803812980651855,[-28.765257]
39,-40.885815,1.1941144466400146,[-28.765257]
40,-40.885815,1.1891601085662842,[-28.765257]
41,-40.885815,1.1879336833953857,[-28.765257]
42,-38.53024,1.156132459640503,[-29.009026]
43,-37.708027,1.1544761657714844,[-29.835405]
44,-37.708027,1.1576251983642578,[-29.835405]
45,-37.708027,1.145632028579712,[-29.835405]
46,-36.639248,1.1680567264556885,[-28.761082]
47,-36.639248,1.1640660762786865,[-28.761082]
48,-36.07169,1.157700777053833,[-27.095955]
49,-36.07169,1.1273367404937744,[-27.095955]
50,-35.321377,1.1412560939788818,[-30.046946]
51,-34.8805,1.137272596359253,[-29.64387]
52,-34.8805,1.1341419219970703,[-29.64387]
53,-34.8805,1.1692886352539062,[-29.64387]
54,-34.8805,1.1585466861724854,[-29.64387]
55,-34.8805,1.1446106433868408,[-29.64387]
56,-34.8805,1.1703758239746094,[-29.64387]
57,-34.8805,1.1364760398864746,[-29.64387]
58,-34.8805,1.1532320976257324,[-29.64387]
59,-34.8805,1.1380743980407715,[-29.64387]
60,-34.39748,1.1817431449890137,[-28.328777]
61,-34.39748,1.1738345623016357,[-28.328777]
62,-34.39748,1.0989439487457275,[-28.328777]
63,-34.319424,1.1197099685668945,[-28.441088]
64,-34.319424,1.1373095512390137,[-28.441088]
65,-34.319424,1.1329467296600342,[-28.441088]
66,-34.319424,1.148341417312622,[-28.441088]
67,-34.319424,1.1628813743591309,[-28.441088]
68,-34.319424,1.1537411212921143,[-28.441088]
69,-34.319424,1.1288089752197266,[-28.441088]
70,-34.319424,1.1464200019836426,[-28.441088]
71,-34.319424,1.1421983242034912,[-28.441088]
72,-34.319424,1.1681630611419678,[-28.441088]
73,-34.319424,1.1610944271087646,[-28.441088]
74,-34.319424,1.1694505214691162,[-28.441088]
75,-34.319424,1.1572835445404053,[-28.441088]
76,-34.319424,1.158285140991211,[-28.441088]
77,-34.319424,1.1605126857757568,[-28.441088]
78,-33.94348,1.1643614768981934,[-29.332907]
79,-33.930313,1.1859793663024902,[-29.443459]
80,-33.930313,1.1819894313812256,[-29.443459]
81,-33.930313,1.1551971435546875,[-29.443459]
82,-33.930313,1.1715753078460693,[-29.443459]
83,-33.930313,1.1658008098602295,[-29.443459]
84,-5.9303403,1.142484188079834,[-9.125761]
85,-5.9303403,1.1780638694763184,[-9.125761]
86,-5.9303403,1.184990644454956,[-9.125761]
87,-5.9303403,1.1753606796264648,[-9.125761]
88,-5.9303403,1.1905653476715088,[-9.125761]
89,-5.9303403,1.1529781818389893,[-9.125761]
90,-5.9303403,1.1908855438232422,[-9.125761]
91,-5.9303403,1.157127857208252,[-9.125761]
92,-5.9303403,1.1866445541381836,[-9.125761]
93,-5.9303403,1.176499366760254,[-9.125761]
94,-5.9303403,1.1600430011749268,[-9.125761]
95,-5.9303403,3.518615961074829,[-9.125761]
96,-5.9303403,1.1874613761901855,[-9.125761]
97,-5.9303403,1.187875747680664,[-9.125761]
98,-5.9303403,1.1957862377166748,[-9.125761]
99,-5.9303403,1.1426362991333008,[-9.125761]
100,-5.9303403,1.1627662181854248,[-9.125761]
101,-5.9303403,1.133739709854126,[-9.125761]
102,-5.9303403,1.146061897277832,[-9.125761]
103,-5.9303403,1.149975299835205,[-9.125761]
104,-5.9303403,1.1721997261047363,[-9.125761]
105,-5.9303403,1.1794049739837646,[-9.125761]
106,-1.2948179,1.148310661315918,[-0.5369319]
107,-1.2948179,1.16636061668396,[-0.5369319]
108,-1.2948179,1.1500756740570068,[-0.5369319]
109,-0.058708668,1.1674339771270752,[0.28475738]
110,-0.058708668,1.1974849700927734,[0.28475738]
111,0.12234086,1.1689183712005615,[-0.1244905]
112,0.26781714,1.164247751235962,[0.42212594]
113,0.26781714,1.1660590171813965,[0.42212594]
114,0.2734704,1.1685667037963867,[0.07880259]
115,0.44669384,1.1751813888549805,[0.43904656]
116,0.44669384,1.1756608486175537,[0.43904656]
117,0.44669384,1.1951165199279785,[0.43904656]
118,0.44669384,1.192387580871582,[0.43904656]
119,0.44669384,1.1846201419830322,[0.43904656]
120,0.44669384,1.188413143157959,[0.43904656]
121,0.44669384,1.1721031665802002,[0.43904656]
122,0.44669384,1.1767847537994385,[0.43904656]
123,0.44669384,1.1580700874328613,[0.43904656]
124,0.44669384,1.1452512741088867,[0.43904656]
125,0.44669384,1.1705067157745361,[0.43904656]
126,0.44669384,1.1690621376037598,[0.43904656]
127,0.44669384,1.184516429901123,[0.43904656]
128,0.5304617,1.168067455291748,[0.5343492]
129,0.5304617,1.145331859588623,[0.5343492]
