iteration,max_fitness,time,test_accuracy
0,-0.11319649,0.0,-0.04821539
1,0.04784417,14.529274225234985,[0.03483438]
2,0.08270478,16.268680572509766,[0.11421287]
3,0.5499457,14.53225564956665,[0.62256813]
4,0.5734422,15.49254846572876,[0.64574945]
5,0.5734422,15.52716612815857,[0.64574945]
6,0.5734422,15.56957745552063,[0.64574945]
7,0.5734422,14.600305080413818,[0.64574945]
8,0.5734422,15.378992557525635,[0.64574945]
9,0.5734422,14.972141027450562,[0.64574945]
10,0.5734422,15.13261079788208,[0.64574945]
11,0.574428,14.276510238647461,[0.6471322]
12,0.574428,14.705296754837036,[0.6471322]
13,0.574428,13.889750003814697,[0.6471322]
14,0.574428,13.800793409347534,[0.6471322]
15,0.574428,14.214943408966064,[0.6471322]
16,0.574428,24.244481086730957,[0.6471322]
17,0.574428,13.838883399963379,[0.6471322]
18,0.574428,14.021679162979126,[0.6471322]
19,0.574428,14.483796834945679,[0.6471322]
20,0.574428,13.592754602432251,[0.6471322]
21,0.574428,14.199861764907837,[0.6471322]
22,0.574428,14.658479452133179,[0.6471322]
23,0.574428,15.151934146881104,[0.6471322]
24,0.574428,14.87834882736206,[0.6471322]
25,0.574428,16.121333360671997,[0.6471322]
26,0.574428,14.764102935791016,[0.6471322]
27,0.574428,14.493897914886475,[0.6471322]
28,0.574428,15.098978519439697,[0.6471322]
29,0.574428,14.706834077835083,[0.6471322]
30,0.574428,15.264790058135986,[0.6471322]
31,0.574428,14.537574529647827,[0.6471322]
32,0.574428,15.959219217300415,[0.6471322]
33,0.574428,15.387315034866333,[0.6471322]
34,0.574428,16.060829401016235,[0.6471322]
35,0.574428,15.30988883972168,[0.6471322]
36,0.574428,14.5095694065094,[0.6471322]
37,0.574428,14.725363969802856,[0.6471322]
38,0.574428,15.088561534881592,[0.6471322]
39,0.574428,14.355705976486206,[0.6471322]
40,0.574428,14.813677549362183,[0.6471322]
41,0.574428,14.13739800453186,[0.6471322]
42,0.574428,11.780836343765259,[0.6471322]
43,0.574428,14.118919372558594,[0.6471322]
44,0.574428,14.001801490783691,[0.6471322]
45,0.574428,13.859906911849976,[0.6471322]
46,0.574428,14.181155443191528,[0.6471322]
47,0.574428,13.874156475067139,[0.6471322]
48,0.574428,15.660335302352905,[0.6471322]
49,0.574428,14.952052116394043,[0.6471322]
50,0.574428,16.116993188858032,[0.6471322]
51,0.574428,15.367589950561523,[0.6471322]
52,0.574428,15.138973236083984,[0.6471322]
53,0.574428,15.51271915435791,[0.6471322]
54,0.574428,14.604946851730347,[0.6471322]
55,0.574428,15.612255334854126,[0.6471322]
56,0.574428,14.797513246536255,[0.6471322]
57,0.574428,14.477231740951538,[0.6471322]
58,0.574428,14.256088018417358,[0.6471322]
59,0.574428,14.211316585540771,[0.6471322]
60,0.574428,14.986919164657593,[0.6471322]
61,0.574428,13.721441745758057,[0.6471322]
62,0.574428,14.970879077911377,[0.6471322]
63,0.574428,13.802393674850464,[0.6471322]
64,0.574428,12.883360147476196,[0.6471322]
65,0.574428,14.043689727783203,[0.6471322]
66,0.574428,15.219099521636963,[0.6471322]
67,0.574428,13.97016453742981,[0.6471322]
68,0.574428,14.656401634216309,[0.6471322]
69,0.574428,14.211763858795166,[0.6471322]
70,0.574428,14.013341665267944,[0.6471322]
71,0.574428,14.45451807975769,[0.6471322]
72,0.574428,14.005611658096313,[0.6471322]
73,0.574428,13.29300045967102,[0.6471322]
74,0.574428,13.83653712272644,[0.6471322]
75,0.574428,14.369429349899292,[0.6471322]
76,0.574428,14.116629123687744,[0.6471322]
77,0.574428,13.769582033157349,[0.6471322]
78,0.574428,14.115265369415283,[0.6471322]
79,0.574428,14.173890829086304,[0.6471322]
80,0.574428,13.776868343353271,[0.6471322]
81,0.574428,14.397817134857178,[0.6471322]
82,0.574428,13.900428295135498,[0.6471322]
83,0.574428,14.200060606002808,[0.6471322]
84,0.574428,14.557374000549316,[0.6471322]
85,0.574428,13.714097023010254,[0.6471322]
86,0.574428,13.874061822891235,[0.6471322]
87,0.574428,13.980397462844849,[0.6471322]
